SED_NAME16	IndigenousStatus	persons
Murray Plains (Northern Victoria)	Both Aboriginal & Torres Strait Islander	34
Murray Plains (Northern Victoria)	Non-indigenous	60938
Murray Plains (Northern Victoria)	Torres Strait Islander	57
Narracan (Eastern Victoria)	Aboriginal	698
Narracan (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	22
Narracan (Eastern Victoria)	Non-indigenous	65849
Narracan (Eastern Victoria)	Torres Strait Islander	32
Narre Warren North (South-Eastern Metrop	Aboriginal	245
Narre Warren North (South-Eastern Metrop	Both Aboriginal & Torres Strait Islander	10
Narre Warren North (South-Eastern Metrop	Non-indigenous	65946
Narre Warren North (South-Eastern Metrop	Torres Strait Islander	21
Narre Warren South (South-Eastern Metrop	Aboriginal	359
Narre Warren South (South-Eastern Metrop	Both Aboriginal & Torres Strait Islander	7
Narre Warren South (South-Eastern Metrop	Non-indigenous	82163
Narre Warren South (South-Eastern Metrop	Torres Strait Islander	18
Nepean (Eastern Victoria)	Aboriginal	476
Nepean (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	20
Nepean (Eastern Victoria)	Non-indigenous	58603
Nepean (Eastern Victoria)	Torres Strait Islander	21
Niddrie (Western Metropolitan)	Aboriginal	158
Niddrie (Western Metropolitan)	Non-indigenous	59427
Niddrie (Western Metropolitan)	Torres Strait Islander	9
Northcote (Northern Metropolitan)	Aboriginal	411
Northcote (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Northcote (Northern Metropolitan)	Non-indigenous	64354
Northcote (Northern Metropolitan)	Torres Strait Islander	17
Oakleigh (Southern Metropolitan)	Aboriginal	143
Oakleigh (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Oakleigh (Southern Metropolitan)	Non-indigenous	71618
Ovens Valley (Northern Victoria)	Aboriginal	681
Ovens Valley (Northern Victoria)	Both Aboriginal & Torres Strait Islander	15
Ovens Valley (Northern Victoria)	Non-indigenous	56243
Ovens Valley (Northern Victoria)	Torres Strait Islander	33
Pascoe Vale (Northern Metropolitan)	Aboriginal	338
Pascoe Vale (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	16
Pascoe Vale (Northern Metropolitan)	Non-indigenous	74139
Pascoe Vale (Northern Metropolitan)	Torres Strait Islander	29
Polwarth (Western Victoria)	Aboriginal	530
Polwarth (Western Victoria)	Both Aboriginal & Torres Strait Islander	11
Polwarth (Western Victoria)	Non-indigenous	59394
Polwarth (Western Victoria)	Torres Strait Islander	34
Prahran (Southern Metropolitan)	Aboriginal	264
Prahran (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	13
Prahran (Southern Metropolitan)	Non-indigenous	72987
Prahran (Southern Metropolitan)	Torres Strait Islander	10
Preston (Northern Metropolitan)	Aboriginal	614
Preston (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	20
Preston (Northern Metropolitan)	Non-indigenous	67498
Preston (Northern Metropolitan)	Torres Strait Islander	17
Richmond (Northern Metropolitan)	Aboriginal	300
Richmond (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Richmond (Northern Metropolitan)	Non-indigenous	72223
Richmond (Northern Metropolitan)	Torres Strait Islander	19
Ringwood (Eastern Metropolitan)	Aboriginal	232
Ringwood (Eastern Metropolitan)	Non-indigenous	61821
Ringwood (Eastern Metropolitan)	Torres Strait Islander	17
Ripon (Western Victoria)	Aboriginal	851
Ripon (Western Victoria)	Both Aboriginal & Torres Strait Islander	23
Ripon (Western Victoria)	Non-indigenous	61608
Ripon (Western Victoria)	Torres Strait Islander	64
Rowville (South-Eastern Metropolitan)	Aboriginal	193
Rowville (South-Eastern Metropolitan)	Non-indigenous	55031
Rowville (South-Eastern Metropolitan)	Torres Strait Islander	5
Sandringham (Southern Metropolitan)	Aboriginal	122
Sandringham (Southern Metropolitan)	Non-indigenous	58458
Sandringham (Southern Metropolitan)	Torres Strait Islander	13
Shepparton (Northern Victoria)	Aboriginal	2183
Shepparton (Northern Victoria)	Both Aboriginal & Torres Strait Islander	64
Shepparton (Northern Victoria)	Non-indigenous	66848
Shepparton (Northern Victoria)	Torres Strait Islander	57
South Barwon (Western Victoria)	Aboriginal	495
South Barwon (Western Victoria)	Both Aboriginal & Torres Strait Islander	3
South Barwon (Western Victoria)	Non-indigenous	68888
South Barwon (Western Victoria)	Torres Strait Islander	16
South-West Coast (Western Victoria)	Aboriginal	1101
South-West Coast (Western Victoria)	Both Aboriginal & Torres Strait Islander	26
South-West Coast (Western Victoria)	Non-indigenous	61563
South-West Coast (Western Victoria)	Torres Strait Islander	23
St Albans (Western Metropolitan)	Aboriginal	296
St Albans (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	4
St Albans (Western Metropolitan)	Non-indigenous	74886
St Albans (Western Metropolitan)	Torres Strait Islander	35
Sunbury (Western Metropolitan)	Aboriginal	448
Sunbury (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	11
Sunbury (Western Metropolitan)	Non-indigenous	60074
Sunbury (Western Metropolitan)	Torres Strait Islander	33
Sydenham (Western Metropolitan)	Aboriginal	218
Sydenham (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	9
Sydenham (Western Metropolitan)	Non-indigenous	75207
Sydenham (Western Metropolitan)	Torres Strait Islander	10
Tarneit (Western Metropolitan)	Aboriginal	612
Tarneit (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	13
Tarneit (Western Metropolitan)	Non-indigenous	95957
Tarneit (Western Metropolitan)	Torres Strait Islander	20
Thomastown (Northern Metropolitan)	Aboriginal	394
Thomastown (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	32
Thomastown (Northern Metropolitan)	Non-indigenous	68195
Thomastown (Northern Metropolitan)	Torres Strait Islander	11
Warrandyte (Eastern Metropolitan)	Aboriginal	106
Warrandyte (Eastern Metropolitan)	Non-indigenous	60157
Warrandyte (Eastern Metropolitan)	Torres Strait Islander	18
Wendouree (Western Victoria)	Aboriginal	788
Wendouree (Western Victoria)	Both Aboriginal & Torres Strait Islander	20
Wendouree (Western Victoria)	Non-indigenous	56451
Wendouree (Western Victoria)	Torres Strait Islander	35
Werribee (Western Metropolitan)	Aboriginal	800
Werribee (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	16
Werribee (Western Metropolitan)	Non-indigenous	69732
Werribee (Western Metropolitan)	Torres Strait Islander	19
Williamstown (Western Metropolitan)	Aboriginal	308
Williamstown (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	5
Williamstown (Western Metropolitan)	Non-indigenous	70735
Williamstown (Western Metropolitan)	Torres Strait Islander	20
Yan Yean (Northern Victoria)	Aboriginal	766
Yan Yean (Northern Victoria)	Both Aboriginal & Torres Strait Islander	24
Yan Yean (Northern Victoria)	Non-indigenous	79061
Yan Yean (Northern Victoria)	Torres Strait Islander	29
Yuroke (Northern Metropolitan)	Aboriginal	554
Yuroke (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Yuroke (Northern Metropolitan)	Non-indigenous	88562
Yuroke (Northern Metropolitan)	Torres Strait Islander	36
No usual address (Vic.)	Aboriginal	247
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	11
No usual address (Vic.)	Non-indigenous	7291
No usual address (Vic.)	Torres Strait Islander	16
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	29
Albert	Aboriginal	1369
Albert	Both Aboriginal & Torres Strait Islander	42
Albert	Non-indigenous	68408
Albert	Torres Strait Islander	62
Algester	Aboriginal	890
Algester	Both Aboriginal & Torres Strait Islander	83
Algester	Non-indigenous	53268
Algester	Torres Strait Islander	69
Ashgrove	Aboriginal	446
Ashgrove	Both Aboriginal & Torres Strait Islander	27
Ashgrove	Non-indigenous	46052
Ashgrove	Torres Strait Islander	31
Aspley	Aboriginal	547
Aspley	Both Aboriginal & Torres Strait Islander	42
Aspley	Non-indigenous	43882
Aspley	Torres Strait Islander	16
Barron River	Aboriginal	1865
Barron River	Both Aboriginal & Torres Strait Islander	388
Barron River	Non-indigenous	58171
Barron River	Torres Strait Islander	533
Beaudesert	Aboriginal	1631
Beaudesert	Both Aboriginal & Torres Strait Islander	91
Beaudesert	Non-indigenous	56280
Beaudesert	Torres Strait Islander	79
Brisbane Central	Aboriginal	551
Brisbane Central	Both Aboriginal & Torres Strait Islander	39
Brisbane Central	Non-indigenous	61874
Brisbane Central	Torres Strait Islander	49
Broadwater	Aboriginal	745
Broadwater	Both Aboriginal & Torres Strait Islander	35
Broadwater	Non-indigenous	50772
Broadwater	Torres Strait Islander	47
Buderim	Aboriginal	629
Buderim	Both Aboriginal & Torres Strait Islander	24
Buderim	Non-indigenous	49263
Buderim	Torres Strait Islander	41
Bulimba	Aboriginal	613
Bulimba	Both Aboriginal & Torres Strait Islander	34
Bulimba	Non-indigenous	51638
Bulimba	Torres Strait Islander	66
Bundaberg	Aboriginal	1967
Bundaberg	Both Aboriginal & Torres Strait Islander	137
Bundaberg	Non-indigenous	41481
Bundaberg	Torres Strait Islander	117
Bundamba	Aboriginal	2747
Bundamba	Both Aboriginal & Torres Strait Islander	149
Bundamba	Non-indigenous	76492
Bundamba	Torres Strait Islander	180
Burdekin	Aboriginal	2689
Burdekin	Both Aboriginal & Torres Strait Islander	395
Burdekin	Non-indigenous	44843
Burdekin	Torres Strait Islander	338
Burleigh	Aboriginal	743
Burleigh	Both Aboriginal & Torres Strait Islander	33
Burleigh	Non-indigenous	50664
Burleigh	Torres Strait Islander	46
Burnett	Aboriginal	1341
Burnett	Both Aboriginal & Torres Strait Islander	77
Burnett	Non-indigenous	46945
Burnett	Torres Strait Islander	54
Cairns	Aboriginal	3005
Cairns	Both Aboriginal & Torres Strait Islander	1375
Cairns	Non-indigenous	53435
Cairns	Torres Strait Islander	2423
Callide	Aboriginal	3378
Callide	Both Aboriginal & Torres Strait Islander	175
Callide	Non-indigenous	42551
Callide	Torres Strait Islander	78
Caloundra	Aboriginal	1033
Caloundra	Both Aboriginal & Torres Strait Islander	33
Caloundra	Non-indigenous	49989
Caloundra	Torres Strait Islander	40
Capalaba	Aboriginal	1118
Capalaba	Both Aboriginal & Torres Strait Islander	60
Capalaba	Non-indigenous	46123
Capalaba	Torres Strait Islander	60
Chatsworth	Aboriginal	625
Chatsworth	Both Aboriginal & Torres Strait Islander	34
Chatsworth	Non-indigenous	50458
Chatsworth	Torres Strait Islander	34
Clayfield	Aboriginal	535
Clayfield	Both Aboriginal & Torres Strait Islander	25
Clayfield	Non-indigenous	51608
Clayfield	Torres Strait Islander	58
Cleveland	Aboriginal	1074
Cleveland	Both Aboriginal & Torres Strait Islander	57
Cleveland	Non-indigenous	49107
Cleveland	Torres Strait Islander	45
Condamine	Aboriginal	2417
Condamine	Both Aboriginal & Torres Strait Islander	63
Condamine	Non-indigenous	54860
Condamine	Torres Strait Islander	55
Cook	Aboriginal	8185
Cook	Both Aboriginal & Torres Strait Islander	3793
Cook	Non-indigenous	32844
Cook	Torres Strait Islander	6817
Coomera	Aboriginal	1552
Coomera	Both Aboriginal & Torres Strait Islander	71
Coomera	Non-indigenous	72934
Coomera	Torres Strait Islander	93
Currumbin	Aboriginal	966
Currumbin	Both Aboriginal & Torres Strait Islander	60
Currumbin	Non-indigenous	47435
Currumbin	Torres Strait Islander	59
Dalrymple	Aboriginal	3148
Dalrymple	Both Aboriginal & Torres Strait Islander	408
Dalrymple	Non-indigenous	44560
Dalrymple	Torres Strait Islander	340
Everton	Aboriginal	626
Everton	Both Aboriginal & Torres Strait Islander	45
Everton	Non-indigenous	45454
Everton	Torres Strait Islander	69
Ferny Grove	Aboriginal	635
Ferny Grove	Both Aboriginal & Torres Strait Islander	24
Ferny Grove	Non-indigenous	44986
Ferny Grove	Torres Strait Islander	74
Gaven	Aboriginal	1083
Gaven	Both Aboriginal & Torres Strait Islander	48
Gaven	Non-indigenous	57290
Gaven	Torres Strait Islander	42
Gladstone	Aboriginal	2019
Gladstone	Both Aboriginal & Torres Strait Islander	200
Gladstone	Non-indigenous	53317
Gladstone	Torres Strait Islander	80
Glass House	Aboriginal	1443
Glass House	Both Aboriginal & Torres Strait Islander	63
Glass House	Non-indigenous	53791
Glass House	Torres Strait Islander	83
Greenslopes	Aboriginal	514
Greenslopes	Both Aboriginal & Torres Strait Islander	46
Greenslopes	Non-indigenous	46704
Greenslopes	Torres Strait Islander	64
Gregory	Aboriginal	2602
Gregory	Both Aboriginal & Torres Strait Islander	148
Gregory	Non-indigenous	38661
Gregory	Torres Strait Islander	86
Gympie	Aboriginal	1475
Gympie	Both Aboriginal & Torres Strait Islander	73
Gympie	Non-indigenous	47658
Gympie	Torres Strait Islander	94
Hervey Bay	Aboriginal	1948
Hervey Bay	Both Aboriginal & Torres Strait Islander	85
Hervey Bay	Non-indigenous	50917
Hervey Bay	Torres Strait Islander	85
Hinchinbrook	Aboriginal	2361
Hinchinbrook	Both Aboriginal & Torres Strait Islander	279
Hinchinbrook	Non-indigenous	49786
Hinchinbrook	Torres Strait Islander	357
Inala	Aboriginal	2332
Inala	Both Aboriginal & Torres Strait Islander	138
Inala	Non-indigenous	55893
Inala	Torres Strait Islander	132
Indooroopilly	Aboriginal	203
Indooroopilly	Both Aboriginal & Torres Strait Islander	16
Indooroopilly	Non-indigenous	49700
Indooroopilly	Torres Strait Islander	34
Ipswich	Aboriginal	2305
Ipswich	Both Aboriginal & Torres Strait Islander	120
Ipswich	Non-indigenous	49583
Ipswich	Torres Strait Islander	111
Ipswich West	Aboriginal	2467
Ipswich West	Both Aboriginal & Torres Strait Islander	74
Ipswich West	Non-indigenous	52474
Ipswich West	Torres Strait Islander	93
Kallangur	Aboriginal	1318
Kallangur	Both Aboriginal & Torres Strait Islander	76
Kallangur	Non-indigenous	51711
Kallangur	Torres Strait Islander	41
Kawana	Aboriginal	982
Kawana	Both Aboriginal & Torres Strait Islander	26
Kawana	Non-indigenous	52444
Kawana	Torres Strait Islander	51
Keppel	Aboriginal	2488
Keppel	Both Aboriginal & Torres Strait Islander	181
Keppel	Non-indigenous	51733
Keppel	Torres Strait Islander	178
Lockyer	Aboriginal	1794
Lockyer	Both Aboriginal & Torres Strait Islander	70
Lockyer	Non-indigenous	53268
Lockyer	Torres Strait Islander	89
Logan	Aboriginal	1318
Logan	Both Aboriginal & Torres Strait Islander	76
Logan	Non-indigenous	48753
Logan	Torres Strait Islander	67
Lytton	Aboriginal	1083
Lytton	Both Aboriginal & Torres Strait Islander	57
Lytton	Non-indigenous	48187
Lytton	Torres Strait Islander	98
Mackay	Aboriginal	1591
Mackay	Both Aboriginal & Torres Strait Islander	487
Mackay	Non-indigenous	40608
Mackay	Torres Strait Islander	678
Mansfield	Aboriginal	507
Mansfield	Both Aboriginal & Torres Strait Islander	47
Mansfield	Non-indigenous	46298
Mansfield	Torres Strait Islander	54
Maroochydore	Aboriginal	825
Maroochydore	Both Aboriginal & Torres Strait Islander	50
Maroochydore	Non-indigenous	51740
Maroochydore	Torres Strait Islander	76
Maryborough	Aboriginal	1983
Maryborough	Both Aboriginal & Torres Strait Islander	123
Maryborough	Non-indigenous	48893
Maryborough	Torres Strait Islander	103
Mermaid Beach	Aboriginal	524
Mermaid Beach	Both Aboriginal & Torres Strait Islander	17
Mermaid Beach	Non-indigenous	53076
Mermaid Beach	Torres Strait Islander	31
Mirani	Aboriginal	2060
Mirani	Both Aboriginal & Torres Strait Islander	255
Mirani	Non-indigenous	50868
Mirani	Torres Strait Islander	345
Moggill	Aboriginal	268
Moggill	Both Aboriginal & Torres Strait Islander	14
Moggill	Non-indigenous	47117
Moggill	Torres Strait Islander	20
Morayfield	Aboriginal	1926
Morayfield	Both Aboriginal & Torres Strait Islander	105
Morayfield	Non-indigenous	53617
Morayfield	Torres Strait Islander	93
Mount Coot-tha	Aboriginal	319
Mount Coot-tha	Both Aboriginal & Torres Strait Islander	21
Mount Coot-tha	Non-indigenous	45635
Mount Coot-tha	Torres Strait Islander	31
Mount Isa	Aboriginal	7225
Mount Isa	Both Aboriginal & Torres Strait Islander	231
Mount Isa	Non-indigenous	24966
Mount Isa	Torres Strait Islander	166
Mount Ommaney	Aboriginal	434
Mount Ommaney	Both Aboriginal & Torres Strait Islander	36
Mount Ommaney	Non-indigenous	45956
Mount Ommaney	Torres Strait Islander	20
Mudgeeraba	Aboriginal	743
Mudgeeraba	Both Aboriginal & Torres Strait Islander	31
Mudgeeraba	Non-indigenous	55605
Mudgeeraba	Torres Strait Islander	31
Mulgrave	Aboriginal	6250
Mulgrave	Both Aboriginal & Torres Strait Islander	1408
Mulgrave	Non-indigenous	43575
Mulgrave	Torres Strait Islander	1378
Mundingburra	Aboriginal	2036
Mundingburra	Both Aboriginal & Torres Strait Islander	389
Mundingburra	Non-indigenous	41782
Mundingburra	Torres Strait Islander	517
Murrumba	Aboriginal	2110
Murrumba	Both Aboriginal & Torres Strait Islander	116
Murrumba	Non-indigenous	71020
Murrumba	Torres Strait Islander	143
Nanango	Aboriginal	1781
Nanango	Both Aboriginal & Torres Strait Islander	78
Nanango	Non-indigenous	48397
Nanango	Torres Strait Islander	57
Nicklin	Aboriginal	1269
Nicklin	Both Aboriginal & Torres Strait Islander	73
Nicklin	Non-indigenous	50054
Nicklin	Torres Strait Islander	64
Noosa	Aboriginal	602
Noosa	Both Aboriginal & Torres Strait Islander	12
Noosa	Non-indigenous	51467
Noosa	Torres Strait Islander	44
Nudgee	Aboriginal	1209
Nudgee	Both Aboriginal & Torres Strait Islander	106
Nudgee	Non-indigenous	53276
Nudgee	Torres Strait Islander	97
Pine Rivers	Aboriginal	1208
Pine Rivers	Both Aboriginal & Torres Strait Islander	70
Pine Rivers	Non-indigenous	52385
Pine Rivers	Torres Strait Islander	69
Pumicestone	Aboriginal	1896
Pumicestone	Both Aboriginal & Torres Strait Islander	118
Pumicestone	Non-indigenous	52673
Pumicestone	Torres Strait Islander	83
Redcliffe	Aboriginal	1235
Redcliffe	Both Aboriginal & Torres Strait Islander	63
Redcliffe	Non-indigenous	48060
Redcliffe	Torres Strait Islander	79
Redlands	Aboriginal	909
Redlands	Both Aboriginal & Torres Strait Islander	47
Redlands	Non-indigenous	50725
Redlands	Torres Strait Islander	74
Rockhampton	Aboriginal	3229
Rockhampton	Both Aboriginal & Torres Strait Islander	258
Rockhampton	Non-indigenous	45857
Rockhampton	Torres Strait Islander	229
Sandgate	Aboriginal	1033
Sandgate	Both Aboriginal & Torres Strait Islander	69
Sandgate	Non-indigenous	48770
Sandgate	Torres Strait Islander	84
South Brisbane	Aboriginal	531
South Brisbane	Both Aboriginal & Torres Strait Islander	47
South Brisbane	Non-indigenous	55042
South Brisbane	Torres Strait Islander	51
Southern Downs	Aboriginal	2202
Southern Downs	Both Aboriginal & Torres Strait Islander	57
Southern Downs	Non-indigenous	46803
Southern Downs	Torres Strait Islander	53
Southport	Aboriginal	1058
Southport	Both Aboriginal & Torres Strait Islander	29
Southport	Non-indigenous	58587
Southport	Torres Strait Islander	55
Springwood	Aboriginal	714
Springwood	Both Aboriginal & Torres Strait Islander	35
Springwood	Non-indigenous	48556
Springwood	Torres Strait Islander	69
Stafford	Aboriginal	757
Stafford	Both Aboriginal & Torres Strait Islander	55
Stafford	Non-indigenous	46401
Stafford	Torres Strait Islander	74
Stretton	Aboriginal	327
Stretton	Both Aboriginal & Torres Strait Islander	47
Stretton	Non-indigenous	58737
Stretton	Torres Strait Islander	30
Sunnybank	Aboriginal	724
Sunnybank	Both Aboriginal & Torres Strait Islander	63
Sunnybank	Non-indigenous	53934
Sunnybank	Torres Strait Islander	64
Surfers Paradise	Aboriginal	498
Surfers Paradise	Both Aboriginal & Torres Strait Islander	14
Surfers Paradise	Non-indigenous	57829
Surfers Paradise	Torres Strait Islander	35
Thuringowa	Aboriginal	3529
Thuringowa	Both Aboriginal & Torres Strait Islander	652
Thuringowa	Non-indigenous	48131
Thuringowa	Torres Strait Islander	685
Toowoomba North	Aboriginal	2170
Toowoomba North	Both Aboriginal & Torres Strait Islander	90
Toowoomba North	Non-indigenous	48116
Toowoomba North	Torres Strait Islander	51
Toowoomba South	Aboriginal	1797
Toowoomba South	Both Aboriginal & Torres Strait Islander	42
Toowoomba South	Non-indigenous	49083
Toowoomba South	Torres Strait Islander	93
Townsville	Aboriginal	3917
Townsville	Both Aboriginal & Torres Strait Islander	669
Townsville	Non-indigenous	44759
Townsville	Torres Strait Islander	470
Warrego	Aboriginal	3403
Warrego	Both Aboriginal & Torres Strait Islander	80
Warrego	Non-indigenous	37542
Warrego	Torres Strait Islander	86
Waterford	Aboriginal	2226
Waterford	Both Aboriginal & Torres Strait Islander	144
Waterford	Non-indigenous	61752
Waterford	Torres Strait Islander	149
Whitsunday	Aboriginal	1573
Whitsunday	Both Aboriginal & Torres Strait Islander	332
Whitsunday	Non-indigenous	57342
Whitsunday	Torres Strait Islander	401
Woodridge	Aboriginal	2280
Woodridge	Both Aboriginal & Torres Strait Islander	201
Woodridge	Non-indigenous	60878
Woodridge	Torres Strait Islander	219
Yeerongpilly	Aboriginal	584
Yeerongpilly	Both Aboriginal & Torres Strait Islander	46
Yeerongpilly	Non-indigenous	50712
Yeerongpilly	Torres Strait Islander	49
No usual address (Qld)	Aboriginal	678
No usual address (Qld)	Both Aboriginal & Torres Strait Islander	51
No usual address (Qld)	Non-indigenous	11714
No usual address (Qld)	Torres Strait Islander	67
Migratory - Offshore - Shipping (Qld)	Aboriginal	6
Migratory - Offshore - Shipping (Qld)	Non-indigenous	144
Adelaide	Aboriginal	380
Adelaide	Both Aboriginal & Torres Strait Islander	9
Adelaide	Non-indigenous	41398
Adelaide	Torres Strait Islander	18
Ashford	Aboriginal	234
Ashford	Both Aboriginal & Torres Strait Islander	3
Ashford	Non-indigenous	34393
Ashford	Torres Strait Islander	7
Bragg	Aboriginal	94
Bragg	Both Aboriginal & Torres Strait Islander	3
Bragg	Non-indigenous	33843
Bragg	Torres Strait Islander	13
Bright	Aboriginal	202
Bright	Both Aboriginal & Torres Strait Islander	16
Bright	Non-indigenous	32711
Bright	Torres Strait Islander	7
Chaffey	Aboriginal	1022
Chaffey	Both Aboriginal & Torres Strait Islander	23
Chaffey	Non-indigenous	33995
Chaffey	Torres Strait Islander	24
Cheltenham	Aboriginal	778
Cheltenham	Both Aboriginal & Torres Strait Islander	12
Cheltenham	Non-indigenous	37315
Cheltenham	Torres Strait Islander	22
Colton	Aboriginal	252
Colton	Both Aboriginal & Torres Strait Islander	13
Colton	Non-indigenous	33957
Colton	Torres Strait Islander	27
Croydon	Aboriginal	495
Croydon	Both Aboriginal & Torres Strait Islander	14
Croydon	Non-indigenous	35213
Croydon	Torres Strait Islander	15
Davenport	Aboriginal	213
Davenport	Both Aboriginal & Torres Strait Islander	7
Davenport	Non-indigenous	34049
Davenport	Torres Strait Islander	10
Dunstan	Aboriginal	190
Dunstan	Both Aboriginal & Torres Strait Islander	6
Dunstan	Non-indigenous	34973
Dunstan	Torres Strait Islander	12
Elder	Aboriginal	426
Elder	Both Aboriginal & Torres Strait Islander	15
Elder	Non-indigenous	34611
Elder	Torres Strait Islander	25
Enfield	Aboriginal	624
Enfield	Both Aboriginal & Torres Strait Islander	21
Enfield	Non-indigenous	38702
Enfield	Torres Strait Islander	12
Finniss	Aboriginal	400
Finniss	Both Aboriginal & Torres Strait Islander	11
Finniss	Non-indigenous	33065
Finniss	Torres Strait Islander	22
Fisher	Aboriginal	269
Fisher	Both Aboriginal & Torres Strait Islander	12
Fisher	Non-indigenous	34344
Fisher	Torres Strait Islander	13
Flinders	Aboriginal	2051
Flinders	Both Aboriginal & Torres Strait Islander	21
Flinders	Non-indigenous	31295
Flinders	Torres Strait Islander	15
Florey	Aboriginal	447
Florey	Both Aboriginal & Torres Strait Islander	10
Florey	Non-indigenous	31446
Florey	Torres Strait Islander	16
Frome	Aboriginal	885
Frome	Both Aboriginal & Torres Strait Islander	10
Frome	Non-indigenous	34259
Frome	Torres Strait Islander	28
Giles	Aboriginal	3718
Giles	Both Aboriginal & Torres Strait Islander	42
Giles	Non-indigenous	30346
Giles	Torres Strait Islander	33
Goyder (SA)	Aboriginal	871
Goyder (SA)	Both Aboriginal & Torres Strait Islander	9
Goyder (SA)	Non-indigenous	32563
Goyder (SA)	Torres Strait Islander	34
Hammond	Aboriginal	1178
Hammond	Both Aboriginal & Torres Strait Islander	9
Hammond	Non-indigenous	32369
Hammond	Torres Strait Islander	25
Hartley	Aboriginal	198
Hartley	Both Aboriginal & Torres Strait Islander	17
Hartley	Non-indigenous	35534
Hartley	Torres Strait Islander	16
Heysen	Aboriginal	265
Heysen	Non-indigenous	34847
Heysen	Torres Strait Islander	6
Kaurna	Aboriginal	609
Kaurna	Both Aboriginal & Torres Strait Islander	4
Kaurna	Non-indigenous	37487
Kaurna	Torres Strait Islander	17
Kavel	Aboriginal	375
Kavel	Both Aboriginal & Torres Strait Islander	14
Kavel	Non-indigenous	36386
Kavel	Torres Strait Islander	23
Lee	Aboriginal	694
Lee	Both Aboriginal & Torres Strait Islander	10
Lee	Non-indigenous	33678
Lee	Torres Strait Islander	35
Light	Aboriginal	631
Light	Both Aboriginal & Torres Strait Islander	15
Light	Non-indigenous	37722
Light	Torres Strait Islander	29
Little Para	Aboriginal	1156
Little Para	Both Aboriginal & Torres Strait Islander	44
Little Para	Non-indigenous	37942
Little Para	Torres Strait Islander	41
Mackillop	Aboriginal	711
Mackillop	Both Aboriginal & Torres Strait Islander	16
Mackillop	Non-indigenous	32060
Mackillop	Torres Strait Islander	25
Mawson	Aboriginal	575
Mawson	Both Aboriginal & Torres Strait Islander	15
Mawson	Non-indigenous	33618
Mawson	Torres Strait Islander	14
Mitchell	Aboriginal	408
Mitchell	Both Aboriginal & Torres Strait Islander	9
Mitchell	Non-indigenous	35134
Mitchell	Torres Strait Islander	23
Morialta	Aboriginal	183
Morialta	Both Aboriginal & Torres Strait Islander	11
Morialta	Non-indigenous	35099
Morialta	Torres Strait Islander	9
Morphett	Aboriginal	250
Morphett	Both Aboriginal & Torres Strait Islander	9
Morphett	Non-indigenous	32040
Morphett	Torres Strait Islander	20
Mount Gambier	Aboriginal	683
Mount Gambier	Both Aboriginal & Torres Strait Islander	13
Mount Gambier	Non-indigenous	33790
Mount Gambier	Torres Strait Islander	29
Napier	Aboriginal	1362
Napier	Both Aboriginal & Torres Strait Islander	27
Napier	Non-indigenous	38367
Napier	Torres Strait Islander	33
Newland	Aboriginal	288
Newland	Non-indigenous	33247
Newland	Torres Strait Islander	6
Playford	Aboriginal	783
Playford	Both Aboriginal & Torres Strait Islander	6
Playford	Non-indigenous	35832
Playford	Torres Strait Islander	9
Port Adelaide	Aboriginal	824
Port Adelaide	Both Aboriginal & Torres Strait Islander	17
Port Adelaide	Non-indigenous	39971
Port Adelaide	Torres Strait Islander	11
Ramsay	Aboriginal	927
Ramsay	Both Aboriginal & Torres Strait Islander	16
Ramsay	Non-indigenous	37116
Ramsay	Torres Strait Islander	36
Reynell	Aboriginal	768
Reynell	Both Aboriginal & Torres Strait Islander	31
Reynell	Non-indigenous	33563
Reynell	Torres Strait Islander	23
Schubert	Aboriginal	374
Schubert	Both Aboriginal & Torres Strait Islander	3
Schubert	Non-indigenous	34647
Schubert	Torres Strait Islander	18
Stuart (SA)	Aboriginal	3094
Stuart (SA)	Both Aboriginal & Torres Strait Islander	49
Stuart (SA)	Non-indigenous	30018
Stuart (SA)	Torres Strait Islander	45
Taylor	Aboriginal	927
Taylor	Both Aboriginal & Torres Strait Islander	12
Taylor	Non-indigenous	39941
Taylor	Torres Strait Islander	45
Torrens	Aboriginal	557
Torrens	Both Aboriginal & Torres Strait Islander	15
Torrens	Non-indigenous	38147
Torrens	Torres Strait Islander	17
Unley	Aboriginal	123
Unley	Both Aboriginal & Torres Strait Islander	5
Unley	Non-indigenous	34650
