SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC32137,8,14,0,0,3,14,0,4,0,10,3,27,0,0,0,0,3,7,3,7,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,49
SSC32138,38,71,0,8,0,3,0,0,15,48,11,58,4,15,0,0,19,56,18,69,32,128,0,0,0,6,0,0,5,5,4,17,0,0,0,0,4,10,4,10,13,26,0,3,82,225
SSC32139,3,6,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,4,0,0,11,22
SSC32140,14,22,0,0,3,8,0,4,3,20,11,39,0,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0,5,15,5,15,0,0,0,0,0,0,0,0,7,14,0,0,30,80
SSC32141,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,9
SSC32142,30,52,0,0,0,0,0,0,3,26,3,26,0,0,0,0,3,9,3,9,6,33,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,10,8,10,7,15,0,0,42,97
SSC32143,12,26,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,3,3,9,4,12,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,0,14,41
SSC32144,4,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,0,8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18
SSC32145,470,918,7,44,63,305,15,64,424,1629,512,2036,30,126,34,111,79,242,149,473,663,2509,0,0,14,42,11,32,96,274,117,344,3,17,16,25,51,116,74,157,186,504,3,13,1330,3941
SSC32146,324,655,16,86,91,426,28,140,384,1568,523,2219,34,160,40,145,107,342,182,642,707,2855,0,0,7,20,3,12,42,132,51,160,0,9,3,11,21,51,30,68,78,228,3,7,1117,3745
SSC32147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32148,1554,3038,6,20,31,142,7,16,459,1673,501,1846,21,91,70,244,76,213,168,550,666,2392,0,3,16,36,3,10,91,195,106,247,12,37,30,71,109,233,155,345,265,589,61,123,2538,6147
SSC32149,28,56,0,7,0,0,0,6,10,61,18,68,4,11,0,8,7,25,10,41,25,105,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,5,6,5,0,7,57,173
SSC32150,6,17,0,18,0,3,6,25,29,134,38,177,0,0,3,6,6,28,12,34,51,214,0,0,0,3,7,18,21,61,24,81,0,0,0,0,4,7,4,7,28,89,4,7,82,319
SSC32151,13,23,0,0,0,0,0,0,5,7,5,7,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,0,19,40
SSC32152,38,82,0,0,3,11,3,10,17,67,24,84,0,11,3,9,8,23,11,44,35,128,0,0,0,3,0,0,9,20,7,23,0,0,3,6,5,15,5,14,18,35,0,3,93,249
SSC32153,10,15,0,0,0,3,0,4,3,16,3,22,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,4,0,5,17,48
SSC32154,440,860,0,8,55,241,3,26,296,1117,353,1382,27,99,64,228,44,145,135,469,487,1855,3,8,11,35,4,12,58,135,76,184,5,26,28,61,38,87,79,168,156,356,39,84,1126,3156
SSC32155,450,887,11,62,34,147,17,63,147,593,205,862,25,107,59,198,100,300,183,609,389,1473,0,0,5,13,0,4,22,58,31,80,0,0,6,14,26,53,36,74,60,150,12,21,916,2525
SSC32156,414,802,0,0,0,3,0,0,40,137,43,139,3,6,5,25,21,54,31,82,72,223,0,0,0,0,0,0,10,25,10,25,0,3,10,17,7,13,14,28,25,53,14,21,520,1107
SSC32157,122,238,3,12,8,34,9,26,107,437,125,509,13,57,12,40,40,121,61,219,189,722,0,6,9,24,0,10,25,78,39,117,0,7,4,10,30,65,36,78,74,195,7,13,389,1170
SSC32158,924,1816,14,65,64,320,25,113,452,1758,554,2259,22,107,44,127,148,450,208,686,760,2944,7,29,35,136,32,115,271,734,342,1010,14,50,57,115,187,398,255,563,598,1571,68,136,2350,6461
SSC32159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32161,62,127,0,0,5,25,3,7,60,250,70,281,0,0,0,11,12,41,18,50,87,336,0,0,6,30,0,0,14,28,23,61,0,6,3,9,9,17,17,30,36,97,0,0,180,552
SSC32162,28,54,3,12,7,32,0,4,10,56,20,100,4,10,0,4,13,31,11,45,34,142,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,6,7,6,5,12,0,0,68,207
SSC32163,156,306,3,13,7,28,8,21,83,320,98,382,3,21,11,27,28,97,43,135,137,518,0,3,5,14,0,0,12,41,23,60,0,3,4,11,9,17,18,31,35,93,0,3,326,921
SSC32164,11,13,0,0,0,0,0,7,9,23,7,29,0,8,0,0,4,10,3,21,10,47,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,3,0,9,0,0,21,67
SSC32165,11,21,0,0,0,9,0,0,6,35,8,40,0,0,0,0,0,8,0,8,10,48,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,3,4,0,0,24,71
SSC32166,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SSC32167,505,1009,11,77,51,239,22,97,287,1171,375,1586,20,94,34,121,118,371,171,577,548,2167,3,21,14,50,3,22,92,292,117,393,5,14,10,20,54,116,74,155,189,546,9,21,1260,3744
SSC32168,3,6,0,0,0,0,0,0,8,22,8,22,0,0,0,0,0,5,0,5,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30
SSC32169,12,23,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,3,7,4,4,18,56
SSC32170,4,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC32171,7,18,0,0,0,4,0,0,0,4,3,4,0,0,0,5,0,0,0,5,3,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,12,38
SSC32172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32173,71,136,0,6,9,30,3,17,39,159,55,218,0,17,3,3,13,37,18,59,68,270,0,0,0,3,0,0,3,10,3,17,3,4,3,5,9,15,9,25,13,40,0,3,162,454
SSC32174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32175,160,317,0,0,11,43,4,16,44,168,54,227,7,42,15,42,25,76,50,161,102,392,0,0,3,8,3,14,11,18,11,36,0,0,0,3,8,14,11,23,27,58,3,9,293,771
SSC32176,9,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
SSC32177,4,14,0,0,0,0,0,0,3,13,3,13,0,0,3,4,6,11,6,18,11,27,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,16,44
SSC32178,729,1419,5,22,32,136,15,50,206,773,252,992,14,67,36,119,44,137,98,317,356,1306,0,0,12,30,8,26,51,112,65,169,5,13,24,43,67,136,92,194,161,361,12,26,1254,3114
SSC32179,30,53,0,0,3,10,0,0,5,24,9,42,0,0,0,0,5,6,5,6,11,44,0,0,0,3,0,5,0,0,3,7,0,0,0,0,0,0,0,0,3,7,0,0,40,108
SSC32180,1351,2655,6,51,71,309,16,66,368,1395,464,1817,18,82,64,208,129,390,213,673,678,2492,0,5,20,70,16,53,111,290,147,423,6,27,40,86,105,207,156,325,304,749,22,51,2356,5947
SSC32181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32182,967,1893,14,91,131,615,34,140,684,2635,864,3484,52,208,80,268,181,568,315,1049,1182,4530,9,52,33,132,29,88,187,542,259,818,16,46,30,60,127,272,169,376,428,1195,38,71,2611,7693
SSC32183,573,1123,4,23,74,337,7,30,516,1960,603,2348,38,165,80,277,78,234,199,673,807,3023,0,0,13,57,0,3,84,218,102,273,11,29,30,62,47,101,88,193,187,464,32,65,1599,4680
SSC32184,102,205,3,13,3,9,12,64,60,245,77,336,0,0,0,3,18,55,15,62,95,393,3,26,3,11,15,55,49,166,68,250,0,0,0,0,24,60,24,65,92,318,7,13,296,924
SSC32185,3,6,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,4,0,4,0,12,0,3,11,23
SSC32186,79,155,3,12,7,26,0,4,43,161,51,202,4,12,7,22,26,71,29,105,84,309,0,0,0,12,0,0,5,17,8,30,0,0,3,0,8,17,10,26,23,52,4,11,187,528
SSC32187,222,466,13,67,26,113,10,43,180,729,224,949,9,24,17,57,52,159,76,243,296,1195,3,19,12,69,10,27,118,353,144,462,9,34,17,35,69,158,93,220,234,687,16,44,775,2380
SSC32188,4,10,0,0,0,0,0,0,3,12,3,12,0,0,0,5,0,4,0,7,5,22,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,4,6,0,0,11,37
SSC32189,8,16,0,0,0,0,0,0,0,7,0,7,0,3,0,4,0,4,3,7,4,15,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,11,34
SSC32190,0,0,0,0,0,0,0,0,4,15,4,15,0,0,0,0,0,4,0,4,3,20,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,6,22
SSC32191,54,104,0,13,0,10,3,12,16,69,28,112,5,14,3,11,9,23,11,47,43,155,0,0,0,0,0,0,10,32,10,32,0,7,3,4,4,7,5,19,20,51,0,3,114,312
SSC32192,12,24,0,3,6,10,6,18,6,33,14,69,3,7,3,4,4,26,9,34,26,104,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,6,3,6,3,10,0,0,41,136
SSC32193,12,18,0,0,0,0,0,0,4,21,4,21,0,3,0,0,0,0,0,3,7,26,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,19,55
SSC32194,384,767,13,53,35,160,14,71,264,1051,326,1341,10,53,22,79,104,329,140,469,464,1804,3,22,10,45,15,41,118,317,149,423,7,14,19,35,102,225,126,280,274,701,28,50,1145,3325
SSC32195,101,196,3,13,7,25,0,13,19,76,32,133,0,3,3,15,12,47,24,60,52,196,0,0,0,0,0,0,5,11,5,11,0,4,0,0,8,9,10,19,10,31,0,3,160,417
SSC32196,15,29,0,0,0,9,0,0,3,10,4,15,0,0,0,0,4,9,4,9,10,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,7,3,7,0,0,23,60
SSC32197,1720,3376,58,344,296,1359,94,429,2125,8181,2582,10319,122,511,242,814,315,982,686,2302,3262,12615,17,84,95,330,41,138,463,1276,611,1821,25,82,79,172,181,375,281,626,895,2447,44,94,5914,18535
SSC32198,635,1239,6,41,36,182,13,58,290,1135,348,1414,25,91,25,84,92,289,145,464,495,1877,5,14,18,50,16,62,148,365,180,494,7,21,16,28,107,234,128,285,305,780,37,71,1469,3970
SSC32199,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SSC32200,156,311,4,35,20,92,11,31,74,272,109,433,18,70,15,37,51,173,80,282,186,711,0,0,3,12,4,12,33,83,39,113,0,3,3,4,22,47,24,55,62,166,5,6,409,1195
SSC32201,129,257,0,0,6,22,3,11,27,97,33,127,3,8,3,20,15,40,23,67,50,194,0,0,0,0,4,13,3,15,9,22,0,3,3,3,14,18,12,27,19,50,0,4,207,504
SSC32202,15,29,0,0,0,4,0,0,0,4,0,9,0,0,0,6,3,10,3,16,6,24,0,0,0,3,0,0,3,10,7,16,0,0,0,3,3,14,7,16,14,28,0,0,33,79
SSC32203,18,34,0,0,0,3,0,9,11,46,16,57,0,0,0,0,3,6,4,7,15,64,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,3,8,0,0,37,103
SSC32204,9,9,0,12,0,0,0,0,3,23,4,33,0,0,0,5,0,0,0,5,11,37,0,0,0,0,0,0,8,22,8,22,0,0,0,0,3,3,3,3,7,24,0,0,19,78
SSC32205,306,616,7,45,27,129,4,29,141,544,182,744,12,39,16,54,36,116,69,209,249,957,5,15,17,55,10,30,66,174,95,275,0,8,9,20,48,109,67,135,159,415,22,44,738,2032
SSC32206,540,1028,3,17,30,113,4,26,191,711,232,861,12,50,41,126,31,95,85,270,313,1127,0,0,20,56,0,0,88,209,102,269,7,13,34,68,52,105,91,186,193,451,28,48,1069,2661
SSC32207,441,876,10,47,39,164,5,28,320,1209,377,1446,25,103,37,121,59,196,122,416,494,1863,0,7,14,29,3,4,64,149,78,193,3,15,16,36,73,157,92,203,173,397,30,70,1146,3205
SSC32208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32209,262,533,3,16,20,81,12,71,114,420,146,586,6,29,15,38,67,208,88,268,237,856,0,0,10,30,11,28,71,195,87,248,3,6,12,26,52,112,70,144,156,390,8,17,660,1806
SSC32210,21,38,0,12,0,4,0,5,12,49,14,68,0,5,3,8,5,20,9,39,30,104,0,0,3,5,0,0,0,3,0,10,0,0,0,0,0,7,0,7,4,13,4,6,52,166
SSC32211,3,9,0,4,0,6,0,0,5,32,9,47,0,7,0,0,3,9,3,9,11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64
SSC32212,346,686,3,22,36,165,18,81,282,1082,342,1345,20,76,38,128,61,196,121,397,458,1740,0,5,9,29,4,12,50,123,58,167,0,4,9,28,39,86,50,118,112,278,14,23,929,2732
SSC32213,45,87,0,0,3,16,4,12,14,44,22,69,4,12,0,0,3,16,10,33,29,107,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,8,5,6,8,16,0,3,83,210
SSC32214,4,12,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,23
SSC32215,8,21,0,0,0,3,0,0,5,17,7,17,0,7,0,0,0,7,4,17,12,40,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,4,6,0,0,23,63
SSC32216,1450,2863,6,37,61,258,14,47,697,2511,779,2858,36,146,73,245,105,331,214,719,991,3580,3,12,19,54,6,26,168,391,192,485,18,45,66,141,167,349,250,538,446,1021,119,252,3012,7715
SSC32217,10,22,0,5,4,16,0,5,7,19,9,44,0,0,0,4,3,3,3,12,12,52,0,0,0,0,0,4,0,3,4,7,0,0,0,0,0,4,0,4,3,9,0,0,29,83
SSC32218,0,3,0,0,0,3,0,7,0,8,3,15,0,0,0,3,0,0,0,3,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25
SSC32219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32220,5,3,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,3,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18
SSC32221,0,3,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
SSC32222,45,83,0,0,6,21,0,0,27,88,33,115,0,7,0,7,4,23,14,36,45,154,0,0,0,0,0,0,9,21,9,21,0,0,0,0,0,0,0,0,9,21,0,0,91,262
SSC32223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32224,35,67,0,0,3,9,0,0,10,48,14,53,0,0,3,10,0,4,3,13,22,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,5,0,0,55,139
SSC32225,52,101,3,14,4,28,4,11,29,113,44,167,3,15,10,27,14,35,27,74,65,245,0,5,0,4,0,3,7,14,7,31,0,3,0,0,3,5,3,12,10,39,0,7,131,389
SSC32226,7,22,0,8,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,4,11,40
SSC32227,51,96,0,7,6,32,3,17,35,141,43,188,0,3,3,11,13,34,15,43,57,236,0,0,0,0,0,3,3,11,3,12,0,0,0,0,6,10,6,10,9,23,0,0,116,351
SSC32228,479,957,24,136,47,218,23,136,237,966,329,1465,10,48,32,90,86,270,125,407,462,1872,5,19,16,48,12,61,120,357,156,493,9,26,11,24,66,146,89,195,243,690,15,24,1193,3548
SSC32229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC32230,187,363,4,27,20,74,14,54,112,431,141,585,10,52,17,48,26,81,58,185,200,766,0,3,0,0,0,4,12,34,13,42,0,5,0,3,11,24,14,29,24,72,0,3,417,1206
SSC32231,7,13,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23
SSC32232,59,124,0,7,3,15,0,12,9,30,12,66,0,0,0,3,4,20,8,25,24,89,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,11,5,11,6,8,0,3,85,219
SSC32233,14,26,0,0,3,13,0,0,4,20,12,35,0,0,0,0,0,9,0,9,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65
SSC32234,0,3,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,3,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
SSC32235,26,59,0,0,3,14,0,0,18,66,15,79,0,0,0,3,0,11,7,8,20,85,0,0,0,0,0,3,3,11,5,14,0,0,0,3,0,4,3,3,9,21,0,3,56,167
SSC32236,17,34,3,13,3,6,0,0,9,22,10,39,0,3,0,0,0,0,0,3,11,47,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,5,10,0,0,35,89
SSC32237,143,283,3,7,16,64,3,12,49,202,70,290,4,19,14,46,16,50,32,118,102,403,0,0,0,3,0,0,11,28,9,32,0,0,4,7,5,18,15,24,23,58,3,3,276,747
SSC32238,7,16,0,0,0,0,0,0,8,20,8,20,0,0,0,0,0,4,0,4,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42
SSC32239,7,17,0,4,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24
SSC32240,0,3,0,0,0,4,0,0,5,12,3,14,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
SSC32241,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,7,13
SSC32242,5,17,0,0,0,0,0,0,0,4,0,4,0,0,3,3,0,3,4,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28
SSC32243,178,351,5,32,10,38,9,49,106,430,128,547,10,33,4,22,20,70,40,123,165,674,3,14,7,24,8,25,54,177,76,243,4,17,13,27,52,118,72,168,147,408,9,19,496,1451
SSC32244,3,9,0,0,0,0,0,0,3,23,3,23,0,0,0,0,3,5,3,5,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38
SSC32245,183,352,5,13,7,43,7,25,81,311,98,392,4,22,5,20,24,63,36,107,134,493,0,4,5,16,0,11,49,111,57,146,8,15,4,4,29,62,40,84,98,226,13,25,425,1097
SSC32246,387,755,10,55,31,122,15,70,247,947,308,1193,6,33,27,87,67,218,108,340,409,1530,3,6,11,35,8,20,44,120,66,185,3,8,8,16,34,74,43,95,109,280,13,28,919,2590
SSC32247,4,14,0,0,0,0,0,0,4,14,4,14,0,0,0,0,0,7,0,7,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35
SSC32248,3,3,0,0,0,6,0,0,4,13,7,15,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
SSC32249,24,50,0,4,0,0,0,10,16,86,22,101,0,6,0,0,3,8,3,12,22,108,0,0,0,0,0,0,4,11,3,9,0,0,0,0,0,5,0,5,5,14,0,0,55,171
SSC32250,22,41,0,0,0,6,3,7,18,76,22,92,0,4,3,7,4,3,3,14,31,101,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,7,3,7,3,3,55,154
SSC32251,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC32252,10,19,0,0,0,11,0,0,11,36,14,41,0,0,0,0,0,4,0,4,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67
SSC32253,1153,2306,51,293,230,1100,69,334,1277,5070,1622,6801,88,358,125,443,263,858,483,1663,2101,8465,13,61,56,205,22,99,252,743,338,1103,23,85,44,108,125,291,200,488,538,1586,35,71,3833,12429
SSC32254,301,596,6,32,53,229,11,50,307,1182,374,1491,20,74,31,103,58,178,104,352,474,1842,3,27,3,23,4,8,37,109,51,167,0,0,7,11,32,70,32,79,86,249,11,18,869,2706
SSC32255,693,1353,10,55,81,353,28,110,332,1294,446,1819,46,187,106,356,142,441,293,981,744,2808,0,14,14,50,10,27,82,213,108,298,8,26,34,71,62,134,109,232,215,528,25,47,1670,4736
SSC32256,33,60,0,0,4,18,0,0,20,82,22,103,0,5,3,8,9,28,15,44,36,145,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,0,0,0,3,12,0,0,74,226
SSC32257,10,19,0,13,0,0,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,17,48
SSC32258,24,54,0,4,8,25,0,0,9,35,12,63,3,6,3,4,6,19,14,33,28,96,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,8,3,12,0,0,56,162
SSC32259,16,37,0,0,6,16,0,10,11,38,17,60,0,0,0,0,3,7,3,7,18,61,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,3,0,3,3,20,0,0,40,117
SSC32260,1121,2242,25,133,154,683,48,224,851,3282,1075,4321,78,325,114,372,255,834,455,1531,1532,5852,9,44,34,111,25,88,273,707,341,949,25,93,55,122,200,422,277,642,618,1593,39,76,3308,9759
SSC32261,0,3,0,0,0,0,0,0,5,9,5,9,0,0,0,3,0,4,3,3,8,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,0,6,0,0,10,24
SSC32262,767,1535,13,94,110,512,14,71,658,2521,796,3201,43,174,70,244,141,437,251,860,1047,4058,0,0,28,90,11,22,107,318,143,432,17,49,33,70,115,253,163,372,309,803,38,93,2172,6492
SSC32263,6,11,0,0,0,7,0,6,4,12,8,28,0,0,0,0,0,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,0,13,38
SSC32264,116,226,0,6,5,11,0,0,20,86,21,105,3,9,4,13,15,47,19,64,43,168,0,0,0,8,0,3,11,35,14,47,0,0,3,3,7,22,13,25,22,73,0,0,181,471
SSC32265,141,269,0,3,16,60,8,36,52,194,69,298,5,16,13,35,26,76,40,132,111,425,0,0,0,3,0,4,23,60,22,70,0,0,7,9,3,7,4,14,29,85,0,3,281,780
SSC32266,198,391,3,10,12,56,7,22,137,527,160,616,10,37,11,39,48,152,72,226,229,846,0,0,7,31,5,27,65,183,79,242,3,9,10,30,44,92,62,129,145,372,14,19,578,1628
SSC32267,1213,2453,50,261,260,1192,100,476,1437,5604,1846,7532,129,547,181,603,346,1102,649,2252,2499,9781,20,85,77,263,47,154,338,939,481,1442,31,100,64,136,192,429,290,671,770,2115,43,94,4530,14440
