POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2659,4,9,16,126,168,95,102,126,77,699
POA2660,21,6,39,249,278,200,179,230,118,1253
POA2661,0,0,0,46,51,10,16,328,124,569
POA2663,50,21,101,622,787,440,382,747,1314,4293
POA2665,14,13,58,287,387,215,249,377,256,1768
POA2666,119,19,201,788,1115,615,577,1035,456,4594
POA2668,0,0,3,48,84,34,52,90,52,354
POA2669,12,12,34,243,289,141,187,270,178,1308
POA2671,48,75,175,607,756,405,350,610,554,3284
POA2672,17,9,46,197,229,155,139,300,203,1228
POA2675,22,9,50,243,304,131,131,284,183,1272
POA2678,0,0,0,158,65,4,0,90,3,332
POA2680,181,242,639,3774,4346,2128,1688,4498,2511,18955
POA2681,9,11,27,279,357,163,142,229,179,1357
POA2700,83,32,179,670,883,461,409,966,583,3980
POA2701,18,39,67,321,437,241,228,349,284,1861
POA2702,6,3,16,89,150,112,76,104,77,609
POA2703,4,3,16,146,132,67,65,237,80,729
POA2705,120,36,225,1526,2031,1012,826,1686,1031,8113
POA2706,5,0,12,158,200,119,105,212,122,919
POA2707,14,0,29,218,261,117,118,197,133,1049
POA2710,169,61,317,1508,2054,1044,875,1799,1051,8333
POA2711,25,22,64,465,632,312,290,609,462,2769
POA2712,41,14,60,192,247,128,138,263,177,1147
POA2713,64,19,106,420,512,294,231,493,332,2288
POA2714,44,33,102,384,534,302,263,532,302,2307
POA2715,16,7,35,210,283,120,140,291,145,1192
POA2716,12,0,30,144,190,107,113,215,152,914
POA2717,3,11,25,167,245,108,103,274,193,1087
POA2720,87,107,260,1055,1525,879,780,1296,955,6489
POA2721,3,0,5,27,32,27,28,38,31,193
POA2722,37,19,89,436,607,326,318,589,314,2583
POA2725,3,3,11,44,71,33,55,64,33,302
POA2726,0,0,3,34,55,17,20,38,20,187
POA2727,3,3,4,56,61,35,38,43,27,265
POA2729,4,8,37,257,343,184,158,277,115,1337
POA2730,22,12,50,194,284,165,117,281,151,1192
POA2731,87,36,171,1043,1327,673,505,1186,545,5282
POA2732,43,28,101,255,369,186,186,330,200,1527
POA2733,10,0,21,87,88,50,42,108,61,439
POA2734,0,0,0,94,74,52,47,50,50,374
POA2735,3,0,3,73,70,63,44,74,45,372
POA2736,4,0,10,41,76,42,26,81,55,325
POA2737,3,0,9,110,128,67,57,133,132,626
POA2738,4,0,19,295,323,186,137,208,122,1270
POA2739,5,0,12,205,303,117,118,224,133,1102
POA2745,74,27,164,5493,6447,2696,2108,4478,1288,22511
POA2747,253,52,451,7443,8698,3627,3058,7885,2351,33062
POA2748,7,0,16,365,382,172,174,378,115,1593
POA2749,44,17,99,3047,3522,1534,1315,2724,910,13055
POA2750,548,117,961,8036,9561,4142,3364,8207,2905,36214
POA2752,20,4,31,853,1063,511,451,749,223,3845
POA2753,200,92,410,3142,3561,1664,1399,2950,1242,13959
POA2754,60,21,114,1041,1262,574,514,938,292,4617
POA2755,0,0,0,65,30,10,10,31,86,230
POA2756,155,50,329,6249,7089,3327,2681,5298,2005,26651
POA2757,3,3,10,149,205,87,91,108,48,690
POA2758,56,14,120,1438,2061,1000,850,1048,652,7051
POA2759,68,23,132,4991,5442,2268,1896,5099,1246,20942
POA2760,171,126,430,5229,6031,2495,2378,7517,2633,26286
POA2761,187,15,255,5261,5360,2230,2133,7259,1381,23623
POA2762,6,3,35,877,1037,439,388,778,243,3761
POA2763,140,20,215,5631,6385,2739,2221,5682,1062,23728
POA2765,71,40,188,2537,3040,1463,1238,2735,2102,13119
POA2766,306,27,381,2525,2673,1163,1088,4129,797,12378
POA2767,92,22,183,3800,4196,1719,1577,5418,1113,17831
POA2768,69,6,114,5288,5815,2476,1917,4824,1772,22097
POA2769,20,3,35,2024,2408,1040,795,1631,397,8293
POA2770,217,75,422,8131,8673,3847,4450,15974,5010,46079
POA2773,35,16,94,1120,1552,759,495,651,255,4844
POA2774,54,21,148,2476,3253,1552,1124,1375,484,10263
POA2775,3,3,15,240,310,177,109,205,284,1320
POA2776,20,9,50,763,1003,519,327,441,140,3192
POA2777,338,67,583,3228,4373,2082,1529,2355,678,14245
POA2778,14,3,30,472,651,291,217,271,103,2009
POA2779,21,6,60,884,1237,607,417,554,182,3874
POA2780,164,51,325,2295,3314,1459,1045,2199,1023,11338
POA2782,96,12,176,987,1543,743,563,886,352,5076
POA2783,15,8,44,486,673,303,201,330,138,2135
POA2784,6,0,12,211,328,129,143,128,54,994
POA2785,33,8,88,792,1201,556,416,561,313,3832
POA2786,7,10,30,213,280,153,125,152,166,1090
POA2787,55,19,104,616,874,454,394,720,632,3689
POA2790,181,84,422,2160,3124,1620,1426,2829,2029,13176
POA2791,9,3,13,50,79,56,23,63,30,300
POA2792,4,0,11,52,81,40,39,63,44,320
POA2793,3,0,9,151,174,115,116,174,112,844
POA2794,191,72,410,1479,1999,1118,1029,1935,1014,8571
POA2795,360,213,905,7083,9163,4251,3346,6164,4188,34192
POA2797,4,0,10,91,95,35,50,51,26,344
POA2798,8,0,17,296,484,221,186,207,172,1567
POA2799,55,22,117,658,784,438,377,689,359,3297
POA2800,487,156,971,7418,9671,4370,3390,7354,3181,35379
POA2803,0,0,0,40,58,35,35,45,28,246
POA2804,53,7,81,367,520,286,266,485,210,2135
POA2805,0,0,4,51,77,48,43,70,23,316
POA2806,17,4,23,126,154,79,84,149,66,660
POA2807,0,0,10,57,59,38,61,82,65,360
POA2808,0,0,3,20,35,29,18,47,21,173
POA2809,0,0,3,30,44,21,15,35,55,197
POA2810,56,22,132,426,629,380,364,537,291,2618
POA2817,0,0,3,47,64,36,33,38,23,244
POA2818,3,0,6,121,179,106,77,101,84,669
POA2820,96,54,207,899,1186,595,559,1282,1513,6037
POA2821,61,26,119,652,880,473,443,797,490,3737
POA2822,0,0,8,52,92,53,48,59,52,351
POA2823,22,17,47,220,270,131,111,230,177,1139
POA2824,34,14,52,282,432,180,149,442,253,1743
POA2825,23,12,60,321,470,191,194,448,272,1892
POA2826,0,0,3,31,46,20,11,25,18,151
POA2827,67,27,126,503,645,376,368,740,364,3005
POA2828,3,12,26,104,124,67,90,156,116,652
POA2829,51,19,83,389,539,265,231,555,486,2471
POA2830,398,142,854,6537,8585,3913,3024,6629,3079,31770
POA2831,9,6,17,247,393,184,188,271,208,1486
POA2832,10,0,21,303,381,178,159,565,361,1948
POA2833,7,0,10,110,117,40,42,135,57,502
POA2834,14,10,39,315,393,197,209,503,383,1992
POA2835,37,17,71,577,773,386,356,657,498,3254
POA2836,5,4,9,105,125,70,62,243,98,699
POA2838,0,0,0,25,40,10,11,87,11,184
POA2839,7,3,21,185,183,115,96,297,160,1032
POA2840,16,10,40,295,415,190,167,504,495,2069
POA2842,8,0,11,83,123,66,82,101,54,506
POA2843,15,8,26,148,246,159,119,209,156,1037
POA2844,30,12,52,152,223,135,154,236,259,1169
POA2845,13,8,32,297,351,186,173,315,212,1539
POA2846,0,3,7,19,53,24,42,35,46,229
POA2847,25,12,44,310,409,271,264,438,319,2015
POA2848,10,9,38,148,299,174,191,339,239,1393
POA2849,17,0,33,198,330,174,191,231,175,1292
POA2850,191,52,363,2570,3577,1874,1630,2583,1748,13980
POA2852,25,15,61,440,639,359,367,542,424,2775
POA2864,0,3,14,105,166,87,95,128,52,636
POA2865,0,7,16,111,154,95,89,133,113,697
POA2866,55,18,90,439,609,290,308,479,261,2381
POA2867,4,0,11,91,111,69,63,76,51,466
POA2868,21,0,27,80,113,70,61,138,61,528
POA2869,26,8,45,203,273,137,128,297,169,1215
POA2870,142,108,351,1716,2323,1210,1068,2026,1193,9535
POA2871,131,53,253,1363,1785,913,811,1636,937,7447
POA2873,3,5,19,62,92,63,57,95,86,460
POA2874,4,3,13,57,81,43,55,74,48,358
POA2875,13,9,31,138,157,98,106,156,115,775
POA2876,0,0,7,64,71,43,29,53,57,327
POA2877,47,20,106,530,668,311,340,739,415,3003
POA2878,0,0,0,50,45,23,30,47,110,313
POA2879,4,0,10,69,101,42,70,145,100,522
POA2880,296,125,602,2416,3681,1764,1614,4033,1717,15221
POA2898,3,5,10,68,102,39,27,55,41,327
POA3000,30,13,83,9352,6216,1279,716,14567,4628,36762
POA3002,82,27,146,1563,1307,326,176,694,593,4667
POA3003,4,5,13,1490,1183,271,135,1188,860,5121
POA3004,80,103,243,2732,2204,580,310,1705,1204,8746
POA3005,0,0,0,138,81,23,10,93,135,479
POA3006,16,12,56,5438,3969,856,481,4737,2417,17902
POA3008,4,4,18,2550,2161,537,333,2854,1256,9695
POA3010,0,0,0,763,99,3,4,637,79,1582
POA3011,232,73,395,5050,4780,1367,956,4779,1847,18782
POA3012,186,111,465,5425,5698,1940,1419,5348,2010,21843
POA3013,127,67,317,3469,3732,1250,851,1971,866,12141
POA3015,169,37,316,3786,4336,1530,1039,2303,830,13817
POA3016,131,53,338,3259,3671,1536,1010,2242,896,12617
POA3018,140,71,373,2503,2915,1228,927,2169,848,10589
POA3019,68,24,111,1552,1407,568,552,2739,690,7505
POA3020,495,153,935,7266,7369,3084,2827,12892,3608,37050
POA3021,391,120,736,8449,8169,3468,3499,16393,4727,44705
POA3022,58,35,116,495,504,240,184,842,276,2544
POA3023,221,64,416,10155,10645,4429,4139,14564,4736,48664
POA3024,51,16,103,3899,4462,1856,1777,4101,1298,17388
POA3025,252,116,490,2070,2196,917,831,2835,1040,9899
POA3026,0,0,0,6,10,5,6,25,18,70
POA3027,7,0,10,1126,1348,512,476,1117,308,4897
POA3028,255,44,399,5247,5668,2408,2085,6798,1858,24055
POA3029,197,72,421,14373,16641,7321,6855,19269,5961,70414
POA3030,459,244,932,17061,19082,8329,7207,18681,5460,75828
POA3031,132,35,225,4567,4500,1165,740,3046,1595,15624
POA3032,168,37,358,6872,6559,2231,1537,5578,2011,24774
POA3033,172,96,387,2634,2961,1393,1160,2954,910,12020
POA3034,216,51,396,2044,2170,1107,910,2824,794,9847
POA3036,56,38,185,1154,1266,567,498,1107,332,4923
POA3037,270,137,478,8795,9057,3846,3432,11524,2642,39290
POA3038,183,32,324,5316,5367,2357,2052,6422,1371,22893
POA3039,229,41,397,3379,3317,1213,828,2438,808,11985
POA3040,286,88,685,6022,5761,2415,1587,4371,1503,21662
POA3041,98,76,329,2589,2729,1245,851,1932,775,10133
POA3042,171,70,464,3202,3292,1484,1116,2947,1043,13083
POA3043,160,45,314,3151,3474,1472,1275,4138,1259,14776
POA3044,449,135,973,5296,5974,2328,1845,4887,1758,22096
POA3045,0,0,0,13,7,0,0,10,73,98
POA3046,598,156,1100,5875,6342,2578,2216,8465,2538,28024
POA3047,143,43,279,2562,2541,1178,1307,6356,2227,16175
POA3048,99,13,134,2480,2188,986,1111,5871,1324,13950
POA3049,53,19,94,1766,1741,766,604,2208,593,7677
POA3050,4,0,3,8,6,3,0,25,51,100
POA3051,30,28,106,4114,3059,756,438,3274,1731,13372
POA3052,92,201,318,1593,1219,289,191,1219,762,5272
POA3053,114,19,169,4957,3282,724,426,6283,1768,17442
POA3054,55,21,138,2677,2276,677,353,980,540,7503
POA3055,140,40,293,3608,3572,1112,646,2394,923,12250
POA3056,201,39,378,7251,6386,1686,972,3989,1574,21866
POA3057,56,25,136,3562,3160,749,414,1628,796,10300
POA3058,425,75,855,7238,7795,2843,1953,6387,1966,28191
POA3059,30,8,64,2827,2779,1248,1110,3841,607,12407
POA3060,275,62,527,2015,2117,1042,1060,3817,969,11018
POA3061,40,12,83,664,612,296,349,1732,370,4034
POA3062,0,0,0,0,0,0,0,0,0,0
POA3063,3,3,5,99,108,80,40,98,40,461
POA3064,235,56,337,10972,11637,5016,5080,19403,3750,55861
POA3065,76,24,144,3115,2258,574,345,1563,1386,9250
POA3066,26,30,68,2510,1942,429,220,1361,1067,7535
POA3067,64,13,104,2688,2137,441,216,1300,763,7553
POA3068,89,45,231,5405,4861,1487,720,2116,1450,16035
POA3070,266,74,510,6162,6339,2024,1161,3267,1598,20552
POA3071,244,49,437,4516,4445,1521,1004,2909,1194,15589
POA3072,244,150,666,6987,7115,2654,1889,6392,2564,27596
POA3073,769,362,1755,8901,9817,3925,3350,12105,4158,42261
POA3074,197,44,381,3250,3135,1520,1455,6309,1484,17149
POA3075,168,62,388,3518,3669,1602,1472,6569,1609,18445
POA3076,265,56,393,5198,5382,2385,2293,8109,1846,25212
POA3078,72,35,190,2930,2995,1024,548,1650,698,9832
POA3079,231,61,448,3576,3828,1674,1038,2406,783,13306
POA3081,162,68,340,2444,2697,973,875,2744,1308,11042
POA3082,213,50,346,5564,5690,2454,2112,7243,1587,24647
POA3083,242,197,652,6115,6072,2576,1962,8148,2012,26892
POA3084,337,183,867,5075,6092,2733,1906,3655,1249,20716
POA3085,136,125,421,2825,3123,1389,961,2184,758,11243
POA3086,0,0,0,324,151,22,14,280,100,885
POA3087,79,27,195,1776,2077,872,674,1556,425,7378
POA3088,320,63,574,5466,6176,2890,1985,4155,1152,21822
POA3089,29,17,101,2541,2774,1221,848,1592,417,9390
POA3090,3,0,11,490,471,251,205,381,87,1888
POA3091,10,0,16,290,324,189,148,269,106,1321
POA3093,105,15,154,737,923,462,314,666,167,3270
POA3094,51,21,132,1893,2237,974,641,1125,353,7225
POA3095,110,77,317,5680,6503,3279,2055,3726,1050,22298
POA3096,50,6,58,399,436,176,160,352,96,1628
POA3097,5,3,10,258,349,172,118,159,104,1161
POA3099,17,3,46,929,1153,600,429,574,229,3920
POA3101,340,110,763,5860,5559,2232,1475,4015,1519,20655
POA3102,58,12,158,1415,1518,690,470,882,319,5294
POA3103,292,61,618,3406,3293,1627,1116,2770,677,12898
POA3104,252,72,678,4270,4156,2153,1548,3624,851,16603
POA3105,140,49,384,2220,2311,1081,782,2199,633,9232
POA3106,381,54,574,3312,3407,1708,1316,3544,744,14028
POA3107,292,57,507,2465,2883,1457,1081,2746,632,11266
POA3108,244,165,700,4252,4221,2111,1557,4740,1172,18052
POA3109,370,138,829,5704,5861,2827,2190,5872,1176,23637
POA3111,344,82,558,2421,2564,1274,968,2396,603,10235
POA3113,28,7,66,1727,1942,993,639,1075,389,6750
POA3114,13,3,38,843,798,436,337,526,123,3062
POA3115,7,3,24,819,868,429,310,550,155,3131
POA3116,63,27,159,2049,2177,968,814,1646,474,8127
POA3121,162,57,349,9882,7311,1823,1002,4831,2585,27437
POA3122,108,95,360,6483,5638,1673,1081,3966,1613,20455
POA3123,148,33,299,3631,3407,1224,738,2258,768,12030
POA3124,560,91,941,4932,5020,2339,1405,3566,959,18224
POA3125,260,93,576,3323,2961,1172,791,3979,847,13071
POA3126,200,27,330,1754,1828,836,577,1307,354,6654
POA3127,182,53,464,4209,4339,2042,1234,2536,684,15049
POA3128,201,143,540,4226,3978,1622,1049,4918,1278,17070
POA3129,169,61,437,3565,3907,1666,1158,3267,712,14270
POA3130,515,224,1262,6694,7143,3212,2293,5404,1471,26215
POA3131,356,159,831,4443,4847,2215,1553,4266,1193,18523
POA3132,99,51,299,3354,3891,1660,1144,2403,694,13140
POA3133,295,84,562,4456,4925,2460,1682,3880,756,18158
POA3134,452,108,818,6873,7324,3218,2320,5511,1401,26651
POA3135,185,65,437,4136,4615,2016,1391,3103,887,16147
POA3136,524,189,1088,9062,10288,4366,3136,7099,2259,36214
POA3137,248,64,446,2770,3054,1294,972,2423,784,11304
POA3138,102,87,299,4521,4838,2129,1550,3573,1022,17633
POA3139,40,36,146,2499,2987,1484,1205,1977,757,10911
POA3140,162,57,348,3348,3620,1614,1214,2790,874,13467
POA3141,113,57,298,8239,5779,1437,757,4533,2614,23359
POA3142,180,109,504,3338,2903,1061,738,2371,1067,11480
POA3143,95,43,237,2514,2102,722,496,1330,648,7817
POA3144,168,58,378,2607,2465,1003,667,1633,622,8997
POA3145,253,56,522,5181,5206,2095,1364,4428,1040,19311
POA3146,210,62,525,5881,5997,2525,1582,3403,1091,20484
POA3147,233,68,464,2869,3268,1391,855,2528,812,11719
POA3148,51,14,128,1895,1784,653,481,1926,566,7300
POA3149,343,124,1034,6746,7499,3500,2525,6036,1592,27906
POA3150,874,293,1818,11668,12450,6357,4684,12626,2456,50244
POA3151,125,36,269,2082,2118,1033,724,2393,459,8808
POA3152,685,129,1147,6836,7279,3217,2401,6815,1307,27857
POA3153,262,190,542,4081,4343,1802,1467,3890,1339,16918
POA3154,24,70,110,876,988,475,320,584,302,3541
POA3155,210,69,434,4482,5018,2108,1625,3896,1268,18395
POA3156,315,117,635,7619,8278,3759,2691,6548,1759,30652
POA3158,14,8,45,1332,1738,746,483,813,266,5381
POA3159,3,3,16,497,654,307,213,276,172,2116
POA3160,15,13,67,1836,2285,1041,650,1003,423,7229
POA3161,356,127,665,3655,3413,1280,742,2681,988,12760
POA3162,405,82,702,3969,3936,1522,838,3199,934,14388
POA3163,371,98,743,7468,7505,2613,1639,6577,1631,27430
POA3165,361,98,823,5510,6089,2587,1774,4569,1321,21853
POA3166,289,125,633,5060,5168,2066,1416,4842,1283,19832
POA3167,94,26,223,1897,1927,805,646,1947,524,7745
POA3168,290,98,511,4239,3444,1197,879,7148,1209,18127
POA3169,225,58,418,3654,3716,1526,1330,5683,1160,17075
POA3170,269,91,490,3558,3989,1814,1478,4124,1058,16027
POA3171,327,86,592,3630,3188,1368,1334,7123,1592,18235
POA3172,152,127,441,4186,4338,1951,1437,5748,1267,18929
POA3173,246,33,368,4628,4670,1951,1575,6728,1118,20679
POA3174,502,74,777,6384,6281,2671,2392,11430,2635,31790
POA3175,597,186,1096,8006,8141,3597,3367,15938,4388,43442
POA3177,94,51,204,1634,1607,693,691,3427,1062,9112
POA3178,163,49,380,7050,7253,3267,2289,6363,1216,27438
POA3179,14,3,25,1249,1295,581,439,1066,254,4880
POA3180,31,14,92,1537,1647,729,601,1297,335,6148
POA3181,376,67,555,6438,4695,1112,581,3716,2058,18597
POA3182,102,46,221,7055,5509,1219,625,3890,3327,21621
POA3183,106,37,263,5323,4276,1224,710,2578,1452,15567
POA3184,61,14,132,4658,3840,1082,549,1900,1372,13399
POA3185,169,35,321,3170,3048,1061,653,1860,726,10520
POA3186,459,136,953,5037,5107,2364,1512,3756,1444,19221
POA3187,403,170,873,3318,3503,1518,1039,2596,839,12810
POA3188,129,65,412,3973,4107,1795,1123,2410,1047,14468
POA3189,66,32,178,1147,1310,521,376,1099,395,4848
POA3190,121,41,310,2278,2382,985,621,1549,583,8399
POA3191,358,67,558,2186,2396,1019,617,1643,571,8437
POA3192,392,215,908,4591,5122,2033,1413,3880,1242,18280
POA3193,201,118,706,4152,4593,2297,1342,2502,996,15883
POA3194,188,95,440,2937,3134,1157,750,2166,711,10861
POA3195,348,126,773,7645,8302,3432,2172,5489,1736,28767
POA3196,318,225,747,5028,5901,2252,1609,4167,1854,20807
POA3197,117,62,269,2383,2583,1091,739,2026,794,9622
POA3198,113,94,346,3167,3706,1548,1089,2791,1431,13738
POA3199,716,254,1477,10357,12017,5154,3881,9501,4017,44925
POA3200,135,36,201,904,964,395,382,1383,669,4697
POA3201,204,135,420,3848,4202,1662,1318,4011,1499,16537
POA3202,17,47,77,545,615,247,158,488,192,2247
POA3204,338,85,717,6607,6953,2871,1806,4987,1366,24589
POA3205,139,36,234,2995,2632,707,419,1843,1064,9654
POA3206,84,39,217,2426,2560,897,581,1386,707,8555
POA3207,70,35,203,4229,4003,1185,698,2477,1379,13974
POA3211,4,0,8,190,287,134,120,204,140,1074
POA3212,139,37,257,2800,3316,1555,1314,2630,1718,13332
POA3213,11,3,30,729,805,412,362,643,243,3200
POA3214,173,94,396,3415,3919,1879,1796,5958,2351,19325
POA3215,354,271,852,3676,4334,1954,1592,4021,1701,17277
POA3216,969,293,1928,11073,12670,5849,4230,9333,3002,46155
POA3217,0,36,49,1341,1488,622,479,646,438,5013
POA3218,96,47,268,2814,3173,1263,892,2035,871,11051
POA3219,321,104,623,3615,4150,1903,1483,3934,1531,16619
POA3220,190,92,470,3483,3772,1690,1105,2507,1112,13670
POA3221,4,0,6,125,149,92,76,84,53,585
POA3222,224,67,447,2538,3166,1780,1445,2367,955,12262
POA3223,125,74,314,1087,1621,940,688,1387,774,6503
POA3224,138,53,319,2491,3146,1502,1159,2339,859,11490
POA3225,101,37,234,667,1057,530,364,573,342,3543
POA3226,171,56,353,2530,3415,1660,1149,1835,665,11260
POA3227,18,12,68,906,1125,560,383,443,314,3729
POA3228,138,32,264,3480,4125,1988,1376,2001,862,13836
POA3230,56,15,107,442,638,363,217,313,185,2160
POA3231,11,4,29,224,314,195,100,142,98,1077
POA3232,21,12,47,205,259,95,108,159,136,968
POA3233,19,8,52,318,492,265,195,288,213,1771
POA3234,0,0,0,31,53,30,16,14,15,156
POA3235,0,0,3,56,106,48,39,27,33,313
POA3236,3,0,3,28,65,28,17,40,27,205
POA3237,0,0,0,32,62,24,23,32,17,191
POA3238,0,0,0,35,58,43,16,19,21,190
POA3239,3,3,11,58,93,44,40,66,52,360
POA3240,5,0,7,349,424,269,201,223,128,1597
POA3241,53,14,91,396,527,280,263,442,211,2122
POA3242,0,0,9,125,210,100,79,94,62,667
POA3243,0,3,5,48,89,59,33,37,25,293
POA3249,16,10,43,489,692,380,340,418,252,2577
POA3250,230,82,460,1916,2473,1206,1014,2380,1040,10034
POA3251,0,4,7,95,94,50,57,75,62,438
POA3254,0,0,0,46,65,25,31,48,17,233
POA3260,66,37,149,713,984,561,442,813,442,3954
POA3264,37,20,82,335,428,218,212,431,260,1886
POA3265,8,9,29,416,510,265,266,357,246,2054
POA3266,50,16,94,495,569,308,304,581,243,2501
POA3267,0,0,0,38,47,28,26,36,26,199
POA3268,17,9,55,431,491,268,263,408,233,2095
POA3269,0,3,4,123,132,66,69,85,89,553
POA3270,4,7,9,48,50,26,25,34,20,208
POA3271,0,0,0,37,43,20,17,31,12,159
POA3272,33,16,63,214,299,163,151,289,130,1243
POA3273,0,0,3,20,28,16,17,21,18,112
POA3274,3,0,8,40,34,24,30,38,27,191
POA3275,0,0,7,78,88,52,30,66,29,340
POA3276,3,3,5,77,89,63,38,70,43,378
POA3277,4,11,32,332,388,198,176,227,195,1511
POA3278,3,0,3,37,61,43,28,39,31,241
POA3279,0,0,0,55,37,27,27,37,34,220
POA3280,444,193,953,5673,6742,3091,2372,5516,2539,25934
POA3281,3,0,11,278,380,209,161,151,125,1304
POA3282,9,7,31,364,511,290,210,323,185,1878
POA3283,3,0,12,206,306,158,138,142,114,1053
POA3284,77,30,150,494,785,432,316,508,304,2834
POA3285,3,0,14,171,257,177,121,159,113,1002
POA3286,9,3,20,82,108,61,54,92,59,457
POA3287,3,0,3,57,103,40,40,66,30,339
POA3289,23,0,34,112,136,86,90,136,52,612
POA3292,0,0,4,23,58,30,17,35,13,176
POA3293,0,0,3,33,57,35,37,42,37,241
POA3294,8,3,30,146,216,99,98,122,93,770
POA3300,148,112,404,1664,2225,1077,907,1744,816,8433
POA3301,6,4,16,197,263,134,148,131,78,950
POA3302,5,0,10,45,80,39,41,61,35,300
POA3303,0,3,3,43,56,34,35,59,36,266
POA3304,37,13,68,374,551,288,281,510,280,2285
POA3305,183,67,348,1810,2742,1429,1159,2328,1197,10673
POA3309,3,0,3,11,32,6,14,21,8,97
POA3310,0,3,8,50,68,35,33,33,29,245
POA3311,49,23,97,240,287,181,185,381,194,1467
POA3312,4,7,23,172,192,126,113,121,120,849
POA3314,3,0,3,78,117,78,63,58,39,421
POA3315,40,22,86,226,325,183,175,319,137,1367
POA3317,0,0,0,33,41,19,25,24,14,148
POA3318,19,24,62,206,266,165,118,182,136,1069
POA3319,5,0,7,59,82,30,43,68,19,305
POA3321,4,0,10,257,361,188,153,128,74,1162
POA3322,0,0,3,35,33,18,13,33,14,150
POA3323,0,0,5,8,24,13,5,19,8,76
POA3324,4,4,15,89,90,64,77,87,59,457
POA3325,4,4,21,79,90,40,54,69,52,388
POA3328,3,0,12,248,381,184,221,217,89,1333
POA3329,0,0,3,56,61,30,30,39,14,228
POA3330,0,0,3,27,33,28,28,47,13,171
POA3331,69,14,100,956,1325,580,519,764,327,4476
POA3332,3,0,4,144,209,95,110,143,78,773
POA3333,0,0,5,124,186,93,86,108,60,654
POA3334,3,3,12,77,109,52,63,90,78,462
POA3335,10,4,13,948,1087,404,386,1184,517,4522
POA3337,139,53,268,5802,6507,2914,2866,7391,2510,28005
POA3338,176,39,268,3696,4205,1859,1810,4579,1628,17774
POA3340,165,54,345,3681,4409,2095,1706,3539,1273,16707
POA3341,3,0,11,261,382,188,157,252,119,1356
POA3342,34,14,72,527,749,404,340,521,265,2805
POA3345,10,4,12,169,273,122,112,136,106,917
POA3350,666,214,1352,11076,13502,5954,4364,9375,3841,48109
POA3351,37,11,80,1255,1679,916,889,1162,584,6491
POA3352,50,37,158,2530,3381,1754,1578,2027,1342,12613
POA3355,220,90,485,1987,2503,1221,1087,2804,1149,10755
POA3356,219,74,436,2729,3285,1391,1343,3235,1225,13208
POA3357,20,11,51,607,824,455,324,398,263,2866
POA3360,4,4,9,109,154,80,95,134,80,659
POA3361,20,4,35,109,108,74,72,125,72,553
POA3363,86,42,154,492,683,381,316,610,390,2873
POA3364,7,3,31,319,462,222,238,274,262,1773
POA3370,15,10,44,228,380,240,206,294,175,1523
POA3371,7,4,22,135,190,131,107,174,136,873
POA3373,38,28,81,317,460,238,231,415,228,1882
POA3374,0,0,0,45,95,63,36,57,38,336
POA3375,0,0,0,25,37,12,34,20,29,160
POA3377,130,52,303,1399,1868,930,770,1665,1355,7978
POA3378,0,0,0,29,24,9,13,12,17,106
POA3379,12,4,14,108,126,80,79,127,145,666
POA3380,127,41,248,909,1313,615,516,1207,581,5137
POA3381,3,7,23,182,291,156,115,137,126,1016
POA3384,0,3,6,78,116,67,64,85,73,478
POA3385,0,0,7,87,121,62,71,75,23,438
POA3387,0,3,5,38,73,38,42,44,24,254
POA3388,16,4,31,95,123,65,53,103,34,475
POA3390,7,11,28,150,189,102,82,158,78,751
POA3391,3,0,6,14,35,24,22,39,9,145
POA3392,28,0,42,62,107,62,55,140,72,500
POA3393,71,28,143,405,520,312,247,495,267,2244
POA3395,7,3,13,51,82,44,51,54,39,322
POA3396,11,29,58,97,148,68,88,135,94,631
POA3400,222,83,521,2418,3069,1522,1167,2611,1068,11845
POA3401,10,9,54,687,934,587,426,585,271,3494
POA3407,3,4,10,70,99,54,43,53,39,353
POA3409,27,8,48,148,185,108,113,146,63,768
POA3412,0,0,5,48,58,44,29,51,23,260
POA3413,0,0,0,37,42,29,22,28,13,172
POA3414,37,29,92,272,366,222,191,310,217,1570
POA3415,0,0,0,9,13,3,5,9,0,37
POA3418,61,21,139,450,523,327,313,522,193,2325
POA3419,24,4,40,156,186,89,79,121,38,679
POA3420,0,0,3,51,43,24,30,32,23,213
POA3423,11,3,22,52,95,64,68,104,38,417
POA3424,18,3,34,117,157,85,98,127,59,640
POA3427,10,0,14,488,599,236,204,492,267,2294
POA3428,3,4,11,121,137,68,48,108,87,568
POA3429,290,104,607,6915,8124,3500,2751,5843,1967,29102
POA3430,0,0,0,55,73,35,30,35,36,260
POA3431,15,3,43,711,956,482,369,463,161,3133
POA3432,0,0,0,28,39,16,18,24,30,160
POA3433,0,0,4,30,53,29,19,35,20,176
POA3434,24,9,55,824,1119,536,467,710,366,4021
POA3435,12,6,42,444,626,311,295,371,262,2301
POA3437,65,53,174,1837,2316,1126,944,1267,631,8123
POA3438,33,9,55,390,529,284,213,265,118,1810
POA3440,3,0,21,347,416,257,194,226,160,1597
POA3441,4,3,14,215,336,163,131,156,68,1067
POA3442,34,50,123,1168,1755,910,645,768,666,5914
