POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2571,1082,2147,47,249,181,834,91,410,942,3730,1250,5225,90,382,123,412,326,1047,539,1837,1785,7066,5,27,25,105,14,59,142,378,187,569,12,35,31,66,145,315,187,414,378,985,33,68,3278,10262
POA2572,430,868,16,94,60,288,31,141,262,1076,375,1601,33,133,40,120,134,430,205,680,573,2280,3,24,10,48,6,17,59,155,77,239,6,23,18,43,70,145,93,205,170,446,16,27,1185,3622
POA2573,454,908,11,67,48,223,33,167,325,1303,416,1757,26,119,36,112,147,483,210,720,628,2475,6,32,27,108,13,46,90,256,143,440,10,27,25,60,101,210,135,303,274,741,12,27,1375,4151
POA2574,591,1180,20,118,80,380,50,225,338,1392,487,2114,30,118,51,178,188,616,268,912,759,3027,4,12,22,73,8,30,86,256,115,369,3,4,7,25,79,164,86,194,208,565,19,39,1567,4806
POA2575,1690,3334,31,200,178,815,62,300,915,3644,1191,4952,69,273,127,384,394,1251,587,1908,1776,6857,17,64,39,150,25,66,209,568,284,854,28,72,51,129,259,565,341,769,623,1618,47,100,4144,11908
POA2576,1977,3896,21,119,133,588,31,134,670,2681,855,3526,76,292,139,427,227,717,444,1440,1300,4961,3,24,52,181,23,74,146,399,223,672,17,66,46,98,171,352,234,508,457,1184,21,53,3758,10091
POA2577,1942,3798,36,198,152,700,52,250,850,3384,1089,4528,62,268,102,325,295,913,463,1510,1558,6039,10,30,55,202,25,95,214,573,299,894,23,74,62,137,197,421,287,633,590,1523,36,64,4122,11433
POA2578,434,847,4,19,26,135,7,28,110,440,152,625,12,43,12,52,35,107,60,202,210,830,0,6,17,50,4,14,36,100,52,164,3,10,17,30,28,65,45,100,104,268,7,16,755,1969
POA2579,585,1154,14,67,35,155,18,91,224,893,281,1203,10,45,24,86,95,299,133,427,417,1633,0,3,10,27,10,24,58,191,74,244,3,10,7,22,44,98,64,125,139,373,11,18,1142,3179
POA2580,3103,6155,63,328,281,1306,114,538,1536,6045,1986,8223,132,528,173,548,634,1977,933,3051,2922,11278,16,79,87,316,59,225,556,1528,720,2153,32,103,120,252,476,991,631,1350,1356,3499,116,240,7490,21168
POA2581,243,482,3,14,25,95,7,16,164,641,188,761,10,47,16,43,42,134,67,230,256,989,0,14,5,14,0,3,19,49,26,87,3,5,7,16,29,62,39,83,69,164,7,17,579,1659
POA2582,1391,2730,27,150,179,842,47,221,875,3466,1134,4675,59,234,112,370,267,853,439,1457,1572,6129,0,17,33,113,15,49,159,424,204,597,14,37,30,75,138,278,178,391,386,988,31,62,3377,9910
POA2583,585,1152,6,39,44,191,9,49,204,832,266,1114,21,86,34,100,112,361,166,551,430,1661,0,12,3,14,9,18,55,167,70,210,3,6,13,19,59,131,70,158,139,371,18,35,1167,3218
POA2584,68,134,0,7,4,14,0,4,39,158,48,185,3,12,5,8,5,26,10,40,62,228,0,0,0,7,0,0,6,20,12,35,0,0,0,3,10,16,6,21,18,54,0,0,149,417
POA2585,23,47,0,0,3,13,3,15,15,48,19,80,0,0,3,7,0,3,3,10,24,88,0,0,0,0,0,0,3,16,3,16,0,0,0,3,0,3,4,9,6,19,0,0,56,154
POA2586,346,682,6,28,36,152,5,29,110,475,161,681,12,39,28,88,51,151,89,274,245,951,0,10,10,40,9,29,30,78,49,160,0,3,10,20,39,80,51,102,97,258,10,21,701,1913
POA2587,403,790,0,19,31,154,7,29,144,575,181,773,9,32,20,66,56,162,82,260,266,1039,0,3,7,32,3,4,40,119,48,167,4,13,4,15,51,104,58,132,113,294,7,18,786,2138
POA2588,34,71,0,0,0,12,0,7,15,61,23,72,0,0,3,13,3,9,8,23,29,96,0,0,0,0,0,0,6,9,8,15,0,0,0,0,3,12,3,15,11,26,3,6,83,206
POA2590,983,1938,14,67,65,281,21,96,329,1344,430,1788,26,91,48,138,116,362,194,600,621,2387,3,13,24,77,6,25,127,372,155,489,0,10,21,41,98,208,121,262,282,749,24,45,1908,5121
POA2594,1218,2423,28,179,125,577,38,185,637,2605,831,3533,43,176,73,237,214,666,337,1082,1164,4614,9,38,47,168,25,90,267,774,342,1069,17,51,51,113,153,311,216,483,564,1550,45,96,2989,8690
POA2619,740,1453,24,117,206,949,36,166,835,3285,1105,4510,115,454,189,642,210,661,506,1752,1611,6263,3,15,21,61,3,3,117,294,144,386,12,44,33,63,86,185,136,296,278,679,13,25,2646,8415
POA2620,3778,7469,69,406,445,2070,116,550,2495,9492,3134,12517,213,880,375,1247,837,2657,1423,4784,4551,17304,19,106,69,239,57,184,632,1652,780,2187,58,179,137,304,552,1208,746,1692,1525,3874,150,314,10005,28970
POA2621,644,1263,7,49,95,438,24,106,494,1919,622,2511,38,152,82,265,137,454,261,877,887,3389,3,5,12,39,4,13,61,156,78,219,3,15,27,57,44,88,72,155,153,378,6,14,1691,5047
POA2622,517,1001,5,15,28,136,12,67,193,765,245,988,16,62,38,111,67,205,117,374,361,1363,0,3,7,23,4,7,63,157,72,193,3,9,8,15,39,84,51,109,129,300,5,6,1005,2677
POA2623,63,119,0,0,7,30,3,10,42,168,50,204,3,15,3,3,12,32,18,47,64,255,0,0,3,7,3,5,15,32,13,43,0,0,0,0,9,14,9,14,23,58,0,0,153,438
POA2625,30,55,0,0,0,3,0,0,14,52,15,56,0,0,0,0,4,6,7,10,19,65,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,3,0,3,48,124
POA2626,66,122,0,0,7,34,0,0,26,127,35,164,8,24,6,18,9,39,25,82,59,242,0,0,0,3,0,0,3,9,4,13,0,0,0,0,0,0,0,0,4,13,0,0,130,385
POA2627,445,865,4,25,47,197,10,33,303,1148,356,1401,16,71,35,103,46,150,100,321,455,1714,0,5,10,37,0,3,54,127,63,174,3,12,23,47,42,85,66,143,133,314,10,22,1049,2913
POA2628,218,431,4,18,26,115,3,20,128,504,166,654,9,37,16,43,35,113,61,187,220,841,0,0,0,5,0,0,30,76,31,74,0,3,8,13,23,48,34,66,61,143,5,11,508,1423
POA2629,96,193,0,0,3,11,0,0,18,81,21,95,0,4,0,5,6,24,10,30,32,128,0,0,0,0,0,3,3,7,3,10,0,0,3,5,3,9,8,10,7,20,0,0,141,337
POA2630,1021,1995,16,82,74,326,21,92,419,1653,522,2165,40,171,71,222,158,490,273,877,795,3044,3,17,22,72,13,55,148,413,189,561,13,31,35,78,144,303,194,414,379,971,24,56,2229,6058
POA2631,79,159,3,17,9,33,0,0,25,106,37,154,3,8,3,14,9,25,17,43,49,197,0,0,3,13,0,0,3,20,8,34,0,5,0,0,11,24,12,30,19,64,0,3,152,420
POA2632,224,442,3,10,15,76,3,15,113,446,137,550,3,16,14,50,29,92,52,159,182,705,0,0,3,8,0,0,19,65,27,81,3,4,3,3,34,67,37,77,56,153,8,11,474,1314
POA2633,48,92,0,0,3,12,0,0,17,58,20,69,3,10,0,6,11,28,15,40,26,111,0,5,0,0,0,0,6,14,4,16,0,0,3,6,7,9,5,14,12,31,0,3,96,234
POA2640,3715,7298,59,333,380,1766,93,400,2232,8695,2763,11191,182,726,322,1039,547,1685,1051,3450,3819,14638,17,76,125,422,51,174,658,1762,855,2444,37,109,153,329,432,915,625,1349,1479,3796,112,235,9120,25963
POA2641,1579,3126,21,99,128,641,42,196,767,2953,962,3892,65,268,98,327,250,797,418,1393,1375,5283,16,68,45,162,32,93,379,1040,464,1371,27,74,56,122,244,525,327,721,792,2083,50,107,3800,10609
POA2642,544,1067,10,57,55,269,12,71,310,1331,392,1729,30,136,45,149,107,340,192,622,576,2343,0,6,17,72,13,39,53,158,83,266,3,4,6,17,54,112,66,134,146,402,10,21,1282,3830
POA2643,365,718,3,18,30,140,5,22,144,592,187,777,8,46,12,47,58,165,83,265,267,1038,0,0,9,22,4,20,34,101,48,140,4,9,10,27,26,61,48,93,96,239,12,19,732,2013
POA2644,303,601,6,25,39,177,9,32,129,502,177,734,10,42,12,40,38,117,65,199,236,937,0,0,0,13,7,14,35,106,42,133,5,13,8,22,25,47,34,83,84,212,9,11,630,1758
POA2645,43,87,0,0,0,13,0,5,15,81,23,96,0,5,4,3,9,16,8,24,31,118,0,0,0,6,0,6,3,13,6,20,0,0,0,0,7,22,12,22,14,43,4,3,93,250
POA2646,889,1761,12,67,63,292,18,95,333,1355,431,1809,28,125,54,157,116,338,197,617,628,2432,7,12,19,68,3,23,109,305,144,409,15,40,15,28,79,158,110,230,251,640,26,48,1795,4882
POA2647,333,661,4,14,19,84,5,33,100,407,131,545,8,44,4,21,32,101,48,161,179,705,0,5,3,6,0,7,30,90,37,103,0,5,9,16,25,56,38,74,74,178,0,0,585,1555
POA2648,316,610,3,13,18,92,6,16,104,393,129,509,9,26,14,37,41,122,60,184,184,690,0,0,5,19,3,11,38,99,44,132,0,4,5,9,36,80,44,95,88,223,3,6,596,1525
POA2649,5,11,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
POA2650,5690,11195,117,668,692,3271,197,927,3446,13767,4456,18623,237,983,460,1452,959,2997,1662,5429,6122,24054,34,159,208,772,113,422,1115,3100,1470,4460,91,263,209,448,811,1721,1106,2435,2580,6900,234,496,14622,42647
POA2651,176,342,0,15,23,95,12,46,170,668,203,832,14,54,12,39,23,68,49,154,250,985,0,3,9,39,0,5,56,156,71,207,0,4,6,16,29,64,45,91,107,300,10,20,541,1643
POA2652,519,1017,10,37,47,211,19,73,270,1104,341,1432,19,69,39,115,108,321,162,503,502,1940,0,8,11,41,10,21,68,188,89,262,10,24,3,10,65,154,82,190,172,451,11,27,1202,3433
POA2653,333,649,3,22,22,86,6,27,120,487,152,633,3,20,15,59,43,123,66,202,217,832,0,0,11,38,0,4,39,104,53,153,0,8,4,10,24,52,35,74,84,222,10,13,639,1723
POA2655,140,276,3,9,16,69,8,36,86,366,107,483,10,34,7,16,31,87,41,144,154,624,0,0,0,11,0,4,15,35,18,49,0,3,3,6,21,50,32,64,43,113,3,7,343,1020
POA2656,155,308,5,16,18,79,4,13,71,277,88,392,4,10,7,26,15,57,33,96,123,486,0,3,0,0,0,0,21,64,21,69,0,4,7,13,12,34,23,49,48,117,3,9,330,911
POA2658,167,325,7,26,15,77,14,56,76,346,108,500,3,22,14,37,14,55,34,110,144,612,0,0,4,9,4,14,23,67,28,89,0,0,3,0,21,42,27,45,55,136,3,5,365,1080
POA2659,104,202,0,8,13,49,3,18,54,228,74,300,3,11,8,18,10,36,19,72,95,374,0,0,6,17,0,0,12,32,13,48,0,10,6,18,9,25,17,46,31,89,0,0,227,668
POA2660,181,353,8,39,18,106,7,22,86,368,121,540,7,29,9,26,25,69,40,119,160,661,3,12,6,14,3,10,33,96,44,130,0,3,3,6,21,39,25,50,69,182,3,5,413,1206
POA2661,16,28,0,0,0,3,0,0,31,111,27,111,0,0,0,0,0,0,0,0,27,111,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,44,141
POA2663,414,831,9,33,36,166,19,94,217,930,285,1225,11,51,24,81,92,296,132,430,414,1657,3,18,10,36,15,50,86,271,113,371,5,16,19,43,76,152,96,208,216,583,18,33,1064,3102
POA2665,260,509,3,22,31,120,6,21,127,553,166,717,12,39,18,51,41,123,71,217,233,931,0,0,8,29,0,3,29,77,34,108,3,8,3,10,20,43,26,56,59,158,5,14,567,1618
POA2666,693,1376,14,83,70,345,14,62,292,1238,391,1729,22,79,37,116,122,384,181,578,573,2309,3,23,17,63,11,30,87,247,119,366,4,22,17,41,81,176,112,234,233,603,9,25,1513,4309
POA2668,53,103,0,7,3,21,0,10,24,110,33,142,7,20,3,13,8,19,14,46,43,187,0,0,3,8,0,0,12,37,14,44,0,3,0,3,11,17,13,24,27,64,0,4,122,356
POA2669,195,389,4,13,22,91,3,13,87,394,112,512,11,29,13,23,23,75,45,132,163,643,0,3,6,14,3,10,20,60,29,89,3,4,3,3,29,60,35,70,63,157,6,10,422,1194
POA2671,478,955,8,50,39,184,11,46,221,931,282,1214,15,48,23,69,62,182,96,298,373,1514,0,0,7,34,0,12,78,217,89,251,4,17,15,31,48,100,67,145,154,400,11,25,1023,2898
POA2672,151,302,0,7,16,83,3,18,84,361,113,477,5,32,6,14,21,59,34,108,145,580,0,6,4,17,7,15,37,102,45,136,5,15,4,9,30,63,34,90,82,225,12,23,379,1129
POA2675,175,340,0,6,17,61,10,33,93,375,119,478,7,10,10,27,21,67,37,107,159,583,0,3,3,11,0,0,22,46,25,60,0,0,3,11,22,47,28,52,51,117,4,10,388,1051
POA2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2680,2181,4335,67,389,281,1286,105,465,1489,6037,1940,8176,114,476,162,495,538,1775,810,2739,2746,10918,10,60,52,203,51,186,366,1057,477,1517,27,81,54,118,321,703,401,900,879,2418,93,206,5903,17873
POA2681,175,342,7,18,23,90,7,47,110,449,145,608,8,39,14,36,50,149,71,222,211,832,0,3,0,6,0,3,29,74,32,91,0,8,3,10,17,35,28,55,57,142,8,13,450,1322
POA2700,514,1008,9,47,40,199,16,74,241,985,309,1299,18,72,34,104,86,268,142,448,450,1738,0,9,15,53,14,54,99,281,130,388,3,12,16,36,73,153,89,198,225,590,13,32,1197,3371
POA2701,264,520,12,64,36,182,9,37,125,511,178,789,13,44,19,57,45,141,77,249,258,1039,0,6,7,22,3,4,46,154,60,189,6,15,4,9,13,34,26,59,77,247,9,23,611,1832
POA2702,92,184,0,6,20,86,3,12,43,172,66,279,0,6,3,7,10,46,19,57,79,337,3,8,0,0,0,0,13,37,13,48,0,0,0,0,7,20,9,19,21,73,4,8,200,603
POA2703,63,119,0,0,4,27,0,9,34,129,42,162,3,13,3,6,13,44,22,62,59,230,4,18,3,8,0,0,16,42,21,70,0,0,3,4,14,27,13,31,33,95,0,0,156,450
POA2705,1047,2093,25,137,105,512,40,202,559,2250,730,3105,50,211,75,232,211,679,334,1113,1065,4220,3,22,33,112,17,69,182,520,234,730,5,24,28,58,138,290,170,370,410,1103,37,83,2559,7502
POA2706,117,234,0,8,11,53,9,43,57,210,76,315,7,28,5,11,23,85,35,128,119,440,0,0,0,9,0,4,35,101,36,117,0,0,3,6,27,52,24,56,64,171,14,29,310,874
POA2707,128,258,3,14,22,79,4,19,78,319,104,431,3,11,15,39,29,83,44,137,146,568,0,0,4,12,3,20,16,53,24,84,3,4,5,12,6,15,14,39,39,120,5,6,324,955
POA2710,1229,2424,12,74,86,419,37,180,512,2038,651,2719,39,150,66,203,149,452,251,803,901,3525,3,21,25,91,13,49,166,451,213,614,15,47,44,88,143,303,202,443,416,1060,42,80,2590,7083
POA2711,378,732,12,47,34,147,9,30,162,653,217,880,15,45,22,59,66,206,98,311,313,1191,3,6,9,35,7,13,60,145,73,201,6,15,3,5,52,109,64,135,136,336,8,16,838,2273
POA2712,153,305,0,4,13,76,3,17,55,216,70,313,6,29,8,35,29,95,45,153,118,467,0,7,4,9,3,6,20,51,26,67,0,0,7,12,5,10,10,26,32,92,0,7,311,868
POA2713,337,660,5,33,25,128,15,64,132,551,176,779,5,31,15,41,43,121,60,193,232,968,0,3,7,31,3,14,40,116,56,157,0,6,10,26,35,73,50,106,108,266,7,8,683,1900
POA2714,422,823,3,18,21,92,8,19,129,523,155,658,8,26,19,55,34,105,57,187,215,838,0,4,5,28,3,12,47,115,56,163,0,3,4,7,29,63,35,75,91,235,6,16,726,1913
POA2715,173,338,8,36,11,65,5,19,81,335,105,454,10,30,8,20,29,75,38,128,141,577,0,0,3,17,3,4,24,76,33,96,0,0,3,9,32,59,34,64,65,161,7,11,387,1089
POA2716,137,262,3,18,10,56,5,11,44,182,66,273,0,8,17,36,23,68,43,114,105,389,0,3,3,3,0,3,18,38,18,57,0,4,3,4,13,25,13,37,37,87,0,3,279,749
POA2717,142,282,3,30,11,45,7,29,43,181,63,289,6,33,8,25,28,78,44,137,102,426,0,4,4,25,0,14,33,108,45,149,3,8,3,5,30,67,34,80,79,235,12,17,337,963
POA2720,919,1823,12,73,80,353,26,126,444,1781,569,2329,31,117,58,174,151,464,239,757,801,3087,7,35,20,85,14,50,140,376,177,543,9,37,27,44,127,264,159,343,344,885,31,65,2099,5870
POA2721,30,61,0,0,5,20,0,3,11,51,17,72,0,3,0,0,9,22,7,23,25,93,0,0,0,0,0,0,0,11,0,11,0,0,0,3,0,6,3,10,8,20,0,0,57,170
POA2722,372,726,15,63,35,170,18,87,161,662,226,978,11,44,22,61,56,182,90,284,319,1268,0,9,15,47,3,18,62,166,77,240,3,17,10,19,50,97,63,134,139,372,16,38,848,2400
POA2725,47,94,0,0,0,0,0,0,25,102,25,102,0,0,5,13,7,18,8,31,34,133,0,0,0,5,0,0,3,13,7,13,0,3,0,5,8,20,12,24,16,39,0,3,101,275
POA2726,26,56,0,0,0,8,0,3,12,53,15,61,0,0,0,3,4,17,6,22,23,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,4,59,151
POA2727,34,73,0,0,9,31,0,11,22,108,38,150,0,3,0,3,6,13,7,21,46,168,0,3,0,3,0,3,0,10,7,16,0,0,0,0,0,3,0,3,6,18,0,0,84,264
POA2729,203,400,4,27,24,105,3,6,113,462,148,608,5,17,17,62,24,89,49,168,194,775,0,0,7,30,0,0,21,62,30,87,0,3,3,8,19,38,21,51,52,135,7,10,458,1322
POA2730,197,380,0,5,15,58,3,22,58,224,76,302,4,15,7,19,17,62,31,91,100,397,0,0,3,9,4,14,19,46,26,76,3,12,3,7,29,55,35,78,61,146,3,10,368,934
POA2731,864,1704,11,55,78,345,13,62,382,1516,482,1981,29,116,45,140,93,286,168,540,651,2519,3,14,19,59,3,4,79,215,105,292,7,17,14,38,65,141,92,194,191,490,16,30,1724,4740
POA2732,266,531,4,12,17,80,6,31,69,278,95,404,7,16,13,33,29,80,45,132,134,530,0,0,6,14,4,11,23,54,27,76,0,0,0,7,9,27,12,25,41,107,3,7,451,1180
POA2733,77,145,0,0,3,8,0,8,28,105,31,124,0,0,3,7,14,35,13,42,43,165,0,0,0,3,0,0,13,33,16,37,0,0,0,3,4,7,4,10,19,46,0,3,143,364
POA2734,53,110,0,0,11,33,0,0,29,118,35,149,0,5,6,13,16,43,21,63,56,212,0,0,0,0,0,0,0,3,0,3,0,0,0,5,4,9,5,8,4,13,0,0,117,335
POA2735,55,109,0,12,7,54,0,3,19,81,34,148,0,8,3,8,7,29,18,46,48,196,0,0,0,0,0,0,3,8,3,8,3,11,3,6,7,12,11,28,16,33,3,7,117,340
POA2736,56,110,0,7,6,19,0,0,21,81,26,101,4,11,0,3,3,9,5,23,32,131,0,0,0,0,0,0,3,3,3,3,0,0,0,4,4,5,3,13,10,15,0,3,96,261
POA2737,75,152,3,10,10,54,3,21,51,240,69,318,4,18,4,19,17,57,29,90,93,406,0,0,3,12,0,3,10,24,11,38,0,0,3,3,6,10,6,20,23,53,4,8,198,625
POA2738,189,367,5,26,29,132,3,24,133,541,175,720,6,28,16,53,32,99,53,173,229,894,0,3,3,12,0,0,16,41,19,63,3,7,4,8,12,21,19,40,33,97,3,4,449,1362
POA2739,138,270,3,14,9,39,7,26,87,362,106,443,9,35,4,19,32,89,43,135,153,580,0,0,8,15,3,7,27,76,32,102,0,0,3,9,14,34,16,44,52,141,3,9,348,998
POA2745,2217,4464,107,598,475,2203,173,802,2385,9500,3142,13109,319,1402,352,1259,853,2794,1523,5460,4662,18567,20,84,94,345,46,158,442,1198,602,1784,48,152,105,244,357,825,505,1226,1109,3005,66,137,8053,26177
POA2747,3536,7169,122,694,438,2185,202,961,3051,11891,3813,15736,223,954,281,964,1066,3481,1567,5391,5381,21130,31,163,126,475,89,320,951,2682,1201,3632,84,266,163,365,818,1798,1064,2430,2263,6068,181,371,11353,34737
POA2748,157,322,9,74,25,136,11,74,74,313,125,588,32,136,28,105,97,307,157,548,284,1135,5,13,6,22,0,0,20,52,30,89,0,5,0,7,29,64,32,69,64,157,3,11,505,1634
POA2749,1324,2644,47,255,223,1088,101,478,1182,4653,1552,6484,132,575,138,484,517,1739,787,2797,2340,9281,12,55,61,217,40,150,362,1066,475,1475,51,159,65,150,309,682,418,987,896,2466,61,134,4619,14523
POA2750,4134,8288,90,510,413,1963,177,812,2756,10851,3434,14127,280,1192,329,1128,1086,3561,1693,5878,5126,20011,26,123,145,505,94,324,925,2465,1190,3419,91,310,218,494,921,2001,1227,2809,2414,6231,201,423,11871,34953
POA2752,395,794,26,128,60,273,34,174,352,1435,464,2013,52,233,41,144,196,644,288,1016,752,3031,5,14,17,48,5,26,70,194,94,279,4,13,19,49,54,113,75,176,165,453,10,23,1319,4302
POA2753,1459,2947,41,214,208,1010,102,473,920,3715,1263,5417,130,539,134,447,509,1701,770,2686,2035,8105,15,67,51,178,36,125,262,723,358,1097,32,95,71,162,329,731,431,991,786,2087,72,153,4350,13281
POA2754,558,1123,17,116,39,191,41,208,321,1250,425,1761,43,189,60,199,161,521,257,906,684,2667,6,16,20,74,9,29,104,279,133,396,14,35,24,49,126,275,158,367,294,765,13,35,1549,4583
POA2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2756,2820,5692,109,636,390,1857,202,934,2348,9309,3049,12737,263,1133,269,890,1028,3355,1553,5375,4604,18108,22,87,129,474,80,257,564,1541,793,2357,70,234,121,258,600,1293,789,1776,1584,4131,97,220,9107,28155
POA2757,105,204,4,23,9,32,18,75,46,183,68,320,3,17,14,39,21,53,36,114,104,428,0,0,0,5,3,16,12,32,16,57,0,9,0,7,13,25,16,35,31,88,0,0,241,729
POA2758,905,1800,34,190,136,669,54,230,526,2126,754,3220,82,350,103,340,276,925,460,1618,1216,4836,3,17,12,41,5,15,82,205,97,276,9,23,28,62,100,214,135,299,230,576,12,26,2367,7240
POA2759,1999,4030,74,465,336,1660,155,722,1695,6793,2265,9642,289,1230,293,1021,1159,3868,1736,6116,4004,15755,22,114,72,291,45,152,450,1248,586,1810,73,233,92,214,488,1110,649,1550,1230,3362,78,172,7319,23317
POA2760,2476,5045,100,616,317,1615,141,674,2229,8782,2788,11691,183,819,204,706,697,2316,1085,3840,3877,15528,49,242,117,460,95,331,820,2442,1080,3471,67,220,131,297,817,1854,1011,2370,2088,5849,188,417,8635,26839
POA2761,1609,3313,139,832,578,2789,179,844,2312,9321,3211,13785,398,1742,441,1550,948,3223,1790,6513,4997,20298,26,123,118,463,64,240,497,1450,707,2281,74,254,121,299,434,1007,632,1559,1336,3837,96,214,8040,27664
POA2762,376,752,20,101,59,300,20,85,470,1798,565,2282,35,155,32,96,139,445,201,703,772,2990,0,3,16,60,7,45,76,207,102,315,15,49,16,37,64,134,93,220,194,535,20,40,1358,4318
POA2763,2030,4161,73,390,456,2132,131,591,2794,10819,3445,13927,330,1419,412,1449,894,2985,1630,5856,5081,19790,26,125,105,362,42,156,436,1177,603,1819,82,268,142,325,484,1087,705,1678,1309,3493,97,216,8518,27659
POA2765,1250,2531,57,318,175,843,67,345,903,3618,1202,5121,123,544,124,421,547,1826,797,2797,1995,7917,11,65,36,129,26,109,243,698,316,999,30,95,60,139,260,583,346,820,663,1818,66,135,3981,12409
POA2766,986,2039,54,309,263,1308,76,357,1023,4108,1417,6079,172,774,190,668,445,1527,806,2964,2217,9049,14,81,42,177,39,157,189,581,290,986,56,183,62,137,263,604,374,921,667,1914,57,135,3932,13132
POA2767,1431,2928,69,416,333,1567,84,430,1579,6159,2069,8570,255,1113,315,1141,752,2526,1326,4781,3393,13355,11,78,76,307,69,266,381,1151,542,1795,58,212,79,187,464,1077,607,1474,1145,3268,106,222,6078,19773
POA2768,1630,3299,81,453,594,2744,116,532,2657,10381,3444,14118,352,1482,482,1739,735,2449,1568,5669,5011,19786,9,48,82,293,25,77,257,680,370,1106,55,186,93,250,257,604,412,1034,784,2135,67,155,7499,25377
POA2769,710,1437,23,123,187,851,30,131,1579,6059,1820,7165,75,325,144,497,211,702,432,1523,2247,8689,0,7,17,64,5,25,100,248,128,344,15,43,33,79,74,172,123,294,247,636,16,42,3220,10806
POA2770,3408,6974,259,1609,696,3633,353,1862,3279,13572,4585,20679,410,1843,392,1383,1542,5190,2344,8415,6929,29099,140,703,308,1332,290,1187,1871,5791,2606,9019,190,670,260,569,1511,3524,1954,4764,4564,13780,342,788,15248,50636
POA2773,607,1202,18,77,101,472,18,76,389,1581,525,2207,55,232,93,335,170,538,320,1104,841,3313,3,12,10,41,0,0,53,141,64,198,13,47,22,61,69,145,112,250,180,447,18,35,1638,4995
POA2774,1340,2666,33,208,184,847,41,185,931,3649,1188,4899,87,384,167,592,390,1246,652,2220,1837,7114,7,26,32,106,14,65,174,473,230,677,27,73,50,111,209,451,282,641,516,1316,42,82,3731,11183
POA2775,176,349,3,19,10,36,5,26,55,210,76,284,8,26,3,18,30,100,42,149,120,430,0,0,3,13,3,4,12,38,19,50,0,0,3,8,10,26,17,37,40,86,3,3,333,875
POA2776,420,830,14,62,73,317,10,57,285,1142,379,1586,23,91,47,157,99,303,165,551,548,2135,0,8,9,32,4,12,64,163,70,206,12,42,27,57,69,145,110,241,179,448,11,27,1158,3446
POA2777,1866,3719,37,206,253,1182,61,271,1173,4649,1523,6308,158,627,233,785,433,1343,823,2751,2345,9063,4,22,60,215,12,42,208,547,293,834,31,88,86,178,243,514,355,777,651,1614,48,101,4903,14497
POA2778,290,580,5,24,30,149,5,34,137,551,186,764,24,83,41,150,58,178,123,413,308,1173,5,16,8,26,4,17,22,64,36,123,8,17,7,22,37,83,58,122,93,241,3,7,694,2011
POA2779,451,890,8,54,68,319,17,90,376,1486,473,1956,35,145,45,142,105,345,181,627,657,2582,4,17,14,55,10,26,85,242,117,344,10,30,36,75,71,151,118,260,236,600,6,18,1349,4091
