LGA_NAME16	IndigenousStatus	persons
Greater Shepparton (C)	Both Aboriginal & Torres Strait Islander	67
Greater Shepparton (C)	Non-indigenous	61648
Greater Shepparton (C)	Torres Strait Islander	61
Hepburn (S)	Aboriginal	145
Hepburn (S)	Non-indigenous	15182
Hepburn (S)	Torres Strait Islander	3
Hindmarsh (S)	Aboriginal	78
Hindmarsh (S)	Both Aboriginal & Torres Strait Islander	4
Hindmarsh (S)	Non-indigenous	5639
Hobsons Bay (C)	Aboriginal	452
Hobsons Bay (C)	Both Aboriginal & Torres Strait Islander	16
Hobsons Bay (C)	Non-indigenous	88288
Hobsons Bay (C)	Torres Strait Islander	22
Horsham (RC)	Aboriginal	270
Horsham (RC)	Both Aboriginal & Torres Strait Islander	3
Horsham (RC)	Non-indigenous	19352
Horsham (RC)	Torres Strait Islander	17
Hume (C)	Aboriginal	1326
Hume (C)	Both Aboriginal & Torres Strait Islander	33
Hume (C)	Non-indigenous	195921
Hume (C)	Torres Strait Islander	96
Indigo (S)	Aboriginal	186
Indigo (S)	Non-indigenous	15750
Indigo (S)	Torres Strait Islander	16
Kingston (C) (Vic.)	Aboriginal	523
Kingston (C) (Vic.)	Both Aboriginal & Torres Strait Islander	16
Kingston (C) (Vic.)	Non-indigenous	150810
Kingston (C) (Vic.)	Torres Strait Islander	40
Knox (C)	Aboriginal	710
Knox (C)	Both Aboriginal & Torres Strait Islander	8
Knox (C)	Non-indigenous	153357
Knox (C)	Torres Strait Islander	35
Latrobe (C) (Vic.)	Aboriginal	1102
Latrobe (C) (Vic.)	Both Aboriginal & Torres Strait Islander	37
Latrobe (C) (Vic.)	Non-indigenous	72073
Latrobe (C) (Vic.)	Torres Strait Islander	45
Loddon (S)	Aboriginal	102
Loddon (S)	Both Aboriginal & Torres Strait Islander	7
Loddon (S)	Non-indigenous	7402
Loddon (S)	Torres Strait Islander	5
Macedon Ranges (S)	Aboriginal	275
Macedon Ranges (S)	Both Aboriginal & Torres Strait Islander	5
Macedon Ranges (S)	Non-indigenous	45803
Macedon Ranges (S)	Torres Strait Islander	17
Manningham (C)	Aboriginal	182
Manningham (C)	Both Aboriginal & Torres Strait Islander	8
Manningham (C)	Non-indigenous	116040
Manningham (C)	Torres Strait Islander	25
Mansfield (S)	Aboriginal	60
Mansfield (S)	Non-indigenous	8521
Mansfield (S)	Torres Strait Islander	3
Maribyrnong (C)	Aboriginal	399
Maribyrnong (C)	Non-indigenous	81859
Maribyrnong (C)	Torres Strait Islander	30
Maroondah (C)	Aboriginal	534
Maroondah (C)	Both Aboriginal & Torres Strait Islander	10
Maroondah (C)	Non-indigenous	109807
Maroondah (C)	Torres Strait Islander	25
Melbourne (C)	Aboriginal	421
Melbourne (C)	Both Aboriginal & Torres Strait Islander	25
Melbourne (C)	Non-indigenous	135488
Melbourne (C)	Torres Strait Islander	25
Melton (C)	Aboriginal	1228
Melton (C)	Both Aboriginal & Torres Strait Islander	20
Melton (C)	Non-indigenous	134160
Melton (C)	Torres Strait Islander	35
Mildura (RC)	Aboriginal	1963
Mildura (RC)	Both Aboriginal & Torres Strait Islander	44
Mildura (RC)	Non-indigenous	51813
Mildura (RC)	Torres Strait Islander	58
Mitchell (S)	Aboriginal	620
Mitchell (S)	Both Aboriginal & Torres Strait Islander	10
Mitchell (S)	Non-indigenous	40269
Mitchell (S)	Torres Strait Islander	19
Moira (S)	Aboriginal	466
Moira (S)	Both Aboriginal & Torres Strait Islander	11
Moira (S)	Non-indigenous	28616
Moira (S)	Torres Strait Islander	19
Monash (C)	Aboriginal	367
Monash (C)	Both Aboriginal & Torres Strait Islander	19
Monash (C)	Non-indigenous	182211
Monash (C)	Torres Strait Islander	21
Moonee Valley (C)	Aboriginal	389
Moonee Valley (C)	Both Aboriginal & Torres Strait Islander	17
Moonee Valley (C)	Non-indigenous	116241
Moonee Valley (C)	Torres Strait Islander	24
Moorabool (S)	Aboriginal	347
Moorabool (S)	Both Aboriginal & Torres Strait Islander	8
Moorabool (S)	Non-indigenous	31453
Moorabool (S)	Torres Strait Islander	10
Moreland (C)	Aboriginal	734
Moreland (C)	Both Aboriginal & Torres Strait Islander	30
Moreland (C)	Non-indigenous	161747
Moreland (C)	Torres Strait Islander	47
Mornington Peninsula (S)	Aboriginal	1202
Mornington Peninsula (S)	Both Aboriginal & Torres Strait Islander	30
Mornington Peninsula (S)	Non-indigenous	153695
Mornington Peninsula (S)	Torres Strait Islander	72
Mount Alexander (S)	Aboriginal	208
Mount Alexander (S)	Both Aboriginal & Torres Strait Islander	3
Mount Alexander (S)	Non-indigenous	18547
Mount Alexander (S)	Torres Strait Islander	3
Moyne (S)	Aboriginal	180
Moyne (S)	Both Aboriginal & Torres Strait Islander	13
Moyne (S)	Non-indigenous	16297
Moyne (S)	Torres Strait Islander	5
Murrindindi (S)	Aboriginal	164
Murrindindi (S)	Both Aboriginal & Torres Strait Islander	3
Murrindindi (S)	Non-indigenous	13548
Murrindindi (S)	Torres Strait Islander	17
Nillumbik (S)	Aboriginal	223
Nillumbik (S)	Non-indigenous	61037
Nillumbik (S)	Torres Strait Islander	13
Northern Grampians (S)	Aboriginal	156
Northern Grampians (S)	Both Aboriginal & Torres Strait Islander	6
Northern Grampians (S)	Non-indigenous	11265
Northern Grampians (S)	Torres Strait Islander	12
Port Phillip (C)	Aboriginal	357
Port Phillip (C)	Both Aboriginal & Torres Strait Islander	13
Port Phillip (C)	Non-indigenous	100475
Port Phillip (C)	Torres Strait Islander	18
Pyrenees (S)	Aboriginal	124
Pyrenees (S)	Both Aboriginal & Torres Strait Islander	3
Pyrenees (S)	Non-indigenous	7100
Pyrenees (S)	Torres Strait Islander	11
Queenscliffe (B)	Aboriginal	8
Queenscliffe (B)	Non-indigenous	2845
South Gippsland (S)	Aboriginal	236
South Gippsland (S)	Both Aboriginal & Torres Strait Islander	18
South Gippsland (S)	Non-indigenous	28429
South Gippsland (S)	Torres Strait Islander	20
Southern Grampians (S)	Aboriginal	236
Southern Grampians (S)	Both Aboriginal & Torres Strait Islander	4
Southern Grampians (S)	Non-indigenous	15699
Southern Grampians (S)	Torres Strait Islander	5
Stonnington (C)	Aboriginal	287
Stonnington (C)	Both Aboriginal & Torres Strait Islander	10
Stonnington (C)	Non-indigenous	103528
Stonnington (C)	Torres Strait Islander	7
Strathbogie (S)	Aboriginal	103
Strathbogie (S)	Both Aboriginal & Torres Strait Islander	4
Strathbogie (S)	Non-indigenous	10160
Strathbogie (S)	Torres Strait Islander	7
Surf Coast (S)	Aboriginal	179
Surf Coast (S)	Both Aboriginal & Torres Strait Islander	4
Surf Coast (S)	Non-indigenous	29206
Surf Coast (S)	Torres Strait Islander	8
Swan Hill (RC)	Aboriginal	775
Swan Hill (RC)	Both Aboriginal & Torres Strait Islander	25
Swan Hill (RC)	Non-indigenous	19752
Swan Hill (RC)	Torres Strait Islander	32
Towong (S)	Aboriginal	83
Towong (S)	Both Aboriginal & Torres Strait Islander	4
Towong (S)	Non-indigenous	5895
Towong (S)	Torres Strait Islander	3
Wangaratta (RC)	Aboriginal	356
Wangaratta (RC)	Both Aboriginal & Torres Strait Islander	5
Wangaratta (RC)	Non-indigenous	27929
Wangaratta (RC)	Torres Strait Islander	20
Warrnambool (C)	Aboriginal	542
Warrnambool (C)	Non-indigenous	33105
Warrnambool (C)	Torres Strait Islander	8
Wellington (S)	Aboriginal	607
Wellington (S)	Both Aboriginal & Torres Strait Islander	20
Wellington (S)	Non-indigenous	42334
Wellington (S)	Torres Strait Islander	22
West Wimmera (S)	Aboriginal	34
West Wimmera (S)	Non-indigenous	3866
West Wimmera (S)	Torres Strait Islander	3
Whitehorse (C)	Aboriginal	322
Whitehorse (C)	Both Aboriginal & Torres Strait Islander	7
Whitehorse (C)	Non-indigenous	161722
Whitehorse (C)	Torres Strait Islander	27
Whittlesea (C)	Aboriginal	1522
Whittlesea (C)	Both Aboriginal & Torres Strait Islander	63
Whittlesea (C)	Non-indigenous	195859
Whittlesea (C)	Torres Strait Islander	47
Wodonga (C)	Aboriginal	910
Wodonga (C)	Both Aboriginal & Torres Strait Islander	26
Wodonga (C)	Non-indigenous	38375
Wodonga (C)	Torres Strait Islander	40
Wyndham (C)	Aboriginal	1662
Wyndham (C)	Both Aboriginal & Torres Strait Islander	33
Wyndham (C)	Non-indigenous	215380
Wyndham (C)	Torres Strait Islander	47
Yarra (C)	Aboriginal	356
Yarra (C)	Both Aboriginal & Torres Strait Islander	10
Yarra (C)	Non-indigenous	86271
Yarra (C)	Torres Strait Islander	20
Yarra Ranges (S)	Aboriginal	1279
Yarra Ranges (S)	Both Aboriginal & Torres Strait Islander	38
Yarra Ranges (S)	Non-indigenous	148173
Yarra Ranges (S)	Torres Strait Islander	47
Yarriambiack (S)	Aboriginal	63
Yarriambiack (S)	Both Aboriginal & Torres Strait Islander	5
Yarriambiack (S)	Non-indigenous	6594
Yarriambiack (S)	Torres Strait Islander	12
Unincorporated Vic	Aboriginal	9
Unincorporated Vic	Non-indigenous	867
No usual address (Vic.)	Aboriginal	247
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	11
No usual address (Vic.)	Non-indigenous	7291
No usual address (Vic.)	Torres Strait Islander	16
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	29
Aurukun (S)	Aboriginal	1058
Aurukun (S)	Both Aboriginal & Torres Strait Islander	67
Aurukun (S)	Non-indigenous	118
Aurukun (S)	Torres Strait Islander	26
Balonne (S)	Aboriginal	679
Balonne (S)	Both Aboriginal & Torres Strait Islander	11
Balonne (S)	Non-indigenous	3678
Balonne (S)	Torres Strait Islander	9
Banana (S)	Aboriginal	519
Banana (S)	Both Aboriginal & Torres Strait Islander	44
Banana (S)	Non-indigenous	13739
Banana (S)	Torres Strait Islander	17
Barcaldine (R)	Aboriginal	154
Barcaldine (R)	Both Aboriginal & Torres Strait Islander	4
Barcaldine (R)	Non-indigenous	2701
Barcaldine (R)	Torres Strait Islander	6
Barcoo (S)	Aboriginal	25
Barcoo (S)	Both Aboriginal & Torres Strait Islander	3
Barcoo (S)	Non-indigenous	239
Blackall-Tambo (R)	Aboriginal	92
Blackall-Tambo (R)	Both Aboriginal & Torres Strait Islander	3
Blackall-Tambo (R)	Non-indigenous	1805
Blackall-Tambo (R)	Torres Strait Islander	3
Boulia (S)	Aboriginal	108
Boulia (S)	Both Aboriginal & Torres Strait Islander	3
Boulia (S)	Non-indigenous	315
Brisbane (C)	Aboriginal	14748
Brisbane (C)	Both Aboriginal & Torres Strait Islander	1064
Brisbane (C)	Non-indigenous	1114087
Brisbane (C)	Torres Strait Islander	1256
Bulloo (S)	Aboriginal	38
Bulloo (S)	Non-indigenous	315
Bundaberg (R)	Aboriginal	3309
Bundaberg (R)	Both Aboriginal & Torres Strait Islander	215
Bundaberg (R)	Non-indigenous	89193
Bundaberg (R)	Torres Strait Islander	180
Burdekin (S)	Aboriginal	730
Burdekin (S)	Both Aboriginal & Torres Strait Islander	148
Burdekin (S)	Non-indigenous	16101
Burdekin (S)	Torres Strait Islander	95
Burke (S)	Aboriginal	128
Burke (S)	Non-indigenous	196
Burke (S)	Torres Strait Islander	4
Cairns (R)	Aboriginal	7269
Cairns (R)	Both Aboriginal & Torres Strait Islander	2743
Cairns (R)	Non-indigenous	142796
Cairns (R)	Torres Strait Islander	4093
Carpentaria (S)	Aboriginal	763
Carpentaria (S)	Both Aboriginal & Torres Strait Islander	19
Carpentaria (S)	Non-indigenous	1157
Carpentaria (S)	Torres Strait Islander	19
Cassowary Coast (R)	Aboriginal	1962
Cassowary Coast (R)	Both Aboriginal & Torres Strait Islander	433
Cassowary Coast (R)	Non-indigenous	25929
Cassowary Coast (R)	Torres Strait Islander	402
Central Highlands (R) (Qld)	Aboriginal	1108
Central Highlands (R) (Qld)	Both Aboriginal & Torres Strait Islander	61
Central Highlands (R) (Qld)	Non-indigenous	26790
Central Highlands (R) (Qld)	Torres Strait Islander	40
Charters Towers (R)	Aboriginal	912
Charters Towers (R)	Both Aboriginal & Torres Strait Islander	73
Charters Towers (R)	Non-indigenous	10848
Charters Towers (R)	Torres Strait Islander	43
Cherbourg (S)	Aboriginal	1217
Cherbourg (S)	Both Aboriginal & Torres Strait Islander	32
Cherbourg (S)	Non-indigenous	20
Cloncurry (S)	Aboriginal	636
Cloncurry (S)	Both Aboriginal & Torres Strait Islander	26
Cloncurry (S)	Non-indigenous	2346
Cloncurry (S)	Torres Strait Islander	24
Cook (S)	Aboriginal	838
Cook (S)	Both Aboriginal & Torres Strait Islander	62
Cook (S)	Non-indigenous	3291
Cook (S)	Torres Strait Islander	35
Croydon (S)	Aboriginal	47
Croydon (S)	Both Aboriginal & Torres Strait Islander	7
Croydon (S)	Non-indigenous	240
Diamantina (S)	Aboriginal	43
Diamantina (S)	Non-indigenous	248
Doomadgee (S)	Aboriginal	1304
Doomadgee (S)	Both Aboriginal & Torres Strait Islander	5
Doomadgee (S)	Non-indigenous	92
Doomadgee (S)	Torres Strait Islander	4
Douglas (S)	Aboriginal	690
Douglas (S)	Both Aboriginal & Torres Strait Islander	148
Douglas (S)	Non-indigenous	10824
Douglas (S)	Torres Strait Islander	52
Etheridge (S)	Aboriginal	38
Etheridge (S)	Non-indigenous	758
Etheridge (S)	Torres Strait Islander	3
Flinders (S) (Qld)	Aboriginal	92
Flinders (S) (Qld)	Both Aboriginal & Torres Strait Islander	7
Flinders (S) (Qld)	Non-indigenous	1437
Fraser Coast (R)	Aboriginal	3836
Fraser Coast (R)	Both Aboriginal & Torres Strait Islander	206
Fraser Coast (R)	Non-indigenous	97280
Fraser Coast (R)	Torres Strait Islander	182
Gladstone (R)	Aboriginal	2205
Gladstone (R)	Both Aboriginal & Torres Strait Islander	209
Gladstone (R)	Non-indigenous	59144
Gladstone (R)	Torres Strait Islander	82
Gold Coast (C)	Aboriginal	8493
Gold Coast (C)	Both Aboriginal & Torres Strait Islander	345
Gold Coast (C)	Non-indigenous	546433
Gold Coast (C)	Torres Strait Islander	450
Goondiwindi (R)	Aboriginal	552
Goondiwindi (R)	Both Aboriginal & Torres Strait Islander	16
Goondiwindi (R)	Non-indigenous	10054
Goondiwindi (R)	Torres Strait Islander	8
Gympie (R)	Aboriginal	1598
Gympie (R)	Both Aboriginal & Torres Strait Islander	69
Gympie (R)	Non-indigenous	47789
Gympie (R)	Torres Strait Islander	103
Hinchinbrook (S)	Aboriginal	539
Hinchinbrook (S)	Both Aboriginal & Torres Strait Islander	54
Hinchinbrook (S)	Non-indigenous	10224
Hinchinbrook (S)	Torres Strait Islander	68
Hope Vale (S)	Aboriginal	844
Hope Vale (S)	Both Aboriginal & Torres Strait Islander	9
Hope Vale (S)	Non-indigenous	65
Ipswich (C)	Aboriginal	7689
Ipswich (C)	Both Aboriginal & Torres Strait Islander	338
Ipswich (C)	Non-indigenous	185303
Ipswich (C)	Torres Strait Islander	403
Isaac (R)	Aboriginal	620
Isaac (R)	Both Aboriginal & Torres Strait Islander	56
Isaac (R)	Non-indigenous	20196
Isaac (R)	Torres Strait Islander	68
Kowanyama (S)	Aboriginal	836
Kowanyama (S)	Both Aboriginal & Torres Strait Islander	12
Kowanyama (S)	Non-indigenous	88
Kowanyama (S)	Torres Strait Islander	8
Livingstone (S)	Aboriginal	1388
Livingstone (S)	Both Aboriginal & Torres Strait Islander	126
Livingstone (S)	Non-indigenous	34664
Livingstone (S)	Torres Strait Islander	94
Lockhart River (S)	Aboriginal	487
Lockhart River (S)	Both Aboriginal & Torres Strait Islander	137
Lockhart River (S)	Non-indigenous	79
Lockhart River (S)	Torres Strait Islander	9
Lockyer Valley (R)	Aboriginal	1385
Lockyer Valley (R)	Both Aboriginal & Torres Strait Islander	68
Lockyer Valley (R)	Non-indigenous	37103
Lockyer Valley (R)	Torres Strait Islander	53
Logan (C)	Aboriginal	8621
Logan (C)	Both Aboriginal & Torres Strait Islander	558
Logan (C)	Non-indigenous	293571
Logan (C)	Torres Strait Islander	636
Longreach (R)	Aboriginal	170
Longreach (R)	Both Aboriginal & Torres Strait Islander	9
Longreach (R)	Non-indigenous	3459
Longreach (R)	Torres Strait Islander	22
Mackay (R)	Aboriginal	3664
Mackay (R)	Both Aboriginal & Torres Strait Islander	946
Mackay (R)	Non-indigenous	109067
Mackay (R)	Torres Strait Islander	1292
McKinlay (S)	Aboriginal	32
McKinlay (S)	Non-indigenous	761
McKinlay (S)	Torres Strait Islander	3
Mapoon (S)	Aboriginal	164
Mapoon (S)	Both Aboriginal & Torres Strait Islander	110
Mapoon (S)	Non-indigenous	33
Mapoon (S)	Torres Strait Islander	3
Maranoa (R)	Aboriginal	878
Maranoa (R)	Both Aboriginal & Torres Strait Islander	19
Maranoa (R)	Non-indigenous	11756
Maranoa (R)	Torres Strait Islander	13
Mareeba (S)	Aboriginal	2310
Mareeba (S)	Both Aboriginal & Torres Strait Islander	267
Mareeba (S)	Non-indigenous	18754
Mareeba (S)	Torres Strait Islander	226
Moreton Bay (R)	Aboriginal	11337
Moreton Bay (R)	Both Aboriginal & Torres Strait Islander	612
Moreton Bay (R)	Non-indigenous	412727
Moreton Bay (R)	Torres Strait Islander	626
Mornington (S)	Aboriginal	959
Mornington (S)	Both Aboriginal & Torres Strait Islander	15
Mornington (S)	Non-indigenous	163
Mornington (S)	Torres Strait Islander	6
Mount Isa (C)	Aboriginal	2951
Mount Isa (C)	Both Aboriginal & Torres Strait Islander	122
Mount Isa (C)	Non-indigenous	15514
Mount Isa (C)	Torres Strait Islander	84
Murweh (S)	Aboriginal	516
Murweh (S)	Both Aboriginal & Torres Strait Islander	9
Murweh (S)	Non-indigenous	3763
Murweh (S)	Torres Strait Islander	19
Napranum (S)	Aboriginal	507
Napranum (S)	Both Aboriginal & Torres Strait Islander	313
Napranum (S)	Non-indigenous	58
Napranum (S)	Torres Strait Islander	79
Noosa (S)	Aboriginal	732
Noosa (S)	Both Aboriginal & Torres Strait Islander	17
Noosa (S)	Non-indigenous	51359
Noosa (S)	Torres Strait Islander	41
North Burnett (R)	Aboriginal	621
North Burnett (R)	Both Aboriginal & Torres Strait Islander	37
North Burnett (R)	Non-indigenous	9800
North Burnett (R)	Torres Strait Islander	20
Northern Peninsula Area (R)	Aboriginal	151
Northern Peninsula Area (R)	Both Aboriginal & Torres Strait Islander	1392
Northern Peninsula Area (R)	Non-indigenous	356
Northern Peninsula Area (R)	Torres Strait Islander	897
Palm Island (S)	Aboriginal	1892
Palm Island (S)	Both Aboriginal & Torres Strait Islander	380
Palm Island (S)	Non-indigenous	147
Palm Island (S)	Torres Strait Islander	27
Paroo (S)	Aboriginal	450
Paroo (S)	Both Aboriginal & Torres Strait Islander	5
Paroo (S)	Non-indigenous	1185
Pormpuraaw (S)	Aboriginal	601
Pormpuraaw (S)	Both Aboriginal & Torres Strait Islander	22
Pormpuraaw (S)	Non-indigenous	111
Pormpuraaw (S)	Torres Strait Islander	15
Quilpie (S)	Aboriginal	128
Quilpie (S)	Both Aboriginal & Torres Strait Islander	5
Quilpie (S)	Non-indigenous	680
Redland (C)	Aboriginal	3073
Redland (C)	Both Aboriginal & Torres Strait Islander	171
Redland (C)	Non-indigenous	143580
Redland (C)	Torres Strait Islander	186
Richmond (S)	Aboriginal	44
Richmond (S)	Both Aboriginal & Torres Strait Islander	4
Richmond (S)	Non-indigenous	743
Rockhampton (R)	Aboriginal	5140
Rockhampton (R)	Both Aboriginal & Torres Strait Islander	375
Rockhampton (R)	Non-indigenous	73854
Rockhampton (R)	Torres Strait Islander	357
Scenic Rim (R)	Aboriginal	1096
Scenic Rim (R)	Both Aboriginal & Torres Strait Islander	70
Scenic Rim (R)	Non-indigenous	38850
Scenic Rim (R)	Torres Strait Islander	56
Somerset (R)	Aboriginal	824
Somerset (R)	Both Aboriginal & Torres Strait Islander	46
Somerset (R)	Non-indigenous	23700
Somerset (R)	Torres Strait Islander	27
South Burnett (R)	Aboriginal	1618
South Burnett (R)	Both Aboriginal & Torres Strait Islander	91
South Burnett (R)	Non-indigenous	30428
South Burnett (R)	Torres Strait Islander	49
Southern Downs (R)	Aboriginal	1483
Southern Downs (R)	Both Aboriginal & Torres Strait Islander	37
Southern Downs (R)	Non-indigenous	33543
Southern Downs (R)	Torres Strait Islander	47
Sunshine Coast (R)	Aboriginal	5170
Sunshine Coast (R)	Both Aboriginal & Torres Strait Islander	243
Sunshine Coast (R)	Non-indigenous	288651
Sunshine Coast (R)	Torres Strait Islander	303
Tablelands (R)	Aboriginal	1479
Tablelands (R)	Both Aboriginal & Torres Strait Islander	195
Tablelands (R)	Non-indigenous	23003
Tablelands (R)	Torres Strait Islander	150
Toowoomba (R)	Aboriginal	6060
Toowoomba (R)	Both Aboriginal & Torres Strait Islander	183
Toowoomba (R)	Non-indigenous	154344
Toowoomba (R)	Torres Strait Islander	192
Torres (S)	Aboriginal	88
Torres (S)	Both Aboriginal & Torres Strait Islander	594
Torres (S)	Non-indigenous	1126
Torres (S)	Torres Strait Islander	1802
Torres Strait Island (R)	Aboriginal	46
Torres Strait Island (R)	Both Aboriginal & Torres Strait Islander	502
Torres Strait Island (R)	Non-indigenous	376
Torres Strait Island (R)	Torres Strait Islander	3590
Townsville (C)	Aboriginal	9591
Townsville (C)	Both Aboriginal & Torres Strait Islander	1549
Townsville (C)	Non-indigenous	173724
Townsville (C)	Torres Strait Islander	1893
Weipa (T)	Aboriginal	260
Weipa (T)	Both Aboriginal & Torres Strait Islander	289
Weipa (T)	Non-indigenous	3138
Weipa (T)	Torres Strait Islander	218
Western Downs (R)	Aboriginal	1759
Western Downs (R)	Both Aboriginal & Torres Strait Islander	60
Western Downs (R)	Non-indigenous	31565
Western Downs (R)	Torres Strait Islander	60
Whitsunday (R)	Aboriginal	1346
Whitsunday (R)	Both Aboriginal & Torres Strait Islander	143
Whitsunday (R)	Non-indigenous	32139
Whitsunday (R)	Torres Strait Islander	150
Winton (S)	Aboriginal	78
Winton (S)	Both Aboriginal & Torres Strait Islander	6
Winton (S)	Non-indigenous	1035
Winton (S)	Torres Strait Islander	15
Woorabinda (S)	Aboriginal	851
Woorabinda (S)	Both Aboriginal & Torres Strait Islander	51
Woorabinda (S)	Non-indigenous	57
Woorabinda (S)	Torres Strait Islander	3
Wujal Wujal (S)	Aboriginal	258
Wujal Wujal (S)	Both Aboriginal & Torres Strait Islander	6
Wujal Wujal (S)	Non-indigenous	18
Yarrabah (S)	Aboriginal	2335
Yarrabah (S)	Both Aboriginal & Torres Strait Islander	140
Yarrabah (S)	Non-indigenous	66
Yarrabah (S)	Torres Strait Islander	18
No usual address (Qld)	Aboriginal	678
No usual address (Qld)	Both Aboriginal & Torres Strait Islander	51
No usual address (Qld)	Non-indigenous	11714
No usual address (Qld)	Torres Strait Islander	67
Migratory - Offshore - Shipping (Qld)	Aboriginal	6
Migratory - Offshore - Shipping (Qld)	Non-indigenous	144
Adelaide (C)	Aboriginal	234
Adelaide (C)	Both Aboriginal & Torres Strait Islander	7
Adelaide (C)	Non-indigenous	21805
Adelaide (C)	Torres Strait Islander	17
Adelaide Hills (DC)	Aboriginal	201
Adelaide Hills (DC)	Both Aboriginal & Torres Strait Islander	6
Adelaide Hills (DC)	Non-indigenous	38647
Adelaide Hills (DC)	Torres Strait Islander	9
Alexandrina (DC)	Aboriginal	378
Alexandrina (DC)	Both Aboriginal & Torres Strait Islander	7
Alexandrina (DC)	Non-indigenous	25479
Alexandrina (DC)	Torres Strait Islander	9
Anangu Pitjantjatjara (AC)	Aboriginal	1892
Anangu Pitjantjatjara (AC)	Both Aboriginal & Torres Strait Islander	8
Anangu Pitjantjatjara (AC)	Non-indigenous	373
Anangu Pitjantjatjara (AC)	Torres Strait Islander	3
Barossa (DC)	Aboriginal	198
Barossa (DC)	Non-indigenous	23347
Barossa (DC)	Torres Strait Islander	13
Barunga West (DC)	Aboriginal	52
Barunga West (DC)	Non-indigenous	2488
Barunga West (DC)	Torres Strait Islander	4
Berri and Barmera (DC)	Aboriginal	435
Berri and Barmera (DC)	Both Aboriginal & Torres Strait Islander	12
Berri and Barmera (DC)	Non-indigenous	10086
Berri and Barmera (DC)	Torres Strait Islander	12
Burnside (C)	Aboriginal	126
Burnside (C)	Both Aboriginal & Torres Strait Islander	7
Burnside (C)	Non-indigenous	43768
Burnside (C)	Torres Strait Islander	10
Campbelltown (C) (SA)	Aboriginal	253
Campbelltown (C) (SA)	Both Aboriginal & Torres Strait Islander	12
Campbelltown (C) (SA)	Non-indigenous	49882
Campbelltown (C) (SA)	Torres Strait Islander	17
Ceduna (DC)	Aboriginal	731
Ceduna (DC)	Both Aboriginal & Torres Strait Islander	12
Ceduna (DC)	Non-indigenous	2665
Charles Sturt (C)	Aboriginal	1473
Charles Sturt (C)	Both Aboriginal & Torres Strait Islander	27
Charles Sturt (C)	Non-indigenous	110192
Charles Sturt (C)	Torres Strait Islander	67
Clare and Gilbert Valleys (DC)	Aboriginal	103
Clare and Gilbert Valleys (DC)	Non-indigenous	8912
Clare and Gilbert Valleys (DC)	Torres Strait Islander	8
Cleve (DC)	Aboriginal	8
Cleve (DC)	Non-indigenous	1763
Coober Pedy (DC)	Aboriginal	291
Coober Pedy (DC)	Both Aboriginal & Torres Strait Islander	5
Coober Pedy (DC)	Non-indigenous	1466
Copper Coast (DC)	Aboriginal	371
Copper Coast (DC)	Both Aboriginal & Torres Strait Islander	3
Copper Coast (DC)	Non-indigenous	13754
Copper Coast (DC)	Torres Strait Islander	11
Elliston (DC)	Aboriginal	30
Elliston (DC)	Non-indigenous	1015
Flinders Ranges (DC)	Aboriginal	220
Flinders Ranges (DC)	Non-indigenous	1423
Franklin Harbour (DC)	Aboriginal	28
Franklin Harbour (DC)	Non-indigenous	1270
Gawler (T)	Aboriginal	357
Gawler (T)	Both Aboriginal & Torres Strait Islander	10
Gawler (T)	Non-indigenous	22646
Gawler (T)	Torres Strait Islander	21
Goyder (DC)	Aboriginal	61
Goyder (DC)	Non-indigenous	4069
Goyder (DC)	Torres Strait Islander	6
Grant (DC)	Aboriginal	127
Grant (DC)	Non-indigenous	8076
Holdfast Bay (C)	Aboriginal	220
Holdfast Bay (C)	Both Aboriginal & Torres Strait Islander	20
Holdfast Bay (C)	Non-indigenous	35110
Holdfast Bay (C)	Torres Strait Islander	10
Kangaroo Island (DC)	Aboriginal	67
Kangaroo Island (DC)	Both Aboriginal & Torres Strait Islander	3
Kangaroo Island (DC)	Non-indigenous	4632
Karoonda East Murray (DC)	Aboriginal	8
Karoonda East Murray (DC)	Non-indigenous	1082
Kimba (DC)	Aboriginal	14
Kimba (DC)	Non-indigenous	1047
Kingston (DC) (SA)	Aboriginal	45
Kingston (DC) (SA)	Both Aboriginal & Torres Strait Islander	8
Kingston (DC) (SA)	Non-indigenous	2296
Light (RegC)	Aboriginal	142
Light (RegC)	Non-indigenous	14583
Light (RegC)	Torres Strait Islander	11
Lower Eyre Peninsula (DC)	Aboriginal	173
Lower Eyre Peninsula (DC)	Non-indigenous	5337
Loxton Waikerie (DC)	Aboriginal	250
Loxton Waikerie (DC)	Both Aboriginal & Torres Strait Islander	5
Loxton Waikerie (DC)	Non-indigenous	11220
Loxton Waikerie (DC)	Torres Strait Islander	12
Mallala (DC)	Aboriginal	210
Mallala (DC)	Both Aboriginal & Torres Strait Islander	3
Mallala (DC)	Non-indigenous	8571
Mallala (DC)	Torres Strait Islander	17
Maralinga Tjarutja (AC)	Aboriginal	47
Maralinga Tjarutja (AC)	Non-indigenous	12
Marion (C)	Aboriginal	949
Marion (C)	Both Aboriginal & Torres Strait Islander	27
Marion (C)	Non-indigenous	87591
Marion (C)	Torres Strait Islander	51
Mid Murray (DC)	Aboriginal	200
Mid Murray (DC)	Non-indigenous	8438
Mid Murray (DC)	Torres Strait Islander	4
Mitcham (C)	Aboriginal	329
