STE_NAME16	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	253
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Other family	41
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	1049
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	1191
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	277
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1957
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	584
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	85
Northern Territory	Separate house		Couple family with children	18251
Northern Territory	Separate house		Couple family with no children	10869
Northern Territory	Separate house		Group household	1770
Northern Territory	Separate house		Lone-person household	6023
Northern Territory	Separate house		One parent family with children	5473
Northern Territory	Separate house		Other family	715
Australian Capital Territory			Couple family with children	38
Australian Capital Territory			Couple family with no children	57
Australian Capital Territory			Group household	25
Australian Capital Territory			Lone-person household	126
Australian Capital Territory			One parent family with children	18
Australian Capital Territory	(Other)	Cabin household	Couple family with children	6
Australian Capital Territory	(Other)	Cabin household	Couple family with no children	13
Australian Capital Territory	(Other)	Cabin household	Group household	15
Australian Capital Territory	(Other)	Cabin household	Lone-person household	65
Australian Capital Territory	(Other)	Cabin household	One parent family with children	9
Australian Capital Territory	(Other)	Caravan	Couple family with children	4
Australian Capital Territory	(Other)	Caravan	Lone-person household	24
Australian Capital Territory	(Other)	Caravan	One parent family with children	3
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with children	17
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	7
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Lone-person household	12
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	One parent family with children	7
Australian Capital Territory	(Other)	Improvised home, tent sleepers	Lone-person household	6
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Couple family with children	466
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Couple family with no children	1048
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Group household	357
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Lone-person household	2363
Australian Capital Territory	Flat/apartment	1 or 2 storey block	One parent family with children	302
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Other family	61
Australian Capital Territory	Flat/apartment	3 storey block	Couple family with children	823
Australian Capital Territory	Flat/apartment	3 storey block	Couple family with no children	1904
Australian Capital Territory	Flat/apartment	3 storey block	Group household	805
Australian Capital Territory	Flat/apartment	3 storey block	Lone-person household	3333
Australian Capital Territory	Flat/apartment	3 storey block	One parent family with children	338
Australian Capital Territory	Flat/apartment	3 storey block	Other family	111
Australian Capital Territory	Flat/apartment	4 storey block or more	Couple family with children	796
Australian Capital Territory	Flat/apartment	4 storey block or more	Couple family with no children	2944
Australian Capital Territory	Flat/apartment	4 storey block or more	Group household	927
Australian Capital Territory	Flat/apartment	4 storey block or more	Lone-person household	4236
Australian Capital Territory	Flat/apartment	4 storey block or more	One parent family with children	287
Australian Capital Territory	Flat/apartment	4 storey block or more	Other family	109
Australian Capital Territory	Flat/apartment	Attached to a house	Couple family with children	23
Australian Capital Territory	Flat/apartment	Attached to a house	Couple family with no children	32
Australian Capital Territory	Flat/apartment	Attached to a house	Group household	10
Australian Capital Territory	Flat/apartment	Attached to a house	Lone-person household	108
Australian Capital Territory	Flat/apartment	Attached to a house	One parent family with children	15
Australian Capital Territory	Flat/apartment	Attached to a house	Other family	3
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	2665
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	2942
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Group household	1119
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	3276
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	1240
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Other family	163
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	2485
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	3062
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	612
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	6050
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1505
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	153
Australian Capital Territory	Separate house		Couple family with children	40425
Australian Capital Territory	Separate house		Couple family with no children	25336
Australian Capital Territory	Separate house		Group household	3067
Australian Capital Territory	Separate house		Lone-person household	15810
Australian Capital Territory	Separate house		One parent family with children	10022
Australian Capital Territory	Separate house		Other family	866
Other Territories			Couple family with no children	3
Other Territories			Lone-person household	8
Other Territories			One parent family with children	3
Other Territories	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	4
Other Territories	(Other)	House or flat attached to a shop, office, etc	Lone-person household	4
Other Territories	Flat/apartment	1 or 2 storey block	Couple family with children	7
Other Territories	Flat/apartment	1 or 2 storey block	Couple family with no children	4
Other Territories	Flat/apartment	1 or 2 storey block	Lone-person household	28
Other Territories	Flat/apartment	1 or 2 storey block	One parent family with children	3
Other Territories	Flat/apartment	3 storey block	Couple family with children	27
Other Territories	Flat/apartment	3 storey block	Couple family with no children	11
Other Territories	Flat/apartment	3 storey block	Group household	3
Other Territories	Flat/apartment	3 storey block	Lone-person household	8
Other Territories	Flat/apartment	3 storey block	One parent family with children	7
Other Territories	Flat/apartment	3 storey block	Other family	3
Other Territories	Flat/apartment	4 storey block or more	Couple family with children	3
Other Territories	Flat/apartment	4 storey block or more	Lone-person household	4
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	8
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	7
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Group household	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	10
Other Territories	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	4
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	16
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	9
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	16
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	8
Other Territories	Separate house		Couple family with children	346
Other Territories	Separate house		Couple family with no children	364
Other Territories	Separate house		Group household	11
Other Territories	Separate house		Lone-person household	282
Other Territories	Separate house		One parent family with children	111
Other Territories	Separate house		Other family	9
