STE_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Other Territories	Flat/apartment	3 storey block	3	29
Other Territories	Flat/apartment	3 storey block	4	4
Other Territories	Flat/apartment	4 storey block or more	3	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	24
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	23
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	15
Other Territories	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	8
Other Territories	Separate house			38
Other Territories	Separate house		0	4
Other Territories	Separate house		1	52
Other Territories	Separate house		2	231
Other Territories	Separate house		3	523
Other Territories	Separate house		4	231
Other Territories	Separate house		5	45
Other Territories	Separate house		6	8
