LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA15650,45,362,276,6813,129,7619,0,7,0,87,0,93,71,5,3,30,0,115,5,3,0,3,0,16,70,26,21,50,3,174,460,319,245,5341,118,6476,108,3,24,6,3,139,21,4,3,23,0,53,53,32,20,523,10,638,10,4,0,21,0,40,6,0,0,5,0,14,94,9,3,19,0,121,143,81,41,1453,23,1745,42,26,14,123,3,210,3,0,7,0,0,5,12,5,0,16,0,33,0,0,0,0,0,4,21,3,6,14,0,39,56,9,9,13,0,82,56,28,26,12,3,130,17,13,7,13,0,51,5,3,0,3,0,15,131,100,54,1135,21,1438,11,3,0,4,0,14,22,5,4,0,0,30,9,5,0,13,0,29,18,0,0,0,0,18,5,3,0,0,0,5,0,0,0,0,0,0,25,12,3,52,0,90,302,57,61,117,7,540,19,0,5,182,1223,1430,1488,652,487,11977,1478,16086
LGA15700,76,608,380,7321,217,8608,0,8,4,326,13,350,32,9,3,43,0,94,15,3,0,5,0,27,112,30,19,48,0,205,1022,616,375,6096,160,8271,40,0,20,3,3,68,28,9,11,49,0,99,134,44,31,531,6,745,20,15,4,18,5,67,14,12,0,4,0,30,25,3,3,6,0,38,161,132,64,1838,35,2233,79,35,5,169,3,289,3,0,0,0,0,3,11,6,0,20,0,34,0,0,0,0,0,0,25,12,3,26,3,65,32,13,7,17,3,78,54,34,25,12,5,134,31,11,3,26,0,77,10,3,7,16,0,35,218,142,113,1498,38,2014,4,3,0,0,0,5,14,4,7,7,0,30,39,0,0,19,0,56,3,0,0,3,0,10,0,0,0,0,0,0,11,0,0,0,0,11,43,5,8,44,0,105,306,94,67,172,14,654,24,3,11,201,1300,1539,2074,1092,697,13654,1692,19212
LGA15750,21,226,147,6152,128,6672,0,3,0,104,0,106,44,3,3,20,0,73,3,0,0,0,0,4,42,17,14,43,0,104,201,181,138,4262,97,4875,50,3,8,3,0,59,9,0,0,14,0,20,45,21,16,362,5,456,3,5,0,15,0,27,3,0,0,3,0,3,24,0,0,0,0,29,54,39,30,1157,17,1301,10,0,3,50,0,64,0,0,0,0,0,0,0,0,0,9,0,5,3,0,0,0,0,4,4,0,0,3,0,5,20,8,11,0,0,33,17,14,6,9,0,48,9,6,0,9,0,22,3,3,0,4,0,11,68,42,33,989,10,1143,0,0,0,0,0,3,14,0,0,3,0,12,10,3,0,18,0,29,13,0,0,0,0,16,3,0,0,3,0,3,0,4,0,0,0,3,18,3,0,27,0,47,113,27,21,67,0,229,7,7,4,185,1307,1507,641,369,261,10293,1510,13084
LGA15800,9,102,61,2501,55,2734,0,0,0,49,3,50,12,0,0,20,0,30,3,0,0,0,0,3,25,3,0,11,0,33,110,107,59,1862,63,2203,8,0,0,0,0,11,11,0,0,14,0,24,24,10,8,222,7,274,9,3,0,8,0,18,3,0,0,0,0,4,19,0,0,0,0,24,10,25,12,681,6,739,34,9,8,105,3,159,6,0,0,0,0,6,3,0,0,3,0,6,0,0,0,0,0,3,0,0,0,6,0,4,9,3,0,0,0,12,4,3,0,0,0,13,15,3,0,9,0,26,0,0,0,0,0,4,33,15,20,472,9,549,0,0,0,4,0,4,4,0,0,0,0,8,12,3,0,3,0,12,8,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,13,0,15,58,12,5,30,3,111,3,4,0,72,596,672,359,185,107,4487,717,5853
LGA15850,11,128,92,3099,62,3389,0,0,0,82,3,86,17,0,0,12,0,27,3,0,0,3,0,3,17,0,8,12,0,36,105,82,69,2159,60,2476,3,0,0,0,0,3,0,0,0,11,0,17,34,8,10,160,3,216,0,3,3,0,0,4,0,0,0,0,0,0,10,0,0,4,0,13,28,15,14,614,10,673,9,4,0,41,0,62,3,0,0,0,0,3,0,0,0,6,0,11,0,0,0,0,0,0,11,0,0,15,0,27,3,0,3,12,0,19,7,9,4,4,0,19,3,0,0,3,0,3,0,0,3,0,0,3,24,16,18,517,3,579,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,7,0,7,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,13,0,24,47,14,14,23,0,98,0,0,0,84,560,642,293,187,141,5149,679,6444
LGA15900,617,5094,3832,49801,879,60233,5,36,17,637,6,708,2983,105,171,320,46,3629,347,89,27,108,0,576,567,312,201,693,16,1790,5846,4964,3489,48495,824,63622,839,26,279,28,8,1182,250,68,73,436,10,840,1117,525,351,4500,60,6560,799,215,78,614,6,1713,161,49,30,80,3,319,1510,63,58,50,5,1686,1454,1206,812,17204,228,20908,1449,510,173,2006,42,4183,453,7,25,20,6,511,71,42,22,106,0,243,1176,157,68,355,19,1782,111,56,29,190,0,394,238,93,90,81,9,508,414,248,238,136,10,1046,804,169,126,593,18,1704,204,43,32,135,3,414,1790,1404,994,13713,189,18092,257,27,17,54,0,358,253,69,44,35,6,398,287,32,26,159,7,509,205,7,19,16,0,249,71,12,7,6,0,99,502,13,24,11,3,555,313,209,103,1028,14,1665,6779,1240,942,2014,83,11063,287,67,61,1072,7674,9149,26865,9900,7181,101885,9581,155411
LGA15950,414,2494,2008,10094,116,15130,0,3,4,21,0,25,5204,208,289,204,36,5938,228,39,20,54,3,340,551,163,73,174,9,969,7465,2419,1750,11160,225,23017,779,17,72,21,7,893,687,65,49,176,11,983,1143,254,188,1027,20,2636,346,121,51,218,0,737,304,57,34,63,0,453,1840,45,47,12,5,1952,2168,793,575,5745,78,9353,1169,320,144,628,19,2275,541,10,19,22,3,593,143,43,24,76,0,281,84,15,0,14,0,112,101,48,23,67,0,231,118,13,11,3,4,149,622,118,102,42,3,884,539,62,38,97,3,746,520,27,40,44,6,634,1896,618,466,4068,50,7089,150,16,13,16,0,196,561,43,31,4,3,640,494,36,28,37,0,593,305,16,3,8,5,331,124,15,3,0,0,137,309,11,17,4,5,345,292,43,30,220,3,586,7608,645,639,686,75,9654,146,19,19,110,5009,5299,30083,5018,3857,23193,5506,67658
LGA15990,2201,12429,9875,53534,863,78905,12,14,8,149,0,179,6653,313,510,537,56,8062,1246,197,118,438,21,2016,2692,706,420,908,55,4782,33340,11247,8455,49351,1058,103450,1835,70,257,26,16,2204,2032,286,234,673,20,3253,4476,902,625,3881,106,9985,1212,370,176,818,16,2591,682,142,64,121,11,1018,2138,125,104,56,23,2447,7312,2759,2100,20272,305,32750,6357,1398,705,3718,113,12286,958,11,45,22,6,1040,428,131,89,233,7,883,176,24,17,36,0,254,377,153,104,286,12,928,741,127,94,38,14,1007,2101,717,554,245,21,3632,1232,192,163,303,4,1897,845,93,96,172,5,1220,7268,2547,2050,14458,258,26579,1180,126,82,129,10,1532,2038,249,185,60,10,2552,1398,68,94,152,14,1719,197,48,33,19,0,301,259,33,27,18,3,338,555,15,57,19,3,648,1363,220,176,737,15,2505,20092,2663,2652,2781,216,28402,605,121,86,788,12239,13837,90912,22234,17263,107710,14756,252878
LGA16100,12,143,86,1906,43,2189,0,0,0,12,0,13,19,0,0,0,0,25,6,0,3,3,0,8,28,14,11,23,3,77,232,143,94,1560,64,2084,3,0,3,0,0,6,3,0,0,8,0,14,47,9,7,100,3,166,6,0,0,11,0,25,7,0,0,0,0,12,3,0,0,0,0,7,40,33,17,642,16,746,18,17,0,35,3,70,0,0,0,0,0,0,9,6,0,8,3,26,3,3,0,0,0,3,6,0,7,10,0,29,39,3,11,4,0,53,13,3,4,3,0,22,13,3,0,6,0,23,8,0,0,0,0,17,46,30,15,328,6,425,4,0,0,8,0,13,4,0,0,0,0,4,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,7,0,21,130,31,11,42,3,221,3,0,0,55,621,684,596,271,160,3543,730,5301
LGA16150,96,1007,651,15284,343,17379,0,7,3,261,4,273,294,19,12,107,4,431,58,30,0,29,0,114,206,67,43,170,3,491,1186,1026,697,13571,317,16799,197,10,37,8,6,253,30,16,10,95,0,154,227,91,70,1135,32,1556,75,20,7,51,0,154,44,8,6,24,3,82,508,17,3,10,5,545,271,228,181,4815,78,5567,263,96,43,505,13,912,76,7,0,8,0,86,29,14,7,33,0,81,14,8,3,0,0,28,25,16,16,48,0,104,55,30,7,19,9,116,84,40,46,51,3,221,109,10,22,66,3,207,78,18,21,38,0,153,346,255,165,3212,57,4036,22,10,6,10,0,50,85,6,7,3,3,104,51,6,4,27,0,86,46,3,0,0,0,52,24,3,0,0,0,21,43,0,8,3,0,56,52,13,20,150,13,250,1168,206,103,398,19,1897,51,22,13,366,2251,2695,4821,1945,1257,29353,2964,40344
LGA16200,33,293,239,6281,141,6981,0,3,0,127,0,138,65,6,0,16,3,91,11,3,0,5,0,18,73,17,9,55,3,160,279,264,210,4943,132,5829,72,0,18,4,12,101,10,6,0,28,0,42,43,27,17,439,11,545,8,3,0,10,0,23,3,0,0,3,0,8,39,0,3,0,0,49,56,59,24,1600,20,1754,23,12,7,83,0,130,14,0,3,0,0,17,8,0,0,26,0,33,0,0,0,0,0,0,6,6,4,19,0,34,14,3,8,4,0,25,25,9,15,20,0,67,25,10,0,22,0,52,5,0,0,0,0,10,85,78,36,1045,21,1266,0,0,0,0,0,0,22,6,0,0,0,29,11,0,3,9,0,26,0,0,0,0,0,0,0,4,0,0,0,3,7,0,0,0,0,7,9,5,4,41,0,58,211,57,31,103,10,405,9,7,3,237,1184,1439,972,524,386,11254,1476,14608
LGA16260,2939,4737,3682,24416,502,36270,3,31,15,169,6,216,43332,390,732,449,273,45182,743,103,47,180,10,1085,704,232,103,264,13,1313,9497,3741,2549,21558,436,37784,4289,94,336,50,41,4811,462,78,48,219,3,814,1285,303,243,1756,55,3644,1391,220,135,607,23,2382,355,68,31,88,3,548,27363,168,130,64,112,27838,2087,1082,774,9210,141,13291,2723,845,423,1919,62,5969,11525,53,115,21,54,11773,5246,961,508,1383,87,8185,153,29,0,37,0,221,676,173,82,365,17,1323,647,100,49,36,18,843,783,230,175,94,15,1290,962,108,72,193,8,1349,809,48,48,94,12,1014,1934,892,668,6190,93,9784,520,48,12,41,9,629,521,74,47,15,8,665,1123,76,59,56,8,1321,2544,37,35,18,20,2660,917,86,54,58,15,1126,1461,29,52,22,9,1576,233,91,51,314,4,691,29363,1455,1229,1385,259,33683,1207,65,60,345,13556,15227,143589,9992,7529,49546,15494,226149
LGA16350,1942,7900,5228,53948,1020,70044,14,106,61,895,8,1081,2983,106,156,325,24,3593,1323,204,122,386,18,2051,1256,410,274,920,28,2885,11781,6433,4561,41547,926,65251,4773,190,376,69,39,5447,444,71,25,332,12,883,1834,591,410,3564,68,6472,1211,277,143,733,29,2403,564,86,53,152,9,863,5452,129,96,84,32,5792,2888,1579,1027,13549,237,19279,2733,974,428,2994,68,7202,405,8,17,3,0,430,1441,351,165,369,17,2345,235,33,16,67,0,354,3289,917,519,2809,53,7583,1303,258,136,81,31,1807,916,376,279,183,15,1767,1044,192,129,498,17,1871,356,56,55,120,5,590,2944,1415,1081,8948,164,14546,444,81,52,92,4,667,525,87,75,51,3,746,971,90,59,171,12,1303,792,24,33,25,6,877,608,88,53,87,5,839,506,31,44,16,4,596,382,126,73,406,12,1003,17025,1920,1230,1928,229,22329,768,123,75,1015,10800,12784,61345,14831,9994,96711,13192,196066
LGA16380,266,2589,1882,28507,610,33847,0,8,9,323,9,353,322,41,46,170,13,578,76,14,5,43,0,135,529,156,102,237,19,1053,4950,2511,1798,25321,686,35268,232,10,65,8,12,327,152,39,26,243,7,463,633,179,140,2060,42,3061,93,45,14,136,6,298,97,42,8,54,5,205,266,17,19,22,3,325,987,563,373,8195,162,10277,340,177,57,752,17,1345,48,0,7,0,0,52,30,19,3,75,4,133,18,0,3,7,0,26,145,46,37,158,3,395,91,35,23,40,0,193,234,141,94,79,13,562,150,38,24,89,3,305,78,15,13,35,0,152,1189,603,461,6111,116,8472,19,3,0,5,0,32,133,36,25,19,0,210,118,22,16,80,4,238,34,5,4,3,0,39,13,0,0,3,0,20,76,0,7,3,0,86,177,59,45,237,3,512,1452,399,273,667,111,2899,101,21,35,628,4497,5297,10573,4623,3283,54093,5960,78539
LGA16400,256,2346,1763,25397,511,30271,0,17,9,447,3,477,247,21,19,99,3,394,169,26,12,76,3,287,482,139,103,255,9,988,4189,2210,1574,21792,521,30285,223,20,85,14,5,349,132,28,17,176,10,363,554,234,142,1890,43,2863,150,42,14,132,7,346,84,16,11,31,0,150,123,23,5,16,4,165,712,430,295,6218,111,7763,383,166,65,605,15,1230,49,0,3,0,0,55,30,16,0,32,0,81,35,8,5,30,0,75,206,61,30,146,0,447,121,39,26,34,9,228,218,116,79,72,7,499,244,47,35,176,3,498,81,14,10,38,0,141,999,593,393,5207,97,7292,40,3,5,12,0,54,136,19,24,13,3,187,117,24,13,76,5,232,14,6,3,3,0,25,20,6,3,4,0,33,52,0,0,3,0,67,235,60,45,338,12,682,1414,393,303,668,35,2804,82,38,17,538,4588,5259,9461,4198,2975,47235,5682,69556
LGA16490,382,1995,1523,16975,291,21161,3,20,5,206,5,234,504,26,39,137,8,707,362,69,22,157,5,606,350,133,113,283,11,879,3119,1782,1395,13717,285,20299,479,7,62,8,4,559,114,26,13,156,3,315,626,222,156,1482,22,2510,311,69,23,187,4,587,127,31,17,57,0,239,1006,24,17,24,13,1086,684,465,320,5646,86,7191,999,273,100,917,22,2311,57,7,8,3,0,70,55,13,3,38,3,114,871,119,58,152,14,1207,142,50,28,139,10,367,191,41,23,25,5,286,195,108,77,47,4,427,279,52,34,120,3,484,105,14,9,40,3,176,834,466,379,3794,56,5533,291,44,35,54,5,430,84,25,7,5,0,120,167,13,21,53,0,251,76,12,14,5,0,104,32,8,0,0,0,44,102,3,3,0,0,114,135,50,20,164,3,373,2946,410,370,627,43,4402,140,39,15,336,3678,4212,12993,3849,2827,31992,4376,56027
LGA16550,1154,4361,3612,18878,335,28345,18,31,7,378,24,459,18954,309,417,433,119,20229,472,59,52,131,9,724,643,180,121,267,5,1225,11058,3584,2648,16663,399,34351,1306,30,192,13,14,1560,1526,148,103,210,12,2002,1958,376,304,1583,33,4248,3949,699,327,1863,77,6909,745,103,68,136,10,1066,2101,80,95,37,18,2331,5763,1357,1045,9758,187,18107,3115,692,302,1644,52,5807,719,7,27,12,4,769,775,159,143,361,9,1447,91,25,14,18,0,150,651,127,83,274,13,1153,484,70,32,45,8,638,764,253,167,68,6,1265,1158,142,114,234,9,1667,1600,91,77,109,17,1895,2658,942,635,5027,83,9345,397,19,33,41,12,497,1242,117,102,19,4,1484,1210,65,64,115,16,1475,339,25,21,6,6,393,285,36,12,25,12,369,861,8,43,12,9,938,427,71,54,292,5,859,16711,1434,1215,1351,163,20879,486,47,52,311,11100,11994,71051,9091,7035,41025,12449,140660
LGA16610,60,517,346,9722,257,10908,0,12,0,227,5,241,49,4,10,33,0,95,3,0,0,4,0,11,90,28,23,57,0,207,637,485,327,7657,181,9290,94,0,29,22,0,145,17,3,0,42,0,64,96,69,36,721,10,935,16,9,5,45,0,81,11,0,0,3,0,20,26,6,3,13,0,49,133,91,84,2430,35,2771,71,35,16,410,13,540,3,0,0,0,0,3,9,7,0,23,0,39,0,0,0,0,0,0,18,11,3,10,4,48,24,6,8,35,0,76,51,13,22,15,3,100,22,3,5,22,0,54,4,3,0,0,0,13,165,116,71,1749,39,2144,0,3,0,0,0,4,14,0,0,0,0,12,19,0,0,26,0,55,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,22,16,4,55,0,98,249,77,50,171,12,563,21,11,18,328,1547,1922,1580,946,648,17641,1999,22807
LGA16650,1798,2061,1552,8866,225,14502,7,23,7,102,3,151,14423,150,220,176,116,15083,666,76,42,135,10,925,230,51,43,91,3,422,4287,1452,1044,7721,286,14786,2310,51,176,28,37,2605,323,32,20,83,10,472,759,139,83,656,20,1656,7211,895,506,2526,101,11243,283,26,14,38,8,365,2688,51,24,18,14,2794,1173,540,292,3568,77,5653,2859,536,251,1185,97,4935,433,0,8,3,3,454,5499,842,356,675,84,7459,4312,303,200,487,46,5357,631,112,77,217,7,1053,665,76,45,25,11,817,360,96,67,32,11,572,453,41,24,69,0,589,638,15,45,25,11,728,877,391,258,2014,48,3589,789,62,29,42,4,927,163,27,12,7,5,221,1249,34,50,70,18,1411,102,9,3,5,0,120,480,49,32,45,6,611,1318,28,30,14,20,1414,95,37,21,104,3,258,20518,923,791,864,206,23297,766,86,39,230,6451,7574,70505,5970,4005,21229,7700,109404
LGA16700,1052,2906,2395,13906,300,20556,5,7,3,64,0,81,26549,323,561,377,190,27997,563,71,46,133,8,827,415,118,63,152,8,759,5277,2441,1693,12282,292,21980,2309,37,162,42,15,2560,330,47,39,127,3,548,852,218,163,1063,20,2315,1129,192,106,641,14,2073,266,49,23,60,3,402,5337,59,85,50,22,5555,1364,737,504,5738,92,8434,3810,907,408,2171,92,7387,5647,49,66,21,26,5810,1296,238,150,391,17,2091,194,18,17,47,7,273,275,59,61,184,8,581,179,30,28,6,3,249,398,141,106,48,5,701,513,72,44,104,8,741,489,21,47,42,3,606,1202,704,436,3766,62,6165,337,28,12,27,0,402,323,59,27,14,3,419,668,27,25,53,8,784,880,30,21,18,3,947,241,12,17,12,3,284,987,25,35,13,11,1071,169,59,44,209,5,493,14079,926,842,921,126,16896,441,35,28,197,4580,5282,70127,6369,4880,29254,5670,116302
LGA16900,431,2802,2126,21185,493,27039,0,20,14,353,5,395,343,18,36,94,11,503,377,86,31,130,11,635,512,145,107,325,17,1106,5002,2568,2021,16584,464,26643,332,14,84,13,4,449,106,24,31,148,3,311,1026,327,218,1529,61,3160,349,99,49,260,16,776,188,44,17,71,7,319,262,23,6,19,0,311,830,449,352,4892,91,6619,1104,358,153,1154,44,2813,62,3,8,0,0,69,98,28,22,58,0,210,1488,197,98,394,39,2211,598,170,74,356,11,1206,222,46,27,35,0,331,179,113,65,46,3,413,296,65,47,125,10,537,72,6,14,39,0,130,1240,639,445,3773,90,6181,304,41,19,50,8,418,99,25,11,5,0,142,790,108,87,246,24,1257,25,4,3,5,0,42,288,48,26,27,3,395,143,7,3,9,0,161,343,73,77,199,3,694,2697,555,406,729,68,4457,168,39,19,391,3000,3612,16815,5385,3929,38138,4182,68460
LGA16950,443,3655,2558,35460,789,42905,4,34,10,704,25,768,422,38,56,217,18,751,242,32,25,65,14,373,667,188,133,353,17,1360,6841,3493,2560,29205,824,42934,340,31,103,28,10,502,160,43,34,237,3,475,1000,283,196,2319,55,3856,318,58,31,256,7,667,181,33,16,56,5,291,322,32,10,26,4,393,1199,677,505,9185,200,11762,713,268,102,1054,33,2169,37,9,4,9,0,58,52,19,11,50,4,135,49,0,7,11,5,77,372,89,46,240,13,763,140,56,37,52,0,285,296,168,92,77,6,639,332,71,37,111,4,569,142,23,21,53,5,249,1574,879,629,7071,162,10319,75,8,4,23,6,116,140,32,17,26,0,211,200,18,19,94,0,342,42,4,3,8,0,59,27,6,0,6,0,43,77,10,9,5,4,106,337,79,61,307,10,791,2260,560,383,1014,72,4282,166,54,36,722,6843,7829,15703,6461,4545,64316,8622,99650
LGA17000,66,612,527,9521,132,10853,0,9,0,80,0,91,91,3,12,23,0,132,10,0,4,5,0,18,135,44,36,90,0,304,867,513,462,7615,142,9595,127,0,26,0,3,157,36,9,5,65,0,112,126,58,41,856,16,1100,16,10,0,32,0,55,17,3,8,19,0,45,53,3,3,4,3,67,217,90,102,2186,26,2619,63,31,13,188,3,300,13,0,6,0,0,17,9,0,0,7,0,23,0,0,0,0,0,0,39,18,13,58,0,120,82,18,17,21,0,130,89,38,42,36,7,216,31,11,11,52,0,102,18,3,3,9,0,36,252,146,121,1802,18,2341,9,0,0,0,0,10,49,0,17,10,0,79,24,3,0,22,0,48,10,0,0,0,0,10,9,0,0,0,0,7,26,3,3,0,0,33,27,11,5,67,0,117,328,86,66,159,5,647,22,11,10,244,1590,1872,2249,1012,896,16968,1872,22987
LGA17040,100,668,501,6945,132,8348,0,0,0,31,3,35,112,9,3,46,4,177,33,13,3,12,0,62,187,48,36,74,7,352,1068,624,498,5581,143,7922,42,6,9,3,0,55,50,8,17,35,0,114,343,111,67,547,15,1093,38,6,16,28,0,89,42,7,6,17,0,70,37,3,5,8,3,52,197,151,110,1988,48,2493,178,62,24,182,6,457,31,0,0,0,0,32,49,16,0,34,3,104,17,3,3,4,0,24,19,8,13,24,0,59,25,16,4,8,3,56,96,31,27,14,3,169,83,15,11,34,0,144,41,11,3,25,0,86,289,159,153,1599,35,2238,13,4,4,7,0,33,27,6,3,3,0,45,34,12,0,4,0,46,7,0,0,0,0,10,18,0,0,0,0,16,14,0,0,0,0,14,39,21,7,50,0,122,655,141,87,240,21,1151,42,8,7,181,1734,1968,3184,1244,955,12774,2060,20218
LGA17080,34,296,241,5807,165,6548,0,0,0,97,0,97,59,3,3,33,0,101,13,3,0,4,0,23,73,19,13,43,3,148,468,258,209,4531,136,5600,42,0,0,3,4,50,15,3,7,34,0,52,125,38,25,457,10,654,15,4,3,14,0,31,10,5,0,5,0,19,33,0,0,4,0,35,80,65,42,1476,23,1687,25,18,4,92,0,139,7,0,0,0,0,7,4,0,0,4,0,8,11,0,0,3,0,10,10,0,0,7,0,21,40,22,7,0,3,73,58,17,20,8,0,104,27,4,0,13,3,47,8,3,3,7,0,16,144,60,74,1057,21,1353,3,0,0,0,0,6,60,0,3,3,0,66,7,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,10,0,22,0,43,294,50,43,86,3,484,10,6,5,166,1277,1473,1394,538,408,10471,1590,14395
LGA17100,468,469,435,2087,59,3518,3,0,0,12,0,15,7939,85,139,117,55,8332,180,14,7,43,0,248,46,12,9,26,0,92,1188,317,244,1809,59,3614,616,16,21,6,5,668,80,10,8,27,0,122,132,45,33,176,7,396,531,76,41,214,8,868,83,11,7,22,3,129,5083,35,30,15,29,5185,289,138,102,983,20,1537,1091,208,138,501,26,1978,3593,9,50,10,21,3681,1504,310,180,441,38,2464,34,5,0,7,0,40,77,24,10,38,0,143,59,9,5,0,3,78,73,23,13,3,5,113,129,22,9,14,0,172,186,4,9,31,0,235,176,84,57,530,6,862,77,14,9,3,0,109,29,3,10,0,3,45,175,12,12,19,0,213,857,13,5,0,4,882,148,16,8,6,0,172,977,15,23,19,3,1031,16,6,3,24,0,42,6012,244,196,209,67,6722,262,4,13,31,2533,2846,29686,1449,1165,5113,2904,40312
