LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA14400,225,186,417,659,594,1251,125,120,242,51,50,100,830,771,1598,474,474,947,105,112,215,120,74,189,698,655,1355,33,20,50,13,22,32,111,35,147,53,75,129,8,3,7,218,157,371,173,213,382,29,65,102,23,31,52,68,168,240,3,0,3,305,474,777,10,11,25,35,64,94,0,4,4,44,77,125,718,773,1488,3034,3094,6127
LGA14500,1208,1092,2307,4009,3735,7744,679,613,1293,1512,1376,2891,6203,5721,11925,1995,1630,3626,781,991,1778,2846,2800,5645,5620,5423,11042,96,96,191,78,137,213,172,94,271,228,428,658,3,7,12,585,756,1340,2422,2704,5133,401,497,893,313,260,573,628,914,1538,18,16,30,3774,4394,8167,74,86,157,214,406,622,0,0,0,291,497,784,2257,2634,4894,19947,20514,40457
LGA14550,63,71,133,266,239,501,60,64,120,17,23,45,348,324,667,192,218,411,48,55,103,8,15,23,252,285,541,6,18,23,7,15,22,21,17,41,23,52,78,0,0,0,64,101,164,13,22,33,13,25,30,4,10,14,19,27,45,0,0,0,51,74,130,4,9,8,11,15,22,0,0,0,12,22,33,473,426,900,1258,1307,2566
LGA14600,71,78,141,218,204,417,52,54,111,11,9,17,276,265,543,121,143,266,3,11,19,13,12,32,143,167,312,3,3,8,3,11,10,8,9,14,9,25,35,0,3,3,19,46,65,14,20,37,3,0,3,0,5,9,10,16,26,0,0,0,23,47,77,0,7,7,0,14,14,0,0,0,0,16,19,400,378,780,936,1005,1942
LGA14650,1973,1864,3836,6229,5960,12191,1253,1095,2345,891,871,1763,8380,7928,16304,4408,4332,8746,1025,1009,2036,985,925,1911,6418,6272,12691,249,268,514,104,251,358,799,464,1265,541,947,1490,13,9,20,1702,1942,3652,1346,1634,2980,393,660,1057,235,324,558,667,1279,1951,10,13,19,2658,3906,6568,99,140,243,240,504,752,7,14,20,353,655,1012,4913,5381,10285,26394,27953,54344
LGA14700,396,327,724,898,954,1849,348,264,613,172,199,371,1419,1417,2837,301,306,602,722,344,1063,454,332,784,1482,976,2457,33,34,67,46,67,112,42,35,75,96,185,277,0,3,3,223,318,538,585,540,1125,188,228,415,98,97,194,268,397,659,3,3,8,1145,1253,2402,41,46,86,73,145,218,4,6,7,116,194,314,865,850,1718,5639,5339,10979
LGA14750,95,99,196,343,317,662,118,110,226,11,11,27,475,444,913,322,358,682,176,213,386,9,21,28,507,591,1102,8,11,19,3,18,16,31,24,58,29,56,88,0,0,0,73,108,176,20,22,41,7,8,16,6,10,15,15,43,60,0,0,0,43,85,137,3,6,10,10,11,26,0,3,5,13,21,34,574,585,1153,1782,1932,3709
LGA14850,368,351,720,1218,1121,2339,390,359,749,210,212,418,1814,1700,3512,832,835,1671,465,541,1004,103,89,186,1396,1470,2861,53,85,131,48,121,167,146,103,243,145,238,384,0,4,4,385,553,935,248,330,579,207,252,459,58,86,147,195,423,617,0,3,3,711,1087,1801,31,29,57,48,104,152,5,3,6,86,136,221,1809,1870,3674,6568,7157,13728
LGA14870,165,159,324,581,554,1130,146,164,311,28,25,47,758,736,1490,422,368,788,137,142,280,45,34,82,603,539,1145,20,45,64,19,36,48,91,57,150,59,122,184,7,0,9,201,264,459,28,72,101,22,35,51,12,26,35,46,120,168,0,0,0,107,243,353,12,14,21,24,40,66,0,0,3,38,53,90,1569,1177,2741,3439,3175,6611
LGA14900,1841,1641,3479,6464,5924,12389,2015,2102,4116,1418,1394,2816,9907,9417,19319,4753,4493,9244,2122,2089,4210,1238,1302,2542,8107,7892,15999,373,375,748,305,580,886,705,307,1017,516,872,1387,39,36,70,1939,2174,4109,2508,3259,5765,542,759,1297,362,455,813,558,961,1519,11,26,41,3982,5456,9437,368,454,824,360,662,1018,21,16,38,750,1128,1882,7881,7938,15817,34401,35645,70047
LGA14920,79,78,160,243,223,463,57,42,102,6,5,18,304,275,578,207,179,382,11,20,29,26,37,62,247,229,470,3,6,8,3,13,14,14,14,25,10,41,49,0,3,4,32,73,102,12,22,34,3,17,20,5,11,11,12,25,38,0,0,0,27,71,100,0,3,4,3,12,18,0,0,0,8,15,19,385,424,809,1080,1160,2248
LGA14950,30,34,58,70,94,159,40,46,82,11,17,29,122,148,270,52,58,112,20,17,34,27,20,49,98,87,188,0,3,3,0,5,5,5,3,9,4,20,25,0,0,0,15,27,38,4,13,15,0,3,3,0,0,3,0,14,13,0,0,0,7,31,38,3,3,4,0,9,9,0,0,0,3,9,10,125,169,297,402,505,906
LGA15050,895,793,1685,2543,2423,4968,886,867,1751,375,356,729,3800,3648,7451,1611,1516,3122,674,673,1348,396,348,741,2677,2538,5210,134,154,287,45,109,154,318,220,539,249,455,705,9,13,25,752,956,1709,395,558,953,144,279,421,89,144,228,296,504,798,0,3,3,917,1485,2406,55,72,126,110,212,322,3,3,3,168,284,450,2219,2198,4419,11439,11897,23334
LGA15240,751,677,1433,2577,2360,4938,417,433,852,259,267,525,3260,3054,6307,1894,1959,3853,371,323,699,209,228,436,2477,2511,4992,97,132,229,84,188,270,243,198,433,190,472,667,15,11,18,628,994,1618,105,220,325,61,150,208,29,72,102,133,358,484,3,4,5,332,797,1126,31,57,88,63,200,263,4,7,12,100,266,361,3560,3883,7444,11102,12186,23289
LGA15270,202,215,420,820,726,1541,248,272,519,12,9,20,1079,1005,2080,584,503,1085,123,109,234,12,14,26,719,623,1346,17,22,35,10,23,31,93,84,178,73,168,240,3,3,6,188,293,488,25,56,77,20,42,63,13,19,31,49,118,174,0,0,0,109,236,349,7,14,25,32,39,67,0,0,0,33,59,89,1339,1308,2650,3678,3740,7415
LGA15300,146,143,291,418,385,799,145,168,319,35,41,80,599,598,1197,236,238,472,40,49,91,42,49,87,314,328,647,3,4,7,7,12,26,31,24,53,34,66,99,0,4,3,81,109,196,21,30,54,10,15,23,8,19,28,21,69,87,0,0,3,53,134,192,3,3,7,5,13,22,0,0,3,14,19,32,908,856,1760,2118,2190,4311
LGA15350,253,257,505,566,547,1111,186,194,377,460,346,812,1212,1091,2301,192,241,431,168,214,386,554,537,1091,921,998,1917,26,13,38,8,26,29,18,20,37,45,102,150,0,3,3,92,165,256,390,435,825,79,147,227,50,56,105,137,296,436,0,3,3,664,940,1604,27,24,54,52,113,163,0,0,0,81,138,215,980,1091,2071,4192,4678,8872
LGA15520,96,98,199,313,286,597,63,83,146,46,56,98,420,421,850,151,155,305,80,120,200,77,86,163,312,354,670,8,11,24,4,5,10,30,24,52,21,51,71,0,0,4,65,95,165,14,36,50,9,11,18,0,10,17,15,52,62,0,3,4,39,114,148,3,3,6,17,26,40,0,0,0,20,28,49,506,557,1067,1460,1677,3140
LGA15560,42,28,65,136,104,236,47,40,84,8,5,10,187,148,336,114,82,192,23,24,53,0,3,11,143,114,255,3,4,9,0,3,4,19,7,24,12,14,29,0,0,0,36,27,67,13,11,23,0,3,3,0,0,3,12,18,26,0,0,0,24,32,57,3,0,4,0,3,5,0,0,0,3,5,10,254,220,480,687,577,1262
LGA15650,193,164,358,596,543,1137,169,154,320,53,55,108,813,752,1562,320,313,640,166,168,335,26,38,62,519,514,1033,16,32,48,6,18,26,84,56,139,55,88,145,5,0,5,163,192,360,11,39,46,8,32,41,6,20,20,35,68,102,0,0,0,61,155,217,6,6,13,14,33,53,0,0,3,20,42,66,862,584,1448,2630,2410,5036
LGA15700,167,133,299,496,485,979,149,147,292,85,98,183,730,726,1454,453,428,878,32,33,72,68,86,157,556,549,1099,15,25,40,14,54,66,58,34,95,45,102,144,0,0,0,139,217,350,23,52,74,15,39,53,5,18,22,36,76,112,3,3,7,78,187,264,10,9,20,15,36,51,0,0,0,24,45,70,855,911,1763,2543,2759,5304
LGA15750,117,133,251,413,443,856,152,153,304,22,13,38,589,610,1201,340,307,651,15,27,40,16,15,30,375,346,729,10,7,18,8,9,16,43,19,67,26,46,76,3,0,3,92,94,183,8,26,40,5,16,29,9,12,20,20,58,78,0,0,0,40,117,158,4,5,14,13,27,34,0,0,0,20,34,53,757,804,1562,1995,2140,4137
LGA15800,55,51,112,163,162,332,80,95,173,3,3,5,251,259,504,106,109,213,33,39,73,3,0,3,145,152,297,0,0,4,0,6,8,19,16,38,20,38,51,0,0,0,40,59,105,12,20,32,6,10,19,0,8,8,6,25,34,0,0,0,27,61,85,0,0,0,3,11,8,0,0,0,7,12,15,339,372,706,861,963,1827
LGA15850,73,54,132,162,163,321,94,71,164,45,54,100,308,285,591,135,118,251,37,37,71,37,38,74,208,189,402,3,7,16,0,9,11,20,9,31,11,34,42,0,0,3,36,63,100,11,21,25,4,13,14,0,5,5,13,24,40,0,0,0,20,60,82,3,0,6,0,10,8,0,3,3,3,11,14,360,358,718,1007,1027,2036
LGA15900,1560,1278,2837,4285,4057,8341,1147,1048,2195,535,531,1066,5965,5634,11599,2855,2728,5583,855,816,1671,681,621,1306,4393,4164,8557,243,328,571,254,314,564,539,377,916,619,858,1474,21,15,36,1671,1887,3560,3053,3487,6541,1370,1361,2734,360,433,792,1047,1495,2544,16,22,36,5858,6798,12649,86,131,218,219,397,621,9,20,23,316,545,862,4503,4845,9353,24272,25155,49427
LGA15950,483,486,972,1206,1172,2377,194,249,442,220,215,441,1621,1633,3259,358,385,749,246,220,463,479,388,869,1084,998,2084,44,59,104,61,134,200,52,39,91,188,322,506,3,4,6,342,565,907,653,809,1460,317,514,831,118,136,255,667,902,1570,9,12,18,1770,2366,4135,62,112,169,147,291,431,0,3,3,205,405,609,2542,2723,5270,8050,9183,17233
LGA15990,2774,2488,5264,8620,8292,16917,1749,1614,3363,1566,1424,2991,11935,11330,23271,4125,4192,8316,2542,2201,4742,2250,2082,4331,8917,8471,17387,236,229,470,253,374,629,826,391,1217,733,1150,1886,12,16,26,2068,2156,4223,2539,2867,5407,625,884,1513,466,487,953,1110,1719,2828,17,28,48,4758,5984,10742,206,243,445,525,946,1468,6,12,18,733,1199,1930,6650,7425,14077,37844,39058,76898
LGA16100,42,36,70,140,121,266,49,47,95,9,4,12,198,173,369,117,105,225,31,40,73,22,19,46,170,167,344,7,7,9,3,8,11,16,19,33,8,19,31,0,0,0,30,51,80,17,19,34,0,5,4,0,6,9,4,31,40,0,0,0,25,59,84,0,0,3,3,11,16,0,0,0,7,10,16,440,294,732,910,784,1698
LGA16150,391,369,757,1270,1162,2433,392,362,757,297,245,540,1960,1765,3726,702,633,1337,323,373,698,298,307,607,1327,1311,2640,47,74,122,32,60,94,191,128,315,222,307,527,3,3,4,497,570,1066,171,246,419,102,144,248,20,59,82,168,341,507,0,3,3,453,803,1255,25,21,41,55,103,152,0,6,3,78,130,202,1452,1490,2937,6148,6436,12589
LGA16200,129,131,260,460,451,910,157,128,283,54,57,111,672,641,1307,314,299,611,125,122,251,51,56,104,496,473,968,16,18,31,3,6,8,54,61,111,31,108,134,0,3,3,101,191,293,20,51,74,5,22,30,14,22,36,34,61,99,0,0,5,82,160,237,3,8,4,16,33,50,0,0,0,14,40,54,703,798,1501,2192,2438,4629
LGA16260,1997,1877,3875,6664,6147,12810,1636,1555,3190,458,465,919,8756,8156,16916,4109,3936,8044,1445,1406,2855,956,692,1648,6510,6040,12546,325,266,593,415,693,1108,427,207,641,647,1132,1774,19,15,31,1839,2311,4149,4207,4056,8260,1793,1884,3680,434,463,893,1209,1527,2731,29,42,71,7669,7968,15643,483,492,968,497,903,1397,12,6,19,988,1404,2389,8302,7024,15328,36068,34778,70845
LGA16350,2118,1873,3987,6335,6024,12356,1797,1871,3662,898,927,1826,9031,8811,17848,3479,3654,7128,2256,2104,4364,888,809,1700,6624,6572,13191,226,310,534,172,428,598,995,471,1466,524,942,1466,20,19,33,1935,2167,4101,1478,1850,3329,506,668,1180,272,419,694,583,1091,1670,19,18,33,2857,4048,6906,162,234,389,239,592,832,6,15,21,411,844,1251,6576,6478,13059,29546,30787,60338
LGA16380,712,661,1369,1855,1720,3578,867,885,1747,359,330,690,3082,2934,6012,1056,1004,2061,1095,1119,2223,337,350,687,2498,2480,4971,77,111,191,49,160,206,254,189,438,226,461,688,7,11,13,614,927,1539,160,345,510,104,213,319,38,70,104,212,458,672,6,4,6,518,1093,1617,36,66,100,94,211,302,4,8,12,135,281,413,2785,2974,5759,10346,11345,21684
LGA16400,628,610,1230,2172,2037,4206,426,400,818,344,317,657,2937,2746,5685,1473,1381,2854,317,305,623,412,348,761,2195,2034,4234,73,86,161,25,81,108,251,152,401,178,337,510,6,4,10,531,659,1188,239,384,624,83,195,280,64,88,153,149,351,506,0,11,8,540,1027,1569,31,47,75,80,181,254,4,5,12,113,229,342,2782,2866,5653,9735,10180,19912
LGA16490,486,359,845,1633,1682,3315,640,531,1174,170,154,327,2445,2365,4811,1027,950,1976,661,667,1327,243,212,460,1926,1830,3756,72,83,157,34,49,81,252,140,395,218,319,538,8,5,12,579,602,1184,342,429,776,184,214,391,63,105,168,366,574,937,3,3,9,956,1331,2288,43,42,83,98,193,289,3,3,10,142,243,378,2202,2115,4319,8743,8833,17578
LGA16550,1134,1074,2208,2381,2330,4709,1309,1240,2545,889,869,1757,4577,4435,9007,957,956,1912,1299,1242,2546,993,984,1980,3253,3185,6434,162,184,343,186,280,468,262,135,397,423,566,992,18,13,22,1051,1171,2225,5929,5899,11834,1986,1664,3652,281,284,564,846,1319,2164,31,36,59,9070,9201,18266,237,302,538,354,530,878,4,5,17,597,843,1434,6786,5299,12089,26456,25207,51664
LGA16610,212,229,443,598,593,1191,287,258,544,67,48,110,946,896,1845,437,417,860,231,260,484,64,53,113,726,728,1457,21,26,54,13,48,63,74,70,146,51,132,184,3,7,11,164,287,448,22,67,94,23,52,76,11,27,37,37,99,137,0,0,0,102,244,340,9,16,22,15,48,61,3,0,0,23,66,87,1059,1050,2107,3234,3499,6731
LGA16650,820,776,1599,2517,2305,4827,802,833,1637,346,339,682,3662,3476,7143,1630,1582,3209,836,776,1611,329,359,691,2794,2717,5511,217,226,441,247,356,601,283,148,435,417,497,909,10,12,22,1173,1232,2398,2035,2043,4073,1063,1035,2098,171,196,373,510,614,1126,25,18,45,3802,3904,7715,334,402,739,404,557,964,15,16,30,756,977,1734,3781,3841,7625,16794,16928,33724
LGA16700,959,936,1898,2903,2700,5608,954,959,1914,368,307,673,4227,3966,8193,1698,1564,3265,1047,969,2014,432,432,865,3180,2969,6146,203,253,451,274,414,685,236,104,335,386,639,1018,8,16,17,1096,1424,2514,3163,3364,6525,1276,1335,2612,278,306,581,677,856,1532,24,7,29,5413,5873,11284,180,206,380,246,424,670,3,9,5,427,638,1061,2669,2863,5534,17967,18664,36631
LGA16900,807,697,1504,2400,2244,4644,513,552,1068,226,186,407,3132,2988,6119,1596,1545,3137,571,654,1225,212,202,416,2383,2406,4786,90,122,213,46,114,163,351,185,534,166,337,504,10,7,16,664,758,1421,337,578,921,92,171,262,76,124,203,172,340,505,0,7,5,679,1216,1900,49,58,108,85,219,307,0,4,10,132,286,416,2032,2228,4260,9834,10578,20408
LGA16950,931,866,1793,3104,2911,6011,362,327,687,268,295,566,3734,3533,7266,1982,1947,3931,418,447,864,319,306,619,2714,2700,5411,94,111,201,64,129,194,343,201,543,212,465,678,17,14,29,729,918,1645,197,361,565,121,252,374,47,93,144,241,514,753,4,4,9,610,1227,1833,56,76,134,96,244,336,3,3,10,159,318,473,4711,4255,8970,13587,13810,27396
LGA17000,241,235,471,713,736,1451,269,279,551,60,45,107,1048,1063,2103,485,474,965,223,245,464,108,97,208,815,819,1637,13,29,45,14,22,35,112,60,175,68,155,217,3,3,3,209,267,475,86,105,187,16,40,58,22,33,59,64,126,187,0,0,0,185,301,491,46,13,62,19,67,89,0,0,0,63,84,150,926,909,1830,3491,3672,7163
LGA17040,174,127,303,637,594,1231,136,122,258,85,47,132,856,774,1627,401,402,806,89,88,178,109,84,199,601,577,1180,5,15,24,3,21,25,67,57,123,88,129,215,3,0,5,169,215,385,54,69,123,9,34,47,11,25,39,61,153,221,0,3,3,142,288,430,24,26,49,15,57,69,0,0,0,45,84,123,1202,961,2167,3187,3031,6216
LGA17080,118,126,242,437,428,866,153,141,301,5,0,6,592,573,1170,339,326,662,65,70,139,3,6,14,410,402,816,18,12,32,4,19,26,51,53,100,41,79,116,0,3,3,106,168,272,10,41,53,14,18,26,3,16,14,26,58,88,0,0,0,54,136,192,7,11,18,6,20,33,0,0,0,18,31,51,878,728,1610,2182,2167,4344
LGA17100,288,263,544,777,739,1512,275,287,558,209,205,413,1260,1232,2485,657,689,1345,287,237,528,268,290,565,1217,1220,2438,93,78,175,107,158,262,61,34,98,132,173,303,0,5,5,396,449,845,1109,1033,2143,444,397,843,127,90,223,201,207,399,10,10,20,1889,1743,3635,149,156,305,116,184,295,3,3,3,268,337,609,1566,1337,2905,6876,6586,13459
LGA17150,2378,2081,4460,7024,6481,13499,2240,2185,4425,538,497,1034,9802,9163,18963,4526,4340,8871,2077,2096,4172,786,891,1675,7392,7326,14719,219,302,519,123,203,329,1100,396,1495,577,850,1428,16,16,32,2037,1765,3800,2255,2857,5110,471,584,1050,368,480,852,913,1559,2471,21,27,48,4018,5514,9534,121,155,275,315,623,938,3,15,19,437,791,1237,4592,4852,9439,30658,31497,62146
LGA17200,705,662,1366,1558,1548,3111,316,367,684,387,335,726,2261,2255,4514,789,804,1591,325,539,867,585,575,1163,1700,1914,3616,596,653,1247,876,1180,2060,285,266,556,890,1051,1942,22,21,39,2673,3173,5845,7285,9829,17114,3339,3346,6687,390,514,908,2125,2290,4418,38,44,81,13172,16029,29206,1549,2111,3664,1261,1619,2875,17,41,58,2829,3773,6604,14751,12081,26829,38089,39885,77977
LGA17310,614,587,1198,1827,1665,3494,611,609,1216,300,287,589,2740,2558,5301,1284,1101,2384,351,446,794,332,469,802,1965,2011,3978,51,80,134,51,82,130,198,170,372,188,335,521,6,6,10,495,676,1173,89,189,272,41,108,145,37,91,126,166,339,501,4,3,11,338,725,1061,19,30,49,73,136,209,7,0,8,95,172,267,2598,2616,5217,8848,9349,18196
LGA17350,75,65,133,218,181,398,71,70,139,0,0,0,286,245,536,161,154,321,32,42,73,3,6,6,194,204,398,0,9,6,0,0,0,24,17,49,20,34,54,0,0,0,45,59,108,15,17,30,4,5,9,0,3,6,10,21,30,0,0,0,29,48,83,8,0,6,4,14,13,0,0,0,11,15,20,227,211,438,869,843,1713
LGA17400,53,36,89,171,191,359,47,56,108,3,6,9,219,256,478,159,159,322,13,4,16,8,3,15,185,172,356,6,0,8,0,8,11,13,15,23,9,39,49,0,0,0,24,59,86,5,14,18,8,16,17,4,0,5,13,25,36,0,0,0,27,55,78,3,7,16,9,9,16,0,0,0,12,14,25,408,448,853,925,1044,1964
LGA17420,1732,1627,3359,5524,5210,10734,1712,1620,3337,1121,1063,2185,8359,7898,16258,3106,2992,6099,1834,1802,3631,1666,1500,3171,6603,6297,12900,210,212,424,133,294,423,586,222,808,326,578,904,8,17,19,1258,1322,2581,2614,2801,5409,483,609,1090,468,394,862,755,949,1706,17,32,53,4328,4786,9118,199,274,469,252,425,676,6,3,15,456,704,1155,2557,2770,5336,25303,25411,50716
LGA17550,702,572,1275,2361,2215,4582,754,771,1525,416,374,785,3533,3359,6890,1536,1543,3083,642,730,1365,415,431,844,2590,2702,5289,102,125,226,65,178,247,262,171,433,221,510,730,4,16,19,653,997,1648,351,473,822,185,311,498,71,133,202,204,575,781,7,10,13,823,1499,2323,59,68,126,105,192,294,6,4,10,162,265,431,3723,4054,7773,12173,13450,25623
LGA17620,159,148,302,412,432,844,157,128,287,101,112,216,668,677,1350,229,230,452,117,132,247,68,81,152,406,443,851,3,16,15,3,13,16,53,36,87,41,89,130,0,0,0,96,153,247,32,28,60,9,16,18,4,11,15,19,72,86,0,0,0,61,127,184,3,3,3,5,33,39,0,3,3,12,42,46,683,727,1410,2078,2312,4393
LGA17640,75,59,135,206,207,415,63,69,136,15,10,24,284,290,580,135,182,321,47,33,78,9,9,15,194,223,411,3,14,21,0,10,9,34,24,62,25,31,56,3,0,3,68,75,144,18,33,47,4,9,17,3,3,8,18,42,63,0,0,0,42,87,134,0,0,0,5,13,22,0,0,4,7,18,22,373,323,691,1047,1070,2112
LGA17650,57,53,110,202,194,403,43,43,89,30,39,61,273,275,550,131,126,262,35,41,74,31,38,68,196,205,398,0,4,4,4,3,8,15,16,27,11,35,42,0,0,0,34,57,92,15,33,56,3,26,30,5,21,23,20,46,65,0,0,0,46,125,173,0,3,8,3,10,14,0,0,0,8,18,20,252,265,508,863,996,1853
LGA17750,649,545,1198,1710,1615,3330,811,840,1651,333,277,610,2853,2730,5588,1126,1051,2177,620,676,1302,354,369,718,2100,2096,4193,142,92,233,93,111,206,304,203,501,220,395,615,9,4,14,766,807,1570,447,986,1428,187,314,508,67,166,230,284,555,838,3,6,5,987,2029,3017,134,59,193,82,139,222,6,3,9,218,206,423,2042,2042,4080,9615,10455,20074
LGA17850,24,25,52,66,77,143,46,32,80,3,0,4,118,110,228,58,64,123,13,11,22,6,14,20,74,91,165,3,3,3,3,6,7,7,5,13,5,15,19,0,0,0,20,28,45,8,5,18,3,5,3,3,3,8,3,17,14,0,0,0,12,34,45,0,3,5,0,0,0,0,0,0,0,3,5,178,181,363,427,471,900
LGA17900,70,76,146,180,182,358,82,68,147,5,6,13,267,262,529,112,83,193,4,4,9,14,18,32,136,104,242,8,6,13,7,14,17,8,12,15,11,31,41,0,0,0,33,58,91,8,3,10,3,5,10,0,3,5,3,30,32,0,3,3,19,41,59,3,4,5,0,9,13,0,0,0,4,15,21,458,404,862,978,958,1943
LGA17950,41,41,81,66,49,112,42,78,124,0,0,6,106,130,236,65,60,122,3,3,5,0,3,4,68,70,139,0,3,4,0,3,3,3,9,6,4,14,16,0,0,0,6,21,31,3,12,13,0,3,3,5,0,3,5,16,18,0,0,0,10,31,45,0,0,0,0,0,0,0,0,0,0,0,3,154,174,325,391,464,852
LGA18020,75,66,142,270,280,550,86,105,189,10,0,10,369,384,747,276,254,528,9,3,15,16,11,20,300,269,561,8,10,16,0,13,19,10,25,38,25,55,85,0,3,3,46,112,157,15,24,40,5,3,5,4,9,13,9,60,70,0,0,4,39,96,132,0,5,6,8,14,19,0,0,4,9,26,31,574,576,1153,1409,1519,2927
LGA18050,694,590,1278,1268,1196,2466,276,276,553,680,662,1337,2225,2133,4359,283,294,581,308,272,574,844,866,1713,1439,1425,2867,51,62,118,94,146,242,93,82,176,263,344,607,6,3,4,517,640,1152,677,788,1467,269,385,651,109,126,235,434,634,1067,13,7,16,1504,1927,3436,112,139,248,320,441,759,7,7,10,436,586,1028,3539,3687,7229,10355,10981,21334
LGA18100,36,29,65,133,105,235,27,31,64,0,0,0,163,140,301,73,76,147,3,16,21,0,7,4,79,93,170,0,0,0,0,8,9,6,7,17,4,15,20,0,0,0,14,33,43,9,8,16,0,6,6,0,0,3,8,12,12,0,0,0,19,22,42,0,3,3,0,6,6,0,0,0,3,8,13,182,206,393,489,534,1027
LGA18200,69,58,123,232,209,447,39,39,77,15,12,29,290,267,553,131,145,277,41,39,80,13,12,19,185,196,383,7,9,11,0,7,6,20,6,21,14,38,54,0,0,0,43,54,101,10,32,43,3,10,13,0,3,4,3,32,36,0,0,0,18,78,96,5,4,10,3,19,24,0,0,0,10,22,35,429,367,789,1042,1035,2075
LGA18230,535,530,1066,1404,1250,2659,609,628,1237,304,234,531,2311,2113,4423,877,843,1722,436,475,919,219,243,462,1531,1560,3096,56,96,157,27,89,122,221,143,367,197,336,527,3,4,9,504,677,1176,102,175,271,50,116,162,19,78,93,149,304,449,3,0,6,322,671,993,31,40,74,52,106,164,0,3,3,84,148,239,2710,2280,4987,8001,7975,15972
LGA18250,814,755,1572,2436,2345,4787,533,457,987,482,427,906,3455,3227,6679,811,1050,1862,668,463,1135,838,743,1583,2315,2261,4574,81,98,173,123,213,329,68,53,115,182,344,523,0,6,6,448,713,1155,1426,1605,3032,438,545,986,137,140,282,473,581,1052,13,8,26,2491,2881,5368,127,181,308,168,300,473,0,4,9,298,488,790,1819,2020,3839,11644,12345,23984
LGA18350,453,372,825,1273,1262,2533,336,307,643,357,341,696,1958,1914,3872,669,634,1307,582,547,1130,335,588,924,1585,1769,3360,35,40,71,13,46,61,189,104,293,122,213,331,3,6,7,356,406,764,142,215,357,47,114,163,35,63,99,148,293,442,0,11,10,379,691,1070,23,51,75,56,147,204,0,3,3,83,209,288,1724,1846,3568,6535,7217,13749
LGA18400,567,536,1103,1841,1688,3522,383,393,776,305,301,608,2528,2374,4902,1025,941,1966,472,450,916,323,365,681,1814,1758,3567,45,62,110,8,41,53,313,113,429,102,182,287,3,3,10,484,411,886,263,450,721,80,139,215,53,82,142,108,273,380,3,5,4,515,948,1457,17,39,59,49,132,177,0,0,4,67,167,234,1464,1431,2897,7433,7619,15054
