LGA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA55040,3,3,5,201,204,77,58,326,319,1178
LGA55110,970,422,2124,12347,16714,8367,7676,15270,5879,66260
LGA55180,63,49,200,1375,1952,1035,935,1362,866,7523
LGA55250,0,5,10,124,164,56,61,246,238,876
LGA55320,1189,695,3221,19850,22597,10493,7705,15386,5250,81281
LGA55390,0,0,0,85,81,29,23,147,67,426
LGA55460,20,17,67,501,726,309,300,555,304,2694
LGA55530,0,0,7,67,79,43,35,84,60,368
LGA55600,23,7,49,373,472,226,202,395,248,1914
LGA55670,8,5,18,101,136,70,66,146,70,587
LGA55740,48,65,182,1898,1931,816,562,1307,737,7248
LGA55810,0,0,3,55,76,34,30,77,118,394
LGA55880,3,0,6,89,101,59,55,72,35,413
LGA55950,0,0,13,89,113,70,58,65,49,435
LGA56090,221,124,604,6185,8466,4151,3507,5145,4068,31521
LGA56160,0,0,0,19,26,11,16,11,42,131
LGA56230,133,51,298,2346,3371,1727,1822,2855,1441,13557
LGA56300,0,3,18,167,299,180,193,161,127,1127
LGA56370,9,4,25,147,135,75,91,146,72,667
LGA56460,54,29,132,804,998,476,464,782,560,4086
LGA56580,228,84,574,4499,4704,2310,1704,2715,1005,16932
LGA56620,0,0,3,286,245,99,80,150,346,1207
LGA56730,94,30,200,1484,2086,1077,1061,1836,1486,9019
LGA56790,15,27,62,452,688,371,427,476,396,2809
LGA56860,0,0,8,26,57,26,32,38,25,206
LGA56930,9,4,41,391,328,159,133,208,108,1326
LGA57000,0,3,8,96,110,56,42,140,80,529
LGA57080,63,27,160,5700,4446,1141,639,5189,3537,20656
LGA57140,7,3,24,140,229,121,112,219,137,948
LGA57210,40,21,97,738,1071,610,568,636,572,4199
LGA57280,18,9,34,2341,2638,884,804,2393,1978,11041
LGA57350,11,5,27,133,176,107,113,188,136,850
LGA57420,4,6,16,237,298,176,180,323,200,1428
LGA57490,715,404,1712,20076,25333,11504,10353,20911,9027,97197
LGA57630,0,0,0,13,15,9,9,21,22,86
LGA57700,92,36,189,4395,5546,2364,2397,3909,1825,20437
LGA57770,3,3,14,139,206,98,93,136,113,778
LGA57840,444,295,1136,9553,9842,3780,2586,7083,3049,35887
LGA57910,1895,1065,4902,43578,46221,18347,13948,38340,14376,174807
LGA57980,136,148,435,4633,4554,1651,1087,3117,1462,16509
LGA58050,522,360,1381,23535,27044,11489,10053,23613,9131,104850
LGA58190,0,0,3,65,60,39,38,59,54,308
LGA58260,7,0,17,74,82,59,80,98,51,452
LGA58330,12,3,35,618,922,569,574,651,451,3781
LGA58400,9,3,12,46,67,31,33,53,68,296
LGA58470,0,0,0,31,34,27,28,28,46,200
LGA58510,537,299,1132,7632,7770,2561,1961,6953,3383,30255
LGA58540,0,3,6,150,161,81,105,167,84,746
LGA58570,348,73,663,8432,8180,2581,1676,5266,2789,28927
LGA58610,28,12,62,272,338,231,190,284,197,1517
LGA58680,3,0,4,58,85,47,49,77,45,354
LGA58760,898,447,1892,33270,38142,16107,13381,33072,11029,145001
LGA58820,30,35,96,540,784,457,493,620,480,3375
LGA58890,3,0,23,137,164,100,99,99,52,651
LGA59030,0,0,0,63,53,21,25,53,48,259
LGA59100,8,4,15,111,132,95,90,83,67,576
LGA59170,5,0,13,154,209,108,112,107,92,776
LGA59250,0,0,0,122,117,26,11,240,135,660
LGA59310,7,7,27,210,254,148,151,203,78,1050
LGA59320,0,0,0,56,92,51,43,52,29,318
LGA59330,10,3,23,66,99,58,48,102,63,439
LGA59340,7,5,19,1428,1319,459,321,1132,856,5511
LGA59350,0,0,3,47,45,21,11,115,59,302
LGA59360,6,12,24,188,214,96,109,267,179,1046
LGA59370,34,19,82,448,751,393,449,545,404,2988
LGA59499,7,6,23,962,791,327,210,1663,1594,5559
LGA59799,3,0,3,32,31,10,9,274,81,434
LGA60210,64,35,153,751,1224,784,755,1141,593,5247
LGA60410,79,29,144,2179,3234,1544,1282,3223,1173,12624
LGA60610,218,67,431,2892,4018,2033,1719,3505,1274,15446
LGA60810,222,110,522,3222,4654,2425,2158,3724,1561,17742
LGA61010,7,3,22,288,421,234,240,421,203,1802
LGA61210,52,28,115,1095,1579,846,750,1336,695,6304
LGA61410,678,219,1497,9477,13133,6246,4137,8523,3458,44973
LGA61510,76,15,154,1400,1920,1145,901,1962,825,8149
LGA61610,334,141,700,3809,5064,2653,2127,4776,1779,20209
LGA61810,64,33,173,910,1292,756,745,1174,599,5480
LGA62010,6,3,15,129,202,137,99,140,68,775
LGA62210,62,29,129,820,1271,746,738,1268,675,5511
LGA62410,36,26,111,605,962,570,465,789,476,3860
LGA62610,453,251,1154,7687,9983,4201,3355,9149,3457,37831
LGA62810,642,206,1401,11143,13122,5149,2812,7807,3170,43208
LGA63010,128,43,260,2285,3613,2010,1729,2373,1276,13295
LGA63210,42,24,100,859,1270,685,734,1048,513,5109
LGA63410,21,8,43,265,325,204,118,261,161,1336
LGA63610,340,75,718,6316,8820,4334,2906,4581,1772,28724
LGA63810,114,42,257,1598,2311,1233,1084,1863,821,8913
LGA64010,831,295,1677,10947,14261,6526,4946,11954,5082,53708
LGA64210,250,76,492,3105,4080,2127,1808,3438,1392,15952
LGA64610,112,45,238,1979,2555,1407,1191,2323,1147,10612
LGA64810,113,47,263,2279,3310,1594,1278,2296,970,11733
LGA65010,38,22,86,875,1190,659,588,1095,517,4915
LGA65210,15,26,61,263,492,316,290,379,311,2047
LGA65410,140,56,311,2008,2795,1580,1438,2424,985,11238
LGA65610,20,5,38,539,816,450,435,783,368,3383
LGA65810,227,90,498,3698,5172,2701,2164,3458,1547,18732
LGA69499,0,0,3,153,152,50,40,256,178,835
LGA69799,0,0,0,7,6,3,10,36,8,73
LGA70200,79,27,164,4372,5376,1912,1155,3874,2868,19560
LGA70420,9,5,20,1234,1268,419,191,1093,708,4911
LGA70540,0,0,0,22,49,20,3,41,0,131
LGA70620,8,0,12,705,594,386,169,449,286,2593
LGA70700,4,0,9,153,243,102,101,201,280,1073
LGA71000,234,74,470,15352,16979,5796,3974,13886,8264,64253
LGA71300,0,0,8,2024,1327,543,454,1306,792,6435
LGA72200,17,20,41,1589,1697,610,434,1359,1832,7526
LGA72300,21,22,67,3336,4747,1976,1512,3466,4601,19634
LGA72330,12,0,17,741,1118,572,142,626,1603,4797
LGA72800,41,14,85,5870,7240,2539,1911,4836,2686,25072
LGA73600,4,0,6,1523,841,394,223,999,652,4626
LGA74050,0,0,4,394,343,205,79,692,134,1837
LGA74550,4,0,10,471,435,178,129,399,443,2052
LGA74560,0,0,3,81,123,68,46,50,25,392
LGA74660,5,0,9,1019,1454,421,317,550,797,4555
LGA74680,0,0,0,541,483,333,104,380,279,2128
LGA79399,0,3,9,1175,1397,482,366,960,1053,5432
LGA79499,0,0,0,334,366,137,92,522,839,2281
LGA79799,0,0,0,0,0,0,4,43,23,72
LGA89399,2194,1341,6155,82357,102080,39392,22602,53853,22141,322415
LGA89499,3,0,3,133,94,23,10,138,118,506
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,20,9,51,622,888,365,299,762,781,3714
LGA99499,0,0,0,5,11,0,3,22,4,46
LGA99799,0,0,0,0,0,0,0,3,0,6
