LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA17900,472,384,315,30,1205,623,67,1892,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,5,11,3,4,3,28,68,4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,3,0,0,0,3,0,0,3,16,3,8,3,29,86,3,116,3,0,0,0,5,25,3,33,0,0,0,0,0,0,0,0,32,15,8,0,61,84,11,147,3,0,0,0,3,3,0,6,40,18,8,0,65,113,13,190,19,13,14,4,47,34,3,91,553,422,343,44,1354,854,82,2286
LGA17950,296,243,102,5,651,269,21,944,0,0,3,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,6,8,0,3,0,10,28,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,10,28,3,39,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,3,0,0,0,7,6,0,8,301,251,112,5,675,318,20,1007
LGA18020,1107,751,361,36,2258,972,65,3299,6,0,0,0,9,34,0,45,3,0,0,0,4,0,0,6,9,4,0,0,9,37,0,50,11,5,4,0,20,45,3,61,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,8,5,10,0,17,54,3,78,5,3,0,0,8,7,0,18,4,0,0,0,6,4,0,12,0,0,0,0,0,0,0,0,5,0,0,0,7,10,0,19,15,4,0,0,18,20,0,45,17,15,3,0,31,24,0,55,1156,775,375,36,2345,1107,72,3517
LGA18050,938,2194,312,49,3488,521,146,4160,452,855,193,23,1523,433,186,2148,505,1340,254,23,2124,353,149,2630,964,2192,446,49,3653,788,331,4774,906,626,261,45,1842,1063,530,3433,2324,1078,421,89,3914,2596,1188,7691,1366,546,251,53,2217,1824,566,4614,3,4,0,0,13,3,9,20,4608,2257,930,192,7983,5484,2289,15759,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,45,33,0,173,137,37,343,93,45,33,0,174,135,37,344,27,37,3,0,66,46,10,129,6624,6727,1724,291,15370,6979,2819,25166
LGA18100,476,312,110,14,913,425,35,1365,16,3,3,0,16,32,0,51,0,0,0,0,0,0,0,0,16,3,3,0,16,36,0,53,0,0,4,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,7,3,3,0,0,4,8,0,9,0,4,0,0,8,3,0,11,497,316,112,14,945,471,37,1449
LGA18200,714,652,232,18,1612,514,42,2163,4,5,6,0,11,22,0,38,0,0,0,0,0,0,0,0,4,5,6,0,11,22,0,38,22,0,10,0,31,74,5,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,0,31,74,5,115,12,0,0,0,14,25,0,39,11,0,0,0,8,3,3,22,3,0,0,0,5,5,0,9,0,3,0,0,6,3,3,10,22,3,0,0,32,38,5,74,7,3,3,0,15,11,0,23,771,669,245,18,1707,662,51,2420
LGA18230,4144,4776,2140,182,11231,3145,409,14789,180,86,123,18,403,541,55,999,13,3,3,3,17,30,3,55,188,89,126,19,418,570,63,1054,249,78,67,9,407,738,49,1191,0,0,0,0,3,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,78,67,9,411,754,50,1208,10,3,0,0,16,27,3,40,0,0,0,0,4,3,0,12,0,3,0,0,3,3,0,7,82,81,28,6,196,76,12,277,99,82,34,6,220,106,13,339,25,19,7,0,49,30,4,87,4702,5046,2368,217,12333,4607,540,17474
LGA18250,2716,6392,1024,115,10246,1555,277,12077,201,347,85,11,645,184,33,865,295,513,121,6,938,227,59,1217,493,865,201,16,1581,412,85,2077,414,326,129,33,903,531,117,1546,839,824,296,57,2018,895,311,3225,1863,1799,657,158,4475,2088,525,7086,0,0,0,0,4,4,0,12,3123,2941,1084,246,7395,3521,951,11873,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,10,0,37,25,8,65,17,11,11,0,40,25,8,72,14,11,0,0,28,27,3,58,6362,10219,2324,380,19291,5537,1330,26155
LGA18350,5557,4806,1626,112,12105,3682,337,16121,169,52,44,5,272,466,24,764,92,21,31,0,151,139,4,293,268,68,80,7,422,603,28,1055,56,30,23,0,101,208,6,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,53,26,25,0,107,206,6,324,9,3,5,0,17,62,3,86,3,0,0,0,4,0,0,3,3,3,0,0,4,10,0,13,13,8,4,0,18,11,0,31,26,11,6,0,47,84,3,136,38,18,4,0,65,52,9,129,5939,4937,1741,119,12744,4636,379,17759
LGA18400,3796,6754,1447,97,12089,1874,214,14179,219,35,34,8,298,281,6,589,11,3,14,0,27,27,0,61,232,38,46,7,330,308,3,647,19,4,18,0,39,52,5,91,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,23,4,16,0,44,56,5,108,3,5,0,0,13,28,0,40,3,0,0,0,6,19,0,24,0,3,3,0,12,3,0,14,10,17,0,0,23,10,0,35,14,24,10,0,51,59,0,113,19,13,7,0,38,17,3,55,4078,6843,1528,104,12552,2316,232,15094
LGA18450,13572,20608,6346,543,41072,8896,1397,51367,830,424,518,50,1819,2005,189,4016,1083,957,827,65,2929,1889,321,5141,1912,1381,1342,116,4752,3887,514,9154,983,612,616,80,2290,2780,461,5540,592,287,247,44,1176,1414,391,2979,1260,420,260,71,2009,1400,477,3892,3,9,10,0,24,26,3,48,2840,1328,1138,188,5500,5623,1338,12454,35,16,20,8,72,133,14,213,3,10,11,0,23,21,0,46,0,0,0,0,0,4,0,4,43,57,46,3,148,77,23,244,83,80,73,10,243,235,34,511,117,60,35,3,215,225,26,468,18527,23453,8937,861,51776,18871,3304,73953
LGA18500,1080,2357,352,41,3836,577,92,4500,180,191,75,7,456,195,44,690,1133,1277,333,58,2800,842,372,4013,1315,1463,409,62,3255,1038,419,4703,454,425,179,21,1084,603,144,1826,1319,667,307,62,2351,1559,456,4366,1573,554,275,80,2484,2391,497,5376,20,14,7,0,48,11,8,64,3366,1663,772,165,5971,4570,1100,11636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,12,0,77,63,13,156,37,27,12,0,77,64,13,158,29,26,5,0,62,38,8,106,5830,5547,1542,274,13197,6284,1628,21105
LGA18710,1674,2037,429,39,4176,911,98,5185,33,18,9,0,63,133,11,207,3,0,3,0,3,7,0,9,38,18,11,0,68,140,11,220,5,0,3,0,10,12,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,12,3,26,3,0,0,0,3,9,0,9,5,3,0,0,7,3,0,11,4,0,0,0,8,6,0,9,5,0,0,0,7,0,0,8,15,3,0,0,22,21,0,40,15,11,4,0,29,16,0,51,1747,2073,452,40,4307,1102,108,5519
LGA19399,112,95,19,3,235,88,7,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,3,0,4,113,96,19,3,235,94,7,336
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,1566,1097,392,31,3085,1279,109,4476,17,5,9,0,34,96,0,133,4,4,0,0,13,10,3,23,23,12,14,0,41,108,3,155,19,6,8,0,34,66,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,8,0,29,66,0,100,3,0,0,0,7,3,0,6,0,0,0,0,3,7,0,4,0,0,0,0,0,0,0,0,6,3,0,0,10,13,0,17,10,3,3,0,19,17,0,32,22,16,6,0,40,24,0,71,1631,1135,417,31,3218,1492,119,4832
LGA20260,1295,977,400,38,2717,1158,123,3995,13,6,4,3,18,99,6,121,0,0,0,0,0,0,0,0,13,6,4,3,18,99,6,121,12,7,8,0,29,70,4,110,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,10,0,34,71,4,113,3,0,0,0,10,12,0,15,0,0,0,0,3,9,0,11,0,0,0,0,3,3,0,8,4,0,4,0,8,10,0,18,12,4,6,0,18,26,0,43,9,0,0,0,15,7,0,25,1346,991,419,43,2796,1370,131,4298
LGA20570,8456,9664,4008,318,22446,7770,1371,31586,866,597,519,59,2032,2523,297,4855,116,69,80,5,276,171,59,506,986,659,599,63,2310,2692,356,5362,157,55,99,8,315,734,65,1117,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,63,105,12,337,770,79,1185,10,0,0,0,10,10,0,24,8,0,0,0,10,30,3,45,0,0,0,0,0,0,0,0,21,24,12,3,56,23,0,76,37,24,18,0,84,61,4,146,37,26,8,8,81,79,12,167,9681,10434,4732,401,25249,11378,1816,38449
LGA20660,8901,14085,3708,436,27131,6469,938,34541,865,671,480,72,2091,2149,186,4420,664,708,352,40,1770,649,127,2541,1526,1377,835,114,3855,2792,308,6962,480,311,213,46,1049,955,124,2139,74,15,17,4,112,94,28,232,113,27,28,4,172,182,18,373,3,0,0,0,3,3,0,7,663,354,258,58,1339,1245,171,2749,0,0,0,0,0,3,0,4,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,11,14,6,0,28,19,3,43,7,13,10,0,33,16,3,50,31,27,3,0,66,58,6,130,11135,15859,4818,614,32420,10581,1431,44431
LGA20740,3941,2742,1307,90,8078,3613,333,12019,115,17,27,3,166,398,6,569,43,16,18,0,77,58,9,146,154,36,48,3,241,457,19,714,33,4,9,0,46,119,9,173,0,0,0,0,4,13,0,13,4,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,40,6,13,0,54,135,9,192,12,0,3,0,15,51,0,66,21,0,5,0,26,60,0,88,0,0,0,0,0,3,0,3,0,5,3,0,12,6,0,18,32,12,11,0,53,124,0,176,21,20,4,0,42,20,4,69,4183,2811,1386,94,8468,4338,359,13175
LGA20830,5086,5174,1757,121,12146,3448,354,15945,109,31,64,5,206,384,16,608,9,3,5,0,13,28,0,47,111,37,69,5,218,415,21,655,212,19,50,6,286,469,21,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,19,50,6,286,469,21,776,8,6,0,3,18,36,0,58,16,3,3,0,26,55,0,81,0,0,0,0,0,0,0,3,4,3,0,0,5,3,0,15,29,9,7,4,52,97,3,155,24,21,5,0,41,36,0,80,5466,5257,1884,140,12743,4466,398,17605
LGA20910,5275,10788,1886,186,18138,3609,311,22051,1184,818,405,43,2453,1954,147,4545,1172,1311,375,31,2888,833,71,3789,2350,2128,784,74,5338,2784,213,8336,515,242,207,10,967,1027,110,2108,320,91,87,9,506,494,38,1042,341,93,101,19,552,542,46,1135,3,0,0,0,3,3,0,3,1178,424,392,34,2033,2073,195,4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,24,26,0,116,61,14,189,61,29,26,0,119,61,14,193,39,55,16,0,110,40,10,154,8901,13430,3108,295,25736,8561,742,35037
LGA21010,1750,1137,558,45,3488,1465,133,5082,12,3,7,0,25,35,4,65,0,0,0,0,0,0,0,0,12,3,7,0,24,35,4,61,36,10,24,0,65,228,10,304,5,0,7,0,16,18,0,38,3,3,3,0,9,31,0,41,0,0,0,0,0,0,0,0,49,11,32,0,88,277,16,379,0,0,0,0,0,3,0,3,7,0,0,0,7,11,0,16,0,0,0,0,0,0,0,0,6,3,0,0,5,4,0,9,10,3,0,0,14,24,0,33,13,9,4,0,23,5,3,34,1827,1165,597,46,3635,1806,147,5594
LGA21110,7365,17128,2996,420,27906,4810,851,33568,1910,1846,700,115,4565,2756,388,7711,1207,1637,547,74,3463,874,222,4558,3118,3482,1241,185,8033,3632,606,12272,1391,686,383,120,2573,2414,674,5665,1231,424,188,121,1961,1814,657,4426,1049,263,139,91,1538,1687,301,3530,0,0,0,0,0,0,0,0,3664,1368,710,335,6078,5914,1628,13622,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,28,14,4,101,45,26,178,60,34,14,4,109,48,26,181,58,49,15,0,120,70,16,204,14256,22056,4976,951,42244,14473,3134,59849
LGA21180,10981,21269,7784,919,40956,8042,1486,50486,956,1433,788,109,3283,1550,227,5055,636,1063,506,83,2279,557,170,3005,1585,2494,1288,190,5561,2105,391,8056,433,505,329,76,1345,989,133,2463,33,23,10,3,73,65,7,149,20,22,12,3,53,43,10,108,5,6,3,0,16,13,3,34,497,553,356,82,1488,1114,149,2753,0,0,0,0,3,0,0,5,0,3,0,0,3,16,0,23,0,0,0,0,0,3,0,3,23,42,16,3,86,31,9,122,23,46,22,3,92,49,12,151,26,29,20,0,73,39,12,122,13115,24393,9467,1194,48162,11349,2052,61562
LGA21270,761,547,176,24,1505,754,65,2324,7,0,0,0,5,27,0,36,0,0,0,0,0,0,0,0,10,3,0,0,8,27,0,35,8,0,0,0,13,44,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,44,0,56,4,0,0,0,4,5,0,10,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,3,0,0,9,7,0,19,8,3,0,0,13,16,0,30,3,3,0,0,3,4,0,12,786,554,176,24,1547,844,69,2455
LGA21370,4113,3647,1301,91,9150,3000,293,12443,135,30,72,10,245,496,25,768,3,3,4,0,6,8,0,17,138,31,72,10,255,499,25,786,62,20,31,3,118,311,18,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,64,19,31,3,120,311,18,446,4,4,0,0,11,54,0,63,10,5,0,0,13,24,0,39,0,0,0,0,0,0,0,4,4,3,4,0,16,8,0,27,18,15,6,0,45,77,3,124,17,18,0,3,38,14,3,52,4348,3734,1415,108,9603,3908,336,13855
LGA21450,7231,12155,3424,247,23052,4652,629,28330,416,265,249,22,948,774,51,1771,130,106,147,5,390,142,20,556,546,379,393,22,1339,913,78,2330,25,4,11,0,43,94,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,11,0,40,94,3,137,5,0,0,0,12,20,0,31,13,3,5,0,20,62,0,78,0,0,0,0,0,6,0,11,3,8,3,0,9,5,0,12,28,11,7,0,41,87,0,128,16,26,11,0,52,23,4,80,7839,12567,3842,278,24530,5770,706,31009
LGA21610,17927,40741,10211,957,69835,10795,1830,82465,1505,1752,748,73,4079,2231,163,6472,408,719,285,25,1444,336,60,1836,1912,2474,1035,98,5522,2563,221,8309,167,117,102,13,402,479,23,903,3,3,3,0,15,30,0,39,3,8,0,0,10,3,0,15,0,0,3,0,3,3,0,3,174,122,110,13,422,513,23,961,3,0,3,0,5,31,0,42,14,5,8,0,23,72,0,98,0,0,0,0,3,3,0,3,8,37,22,5,72,41,8,119,22,48,29,6,110,141,8,263,33,40,10,0,90,40,3,133,20066,43429,11402,1079,75980,14058,2092,92127
LGA21670,1522,1040,629,39,3224,1537,166,4932,51,11,23,0,88,217,12,318,0,0,0,0,0,3,0,3,51,15,23,0,90,222,12,317,4,0,0,0,9,62,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,62,0,76,7,0,3,0,10,41,0,48,3,0,0,0,3,7,0,14,0,0,0,0,3,10,0,12,6,6,0,0,13,13,0,32,19,6,3,0,28,73,3,101,3,5,4,0,9,13,0,25,1606,1065,661,39,3362,1906,176,5445
LGA21750,2188,1993,772,76,5027,2018,218,7262,47,17,33,12,103,394,28,531,11,4,0,0,15,18,4,36,52,22,35,12,118,409,37,561,12,0,3,0,15,33,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,15,36,3,59,0,3,0,0,8,21,0,29,3,4,0,0,9,11,0,19,0,3,0,0,3,0,0,4,6,3,0,0,11,8,4,24,14,15,3,0,28,45,4,76,14,10,4,0,28,19,3,46,2276,2041,812,86,5216,2530,258,8005
LGA21830,1780,1595,542,58,3978,1595,125,5697,12,0,3,0,16,76,4,102,0,0,0,0,0,4,0,5,12,0,4,0,17,80,4,105,21,8,4,0,36,94,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,4,0,36,95,3,135,0,0,0,0,0,3,0,3,0,3,0,0,3,4,0,10,0,0,0,0,0,0,0,0,8,5,0,0,9,9,0,16,5,9,0,0,16,11,0,24,23,16,7,0,48,18,0,67,1842,1633,560,56,4092,1803,127,6022
LGA21890,7280,12065,3603,569,23512,6582,2110,32209,1882,1682,786,147,4498,3189,700,8390,1598,1357,501,125,3589,1560,679,5831,3483,3041,1288,278,8083,4751,1381,14221,1066,418,252,79,1818,2416,479,4715,312,86,66,27,487,628,162,1279,556,152,84,38,832,777,206,1812,0,0,0,0,0,3,0,5,1937,650,402,142,3137,3813,856,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,66,45,25,8,141,103,55,304,66,45,25,8,144,108,61,307,42,39,20,4,103,70,13,189,12801,15842,5343,1003,34989,15330,4422,54736
LGA22110,5789,3746,1576,123,11234,4480,384,16102,89,35,26,6,156,406,22,579,10,9,8,0,27,33,6,62,95,42,38,9,177,441,27,649,53,7,35,0,102,196,6,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,53,7,35,0,102,199,6,305,16,6,4,0,22,80,4,105,38,3,8,0,52,78,5,135,5,8,0,0,11,7,0,18,11,10,0,0,21,23,0,44,73,25,10,0,102,181,8,297,47,30,22,0,94,108,8,213,6053,3850,1680,134,11717,5413,431,17564
LGA22170,9666,14323,5737,475,30198,7855,1240,39300,1310,699,775,80,2861,3674,212,6744,422,336,335,27,1121,589,88,1799,1732,1039,1108,107,3983,4267,298,8550,145,72,124,19,358,702,67,1121,21,7,8,0,41,89,5,136,16,0,3,0,19,48,9,71,0,0,0,0,0,9,0,9,181,81,138,21,420,844,72,1343,10,0,0,0,16,17,0,26,42,9,24,3,76,281,6,363,0,0,0,0,0,0,0,0,13,19,6,0,31,5,5,46,60,29,24,3,119,307,12,436,12,11,5,0,23,36,0,67,11646,15480,7027,605,34757,13310,1626,49687
LGA22250,1367,992,321,35,2713,1245,88,4048,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,13,0,3,0,19,99,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,19,99,0,111,9,0,0,0,14,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,15,16,4,0,0,19,23,0,42,3,3,0,0,10,0,0,13,1402,1003,321,35,2761,1373,88,4219
LGA22310,5971,12399,2485,302,21163,4423,875,26458,1925,1915,665,98,4613,2777,448,7837,1219,1894,450,59,3625,888,316,4822,3148,3814,1118,160,8236,3667,764,12661,2359,1487,572,156,4569,4164,816,9556,706,231,96,59,1087,873,278,2235,293,65,44,17,418,436,154,1012,3,4,0,0,9,11,0,20,3364,1787,710,229,6090,5481,1250,12825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,14,3,88,68,18,178,44,29,14,3,88,68,18,181,31,44,9,3,92,71,12,171,12559,18077,4343,693,35674,13706,2918,52296
LGA22410,2268,1816,737,59,4878,2018,165,7067,34,3,16,0,50,130,3,185,3,3,3,0,9,10,0,19,30,9,19,0,58,140,3,203,19,10,12,0,43,199,10,249,0,0,0,0,0,4,0,6,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,24,10,12,0,45,207,10,266,0,0,3,0,8,9,0,21,3,0,0,0,3,16,0,19,0,0,0,0,0,3,0,5,9,5,0,0,12,9,0,23,11,3,3,0,24,43,0,66,18,8,0,0,24,17,0,46,2345,1851,780,58,5038,2424,179,7644
LGA22490,2138,2965,621,44,5770,1210,114,7093,4,8,0,0,10,9,0,17,0,0,0,0,0,0,0,0,4,8,0,0,10,9,0,17,8,0,0,0,13,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,8,0,24,0,3,3,0,3,3,0,8,3,0,0,0,3,0,0,3,0,8,0,0,8,4,0,9,0,3,0,0,9,0,0,6,3,15,4,0,18,8,0,31,4,7,0,0,11,6,0,19,2155,2990,624,44,5817,1246,116,7184
LGA22620,10446,11204,4620,408,26682,9094,1398,37175,424,131,295,42,890,1744,186,2818,94,33,56,13,192,159,43,391,522,166,344,52,1086,1901,231,3211,70,37,59,3,171,290,26,490,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,83,45,62,3,187,347,28,561,4,5,8,0,16,73,3,90,20,3,3,0,24,56,0,78,4,0,0,0,3,4,0,7,26,6,4,0,37,16,3,58,51,18,12,0,81,154,5,241,42,38,17,0,94,71,11,179,11141,11461,5055,462,28125,11569,1669,41361
LGA22670,7424,14599,4957,726,27706,5673,1360,34738,1083,1668,761,110,3619,1914,308,5837,519,831,295,54,1697,367,184,2258,1600,2495,1054,163,5315,2287,499,8098,915,990,479,94,2482,1673,290,4447,97,81,44,8,223,175,36,437,80,43,26,7,165,117,29,313,3,3,3,0,13,8,0,17,1101,1125,544,113,2878,1968,360,5209,6,4,0,0,8,92,3,105,13,5,4,0,21,67,4,90,0,0,0,0,3,8,0,10,29,60,32,10,128,46,6,184,50,69,34,10,161,211,10,392,25,25,14,8,60,53,11,130,10196,18307,6601,1013,36124,10194,2241,48563
