LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA13660,18,9,3,0,26,11,4,3,0,24,5,0,11,0,10,3,0,13,0,16,47,12,16,0,79,16,16,21,0,55,139,10,24,3,178,56,23,23,0,112,68,47,22,0,134,69,62,14,0,143,34,46,3,0,85,32,24,3,0,66,79,62,0,0,143,18,23,3,0,49,7,24,0,0,32,9,9,0,0,14,19,13,0,0,29,43,74,14,0,137,21,11,4,4,39,690,470,185,16,1367
LGA13800,74,23,42,0,145,53,6,24,0,82,32,9,65,3,106,22,8,87,0,122,211,33,161,8,410,110,55,241,9,419,577,89,266,18,942,396,201,277,25,892,526,378,306,27,1231,483,523,257,17,1283,365,650,171,16,1204,381,651,163,14,1207,785,1317,223,29,2357,501,1113,109,4,1733,301,739,49,0,1093,180,526,48,0,750,286,990,33,0,1310,358,970,239,15,1579,99,107,58,10,274,5732,8393,2824,189,17134
LGA13850,10,0,0,0,6,9,0,0,0,10,5,0,7,0,16,0,0,9,0,12,11,9,9,0,28,6,6,15,0,27,42,9,13,0,71,25,7,18,0,52,35,21,6,3,64,33,29,4,0,67,17,21,7,0,47,19,18,0,0,41,33,37,6,0,80,13,20,3,0,35,6,14,0,0,17,0,4,4,0,11,13,15,0,0,27,32,53,10,4,96,14,5,3,0,25,330,273,130,8,737
LGA13910,23,8,21,0,49,18,3,5,0,29,10,11,28,0,51,10,8,61,0,74,119,35,70,3,225,75,27,107,3,205,417,45,102,6,577,188,91,93,11,391,237,164,78,11,490,197,200,52,3,453,122,173,31,3,326,134,168,20,3,325,160,234,29,3,427,100,136,3,0,238,40,93,5,0,134,31,37,3,0,73,72,70,6,3,154,126,287,83,7,496,56,14,19,9,98,2138,1786,816,69,4812
LGA14000,340,80,114,13,545,156,25,38,10,224,99,52,97,8,263,40,34,76,3,154,386,93,152,16,655,200,144,229,16,596,1020,242,266,21,1545,779,382,302,33,1497,1070,657,451,56,2235,972,883,409,37,2303,633,934,359,38,1967,707,1094,301,32,2131,1339,2803,470,64,4675,1005,2455,259,33,3752,671,2059,123,16,2873,533,1935,138,12,2614,1296,5710,155,18,7171,757,2520,476,20,3776,149,146,49,10,358,12146,22244,4486,462,39339
LGA14100,28,8,16,0,56,7,0,0,0,14,3,4,10,0,18,4,3,6,0,15,25,8,11,0,46,12,6,8,0,33,67,11,33,5,114,43,10,28,3,86,66,20,34,3,119,68,35,18,3,127,39,42,24,3,107,55,54,20,3,131,112,135,34,6,283,121,102,23,0,241,78,115,4,3,204,56,154,36,0,246,294,849,27,5,1174,93,275,41,0,401,18,17,12,0,47,1201,1838,378,36,3453
LGA14170,250,85,132,19,484,107,39,52,8,209,68,44,157,14,285,42,23,144,13,221,422,81,284,28,821,214,126,373,38,752,1077,255,431,64,1827,680,348,487,84,1606,986,612,614,106,2321,1059,722,499,117,2388,779,758,450,78,2071,896,810,333,70,2113,2285,1969,622,151,5030,1888,1766,283,89,4027,1472,1647,85,51,3262,1232,1664,271,26,3198,3280,6063,220,63,9624,1381,1829,567,46,3827,183,104,92,15,395,18322,18951,6109,1077,44456
LGA14200,29,8,13,0,58,13,12,7,0,37,10,5,39,0,58,8,7,54,0,70,119,30,87,4,238,57,39,118,4,212,362,59,103,8,533,174,120,90,8,389,201,152,70,11,431,189,161,53,10,411,91,155,29,3,269,110,121,17,7,256,159,188,19,0,374,83,126,6,0,207,35,53,4,0,92,21,45,0,0,68,45,63,0,0,108,124,203,73,3,401,41,11,30,5,90,1874,1553,811,57,4298
LGA14300,7,0,3,0,8,3,0,3,0,9,3,4,9,0,10,3,0,9,0,13,37,3,17,0,53,13,8,32,0,47,91,24,35,0,148,48,20,29,4,96,63,45,23,3,132,47,57,18,3,131,19,43,8,0,71,29,54,8,0,99,60,89,8,0,156,46,48,7,0,97,20,31,3,0,55,12,16,3,0,29,10,32,0,0,45,35,63,29,0,127,13,6,3,0,22,556,543,243,21,1362
LGA14350,43,3,14,4,57,28,3,12,3,57,29,15,50,3,97,18,3,78,4,105,200,30,109,4,345,135,37,253,8,428,775,88,205,17,1087,365,147,218,11,743,373,234,175,18,800,315,240,119,8,682,157,235,80,6,479,164,201,37,4,409,226,330,46,3,596,92,191,14,0,302,51,97,4,0,155,22,32,12,0,64,63,61,0,0,128,198,306,170,10,681,97,34,62,5,201,3353,2293,1661,111,7413
LGA14400,23,0,7,0,39,23,3,3,0,30,15,0,18,0,35,8,3,21,0,32,113,6,31,5,151,78,22,68,0,166,290,29,69,7,399,251,46,77,7,378,338,108,79,5,527,256,134,53,0,450,165,133,48,0,349,172,193,46,3,410,275,354,47,8,683,186,304,23,7,515,116,246,5,0,369,72,178,8,0,262,152,368,10,0,529,175,368,80,0,619,46,9,9,0,64,2748,2524,694,44,6009
LGA14500,299,125,180,26,630,115,30,52,11,214,70,31,88,7,197,30,30,53,3,115,227,61,73,11,376,159,98,145,15,423,487,142,154,15,792,453,221,210,34,923,720,370,275,32,1394,712,419,252,32,1418,483,480,218,25,1199,557,536,215,24,1332,1085,1392,337,43,2860,910,1222,183,32,2348,635,1222,75,14,1952,541,1799,204,5,2546,1998,7826,220,24,10072,656,2548,356,15,3569,132,159,27,4,321,10280,18710,3323,367,32676
LGA14550,9,5,10,0,28,16,7,5,0,21,19,3,18,0,37,6,0,18,0,28,75,13,57,3,150,44,11,58,0,116,240,37,53,4,339,125,39,54,4,227,128,105,38,10,279,126,65,21,3,213,51,54,9,0,123,53,56,7,0,123,79,90,5,0,173,35,49,6,0,86,21,23,0,0,44,12,14,5,0,25,19,34,0,0,58,76,93,40,3,205,20,11,14,3,47,1142,713,424,38,2321
LGA14600,17,9,5,0,24,5,0,3,0,13,8,5,10,0,19,3,0,17,0,22,36,7,19,3,63,13,15,41,3,73,99,24,36,3,158,44,26,32,4,106,79,65,28,3,176,47,56,16,3,128,23,57,17,0,98,38,43,7,3,92,79,76,11,0,173,29,45,0,0,75,16,22,0,0,38,5,18,0,0,21,23,30,0,0,56,52,92,31,4,175,26,9,9,0,49,657,593,273,27,1549
LGA14650,204,50,96,7,353,143,34,60,6,241,129,41,207,17,400,101,31,301,4,433,932,98,617,31,1677,507,158,1002,36,1705,3592,392,1102,65,5143,1880,678,1117,93,3769,2363,1231,1194,88,4871,2059,1604,815,71,4547,1158,1678,573,47,3456,1210,1804,442,42,3497,2315,3733,575,49,6683,1434,3060,216,21,4726,746,2026,68,17,2861,471,1211,67,0,1754,786,2373,81,9,3242,1306,2690,848,38,4883,383,208,182,18,792,21711,23096,9566,661,55032
LGA14700,48,19,34,3,99,22,4,8,0,39,11,5,15,6,30,4,8,8,3,24,44,16,19,5,84,35,20,47,3,108,125,29,52,14,214,117,51,74,17,258,175,98,94,18,387,201,127,80,7,412,153,139,62,11,366,206,161,61,15,442,503,420,122,24,1065,432,342,60,20,854,321,325,17,5,677,292,415,73,0,787,784,1971,66,12,2828,249,538,100,8,896,31,40,14,3,89,3760,4722,1010,171,9657
LGA14750,18,10,7,0,32,6,3,5,0,16,9,3,10,0,29,3,0,32,0,41,64,3,32,0,100,18,13,46,4,84,164,35,59,3,262,79,50,65,3,201,124,101,38,3,264,107,106,20,3,242,74,73,24,4,177,78,105,21,4,207,146,189,19,0,359,62,126,6,6,193,30,64,3,0,96,17,34,3,0,57,19,59,0,0,85,61,139,39,0,246,38,8,9,0,52,1116,1133,443,37,2731
LGA14850,34,12,19,0,72,28,3,24,0,57,26,14,63,3,115,13,13,85,0,106,191,36,187,8,422,137,47,315,13,516,631,121,306,25,1083,417,182,291,23,911,501,382,272,28,1182,465,404,170,14,1060,290,396,141,9,839,305,368,70,10,750,456,630,99,11,1193,204,385,29,3,623,105,233,6,0,343,56,125,13,0,196,119,198,6,3,324,277,449,220,15,964,72,32,49,5,155,4346,4034,2366,169,10918
LGA14870,25,10,13,0,45,27,5,10,3,49,15,9,36,0,69,15,3,57,0,72,119,25,77,0,220,71,30,130,3,236,377,73,148,12,613,213,89,112,15,423,243,128,87,5,461,182,143,61,9,394,100,142,37,3,289,112,128,32,5,279,225,257,52,4,532,94,207,19,5,320,74,124,4,0,208,30,99,3,0,132,69,191,3,0,272,139,251,92,4,491,63,29,32,3,123,2200,1936,1003,70,5215
LGA14900,395,189,227,20,831,195,76,84,15,370,118,159,292,19,584,110,110,369,8,596,719,468,544,31,1755,345,594,786,32,1753,1718,962,911,72,3655,800,1400,998,72,3267,970,2054,965,93,4085,919,2237,801,71,4026,617,2189,585,45,3430,641,2167,469,58,3338,1423,4315,634,93,6466,892,3222,317,49,4479,517,2118,169,13,2822,295,1383,118,9,1801,373,2530,132,21,3066,713,3001,789,55,4559,288,313,236,24,865,12021,29481,9438,800,51746
LGA14920,14,7,5,0,22,0,3,7,0,9,15,0,7,3,25,0,7,30,0,32,40,14,34,0,83,30,6,43,4,83,154,16,51,3,224,66,36,41,3,148,101,64,33,10,210,90,82,24,5,200,47,62,14,3,126,51,55,14,3,116,77,97,3,0,184,45,67,9,0,117,20,43,0,0,61,9,13,3,0,23,29,32,4,0,71,63,108,31,4,200,34,14,14,0,58,887,716,356,38,1991
LGA14950,3,0,3,0,4,6,0,0,0,6,3,0,3,0,5,0,0,4,0,3,21,3,13,0,33,9,7,16,0,28,51,7,4,0,70,34,15,18,0,65,28,28,11,0,77,46,28,11,0,84,24,20,7,0,49,26,30,0,0,62,29,44,6,0,76,19,29,0,0,49,5,16,0,0,26,4,8,0,0,12,20,17,0,0,40,30,58,16,0,100,6,4,4,0,10,365,323,107,7,802
LGA15050,66,22,51,3,144,58,10,27,3,93,37,17,80,8,138,33,18,155,3,207,327,52,223,14,621,186,79,417,20,709,1088,152,506,36,1781,620,269,455,36,1377,718,502,461,40,1718,647,725,341,34,1745,485,747,225,22,1480,481,738,152,6,1381,936,1546,224,25,2734,556,1236,78,14,1883,322,745,28,12,1102,132,488,23,3,647,267,968,18,3,1259,441,1141,285,17,1881,154,72,75,3,306,7558,9533,3840,291,21220
LGA15240,165,30,44,8,252,125,21,39,3,191,94,24,160,3,280,74,9,210,3,299,847,111,348,20,1329,454,118,567,26,1158,2888,295,596,41,3817,1301,476,605,67,2447,1558,768,446,47,2821,1220,817,267,27,2324,554,696,183,6,1436,616,606,123,8,1345,800,927,120,19,1863,431,613,32,9,1090,189,283,13,3,484,116,169,21,3,303,246,265,18,3,533,785,1041,417,18,2263,352,95,137,9,598,12817,7357,4340,320,24837
LGA15270,36,11,8,0,53,26,3,9,0,37,14,11,43,4,70,15,9,52,3,78,153,40,88,3,282,68,31,118,3,215,406,80,135,6,631,206,103,108,17,432,246,185,85,14,524,231,174,56,11,468,129,172,29,0,329,142,177,28,5,347,240,349,45,4,638,146,268,7,3,428,85,165,3,0,253,49,123,5,0,181,130,222,6,0,364,173,347,94,8,620,76,26,28,0,129,2573,2485,945,77,6077
LGA15300,17,4,16,4,39,8,10,13,0,28,8,0,39,3,48,3,4,42,3,50,49,12,53,9,119,15,19,69,7,113,122,35,84,6,248,74,45,67,8,190,103,90,63,9,266,110,97,33,8,255,76,87,33,3,193,93,98,23,5,212,150,194,21,9,371,82,105,10,3,199,50,74,3,0,126,22,33,4,0,60,63,80,0,0,153,84,201,68,6,361,48,33,42,3,127,1178,1219,692,82,3169
LGA15350,23,12,28,3,70,14,3,4,0,26,9,3,14,0,31,3,0,16,0,27,30,0,14,3,48,25,15,30,3,70,64,17,35,4,115,93,31,40,6,168,115,48,58,11,228,159,52,56,3,273,99,55,54,6,212,131,60,50,3,247,355,190,77,14,635,292,159,36,12,497,213,145,17,0,375,233,389,85,3,708,975,1757,64,6,2800,245,557,107,3,916,30,27,15,0,71,3114,3511,807,86,7525
LGA15520,32,12,3,0,48,21,3,3,0,27,7,7,7,0,25,11,0,16,0,24,102,7,27,3,143,56,15,33,4,111,280,28,33,0,339,131,49,45,4,228,202,77,49,8,332,137,120,21,0,279,81,102,11,3,192,92,96,17,0,203,158,160,11,0,330,73,127,5,0,199,25,70,0,0,100,15,25,3,0,46,38,61,0,0,102,107,161,30,3,300,61,8,14,0,86,1631,1119,332,34,3114
LGA15560,3,0,0,0,3,3,0,0,0,3,4,0,4,0,9,0,0,10,0,9,21,0,9,0,32,8,3,23,0,36,54,13,17,0,78,20,23,25,0,66,46,23,14,3,93,35,46,10,0,90,28,41,3,0,71,34,37,0,0,67,38,54,5,3,106,32,36,0,0,64,4,23,0,0,31,4,7,0,0,13,13,16,0,0,31,26,76,11,0,122,16,3,3,0,22,394,401,140,14,952
LGA15650,30,6,17,0,52,15,3,13,0,28,13,4,32,0,44,13,0,46,0,62,69,13,67,3,147,33,14,114,3,172,172,44,100,7,326,113,60,75,0,253,132,99,61,10,298,121,109,37,3,275,84,111,30,0,229,89,126,21,6,241,167,301,40,3,512,125,218,9,5,352,72,142,11,0,226,46,85,8,0,136,79,180,5,0,262,116,209,68,0,393,44,17,34,0,95,1524,1741,793,42,4095
LGA15700,34,8,11,0,60,34,7,3,0,49,17,4,36,0,51,15,4,53,0,76,148,30,84,13,267,92,22,138,5,256,587,66,153,16,820,252,107,132,14,497,288,163,94,10,557,247,172,63,13,494,107,137,24,0,272,108,123,32,5,268,156,218,19,0,396,80,113,4,3,200,22,63,0,0,89,22,29,5,0,66,46,45,0,0,98,151,213,102,6,463,68,17,31,3,120,2476,1541,1000,88,5107
LGA15750,18,4,10,0,30,10,3,7,0,14,10,4,27,3,39,6,3,36,0,47,72,17,42,0,132,28,10,70,0,115,169,17,59,9,261,102,43,63,0,214,133,76,57,0,269,113,125,31,6,265,77,115,24,0,216,88,122,14,6,233,169,191,23,6,381,89,134,7,0,237,58,97,0,0,157,32,47,3,0,83,51,97,3,0,147,87,197,59,6,352,42,16,24,0,88,1363,1316,564,39,3281
LGA15800,6,3,4,0,13,3,4,0,0,4,3,0,9,0,8,0,0,17,0,19,42,4,27,3,69,20,13,35,0,66,82,14,38,0,136,38,20,35,5,104,70,46,19,0,138,72,58,21,3,152,30,42,6,0,75,37,42,9,0,96,61,93,8,0,160,28,52,0,0,82,16,25,0,0,39,6,15,3,0,24,22,23,0,0,40,53,94,14,5,163,21,5,8,3,38,605,559,249,16,1430
LGA15850,8,4,7,0,19,11,0,3,0,9,5,3,14,0,23,5,0,14,0,17,29,4,26,0,60,16,13,52,0,83,106,18,42,3,174,52,25,31,5,110,66,39,32,12,146,56,54,19,3,133,38,48,8,0,102,36,53,11,0,105,81,79,10,0,170,35,62,7,0,105,24,40,3,0,63,16,18,0,0,30,13,37,0,0,51,56,99,32,0,194,25,13,11,0,45,687,605,321,31,1640
LGA15900,155,43,98,14,319,77,22,43,9,139,82,34,194,12,327,60,11,250,6,328,534,106,403,50,1088,331,124,691,38,1189,1857,246,778,74,2956,1045,469,804,108,2419,1331,754,837,106,3029,1249,1024,659,97,3029,825,1040,496,57,2420,918,1137,377,45,2483,1921,2430,448,69,4861,1296,2067,186,43,3587,798,1489,55,20,2361,422,950,84,7,1464,870,2103,75,6,3053,1035,1853,620,28,3531,211,133,112,19,476,15018,16046,7198,817,39068
LGA15950,76,34,42,9,162,25,3,21,3,56,20,5,26,3,63,14,4,25,3,46,86,16,40,13,147,71,22,67,10,166,177,44,77,19,317,175,57,80,18,334,321,106,135,26,581,351,133,126,29,646,318,146,112,27,606,358,172,111,19,667,1133,536,238,57,1962,1019,427,87,52,1589,890,419,40,31,1379,834,678,197,21,1732,2745,2448,148,45,5391,757,647,176,13,1596,72,34,18,4,130,9460,5927,1765,397,17548
LGA15990,313,98,141,10,559,154,43,54,13,258,120,52,118,11,301,56,35,135,3,223,613,91,223,22,947,351,113,404,27,897,1490,236,460,36,2218,1254,425,629,49,2358,1956,853,762,75,3644,1754,1112,747,89,3713,1232,1278,586,68,3154,1436,1540,511,48,3531,3002,3774,910,115,7803,2218,3626,365,61,6275,1487,3021,148,43,4708,1196,3210,344,17,4760,3532,10704,299,24,14564,1765,4300,919,34,7021,393,272,136,15,815,24315,34793,7884,755,67745
LGA16100,8,4,3,0,15,3,0,3,0,11,7,3,10,0,16,0,0,13,0,17,35,4,14,5,47,10,3,15,0,34,96,5,20,0,127,34,7,26,0,67,75,38,16,0,125,62,48,8,0,127,41,52,12,0,105,43,35,13,0,98,67,78,11,0,160,39,40,3,0,86,20,31,3,0,49,12,16,0,0,29,17,42,0,0,60,38,92,21,0,152,13,7,11,0,34,632,505,206,5,1345
LGA16150,44,5,27,5,86,37,3,18,0,58,23,9,52,3,88,11,3,73,0,84,182,20,110,0,317,97,36,237,6,377,490,71,243,16,822,271,132,203,15,617,392,259,214,18,889,359,313,146,16,837,220,325,91,10,645,274,352,71,3,698,460,695,119,6,1279,280,528,39,6,855,165,351,17,3,529,85,198,18,0,308,202,449,4,0,659,241,504,166,7,914,76,28,64,3,169,3904,4283,1919,119,10227
LGA16200,23,6,6,0,38,9,5,15,3,33,12,3,23,0,31,9,0,40,0,52,87,13,61,5,162,31,20,97,0,150,215,40,89,8,351,115,74,68,3,259,163,91,59,7,311,128,123,43,6,298,80,122,26,0,231,85,136,18,0,240,158,219,29,7,408,84,159,7,3,247,48,98,0,0,147,27,44,3,0,76,49,81,3,0,136,119,225,64,0,408,41,18,20,6,86,1477,1460,687,50,3671
LGA16260,865,227,292,42,1428,225,64,107,14,413,163,106,253,27,544,120,94,210,15,433,739,300,363,37,1441,433,454,535,39,1454,1610,811,609,57,3083,1104,1148,614,91,2953,1616,1776,759,105,4252,1541,2020,720,127,4404,1147,2124,553,61,3888,1176,2210,440,79,3912,2529,4712,757,186,8181,1756,3342,345,97,5536,1187,2405,154,52,3796,803,2018,132,32,2983,1236,4186,169,37,5629,1122,2897,617,37,4662,221,206,99,11,533,19573,31093,7727,1137,59537
LGA16350,281,76,163,12,539,81,32,52,9,167,108,47,222,7,382,62,42,296,6,412,594,119,552,29,1298,302,187,913,29,1441,1817,412,924,56,3204,1053,741,972,65,2824,1331,1337,1162,87,3926,1322,1780,916,82,4103,1005,1830,666,69,3569,1124,2062,573,65,3828,2428,4337,808,106,7680,1422,3386,367,45,5223,753,2247,186,26,3213,418,1444,124,14,2002,506,2610,126,9,3259,899,2463,829,34,4226,277,260,210,23,765,15792,25421,10063,784,52054
LGA16380,103,18,44,3,169,75,0,21,0,98,67,13,75,4,156,39,4,139,0,182,530,37,209,12,782,328,71,437,10,850,2098,159,438,27,2720,1095,333,501,31,1966,1239,598,419,34,2292,1082,719,260,32,2085,509,631,185,12,1328,550,545,157,12,1266,830,1156,139,13,2132,474,783,47,5,1307,233,467,16,3,717,145,250,28,0,423,282,466,24,0,779,644,854,311,24,1831,246,75,94,5,428,10571,7192,3534,222,21516
LGA16400,84,22,51,3,165,68,4,24,3,102,50,16,87,5,165,19,14,130,0,166,434,35,203,7,680,228,60,346,8,648,1402,152,356,20,1930,777,266,365,32,1439,990,468,374,32,1868,825,570,252,22,1665,439,586,185,13,1229,466,586,141,6,1194,807,1160,131,11,2107,442,862,61,5,1376,236,508,25,0,762,127,276,24,0,426,230,560,21,3,820,521,1045,248,17,1838,204,58,56,0,316,8356,7243,3095,199,18893
LGA16490,51,12,29,0,95,21,9,12,0,42,27,15,46,0,87,13,5,69,4,95,152,29,88,3,271,88,40,136,3,264,380,59,151,12,609,279,136,173,9,591,400,229,183,13,832,394,277,169,17,856,311,295,166,15,786,354,385,138,14,891,743,870,237,25,1882,504,902,89,23,1521,400,794,39,0,1238,298,626,45,3,968,561,1496,41,9,2106,377,867,191,9,1438,72,50,44,8,172,5426,7107,2044,172,14744
LGA16550,329,72,98,80,579,97,13,45,26,177,98,24,102,26,260,38,16,105,11,174,356,48,184,36,623,194,103,283,33,607,778,136,302,54,1270,560,252,369,64,1237,710,415,440,96,1661,737,502,384,85,1712,523,557,374,61,1519,598,635,259,56,1554,1492,1545,488,132,3661,1266,1394,203,80,2946,904,1243,87,46,2279,691,1282,172,22,2173,1797,4506,151,41,6485,949,1730,450,40,3170,202,117,80,20,422,12320,14593,4579,1005,32493
LGA16610,30,11,15,0,51,17,0,0,0,19,19,8,31,0,54,4,0,62,0,69,167,14,102,6,291,79,43,137,9,271,539,79,169,12,801,240,123,165,24,543,315,242,125,15,696,258,257,72,8,599,138,198,38,5,379,139,207,43,6,392,198,297,34,3,534,75,194,12,0,286,31,95,0,0,124,18,56,0,0,75,35,48,4,0,88,131,256,105,10,502,68,18,39,3,130,2489,2141,1178,107,5912
LGA16650,346,62,126,15,557,124,34,46,5,208,94,61,122,20,298,78,64,102,10,248,509,112,189,17,820,221,242,287,28,771,1194,337,337,40,1913,655,582,421,61,1720,871,831,424,79,2201,842,898,408,85,2231,551,913,320,35,1819,640,868,266,60,1835,1302,1898,369,84,3655,775,1336,184,63,2353,505,962,85,28,1587,342,718,82,17,1157,566,1484,69,28,2151,654,1434,374,36,2497,161,125,62,8,356,10439,12949,4267,723,28370
LGA16700,431,105,145,54,734,152,30,39,13,231,124,36,86,18,267,51,43,85,10,189,427,83,132,20,663,238,157,215,31,649,899,268,259,34,1459,614,383,324,65,1391,808,661,396,70,1934,783,753,337,69,1943,599,825,305,53,1774,657,849,240,46,1796,1369,1995,378,82,3828,1016,1505,197,61,2773,650,1315,81,28,2078,491,1124,112,19,1746,885,3198,123,31,4237,676,1525,303,33,2539,123,112,50,9,293,11001,14982,3804,739,30525
LGA16900,90,25,35,0,152,45,9,25,3,94,40,18,103,5,164,29,16,137,5,180,319,38,229,7,591,216,60,401,16,687,1257,161,412,26,1862,561,249,441,28,1273,630,523,402,34,1594,583,648,296,23,1552,357,713,212,13,1290,385,716,173,10,1278,672,1441,209,15,2338,363,1099,92,11,1563,200,646,42,5,897,109,437,17,3,562,147,690,31,0,873,430,989,294,11,1725,142,62,68,4,281,6584,8532,3614,224,18954
LGA16950,179,18,60,3,266,118,14,30,3,163,95,29,140,5,273,74,15,205,6,297,768,83,345,8,1204,414,115,531,21,1082,2673,290,616,44,3619,1286,461,600,46,2388,1509,785,504,53,2855,1310,915,307,22,2553,638,807,177,27,1648,618,736,140,12,1505,987,1273,182,12,2451,530,858,52,4,1442,274,496,15,0,782,143,273,19,0,438,292,468,38,3,804,889,1212,449,18,2560,312,96,129,13,538,13101,8936,4531,305,26871
LGA17000,20,3,14,0,39,15,0,3,3,27,10,4,27,0,42,7,0,44,0,54,100,8,58,3,167,46,23,113,0,183,220,44,91,7,363,128,63,87,9,295,171,132,90,10,411,161,161,56,6,389,121,178,36,9,334,123,184,48,5,358,288,466,54,7,816,165,385,21,5,572,128,223,6,3,358,64,181,11,0,264,169,410,12,0,595,184,345,77,0,613,35,33,16,3,93,2154,2854,878,76,5962
LGA17040,17,8,13,0,38,18,7,4,0,35,19,4,24,0,53,10,4,31,0,42,104,9,43,0,156,55,15,67,4,149,309,39,78,3,425,180,70,58,5,305,237,119,83,7,444,226,156,65,4,454,144,169,28,6,345,154,157,28,8,348,255,326,44,8,624,163,203,20,0,391,70,152,0,0,221,38,83,8,0,135,84,133,6,0,222,194,285,63,3,545,37,28,17,0,84,2304,1970,691,52,5021
LGA17080,20,6,12,0,42,12,4,8,0,29,9,8,22,0,42,10,4,34,3,51,87,9,48,3,143,45,11,76,3,138,263,36,49,8,355,135,55,49,3,245,169,96,63,0,335,178,121,33,11,346,97,113,24,4,240,103,114,20,3,246,199,237,18,5,468,96,148,11,0,251,40,82,0,0,129,25,42,0,0,67,49,45,5,0,104,157,222,72,3,453,60,20,13,0,91,1772,1378,570,47,3762
LGA17100,155,37,71,14,278,39,8,21,5,69,32,22,46,12,105,20,20,49,9,91,118,41,54,4,220,80,81,84,5,247,275,139,97,15,536,163,214,95,27,498,255,321,144,28,748,233,312,104,36,687,187,329,92,19,633,191,315,69,18,596,395,669,127,40,1228,265,438,61,20,789,167,336,28,9,542,87,272,37,8,403,211,974,50,11,1244,190,598,116,3,907,48,42,22,0,114,3102,5162,1359,290,9919
LGA17150,294,61,120,16,489,151,28,60,10,246,108,50,131,9,296,62,24,163,0,257,644,81,269,23,1027,391,142,441,20,993,1820,208,540,42,2614,1350,455,696,54,2550,1866,840,899,76,3678,1716,1139,649,75,3569,1070,1326,592,71,3058,1147,1664,539,49,3402,2574,4094,829,97,7591,1828,4098,437,71,6437,1321,3306,207,28,4861,898,2578,186,10,3670,1754,7095,247,30,9120,1281,3526,826,35,5665,330,256,135,12,733,20605,30961,7968,714,60249
