LGA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA55530,3,0,7,73,21,3,94,231,50,368
LGA55600,39,3,49,350,138,14,501,1190,223,1914
LGA55670,15,5,18,111,33,10,154,376,61,587
LGA55740,115,60,182,1362,505,52,1919,4619,705,7248
LGA55810,0,0,3,51,19,0,74,209,106,394
LGA55880,4,0,6,109,26,4,138,238,33,413
LGA55950,3,3,13,104,35,5,148,254,43,435
LGA56090,472,126,604,5996,2568,263,8827,18697,3996,31521
LGA56160,0,0,0,13,15,10,37,52,44,131
LGA56230,254,39,298,2438,1063,133,3631,8564,1354,13557
LGA56300,14,5,18,170,67,7,249,754,122,1127
LGA56370,22,3,25,125,46,6,171,427,71,667
LGA56460,108,25,132,719,318,27,1061,2482,542,4086
LGA56580,490,72,574,3824,1372,141,5329,10629,969,16932
LGA56620,0,0,3,186,251,113,550,316,343,1207
LGA56730,167,32,200,1474,636,78,2194,5441,1386,9019
LGA56790,36,21,62,416,167,14,598,1838,374,2809
LGA56860,0,0,8,36,14,0,46,140,17,206
LGA56930,30,3,41,243,124,7,370,843,110,1326
LGA57000,7,0,8,105,25,4,137,322,73,529
LGA57080,132,23,160,1411,683,21,2116,15068,3473,20656
LGA57140,23,3,24,130,63,11,205,623,123,948
LGA57210,72,23,97,668,287,18,975,2700,522,4199
LGA57280,20,10,34,2570,534,97,3200,5900,1941,11041
LGA57350,29,7,27,124,53,7,183,542,120,850
LGA57420,15,4,16,241,70,9,330,906,190,1428
LGA57490,1314,381,1712,22938,7241,1092,31267,57216,8712,97197
LGA57630,0,0,0,3,0,0,4,70,19,86
LGA57700,149,34,189,5316,1650,216,7178,11514,1741,20437
LGA57770,13,3,14,136,30,9,179,504,102,778
LGA57840,858,275,1136,5859,2175,185,8217,24717,2953,35887
LGA57910,3817,1015,4902,32975,11632,1047,45654,115258,13901,174807
LGA57980,281,143,435,2739,1016,117,3866,11185,1455,16509
LGA58050,1009,351,1381,24318,7157,852,32324,63740,8785,104850
LGA58190,3,0,3,66,20,3,83,179,51,308
LGA58260,19,0,17,106,26,4,134,273,46,452
LGA58330,30,3,35,514,257,23,790,2571,424,3781
LGA58400,7,3,12,36,12,0,54,190,58,296
LGA58470,0,0,0,27,25,8,60,86,45,200
LGA58510,840,281,1132,4720,1433,177,6320,20629,3310,30255
LGA58540,3,3,6,144,35,3,185,471,88,746
LGA58570,593,68,663,4681,1396,199,6269,19966,2688,28927
LGA58610,49,14,62,249,96,7,354,981,186,1517
LGA58680,4,0,4,78,20,0,94,219,41,354
LGA58760,1460,417,1892,36677,9884,1369,47931,86540,10531,145001
LGA58820,63,36,96,606,266,29,898,2039,445,3375
LGA58890,16,0,23,125,56,4,187,411,52,651
LGA59030,0,0,0,51,9,3,68,145,50,259
LGA59100,8,4,15,127,34,0,167,354,55,576
LGA59170,14,0,13,165,66,4,231,465,79,776
LGA59250,0,0,0,89,39,7,138,388,132,660
LGA59310,22,3,27,220,79,5,307,679,70,1050
LGA59320,0,0,0,61,24,4,96,200,29,318
LGA59330,17,3,23,61,23,0,88,284,66,439
LGA59340,14,5,19,991,376,69,1436,3240,830,5511
LGA59350,0,0,3,27,21,3,55,189,63,302
LGA59360,13,12,24,185,51,3,240,635,174,1046
LGA59370,65,14,82,438,215,25,670,1943,378,2988
LGA59499,13,3,23,376,169,14,558,3441,1554,5559
LGA59799,3,0,3,54,4,0,61,297,72,434
LGA60210,115,38,153,717,284,20,1024,3670,550,5247
LGA60410,119,25,144,2826,978,134,3930,7580,1115,12624
LGA60610,360,63,431,2891,1072,133,4093,10132,1225,15446
LGA60810,410,100,522,3051,1355,148,4555,11742,1440,17742
LGA61010,20,3,22,276,116,12,399,1218,181,1802
LGA61210,86,26,115,1287,520,55,1866,3790,645,6304
LGA61410,1279,201,1497,8622,4133,389,13136,28564,3262,44973
LGA61510,139,17,154,1484,603,65,2154,5260,735,8149
LGA61610,564,130,700,3616,1546,161,5318,13227,1661,20209
LGA61810,140,31,173,871,378,51,1301,3617,563,5480
LGA62010,13,0,15,124,41,6,169,540,58,775
LGA62210,102,22,129,877,358,28,1260,3653,607,5511
LGA62410,88,21,111,489,252,16,752,2689,422,3860
LGA62610,912,228,1154,6984,2976,354,10308,24276,3239,37831
LGA62810,1203,179,1401,6931,2951,373,10254,29865,3092,43208
LGA63010,215,40,260,2435,928,116,3486,8634,1173,13295
LGA63210,75,23,100,845,311,49,1200,3430,485,5109
LGA63410,37,8,43,195,90,6,288,903,141,1336
LGA63610,636,72,718,6200,2509,342,9052,18011,1655,28724
LGA63810,212,44,257,1532,662,78,2261,5901,745,8913
LGA64010,1391,274,1677,9696,3787,420,13899,35047,4761,53708
LGA64210,417,73,492,2915,1217,124,4248,10444,1257,15952
LGA64610,188,44,238,1891,727,74,2684,6878,1050,10612
LGA64810,217,37,263,2330,930,108,3374,7430,931,11733
LGA65010,66,20,86,897,335,35,1264,3193,450,4915
LGA65210,39,22,61,278,138,6,427,1333,288,2047
LGA65410,264,47,311,1961,832,74,2868,7437,932,11238
LGA65610,33,9,38,603,202,30,832,2205,347,3383
LGA65810,417,75,498,3466,1370,148,4984,12312,1432,18732
LGA69499,3,0,3,89,38,5,128,530,180,835
LGA69799,0,0,0,4,0,0,9,53,9,73
LGA70200,131,26,164,3741,1198,243,5186,11613,2763,19560
LGA70420,8,5,20,901,670,305,1881,2311,729,4911
LGA70540,0,0,0,14,35,8,54,73,0,131
LGA70620,5,0,12,640,464,170,1275,1038,279,2593
LGA70700,10,0,9,129,62,9,201,607,269,1073
LGA71000,396,66,470,11942,3553,427,15921,40328,8007,64253
LGA71300,0,0,8,1125,1645,581,3352,2381,698,6435
LGA72200,26,17,41,1360,397,57,1816,3937,1775,7526
LGA72300,51,18,67,3474,1032,116,4626,10510,4491,19634
LGA72330,19,0,17,697,746,238,1688,1534,1576,4797
LGA72800,67,17,85,6837,1486,260,8583,13912,2577,25072
LGA73600,3,0,6,994,628,189,1815,2232,576,4626
LGA74050,0,0,4,325,181,3,511,1203,120,1837
LGA74550,7,3,10,300,240,53,594,1008,441,2052
LGA74560,3,0,3,59,27,4,89,276,29,392
LGA74660,11,0,9,958,880,444,2279,1518,750,4555
LGA74680,0,0,0,713,507,29,1248,609,267,2128
LGA79399,3,3,9,1106,217,61,1377,3030,1020,5432
LGA79499,0,0,0,151,57,0,211,1317,747,2281
LGA79799,0,0,0,3,0,0,4,43,26,72
LGA89399,4771,1276,6155,67241,23272,2686,93202,207514,21695,322415
LGA89499,3,0,3,39,33,7,73,322,108,506
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,43,9,51,608,214,26,847,2129,738,3714
LGA99499,0,0,0,3,0,0,6,35,4,46
LGA99799,0,0,0,0,0,0,0,6,0,6
