LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA14950,526,0,0,0,0,532,341,0,0,0,3,342,39,0,4,0,0,49,3,0,5,0,0,12,94,0,6,4,0,100,5,6,0,0,0,9,17,0,0,4,0,20,13,0,0,0,0,15,173,6,21,6,0,204,13,0,0,0,0,13,29,0,0,0,0,32,1085,3,21,14,9,1129
LGA15050,7272,432,35,27,142,7902,10152,257,29,22,27,10479,3717,1047,337,19,20,5137,903,321,115,3,3,1349,910,143,29,4,4,1094,33,30,25,0,6,91,256,18,11,23,11,318,66,10,4,0,3,87,5877,1575,515,57,41,8073,89,108,0,0,58,257,463,69,21,8,112,666,23848,2435,607,108,381,27374
LGA15240,14255,1446,461,414,84,16668,8251,269,151,51,50,8784,3263,854,1143,69,44,5373,437,185,223,3,5,853,1564,204,170,33,18,1985,110,111,75,0,0,302,162,33,21,91,18,330,197,18,16,14,0,244,5732,1407,1662,208,80,9087,319,144,14,8,10,492,854,165,109,57,31,1209,29413,3437,2392,738,254,36233
LGA15270,3147,46,59,56,25,3332,2611,24,17,17,16,2681,1123,163,90,9,0,1387,180,34,28,0,0,245,482,23,19,3,7,532,16,4,10,0,0,32,86,7,0,9,4,108,77,7,0,3,3,95,1975,242,139,32,20,2402,51,3,0,6,4,58,232,28,11,22,5,294,8005,337,219,129,78,8768
LGA15300,1161,71,27,30,7,1295,1020,54,18,6,9,1100,407,49,195,3,0,653,215,7,84,0,0,305,273,16,23,6,0,330,124,9,25,0,0,155,251,12,17,18,3,308,86,4,4,4,0,98,1359,96,351,34,11,1849,46,9,4,0,0,65,177,10,41,11,0,237,3758,244,441,85,20,4545
LGA15350,2015,573,1400,7,8,4004,1373,455,1081,3,12,2919,281,205,2393,28,4,2914,0,0,39,0,0,41,119,69,496,13,0,698,4,0,42,0,0,48,9,0,15,4,0,22,17,0,34,0,3,60,430,279,3021,38,7,3779,16,3,57,0,0,79,65,33,134,0,3,244,3901,1337,5699,53,33,11022
LGA15520,1806,70,47,66,9,1987,1209,17,15,11,3,1250,312,33,110,0,3,459,9,0,3,0,0,17,240,14,23,15,9,291,31,4,16,0,0,50,93,11,3,13,0,116,50,0,0,3,0,50,732,53,161,28,10,992,39,23,10,8,0,79,116,12,11,7,5,156,3897,177,243,116,30,4470
LGA15560,481,0,3,3,0,493,331,0,0,4,0,338,60,0,16,0,0,77,17,0,3,0,0,19,167,0,17,3,0,189,7,0,9,0,0,20,101,0,7,3,0,118,37,0,0,3,0,40,394,0,56,8,3,468,14,0,0,0,0,12,37,0,7,0,0,48,1260,0,60,23,6,1361
LGA15650,1424,54,9,13,9,1515,1761,25,6,0,10,1805,1125,321,22,0,11,1484,187,87,3,0,0,274,272,22,4,0,0,296,20,16,0,0,0,38,81,3,0,0,6,97,47,6,0,0,0,60,1730,454,30,4,18,2243,20,9,0,0,3,37,116,25,15,3,7,164,5060,576,58,21,48,5764
LGA15700,3078,57,97,263,11,3504,1769,25,20,17,7,1833,635,101,217,13,8,969,205,14,48,0,0,263,417,23,36,17,5,500,55,37,13,0,0,111,55,6,3,33,6,105,49,4,3,0,0,59,1422,186,319,75,14,2012,51,8,12,0,0,64,197,13,29,22,3,263,6519,283,472,369,38,7684
LGA15750,1547,6,10,29,0,1600,1297,6,7,15,8,1325,274,93,90,0,3,471,123,8,36,0,0,174,427,16,47,10,4,501,29,4,22,0,0,48,177,0,17,11,4,212,63,3,4,3,0,81,1097,129,213,23,17,1477,30,4,0,0,0,40,143,11,15,7,7,183,4122,157,248,69,30,4625
LGA15800,857,11,10,5,3,885,608,4,0,0,0,611,166,14,40,0,0,219,42,0,3,0,0,50,191,3,8,0,3,208,7,0,0,0,0,9,43,5,3,4,3,56,22,0,0,0,0,26,470,17,56,8,6,558,17,0,0,0,0,17,66,3,3,3,0,78,2015,38,69,16,15,2148
LGA15850,887,0,3,0,7,899,653,3,0,0,5,667,188,17,29,0,7,239,81,3,9,0,0,91,169,0,11,0,3,181,4,3,24,0,0,28,61,0,9,0,0,71,34,0,0,0,0,35,531,21,75,7,10,646,14,0,3,0,0,20,70,0,6,6,3,85,2162,30,90,10,22,2318
LGA15900,15099,1934,820,38,37,17928,16323,1561,839,23,30,18773,6202,3001,3166,94,75,12537,680,1273,1469,10,17,3449,2635,716,755,25,39,4174,112,187,124,0,8,432,254,91,76,6,11,437,159,54,53,0,0,268,10042,5324,5641,135,157,21295,231,145,51,0,8,437,949,256,292,13,38,1552,42634,9215,7644,213,271,59974
LGA15950,1590,1521,4389,4,24,7527,1144,1275,4038,6,4,6475,310,965,10805,38,32,12150,3,31,417,0,3,454,135,295,1908,9,7,2356,8,16,60,0,0,84,11,9,79,7,7,112,16,21,104,0,0,139,483,1329,13371,50,48,15286,24,15,146,0,0,178,64,83,434,6,20,601,3301,4224,22382,70,92,30068
LGA15990,21296,2826,6002,137,62,30314,22171,2047,6896,55,55,31222,3780,1117,10743,106,102,15844,189,381,496,0,0,1068,1748,457,2336,77,76,4691,52,154,268,0,0,477,109,97,117,30,10,365,144,51,138,6,9,338,6015,2253,14094,214,206,22785,239,486,664,9,8,1399,994,282,841,44,60,2214,50714,7895,28497,455,385,87940
LGA16100,741,0,0,3,25,769,569,0,0,8,22,596,190,10,25,0,16,235,18,0,10,0,0,29,103,0,0,0,4,109,0,0,5,0,0,7,40,0,0,0,0,39,16,0,0,0,0,18,371,11,38,0,24,439,4,0,0,0,0,9,58,0,6,0,0,60,1745,11,41,11,66,1875
LGA16150,4205,226,60,13,5,4521,4633,97,35,3,13,4774,2195,651,266,4,13,3128,492,212,104,0,0,804,591,82,32,0,3,712,27,37,13,0,11,96,60,3,6,4,5,80,40,15,3,0,3,57,3409,1004,416,8,40,4880,37,19,7,3,7,74,340,62,28,9,56,489,12629,1405,547,34,125,14735
LGA16200,1884,24,24,18,16,1971,1525,12,5,4,4,1550,424,58,136,6,3,630,150,17,45,0,0,215,444,11,24,0,7,490,37,11,23,0,0,69,61,3,8,6,3,88,44,3,3,0,3,50,1163,105,233,16,15,1539,33,0,9,0,5,50,169,6,16,3,4,195,4764,146,290,41,50,5294
LGA16260,13930,1974,2687,17,28,18643,12921,4093,6048,51,48,23163,4017,2968,15056,129,103,22275,999,1037,1466,3,3,3501,1456,601,1852,35,30,3967,79,172,366,0,10,621,268,303,145,0,18,738,118,45,103,3,4,277,6940,5125,18978,170,166,31375,169,77,541,0,3,793,694,281,821,7,51,1859,34645,11562,29082,240,297,75819
LGA16350,15013,1125,279,118,23,16561,23567,1815,490,22,43,25931,8072,2686,2025,43,85,12909,1149,917,533,3,0,2601,2168,376,187,13,38,2788,105,128,115,0,3,350,246,46,23,8,6,327,171,27,24,0,3,230,11913,4179,2900,77,141,19206,220,58,22,0,3,302,1159,313,141,16,31,1668,51865,7490,3826,231,245,63667
LGA16380,10360,1353,768,461,66,13010,7305,508,275,31,35,8159,2615,1078,1186,36,25,4934,335,293,323,0,3,957,1070,247,259,23,17,1616,55,86,46,0,5,189,109,42,40,106,8,304,101,21,38,4,5,163,4281,1762,1892,166,62,8160,154,224,194,7,0,577,543,184,169,42,23,956,22644,4026,3293,706,188,30855
LGA16400,8054,1183,237,299,39,9813,7318,510,80,37,21,7957,2454,1083,348,16,14,3913,476,160,73,0,0,713,849,211,72,20,12,1164,35,89,16,0,0,142,469,64,6,83,8,639,64,19,9,7,0,96,4350,1622,527,124,41,6666,95,101,15,9,3,218,481,116,48,127,20,794,20298,3534,908,591,120,25452
LGA16490,4822,414,230,35,17,5521,6902,813,394,21,29,8160,1038,961,1344,11,3,3362,429,146,53,0,0,625,621,243,235,9,9,1114,33,55,10,0,0,101,343,49,41,4,3,440,73,14,6,4,3,100,2535,1464,1688,28,22,5737,76,29,3,0,0,108,325,100,60,8,10,500,14664,2819,2374,94,77,20023
LGA16550,6652,2598,3870,51,21,13193,4306,2885,4352,65,40,11645,1195,1465,13066,224,48,15993,112,531,2435,0,0,3081,521,413,2465,79,26,3509,39,31,283,3,0,351,61,107,264,9,0,438,52,24,159,3,0,243,1974,2574,18669,320,81,23614,77,49,233,3,0,361,307,207,981,13,54,1569,13319,8305,28104,452,194,50374
LGA16610,2936,132,90,123,7,3297,2296,59,31,16,3,2407,830,141,297,8,3,1281,189,27,34,0,0,247,493,70,73,18,4,656,45,18,40,0,0,101,80,3,5,35,3,131,62,6,8,0,0,74,1696,264,447,67,16,2490,36,7,22,3,3,70,212,18,36,12,0,279,7179,479,637,217,30,8549
LGA16650,7531,1923,2123,69,9,11655,5234,1761,3922,21,22,10968,1756,1087,7467,138,44,10490,90,107,544,3,0,748,656,266,1064,58,23,2073,42,62,84,0,5,186,82,42,113,25,6,259,75,29,69,3,4,172,2702,1584,9334,227,82,13934,100,37,101,3,5,240,485,155,478,15,30,1160,16052,5457,15957,334,150,37956
LGA16700,8683,1650,1726,15,31,12101,7154,1905,3008,13,29,12109,1892,1675,7564,59,44,11245,214,575,550,0,0,1344,891,374,1116,15,17,2404,28,152,112,0,14,308,79,109,81,7,11,282,77,38,49,0,0,170,3179,2919,9481,79,86,15747,106,124,139,4,19,392,403,146,328,3,40,919,19528,6739,14676,115,203,41267
LGA16900,6931,780,123,241,32,8102,7701,656,99,14,19,8498,1943,961,448,13,11,3377,1061,414,134,0,4,1614,705,205,77,17,6,1013,35,48,5,0,3,88,54,13,4,34,3,114,43,19,8,0,0,75,3843,1677,673,66,24,6286,56,63,4,3,26,156,408,127,26,24,10,599,18944,3305,931,351,112,23643
LGA16950,15096,649,181,699,98,16732,9889,190,75,42,45,10243,3810,864,350,17,24,5065,801,345,121,0,3,1269,1780,164,92,33,29,2095,157,101,27,0,8,292,416,12,4,127,26,590,187,21,8,10,6,233,7155,1506,607,185,88,9544,284,126,27,13,16,462,933,109,70,62,26,1203,33364,2585,963,1002,277,38187
LGA17000,2223,73,35,27,14,2371,2818,82,28,6,14,2943,921,300,138,0,8,1371,239,39,38,0,0,312,248,24,14,3,4,293,3,4,0,0,0,10,127,7,3,26,8,163,39,5,3,0,0,50,1572,376,201,33,20,2200,40,5,3,0,0,58,136,15,12,3,5,171,6790,558,269,63,53,7741
LGA17040,2738,56,34,45,51,2929,2169,47,46,17,41,2319,540,145,178,11,16,882,65,8,17,0,0,94,453,48,51,18,27,590,20,7,9,0,0,39,112,8,24,12,44,195,64,7,0,3,9,79,1245,223,278,40,95,1883,51,0,4,0,12,73,194,23,47,13,45,317,6402,342,414,111,244,7518
LGA17080,2217,25,15,14,14,2275,1545,0,10,3,6,1570,449,45,70,0,8,570,143,7,17,0,0,161,357,10,22,0,5,395,17,16,0,0,0,34,96,3,13,4,3,113,49,4,3,0,0,55,1106,91,117,3,16,1337,35,10,0,0,0,39,135,6,14,8,4,170,5033,135,153,32,41,5388
LGA17100,2504,138,537,11,6,3193,1776,226,1502,33,23,3563,551,251,3059,58,43,3970,86,98,278,0,0,457,183,43,448,16,13,703,13,20,37,0,0,65,19,7,89,0,9,122,20,4,33,3,3,67,866,418,3941,76,72,5381,26,3,32,0,0,67,121,23,304,6,15,465,5299,808,6316,132,116,12674
LGA17150,21233,3736,3401,91,33,28488,22128,3309,4042,28,48,29552,2808,1639,6489,104,42,11088,270,653,760,0,3,1691,987,389,964,26,24,2393,67,104,180,0,3,353,84,155,37,86,3,369,130,25,66,9,0,220,4351,2973,8500,227,76,16118,160,88,335,0,3,589,835,269,449,22,36,1609,48705,10368,16718,367,199,76356
LGA17200,728,3549,7604,39,39,11964,474,4499,11889,42,54,16964,232,4696,30850,192,161,36126,62,1565,4813,0,16,6459,90,1569,6153,71,67,7954,14,120,1034,11,14,1197,10,82,798,17,31,935,11,91,349,3,6,457,417,8128,44003,284,291,53121,10,115,421,6,0,559,84,542,1969,43,182,2816,1717,16835,65879,416,574,85423
LGA17310,6972,241,25,102,36,7372,6576,94,10,48,33,6763,2683,963,234,77,20,3978,383,183,86,100,5,762,1202,120,34,16,15,1395,41,44,3,3,3,97,249,22,9,33,12,326,148,20,9,3,0,175,4712,1358,370,235,56,6729,137,23,3,4,8,177,524,116,27,26,11,710,18918,1830,441,417,139,21752
LGA17350,1050,8,21,9,6,1094,606,7,7,5,4,622,171,14,29,3,0,219,41,3,3,0,0,52,170,0,20,0,0,188,0,4,25,0,0,32,26,0,0,3,0,35,23,3,0,0,0,24,433,23,83,5,0,547,14,0,0,0,0,18,53,0,7,0,0,66,2149,40,118,23,14,2344
LGA17400,1299,5,5,12,10,1334,596,4,0,11,3,614,193,34,14,0,3,247,34,0,7,0,0,41,197,3,0,3,0,208,40,9,0,0,0,45,29,0,3,0,0,37,40,0,0,3,0,44,536,46,27,14,3,626,24,0,0,0,0,25,81,0,0,3,4,85,2536,51,36,43,19,2682
LGA17420,14612,1306,556,26,24,16513,19054,2161,591,13,26,21856,3744,1390,1092,20,27,6269,42,75,11,0,4,128,926,210,150,6,10,1303,27,66,38,0,3,140,129,72,9,12,4,221,93,20,12,0,7,125,4955,1832,1313,32,58,8189,189,183,110,0,0,483,603,94,64,4,25,792,39414,5577,2636,72,134,47836
LGA17550,9637,2330,1249,861,86,14166,8250,1171,442,44,38,9945,2207,1396,1456,12,23,5089,239,395,263,0,0,898,1534,582,401,42,38,2593,52,85,25,3,0,157,162,63,50,164,15,446,136,46,31,6,6,226,4324,2561,2216,230,82,9413,151,154,67,5,44,421,560,280,206,70,29,1138,22929,6489,4180,1211,282,35089
LGA17620,1736,7,27,46,15,1831,1607,7,13,7,11,1645,475,52,109,0,4,642,84,3,46,0,0,135,359,3,23,3,9,400,25,0,8,0,0,35,166,5,7,12,7,204,75,0,0,0,3,79,1194,70,193,13,24,1496,39,0,0,0,0,47,123,3,8,3,3,145,4698,92,242,75,48,5161
LGA17640,1317,26,0,24,16,1382,883,5,0,9,11,912,151,8,3,0,0,156,14,3,0,0,0,21,195,12,0,4,3,212,9,14,0,0,0,17,43,0,0,0,0,43,47,0,0,0,0,49,461,28,3,10,3,504,24,3,0,0,0,27,77,4,0,0,0,87,2763,73,3,46,26,2912
LGA17650,937,4,0,9,6,951,748,0,0,7,3,759,158,7,19,0,0,192,15,0,3,0,0,22,150,0,8,3,0,166,0,0,0,0,0,0,59,0,0,3,0,69,33,0,0,0,0,34,430,8,29,11,4,477,22,0,0,0,0,26,57,3,3,0,0,69,2191,15,34,28,11,2281
LGA17750,6045,194,236,49,14,6540,7214,76,135,34,25,7484,2765,385,1279,50,11,4493,795,36,189,0,0,1017,1105,69,118,19,11,1324,37,22,60,0,0,125,366,18,15,24,4,425,97,4,22,3,0,122,5162,533,1685,95,22,7503,108,65,45,3,3,220,481,46,94,16,11,652,19013,917,2194,202,71,22397
LGA17850,567,0,4,7,10,590,237,0,0,3,7,244,49,0,9,0,0,58,25,0,3,0,3,31,93,0,6,0,0,95,4,0,0,0,0,3,58,0,0,3,0,65,35,0,0,0,0,38,260,0,18,5,7,289,15,0,0,0,0,20,47,0,0,0,0,46,1124,3,24,13,20,1187
LGA17900,722,0,3,116,21,867,273,0,0,5,10,299,75,0,19,3,3,105,147,0,17,0,10,174,164,0,15,13,6,202,129,0,16,0,6,151,152,0,34,3,10,195,64,0,6,6,3,71,732,4,108,23,44,901,53,0,0,19,0,69,110,0,5,23,6,147,1892,5,116,190,91,2286
LGA17950,421,0,6,6,3,434,224,0,0,0,4,226,27,3,6,0,0,40,31,0,0,0,0,31,104,0,5,0,0,114,19,0,13,0,3,30,61,0,5,0,0,64,17,0,0,0,0,16,259,6,28,6,0,300,13,0,0,0,0,10,33,0,5,0,0,34,944,6,39,8,8,1007
LGA18020,1572,9,0,20,25,1631,787,5,3,3,14,809,201,6,33,3,3,249,84,0,10,0,0,86,329,0,14,3,7,353,11,13,0,0,0,28,106,3,5,5,3,132,62,0,3,0,0,62,788,24,70,13,10,907,44,0,0,3,0,46,111,6,3,3,4,123,3299,50,78,45,55,3517
LGA18050,2008,1625,2541,81,35,6285,1506,1885,2556,32,23,6012,330,778,7596,156,19,8883,4,6,387,0,0,399,151,293,1760,52,16,2266,3,14,85,0,0,104,6,9,87,4,0,113,26,19,105,3,0,152,519,1123,10023,218,39,11920,25,22,122,0,20,181,102,123,518,6,15,763,4160,4774,15759,344,129,25166
LGA18100,701,14,0,3,4,725,355,0,0,3,3,361,58,20,5,0,0,88,14,0,0,0,0,14,97,3,0,3,0,108,34,3,0,0,0,34,21,0,0,0,0,24,19,0,0,0,0,21,242,28,4,3,0,289,15,0,0,0,0,16,54,3,0,0,0,61,1365,53,7,9,11,1449
LGA18200,854,3,21,41,9,927,743,0,5,3,3,760,127,12,47,0,0,187,36,0,0,0,0,40,169,8,8,6,0,193,46,7,12,0,0,70,64,5,3,11,7,88,25,0,3,3,0,35,464,30,80,24,7,606,22,0,0,3,0,28,75,0,6,9,7,101,2163,38,115,74,23,2420
LGA18230,5037,153,166,118,21,5493,5639,92,49,100,15,5899,2006,517,528,44,12,3100,480,106,188,3,3,772,911,77,53,30,12,1076,79,45,33,0,0,155,108,14,11,20,13,162,84,9,10,0,3,105,3662,759,823,93,40,5370,64,26,112,6,3,210,386,29,67,22,8,504,14789,1054,1208,339,87,17474
LGA18250,5626,627,2038,9,10,8309,4463,718,2186,4,13,7385,1131,495,5760,37,14,7435,16,12,353,0,0,374,453,146,874,18,10,1493,16,14,66,0,0,100,39,20,100,4,3,163,52,6,60,0,0,120,1697,692,7218,58,24,9686,64,9,156,0,4,233,224,38,273,3,9,547,12077,2077,11873,72,58,26155
LGA18350,7133,424,41,78,57,7730,5695,97,28,9,23,5849,1558,285,150,9,16,2019,259,75,36,0,0,369,667,66,31,8,9,780,64,41,18,0,0,112,110,0,0,8,10,138,97,3,3,3,3,108,2756,470,234,27,37,3518,152,29,5,3,3,194,390,32,16,18,14,475,16121,1055,324,136,129,17759
LGA18400,4362,247,17,23,14,4656,7449,78,16,13,17,7576,1216,95,54,10,10,1392,98,35,13,0,0,141,470,17,11,14,7,513,30,23,0,0,0,54,71,3,0,40,4,124,61,0,0,3,0,69,1948,177,76,69,18,2290,77,105,0,0,0,180,348,40,0,4,4,399,14179,647,108,113,55,15094
LGA18450,21225,2141,2052,196,114,25727,19530,1667,1730,47,60,23035,4567,2364,5232,103,66,12340,2175,1565,1540,10,6,5296,2006,615,933,38,33,3630,87,134,150,10,0,378,175,67,103,45,8,406,171,52,93,10,4,322,9183,4799,8048,215,128,22378,212,243,177,10,35,681,1216,304,450,35,132,2141,51367,9154,12454,511,468,73953
LGA18500,2484,1745,3126,24,32,7407,1453,1410,2121,25,26,5040,258,1025,4533,66,24,5912,0,5,48,0,4,61,136,302,1159,29,9,1636,3,17,12,3,0,32,24,15,60,3,3,109,19,34,78,0,0,137,434,1403,5899,103,40,7882,26,39,92,0,0,160,103,105,388,11,8,615,4500,4703,11636,158,106,21105
LGA18710,1814,48,6,14,14,1900,2386,29,6,8,19,2443,325,62,3,0,0,388,71,4,0,0,0,68,338,19,8,0,10,382,16,14,0,0,0,35,72,8,0,4,3,82,46,4,0,3,0,52,863,113,17,6,12,1011,35,20,0,4,0,59,87,10,0,5,0,110,5185,220,26,40,51,5519
LGA19399,142,0,0,0,0,143,64,0,0,0,0,71,0,0,0,0,0,0,9,0,0,0,0,9,31,0,0,0,0,28,3,0,0,0,0,3,37,0,0,0,0,44,18,0,0,0,0,18,93,0,0,0,0,93,12,0,0,0,0,12,17,0,0,7,0,23,331,0,0,5,4,336
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,2072,24,18,13,25,2148,1364,23,12,7,19,1434,415,44,30,3,8,500,47,22,6,0,0,70,323,26,11,10,8,376,3,0,0,0,0,3,49,3,0,3,0,54,29,6,3,0,4,41,865,95,56,19,19,1047,27,0,3,0,3,39,145,9,3,0,0,163,4476,155,100,32,71,4832
LGA20260,1794,25,22,13,11,1861,1187,5,9,6,5,1219,373,35,48,5,0,462,88,32,4,0,0,122,271,5,13,7,0,289,11,3,0,0,0,14,70,0,3,13,0,87,48,6,0,0,0,49,850,79,78,17,0,1025,35,8,0,0,0,44,135,11,5,8,3,159,3995,121,113,43,25,4298
LGA20570,10912,1167,170,65,28,12350,11731,828,74,33,37,12696,5167,2156,601,15,30,7961,923,455,102,0,9,1495,1496,312,94,12,14,1923,138,101,63,0,8,311,116,47,18,8,15,201,126,37,11,0,0,180,7969,3114,886,34,71,12069,196,78,10,3,8,288,781,178,49,7,23,1040,31586,5362,1185,146,167,38449
LGA20660,14697,1497,379,13,33,16615,13066,1951,420,10,20,15467,3702,2022,1289,18,28,7057,623,580,243,0,16,1460,1184,424,192,12,13,1816,66,93,88,0,0,253,185,60,8,0,0,253,103,41,18,0,0,165,5865,3219,1841,32,48,11003,143,86,37,0,0,270,775,203,75,0,18,1070,34541,6962,2749,50,130,44431
LGA20740,5228,237,54,114,17,5649,3616,47,17,7,19,3705,1728,178,68,3,8,1989,94,133,12,0,0,242,741,27,23,9,4,804,23,23,9,0,0,56,77,10,4,22,0,117,102,8,0,0,0,111,2766,384,116,36,14,3322,72,9,0,3,7,88,342,30,8,13,9,406,12019,714,192,176,69,13175
LGA20830,6140,158,343,78,25,6748,6478,56,33,14,19,6600,1681,242,188,8,7,2131,167,79,45,0,0,289,841,54,52,8,5,955,16,19,9,0,0,42,84,3,15,39,7,146,84,8,9,0,0,102,2860,399,319,54,21,3655,81,4,41,0,0,131,387,28,41,11,12,474,15945,655,776,155,80,17605
LGA20910,10188,3005,1021,32,41,14291,8347,2311,788,59,57,11565,1993,1883,1521,73,31,5496,148,297,348,0,0,791,692,473,241,25,15,1446,12,22,87,0,0,119,32,26,29,3,0,84,73,38,23,0,0,142,2948,2736,2249,103,48,8080,100,90,96,0,0,296,462,187,138,3,6,808,22051,8336,4296,193,154,35037
LGA21010,2212,9,71,17,15,2326,1623,3,22,6,13,1662,551,25,143,0,6,729,191,18,32,0,0,242,260,3,28,3,4,292,6,0,12,0,0,14,31,0,0,0,0,36,31,0,3,0,0,32,1066,46,221,5,13,1350,28,0,42,3,0,79,146,5,25,3,0,182,5082,61,379,33,34,5594
LGA21110,16110,4433,1987,31,40,22604,11925,3148,2159,31,37,17305,3273,3262,7304,76,60,13976,97,114,255,0,3,468,1112,780,1060,30,25,3005,45,96,124,0,3,268,69,41,74,3,3,189,139,74,74,0,5,287,4725,4370,8887,111,96,18192,187,96,165,0,11,455,620,230,420,6,13,1288,33568,12272,13622,181,204,59849
LGA21180,19801,1571,317,37,14,21740,18253,2347,405,28,21,21054,5984,2505,1260,28,39,9812,773,274,213,4,0,1262,2736,650,240,21,25,3670,107,85,49,0,0,252,502,150,69,3,3,721,237,43,15,0,3,299,10343,3705,1850,54,68,16016,254,122,34,0,3,414,1841,309,143,33,16,2336,50486,8056,2753,151,122,61562
LGA21270,1327,7,8,13,3,1360,555,4,0,3,4,562,56,7,6,3,0,65,17,14,20,0,0,49,205,0,0,4,0,212,4,0,11,0,0,11,43,5,0,0,0,50,34,0,0,0,0,39,363,17,38,8,0,427,22,0,4,0,0,23,60,3,13,0,3,82,2324,35,56,30,12,2455
LGA21370,5126,168,83,58,13,5452,4436,65,15,7,12,4538,1046,244,182,3,6,1482,283,138,58,0,0,489,784,55,36,16,9,896,33,21,18,0,0,69,160,6,8,31,7,215,97,9,5,0,0,116,2405,486,302,54,18,3261,85,22,16,0,0,121,385,47,26,12,5,474,12443,786,446,124,52,13855
LGA21450,7035,422,41,54,19,7570,14627,527,16,11,29,15208,4276,936,11,8,9,5237,151,102,9,0,0,260,1109,108,11,9,10,1238,29,20,0,0,0,45,121,3,0,44,0,173,108,11,0,0,0,120,5787,1185,34,62,14,7081,229,103,35,3,0,366,656,98,16,6,11,778,28330,2330,137,128,80,31009
LGA21610,19477,2138,185,36,12,21853,44370,2921,156,29,35,47516,11326,1996,301,38,23,13681,1031,208,119,32,4,1394,3118,367,51,3,4,3544,94,57,14,0,0,162,361,44,8,101,3,527,230,34,6,3,4,279,16163,2709,498,172,48,19587,371,245,69,0,3,692,2086,297,54,23,26,2485,82465,8309,961,263,133,92127
LGA21670,2278,82,5,55,12,2428,1504,19,3,16,5,1546,461,73,18,3,0,551,98,56,27,0,0,182,309,17,5,6,0,337,13,19,10,0,0,37,37,6,0,12,0,50,32,3,0,3,0,41,940,171,61,24,4,1200,35,29,3,0,0,66,177,18,8,5,0,210,4932,317,76,101,25,5445
