LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA17150,20605,40875,455,2486,2804,12744,604,2673,15699,61466,19557,79366,2133,8997,2626,9278,6641,21446,11400,39718,30961,119090,76,313,487,1628,198,660,2447,6323,3204,8928,460,1458,882,2005,3421,7370,4766,10829,7968,19757,714,1503,60249,181224
LGA17200,25791,50600,20,111,445,1907,72,302,6654,22840,7193,25159,247,980,772,2468,1150,3515,2173,6960,9365,32120,17,89,158,526,75,254,1399,3327,1654,4196,116,346,690,1482,1621,3359,2418,5191,4071,9387,1658,3510,40887,95622
LGA17310,6263,12412,118,621,597,2720,206,959,3329,13227,4247,17531,222,886,389,1233,1101,3348,1718,5468,5961,22993,42,166,184,739,110,414,1373,3904,1702,5227,84,260,215,449,919,1988,1212,2690,2912,7912,235,489,15373,43815
LGA17350,749,1493,17,86,74,386,16,61,325,1379,436,1915,20,80,37,119,127,389,186,594,618,2506,3,23,22,68,11,30,90,256,124,382,4,22,17,41,88,184,109,244,238,620,11,24,1623,4642
LGA17400,920,1819,9,71,58,282,14,66,240,984,326,1402,15,73,38,119,100,296,161,493,483,1891,4,23,20,89,15,53,118,332,155,495,5,13,23,47,91,187,120,252,280,753,18,42,1697,4501
LGA17420,12608,25222,400,2269,2853,13032,498,2282,12878,51181,16620,68766,1896,8039,2729,9711,5152,16802,9779,34551,26403,103322,56,232,324,1116,125,429,1266,3392,1776,5169,278,911,554,1323,1720,3836,2549,6073,4327,11241,382,808,43713,140594
LGA17550,10759,21379,149,792,851,3928,286,1256,4688,18405,5969,24388,388,1582,683,2256,1715,5328,2783,9169,8751,33550,54,251,323,1150,154,565,1641,4363,2172,6326,164,519,429,952,1695,3610,2287,5091,4462,11409,312,650,24290,66989
LGA17620,1555,3067,20,113,174,788,35,167,870,3530,1101,4590,55,217,99,302,233,706,384,1228,1492,5821,5,30,34,120,14,51,233,632,289,834,8,28,43,83,178,361,224,481,515,1313,35,66,3595,10265
LGA17640,997,1967,12,64,74,368,21,102,414,1702,529,2228,45,166,46,148,174,549,263,859,791,3085,8,26,9,39,11,35,94,263,117,358,4,9,21,38,100,215,123,266,242,625,26,57,2053,5733
LGA17650,752,1495,17,69,69,307,22,86,351,1392,446,1855,24,97,52,158,105,326,177,577,631,2438,5,22,17,69,10,42,92,255,134,395,3,14,24,44,83,160,106,217,234,613,21,49,1640,4592
LGA17750,6094,11992,131,709,732,3463,220,1011,3779,15083,4854,20269,261,1062,490,1567,1037,3225,1789,5859,6648,26123,35,168,223,830,117,451,1206,3357,1591,4805,99,282,225,473,873,1873,1197,2636,2783,7438,250,526,15773,46077
LGA17850,405,805,3,13,35,133,12,46,168,661,215,856,19,60,31,87,47,141,97,288,312,1141,0,6,12,34,3,4,44,124,61,169,3,7,4,4,31,64,42,78,95,245,9,13,823,2199
LGA17900,562,1132,5,26,40,175,25,109,256,1027,327,1345,4,18,22,54,71,226,100,296,420,1644,5,36,20,61,26,110,172,540,225,744,4,20,15,37,115,261,146,316,365,1060,41,88,1394,3919
LGA17950,310,604,3,19,23,90,4,30,154,650,191,786,3,9,18,44,43,121,64,177,250,966,3,14,16,53,7,21,43,124,66,211,4,3,3,12,41,92,45,110,109,321,7,15,676,1909
LGA18020,1170,2310,13,64,96,427,30,113,401,1665,540,2271,36,138,71,205,134,413,240,750,774,3024,11,40,37,147,18,44,168,479,232,710,5,10,30,53,121,257,155,329,386,1038,39,80,2371,6449
LGA18050,6760,13228,48,244,575,2575,50,200,4449,16533,5122,19547,291,1134,617,2078,727,2223,1634,5436,6754,24988,5,16,94,293,21,64,655,1542,772,1916,76,234,253,568,645,1330,975,2130,1749,4049,292,603,15555,42862
LGA18100,504,1001,7,38,32,134,11,38,182,754,228,963,12,42,17,61,64,186,93,279,320,1243,0,5,12,31,6,13,42,115,58,175,0,4,13,20,49,103,56,131,113,299,14,34,951,2577
LGA18200,790,1540,19,88,67,303,20,95,372,1492,479,1978,27,117,40,133,125,380,195,633,676,2612,3,10,18,79,6,32,111,334,144,446,7,18,15,27,93,209,121,260,259,700,19,39,1735,4894
LGA18230,4848,9589,86,454,505,2359,141,636,2872,11439,3601,14891,220,850,342,1032,915,2850,1472,4732,5075,19627,34,152,168,606,101,395,1192,3473,1494,4627,87,261,189,389,715,1544,991,2197,2477,6825,216,451,12621,36494
LGA18250,6737,13321,40,196,856,3793,88,362,6342,23808,7324,28162,471,1870,1224,4159,1275,3958,2970,9984,10290,38145,9,47,158,519,29,80,753,1867,948,2511,106,303,453,1030,886,1895,1447,3227,2395,5742,377,801,19801,58011
LGA18350,6148,12103,94,556,498,2249,162,729,2624,10454,3379,13985,222,912,385,1213,993,3098,1609,5222,4984,19211,25,124,158,579,76,251,611,1674,875,2625,76,219,181,400,680,1427,932,2053,1801,4676,123,241,13053,36232
LGA18400,4424,8833,182,1006,655,3130,369,1735,3379,13725,4580,19602,379,1599,464,1609,1535,5006,2377,8218,6960,27817,28,136,138,513,67,216,609,1707,842,2575,55,175,138,320,618,1330,807,1830,1654,4406,109,228,13144,41279
LGA18450,19314,38353,392,2182,2150,9979,616,2774,12257,48074,15410,63008,1393,5809,1998,6908,4896,15637,8288,28354,23697,91364,106,487,652,2321,299,1089,3174,8524,4229,12428,409,1311,951,2100,3687,7938,5047,11353,9276,23777,862,1799,53149,155291
LGA18500,5960,11619,45,209,531,2402,32,124,3264,12299,3877,15035,282,1122,675,2245,730,2210,1686,5580,5567,20622,7,26,101,322,23,59,538,1301,664,1708,71,199,275,579,550,1127,891,1907,1555,3616,279,571,13356,36427
LGA18710,1794,3521,41,206,241,1123,65,300,1126,4478,1466,6105,84,330,177,582,354,1122,614,2038,2086,8144,6,21,36,126,14,65,197,530,251,741,15,51,43,101,165,340,220,489,474,1224,40,77,4390,12973
LGA19399,121,226,0,0,6,14,3,12,66,259,75,291,0,6,6,12,22,66,29,83,102,374,0,0,0,0,0,3,9,14,9,21,0,0,0,0,12,20,12,20,17,45,3,9,243,651
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,1650,3229,18,97,115,536,30,131,595,2374,765,3133,46,177,120,360,219,662,378,1199,1142,4328,0,8,30,114,8,25,188,484,229,630,17,41,49,100,129,275,191,418,423,1050,37,73,3246,8683
LGA20260,1362,2673,21,97,93,420,33,144,524,2107,668,2774,49,204,72,220,198,607,325,1037,993,3810,3,7,31,103,15,52,179,494,221,661,8,29,51,103,154,330,208,462,432,1122,42,85,2825,7694
LGA20570,9821,19425,144,812,1112,5148,228,1031,5971,23510,7458,30504,509,2126,851,2767,1653,5173,3009,10064,10460,40567,60,279,344,1251,188,657,2013,5457,2606,7637,213,671,509,1126,1486,3151,2207,4948,4817,12589,396,826,25499,73405
LGA20660,11497,22849,160,897,1389,6352,202,903,8625,33034,10373,41186,984,4078,1640,5854,2937,9324,5556,19257,15931,60444,46,202,308,1033,111,387,1443,3688,1908,5312,270,848,633,1417,2124,4533,3028,6801,4932,12111,610,1287,32968,96686
LGA20740,4239,8347,46,259,285,1258,78,336,1611,6347,2017,8198,103,418,228,734,480,1452,810,2606,2825,10805,16,80,106,358,56,198,593,1619,773,2254,45,124,136,299,452,930,632,1348,1411,3597,89,185,8567,22928
LGA20830,5577,11056,105,578,555,2626,150,680,2777,11222,3579,15102,271,1130,463,1528,974,3082,1703,5741,5285,20844,42,188,127,447,59,213,776,2139,1005,2985,94,306,215,475,624,1315,930,2095,1939,5082,135,283,12930,37260
LGA20910,9061,17789,113,562,1519,6776,125,510,7069,27325,8825,35178,893,3637,1867,6520,1879,5857,4639,16013,13462,51187,13,62,251,796,38,132,940,2327,1242,3318,164,502,531,1216,1214,2520,1906,4237,3151,7552,294,625,25968,77150
LGA21010,1861,3648,15,100,121,568,24,120,591,2340,759,3133,51,206,109,348,251,765,407,1319,1166,4447,3,19,53,185,14,52,267,737,333,992,16,49,66,127,192,391,271,568,610,1562,45,92,3681,9746
LGA21110,14723,29065,178,943,2675,11995,168,709,11025,42595,14036,56246,1485,6157,3462,12303,3127,9648,8081,28105,22119,84350,31,132,446,1471,55,186,1444,3626,1980,5416,296,922,1008,2330,1802,3762,3111,7016,5083,12437,949,2000,42882,127847
LGA21180,14490,29539,510,2979,2325,11100,659,3106,11851,46264,15340,63450,1710,7538,2104,7534,5809,19217,9618,34291,24956,97739,190,929,839,3272,310,1191,3242,9232,4575,14618,612,2116,978,2344,4000,9180,5588,13643,10164,28258,1194,2668,50811,158202
LGA21270,794,1569,12,46,79,396,14,56,285,1194,391,1696,19,66,64,211,82,256,169,527,561,2220,0,5,10,43,0,5,67,194,80,244,8,22,22,45,74,152,96,213,185,456,21,44,1558,4287
LGA21370,4413,8741,82,423,424,1989,117,514,1889,7655,2512,10581,185,760,314,1007,727,2246,1228,4012,3742,14599,22,78,104,390,46,166,600,1636,766,2270,61,179,129,281,501,1083,691,1543,1463,3814,108,216,9720,27361
LGA21450,8165,16335,258,1482,1216,5882,347,1560,7289,28809,9105,37730,727,3099,865,2988,1993,6384,3583,12478,12683,50206,64,316,319,1151,156,567,1647,4556,2187,6591,185,589,381,879,1247,2720,1812,4190,3998,10782,277,572,25127,77899
LGA21610,21983,44358,952,5676,4573,22182,1156,5425,23917,94094,30612,127372,2700,11652,3524,12485,7426,24465,13648,48594,44260,175962,244,1207,989,3730,448,1711,4260,11839,5935,18478,695,2309,1178,2756,4365,9774,6237,14842,12171,33323,1083,2318,79494,255954
LGA21670,1629,3247,21,138,112,534,30,132,515,2045,681,2854,49,204,86,282,247,757,384,1249,1063,4097,3,28,30,129,21,73,271,778,331,1005,26,75,60,136,258,538,344,752,673,1754,36,77,3407,9176
LGA21750,2310,4559,37,192,219,1011,53,246,1099,4516,1407,5963,87,364,156,498,387,1208,634,2064,2042,8025,24,92,56,195,27,94,322,885,419,1269,24,88,69,142,314,645,410,874,830,2147,87,184,5275,14912
LGA21830,1858,3660,35,183,191,953,31,143,829,3422,1088,4706,85,348,162,526,303,930,549,1802,1635,6508,4,21,32,127,25,87,200,602,265,835,29,89,51,100,231,469,308,661,574,1490,55,121,4118,11784
LGA21890,13261,26455,139,785,1354,6193,235,1089,9499,35657,11228,43732,791,3346,1302,4652,2638,8547,4731,16542,15959,60270,51,233,270,890,122,425,1718,4342,2158,5890,244,777,654,1486,2464,5419,3365,7677,5521,13572,1002,2108,35748,102403
LGA22110,6137,12061,53,308,377,1751,100,448,2117,8373,2653,10881,161,636,295,934,758,2309,1216,3882,3866,14762,14,78,152,541,54,181,701,1884,925,2690,57,182,153,326,589,1225,799,1734,1721,4427,128,272,11854,31521
LGA22170,12058,23974,237,1299,1325,6110,425,1957,8445,32390,10430,41756,869,3599,1170,3952,3141,10120,5175,17677,15607,59437,92,401,486,1661,239,821,2583,6782,3393,9664,392,1220,747,1683,2745,5912,3880,8807,7275,18475,604,1278,35552,103159
LGA22250,1406,2788,18,114,145,694,28,121,474,1948,668,2876,42,163,87,280,213,654,343,1102,1004,3974,4,17,22,97,7,33,119,329,158,475,9,25,30,71,128,267,167,363,322,836,33,73,2771,7674
LGA22310,12927,25695,156,904,1769,8107,159,687,10457,40001,12549,49703,976,4022,2082,7300,2548,7994,5604,19313,18154,69021,21,113,299,963,56,187,1377,3397,1753,4652,245,724,758,1746,1655,3491,2659,5961,4409,10615,696,1450,36183,106775
LGA22410,2370,4702,39,211,203,926,51,223,951,3723,1247,5087,76,302,177,563,360,1115,616,1978,1860,7063,7,41,45,141,31,89,321,864,402,1135,17,44,92,201,284,593,389,838,790,1976,62,125,5084,13863
LGA22490,2238,4437,64,373,336,1576,91,396,1640,6628,2132,8975,172,708,206,711,505,1612,886,3031,3015,12001,11,56,54,185,18,65,246,675,326,979,21,60,72,153,225,469,318,688,644,1663,45,87,5939,18188
LGA22620,11327,22444,210,1156,1179,5561,298,1371,6386,25233,8072,33316,498,2058,991,3272,1959,6093,3450,11425,11516,44740,61,304,425,1529,172,615,2170,5852,2835,8297,222,677,517,1126,1642,3452,2378,5256,5211,13556,464,958,28521,81707
LGA22670,11414,23366,350,2125,1774,8732,439,2093,9905,38300,12462,51250,1119,4903,1582,5631,3690,12211,6388,22744,18850,73991,137,681,500,1946,225,824,2274,6320,3135,9769,381,1327,780,1891,2890,6553,4055,9765,7194,19537,1012,2234,38473,119126
LGA22750,23674,46885,341,1866,2419,11142,503,2323,14067,54724,17328,70056,1380,5691,2293,7752,4565,14239,8238,27686,25562,97740,141,631,764,2731,327,1148,3925,10454,5159,14968,479,1547,1170,2567,3642,7786,5293,11896,10451,26862,872,1815,60567,173308
LGA22830,6197,12288,146,832,818,3972,182,868,3644,14495,4790,20166,327,1381,533,1760,1202,3780,2064,6921,6855,27088,41,206,245,894,97,330,1155,3242,1541,4679,104,344,279,603,877,1879,1259,2824,2800,7500,206,432,16060,47309
LGA22910,1945,3840,21,118,115,517,51,228,764,2992,952,3857,41,168,100,327,300,917,438,1414,1391,5268,9,44,39,126,17,61,223,558,285,795,17,52,49,101,235,491,307,644,591,1438,35,76,3962,10623
LGA22980,770,1528,4,27,68,317,10,50,267,1062,346,1456,31,109,64,196,86,264,179,572,525,2020,0,0,18,70,11,26,54,156,81,253,5,17,17,35,71,147,88,197,174,451,22,43,1492,4042
LGA23110,8163,16286,132,770,934,4354,178,783,6375,24174,7620,30082,636,2672,1005,3524,2012,6526,3651,12719,11271,42800,24,113,230,778,77,284,1182,3110,1516,4293,193,624,436,998,1679,3708,2316,5334,3836,9628,510,1068,23780,69788
LGA23190,2237,4401,43,219,193,855,53,217,1160,4638,1450,5934,98,401,153,472,338,1035,590,1911,2035,7843,8,31,58,211,22,71,379,1023,465,1338,20,62,72,158,242,514,339,727,807,2065,70,148,5150,14455
LGA23270,13258,26784,738,4408,2957,14717,829,4046,14057,56386,18588,79558,1938,8674,2081,7456,5360,18015,9379,34142,27969,113704,187,886,700,2687,359,1336,2971,8485,4216,13397,581,1941,802,1879,3536,8085,4924,11909,9140,25307,780,1683,51143,167480
LGA23350,1990,3914,31,168,173,777,36,151,961,3790,1202,4884,78,296,152,468,309,958,530,1715,1732,6599,8,32,54,190,15,45,215,549,294,813,33,87,64,135,177,374,272,593,564,1409,36,77,4321,11997
LGA23430,14261,28417,206,1114,1718,7687,299,1300,10780,40991,13005,51098,1175,4884,1857,6492,3698,11776,6728,23153,19725,74252,36,174,374,1261,128,422,1794,4477,2334,6332,330,1048,837,1852,2676,5759,3843,8658,6179,14989,680,1421,40850,119072
LGA23670,14126,28253,316,1694,2027,9256,405,1751,10226,39270,12973,51972,1589,6710,2284,8062,4775,15460,8643,30238,21616,82208,67,312,420,1440,177,602,1858,4942,2529,7295,427,1349,796,1839,2638,5810,3853,9002,6381,16298,576,1216,42699,127977
LGA23810,7651,15136,112,598,679,3126,171,742,3781,14899,4742,19373,350,1407,616,2015,1513,4698,2485,8117,7223,27488,53,240,278,1007,139,495,1642,4454,2111,6206,143,450,338,732,1143,2378,1627,3556,3744,9760,239,497,18854,52879
LGA23940,982,1936,12,76,88,434,15,60,316,1326,434,1890,18,77,60,196,117,358,202,630,633,2522,6,20,18,55,11,30,78,214,109,321,10,24,21,40,104,218,135,280,238,598,21,41,1877,5100
LGA24130,4812,9502,110,578,639,2884,136,609,3295,13091,4177,17154,317,1313,542,1819,1049,3291,1904,6425,6084,23577,24,121,132,457,40,154,461,1249,663,1979,83,261,182,407,549,1146,815,1814,1481,3796,95,201,12474,37086
LGA24210,11609,23148,144,760,1649,7442,212,898,7414,28524,9423,37636,1308,5469,2172,7707,3691,11802,7168,24979,16586,62615,40,160,262,877,59,196,1080,2747,1428,3985,235,715,638,1510,1789,3867,2663,6089,4092,10066,481,1036,32771,96861
LGA24250,1071,2100,9,60,68,313,12,56,460,1865,556,2290,25,104,59,185,139,392,224,680,776,2971,0,8,15,51,9,32,112,284,140,378,7,21,29,66,85,178,127,260,268,643,21,35,2132,5745
LGA24330,7624,15269,77,446,636,2946,104,475,5588,20631,6402,24502,374,1581,675,2370,1213,3955,2255,7898,8661,32399,32,184,200,724,69,262,1008,2596,1312,3762,149,494,386,918,1235,2742,1767,4153,3072,7911,681,1456,20044,57039
LGA24410,10240,20388,198,1102,1375,6402,230,1016,7842,30248,9645,38769,922,3853,1269,4479,2599,8347,4780,16677,14422,55452,39,203,323,1101,103,356,1455,3713,1923,5367,266,852,609,1385,1868,3993,2744,6236,4665,11603,452,958,29783,88399
LGA24600,14514,28494,20,115,327,1566,38,174,3929,13494,4314,15351,165,663,516,1659,609,1832,1291,4149,5607,19499,14,70,142,508,37,122,826,2023,1017,2714,104,321,567,1221,769,1610,1434,3158,2453,5869,2040,4267,24609,58130
LGA24650,9361,18835,369,2197,1994,9517,525,2491,11173,44043,14060,58247,1055,4549,1268,4502,2985,9883,5310,18934,19366,77179,125,628,491,1902,244,905,2495,7231,3351,10665,331,1114,506,1194,1936,4397,2777,6709,6132,17371,464,981,35323,114372
LGA24780,5681,11274,111,621,626,2909,174,787,2838,11301,3751,15624,261,1073,456,1461,962,2983,1682,5515,5432,21137,44,217,189,663,80,274,1072,3024,1387,4180,90,277,216,469,767,1640,1076,2390,2461,6573,189,393,13763,39378
LGA24850,3777,7478,100,537,511,2420,171,760,2621,10396,3405,14120,247,1055,369,1244,926,2953,1539,5252,4947,19374,34,162,133,450,85,308,695,1918,946,2836,76,235,181,398,601,1295,861,1927,1810,4759,119,252,10643,31868
LGA24900,3579,7101,71,408,288,1358,80,363,1419,5787,1858,7917,127,523,229,708,541,1665,896,2900,2747,10818,17,91,87,314,47,160,511,1406,666,1967,39,135,84,190,373,796,501,1125,1164,3093,82,161,7579,21182
LGA24970,16261,32532,178,939,2296,10137,263,1148,12053,45434,14789,57660,1453,6069,3016,10515,4289,13572,8762,30152,23549,87808,48,229,469,1619,131,438,1659,4284,2310,6561,349,1101,1083,2535,2718,5908,4146,9548,6452,16109,1102,2383,47364,138838
LGA25060,10776,21411,133,743,1435,6467,186,830,7552,28878,9304,36918,895,3780,1521,5471,2700,8697,5120,17947,14421,54863,28,145,267,929,74,251,1270,3295,1642,4614,224,704,573,1302,1945,4255,2742,6262,4384,10877,776,1622,30367,88775
LGA25150,3196,6358,68,408,369,1745,122,588,2047,8166,2613,10907,236,1004,340,1167,774,2479,1354,4651,3968,15556,17,63,98,371,43,166,502,1426,659,2029,56,181,129,275,480,1020,657,1480,1321,3509,79,169,8563,25589
LGA25250,15522,30913,227,1325,1408,6622,275,1241,10641,40047,12556,49239,893,3804,1298,4546,2936,9608,5124,17960,17679,67193,49,241,329,1160,100,369,1665,4232,2148,6002,249,803,619,1416,2686,5875,3560,8093,5707,14100,1148,2440,40057,114651
LGA25340,17941,35471,248,1312,1714,7822,434,1905,8937,35070,11334,46107,963,3875,1474,4925,3296,10368,5733,19171,17072,65274,66,286,440,1483,189,647,2359,6163,3049,8583,282,865,683,1498,2356,4951,3322,7312,6371,15894,397,810,41779,117453
LGA25430,2230,4383,27,149,167,748,45,185,912,3555,1149,4640,68,275,150,483,303,934,525,1691,1672,6334,8,22,57,173,19,54,290,728,372,976,21,73,98,209,273,568,392,848,762,1823,68,136,4732,12677
LGA25490,1931,3812,50,264,207,991,39,193,1043,4268,1336,5720,101,424,133,440,287,882,526,1737,1857,7460,4,29,36,138,18,45,190,504,247,714,27,79,31,59,189,423,248,557,496,1275,53,116,4340,12656
LGA25620,1800,3554,17,101,121,579,47,214,704,2776,894,3669,66,249,107,335,277,831,444,1418,1341,5084,5,18,28,101,9,19,151,417,189,565,19,63,40,77,169,357,226,494,414,1061,32,64,3589,9762
LGA25710,5278,10450,127,681,1077,4933,195,862,4332,17042,5729,23512,792,3348,1036,3720,2098,6729,3925,13798,9655,37311,23,103,144,475,52,194,571,1482,793,2254,134,416,265,611,755,1642,1156,2667,1946,4921,133,276,17008,52959
LGA25810,1480,2919,19,101,128,561,25,117,516,2023,689,2801,41,155,110,328,201,626,354,1116,1040,3912,8,31,34,108,15,49,164,435,215,618,12,34,47,94,141,308,195,434,406,1059,47,88,2972,7981
LGA25900,12634,24613,24,161,480,2133,50,217,5106,18326,5665,20838,234,933,693,2289,778,2356,1709,5583,7379,26417,3,22,133,425,21,71,1034,2360,1196,2886,81,252,461,967,933,1883,1477,3098,2671,5984,673,1394,23351,58408
LGA25990,891,1753,10,77,68,326,24,84,330,1351,428,1842,35,148,44,149,136,414,222,712,653,2554,0,10,11,43,11,41,87,227,111,314,6,19,13,33,96,199,120,247,230,560,15,34,1785,4901
LGA26080,458,890,4,19,27,128,3,18,97,377,136,540,13,37,35,112,42,107,86,258,219,795,3,6,3,11,0,6,29,72,33,102,7,16,12,19,28,57,40,86,75,185,7,8,752,1886
LGA26170,3583,7077,37,199,342,1596,73,332,1542,6294,1992,8417,139,562,245,783,500,1543,883,2889,2878,11304,7,35,66,230,29,96,389,1048,492,1409,32,99,125,268,351,734,503,1096,999,2507,72,140,7526,21024
LGA26260,1942,3814,23,124,188,860,42,183,879,3496,1130,4661,73,292,124,388,310,940,507,1622,1633,6279,5,31,44,145,15,62,199,532,270,771,22,63,60,140,214,436,299,633,571,1398,40,76,4186,11571
LGA26350,11999,23491,59,293,958,4285,73,317,5175,19353,6271,24250,530,2126,1252,4362,1227,3767,3005,10252,9276,34507,9,48,178,577,29,96,800,1974,1020,2697,125,378,483,1082,1047,2188,1644,3654,2666,6352,766,1612,24714,65957
LGA26430,1441,2833,12,54,86,418,19,78,457,1808,572,2357,33,139,71,215,197,586,299,943,873,3294,5,13,27,103,7,25,146,411,191,554,13,45,36,76,147,310,202,432,390,982,34,61,2731,7172
LGA26490,3205,6273,49,253,399,1811,58,261,2160,8578,2670,10900,191,766,327,1073,503,1536,1015,3374,3685,14274,3,27,68,238,12,45,311,830,403,1138,42,119,111,249,286,567,445,932,842,2072,71,146,7805,22768
LGA26610,2101,4159,41,238,237,1129,52,244,1088,4372,1417,5988,87,364,164,510,360,1148,614,2028,2031,8011,9,43,67,256,22,80,336,944,431,1319,28,83,67,137,213,458,307,682,737,1997,80,173,4942,14344
LGA26670,867,1694,8,39,72,327,12,40,287,1160,372,1571,20,93,69,217,82,249,172,562,547,2134,3,8,14,54,5,20,59,144,79,227,7,22,22,50,49,110,77,179,161,407,16,29,1591,4268
LGA26700,3336,6579,58,296,308,1395,86,376,1595,6329,2041,8385,131,530,210,692,508,1556,851,2774,2893,11160,17,75,79,285,40,134,484,1294,623,1786,42,124,101,214,380,795,516,1128,1138,2913,97,204,7467,20856
LGA26730,3451,6833,65,352,340,1558,88,389,1845,7370,2344,9671,205,850,260,860,617,1945,1086,3654,3425,13323,26,103,115,423,43,165,588,1582,775,2273,66,202,163,342,443,951,670,1505,1446,3778,120,248,8440,24181
LGA26810,4994,9798,84,441,453,2088,124,535,2319,9176,2976,12240,181,740,356,1132,783,2403,1318,4270,4293,16513,24,101,132,451,45,172,642,1797,839,2523,53,157,181,387,497,1036,730,1582,1574,4109,134,275,10989,30694
LGA26890,522,1021,5,36,41,186,10,47,211,860,275,1133,14,57,43,122,62,185,118,364,390,1494,4,13,8,24,3,17,33,107,49,162,3,9,16,32,33,68,53,111,103,269,14,36,1028,2823
LGA26980,14628,29232,155,815,2057,9235,211,929,11360,43083,13784,54070,1210,5034,2532,8945,3439,10859,7181,24838,20963,78907,46,218,399,1278,83,277,1519,3862,2050,5634,345,1070,1015,2357,2501,5351,3862,8778,5910,14410,839,1796,42332,124349
LGA27070,15522,31284,453,2555,2473,11690,681,3112,15718,60941,19327,78305,1694,7235,1934,6945,5562,18307,9186,32489,28515,110793,111,520,571,2088,313,1130,3020,8382,4013,12127,490,1614,778,1825,3389,7630,4662,11068,8675,23199,839,1797,53550,167067
LGA27170,3975,7838,71,412,445,2074,100,461,2447,9555,3067,12504,193,785,313,1032,621,1909,1125,3721,4188,16227,23,94,153,550,77,261,912,2508,1155,3416,57,186,189,404,514,1063,761,1655,1916,5070,127,265,10211,29399
LGA27260,15612,31557,492,2967,2831,13749,678,3187,20886,79897,24878,99802,1422,6091,2085,7229,4107,13426,7613,26742,32496,126549,185,946,714,2802,294,1109,3511,9989,4711,14848,420,1408,847,1931,2705,6122,3965,9471,8673,24314,728,1566,57508,183981
LGA27350,10340,20193,17,102,409,1835,58,246,3912,14203,4395,16376,220,857,570,1918,752,2352,1540,5128,5931,21503,19,99,158,558,36,130,906,2352,1113,3138,103,310,414,922,976,2067,1499,3298,2607,6437,659,1371,19536,49506
LGA27450,14790,29378,316,1784,1860,8767,492,2217,9722,38167,12391,50937,1322,5561,1577,5443,4212,13540,7115,24553,19503,75485,93,412,444,1544,204,686,2032,5421,2775,8061,357,1138,721,1605,2420,5204,3502,7949,6268,16010,449,943,41016,121822
LGA27630,864,1706,11,67,64,308,14,47,292,1213,381,1633,25,93,67,214,109,338,200,642,578,2273,3,13,20,80,9,24,91,260,126,377,9,26,22,47,90,196,122,261,247,638,12,31,1706,4645
LGA29399,31,58,0,0,0,3,0,0,23,85,20,89,0,0,0,5,3,3,3,13,27,96,0,0,0,3,0,0,13,25,10,32,0,0,0,0,3,3,3,3,11,30,0,0,70,186
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,39,90,4,49,3,15,13,86,73,335,97,490,0,0,0,0,16,61,16,61,109,549,3,13,0,7,17,82,55,179,74,282,0,0,3,3,27,93,32,99,105,377,22,56,273,1077
