LGA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA58540,45,867,706,100,1602,0.8,1225,2.4
LGA58570,34,2275,992,410,2553,0.9,2019,2.2
LGA58610,49,1000,539,168,1274,0.7,970,2.2
LGA58680,47,1668,748,32,1777,0.7,1542,2.4
LGA58760,33,2058,709,375,1875,0.8,1696,2.9
LGA58820,45,1636,558,250,1464,0.8,1218,2.5
LGA58890,47,800,635,100,1324,0.7,1143,2.3
LGA59030,42,1019,1099,85,2071,0.7,1562,2.3
LGA59100,46,767,609,100,1402,0.7,1091,2.2
LGA59170,43,1223,825,126,1837,0.8,1458,2.5
LGA59250,35,0,1345,70,860,1.1,1014,3
LGA59310,41,1083,717,135,1495,0.7,1235,2.3
LGA59320,43,817,748,25,1600,0.8,1228,2.4
LGA59330,53,604,511,150,1166,0.7,837,2
LGA59340,33,2167,864,196,1950,1,1704,2.7
LGA59350,39,325,1483,50,2150,0.8,1292,2.1
LGA59360,45,790,861,120,1807,0.7,1201,2.1
LGA59370,51,1500,540,250,1368,0.7,1024,2.2
LGA59499,41,0,434,0,0,0,0,0
LGA59799,40,0,2654,0,0,0,0,0
LGA60210,54,910,439,195,955,0.8,746,2.1
LGA60410,34,1300,568,215,1303,0.8,1111,2.6
LGA60610,41,1083,523,200,1272,0.8,993,2.3
LGA60810,46,1213,528,210,1301,0.8,1002,2.3
LGA61010,50,867,467,100,1074,0.7,820,2.1
LGA61210,41,1083,581,170,1385,0.8,1083,2.4
LGA61410,43,1452,673,265,1644,0.8,1306,2.4
LGA61510,43,1148,505,210,1264,0.8,998,2.4
LGA61610,43,1200,514,220,1224,0.8,949,2.3
LGA61810,48,1020,478,160,1114,0.7,822,2.2
LGA62010,53,758,575,100,1362,0.7,1021,2
LGA62210,46,1083,457,180,1087,0.8,854,2.3
LGA62410,56,1083,498,190,1054,0.7,854,2
LGA62610,39,1300,561,250,1321,0.8,1019,2.3
LGA62810,39,1647,718,290,2023,0.8,1439,2.3
LGA63010,45,1300,495,230,1246,0.8,987,2.4
LGA63210,47,1083,475,200,1167,0.8,995,2.4
LGA63410,47,1000,707,128,1642,0.7,1199,2.1
LGA63610,42,1517,672,300,1694,0.8,1364,2.5
LGA63810,47,1300,555,235,1320,0.8,1078,2.3
LGA64010,39,1291,562,225,1362,0.8,1042,2.3
LGA64210,45,1300,537,210,1359,0.8,1045,2.4
LGA64610,46,1300,555,200,1326,0.8,1042,2.3
LGA64810,42,1300,587,260,1391,0.8,1132,2.4
LGA65010,44,1192,533,170,1268,0.8,1048,2.5
LGA65210,55,910,462,195,985,0.8,788,2.1
LGA65410,46,1170,498,200,1247,0.8,942,2.3
LGA65610,44,673,469,135,1258,0.7,910,2.1
LGA65810,45,1300,564,250,1418,0.8,1139,2.4
LGA69499,38,0,385,0,0,0,0,0
LGA69799,41,0,1089,0,0,0,0,0
LGA70200,35,1950,1002,350,2259,0.9,1937,2.6
LGA70420,28,1200,375,80,959,1.3,1323,3.4
LGA70540,30,0,261,70,745,1.4,850,3.8
LGA70620,28,1040,294,53,801,1.5,1218,4.2
LGA70700,46,1348,610,165,1327,1,1128,2.2
LGA71000,34,2167,1039,418,2385,1,2164,2.6
LGA71300,25,0,242,60,671,1.9,1342,5.2
LGA72200,33,1733,922,250,2081,1,1819,2.8
LGA72300,37,2400,1092,400,2410,1.1,2228,2.9
LGA72330,29,0,271,50,642,1.5,982,3.8
LGA72800,30,2253,1053,430,2369,0.9,2197,2.9
LGA73600,26,1278,279,50,670,1.8,1049,4.2
LGA74050,30,0,248,50,644,1.4,780,3.8
LGA74550,27,1517,376,50,775,1.3,1098,3.3
LGA74560,48,1733,861,250,1924,1.1,1463,2.2
LGA74660,28,2550,276,50,771,1.7,1467,4.2
LGA74680,24,355,239,50,590,2,1043,5.3
LGA79399,34,1550,1086,80,2447,1.1,1950,2.3
LGA79499,44,0,449,0,0,0,0,0
LGA79799,36,0,700,0,0,0,0,0
LGA89399,35,2058,1000,380,2445,0.8,2070,2.5
LGA89499,36,0,447,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0
LGA99399,42,1400,715,140,1568,0.9,1377,2.6
LGA99499,42,0,412,0,0,0,0,0
LGA99799,39,0,1833,0,0,0,0,0
