SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED40037,4062,8008,57,305,391,1819,124,549,2589,9747,3158,12420,244,1046,400,1376,904,2866,1548,5283,4710,17706,15,79,152,542,78,279,781,2049,1028,2947,87,277,218,488,708,1541,1020,2303,2050,5252,246,515,11062,31482
SED40038,2914,5844,98,596,417,2147,114,549,2152,8453,2786,11741,206,923,293,997,910,2995,1415,4915,4195,16656,46,228,160,623,99,348,920,2525,1223,3721,109,357,211,470,886,1934,1202,2771,2426,6493,202,429,9740,29431
SED40039,3532,7012,41,250,244,1135,98,458,1727,6519,2115,8360,146,609,217,719,713,2225,1074,3556,3185,11918,24,105,173,592,69,263,1006,2620,1272,3583,87,262,229,486,738,1544,1051,2292,2327,5876,163,334,9208,25142
SED40040,4500,8868,61,312,411,1859,100,459,2109,8331,2676,10958,223,894,341,1118,744,2318,1307,4331,3979,15286,13,69,118,396,31,95,473,1272,635,1831,44,123,127,267,396,816,561,1207,1199,3038,81,172,9759,27371
SED40041,3926,7677,55,324,295,1371,88,384,1613,6412,2061,8487,112,431,219,664,563,1700,891,2801,2949,11291,19,85,91,307,60,200,612,1775,781,2363,38,125,111,241,462,971,616,1332,1395,3696,122,257,8389,22922
SED40042,3227,6495,102,605,492,2465,189,910,2734,10842,3512,14828,232,1019,325,1104,937,3024,1494,5145,5010,19972,44,220,187,741,121,471,1135,3166,1488,4596,91,327,196,450,648,1440,935,2220,2425,6814,146,305,10801,33586
SED40043,3856,7676,38,200,389,1774,67,282,2870,10624,3359,12870,204,834,370,1254,638,2006,1209,4096,4568,16970,14,64,115,398,40,123,623,1610,792,2198,84,269,220,487,614,1329,918,2093,1709,4291,228,479,10368,29412
SED40044,3553,6949,30,153,448,1972,35,137,2162,8164,2676,10432,220,877,545,1882,489,1507,1259,4272,3934,14700,8,24,59,197,20,57,393,945,480,1225,59,177,237,523,375,763,671,1464,1145,2693,172,354,8810,24696
SED40045,3574,7028,53,279,484,2167,43,180,2267,8727,2850,11358,286,1197,623,2171,692,2129,1609,5497,4454,16852,14,45,96,315,19,62,338,824,467,1250,61,172,205,458,416,897,687,1525,1153,2775,129,274,9310,26936
SED40046,3406,6738,36,194,289,1289,50,231,2207,8108,2578,9825,197,824,342,1184,631,2030,1164,4035,3746,13859,6,48,70,252,32,97,440,1066,545,1465,73,232,187,439,632,1326,895,1994,1435,3461,277,593,8867,24653
SED40047,3549,7022,54,296,471,2145,131,561,2037,7938,2690,10936,321,1320,467,1610,930,2944,1713,5876,4410,16807,20,91,147,498,54,185,628,1613,843,2384,110,349,185,416,558,1191,853,1959,1701,4341,114,240,9768,28414
SED49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,4323,8486,89,502,397,1850,142,669,2031,8004,2656,11030,130,512,235,752,641,2015,1006,3289,3666,14312,22,108,106,375,69,258,572,1569,773,2309,48,146,114,246,494,1054,654,1449,1426,3756,125,247,9537,26810
SED50205,3810,7477,48,247,502,2251,54,227,2257,8661,2854,11389,325,1312,588,2019,784,2395,1702,5724,4561,17112,6,25,94,304,22,61,336,851,459,1237,72,228,189,433,400,815,654,1471,1110,2711,158,345,9643,27645
SED50302,3909,7771,113,652,364,1799,191,893,2969,11569,3637,14910,177,760,292,953,893,2800,1366,4508,5002,19418,36,191,160,613,107,360,1206,3301,1507,4464,119,378,227,497,857,1805,1197,2681,2709,7146,234,500,11853,34835
SED50404,4442,8767,21,132,306,1376,58,273,2545,9354,2934,11133,175,720,312,1070,743,2349,1232,4139,4170,15270,12,74,72,230,25,76,482,1210,588,1598,58,192,183,414,604,1249,845,1854,1436,3454,256,554,10305,28047
SED50502,3641,7223,64,347,394,1834,111,533,2305,8852,2871,11557,261,1094,352,1212,920,2938,1529,5236,4400,16791,24,118,115,407,83,282,642,1717,860,2519,80,270,190,414,748,1621,1016,2300,1876,4819,231,487,10143,29327
SED50605,3449,6827,42,245,534,2413,56,233,2033,7888,2659,10777,354,1414,620,2141,925,2872,1897,6430,4553,17207,11,59,87,297,22,73,355,935,477,1365,80,244,149,340,444,940,670,1527,1141,2893,178,387,9325,27311
SED50702,4190,8254,62,345,280,1352,116,516,2502,9387,2958,11601,143,590,250,848,596,1901,995,3344,3953,14947,16,68,102,366,42,176,611,1636,772,2241,64,191,152,336,698,1488,907,2020,1678,4264,315,661,10135,28119
SED50806,4152,8106,37,200,315,1404,97,422,1959,7469,2410,9491,117,474,223,713,639,1931,985,3126,3394,12613,19,80,120,430,66,258,756,1981,963,2748,46,133,173,372,563,1159,778,1662,1739,4407,119,249,9414,25375
SED50904,6361,12450,192,1064,994,4603,384,1748,6058,22887,7628,30305,449,1833,660,2160,1251,3892,2352,7889,9982,38198,79,366,287,1043,151,556,1768,4933,2283,6895,179,564,360,807,913,1945,1453,3312,3736,10208,272,584,20354,61435
SED51005,4340,8717,92,588,430,2081,119,541,3235,12249,3885,15457,200,868,378,1283,809,2591,1393,4742,5275,20201,30,147,108,389,46,178,621,1713,801,2431,84,264,188,431,701,1518,976,2212,1784,4644,423,922,11818,34481
SED51104,3674,7196,29,174,475,2098,68,302,2831,11057,3407,13630,294,1205,549,1899,842,2603,1689,5703,5090,19334,12,37,83,261,24,68,329,850,442,1217,58,170,142,329,361,742,557,1243,1005,2459,125,259,9885,29247
SED51201,4203,8245,57,315,288,1233,120,528,1921,7557,2385,9633,83,336,161,439,559,1689,802,2461,3189,12096,15,75,92,340,60,229,549,1599,717,2245,26,83,76,150,397,850,494,1075,1219,3323,92,188,8704,23860
SED51304,3949,7716,45,213,660,2989,46,177,3177,12391,3923,15769,345,1402,711,2449,684,2066,1733,5919,5657,21688,15,67,100,320,12,24,395,1030,515,1437,57,181,169,391,388,828,614,1394,1129,2836,173,358,10912,32604
SED51405,4591,9005,80,461,546,2485,166,724,3883,14673,4677,18344,374,1530,487,1639,1147,3640,2008,6805,6682,25153,21,103,136,494,52,198,680,1793,894,2588,88,278,199,442,623,1356,911,2080,1808,4671,183,391,13269,39217
SED51506,4189,8180,91,508,542,2462,194,909,2743,10653,3577,14535,206,842,367,1137,795,2434,1368,4407,4944,18947,23,108,143,503,71,247,740,2036,976,2890,62,187,139,303,428,889,628,1378,1610,4272,98,204,10837,31606
SED51604,3887,7510,44,222,572,2574,37,156,2186,8550,2835,11511,270,1050,646,2223,576,1720,1490,4987,4328,16498,8,26,105,340,24,60,335,841,464,1269,68,202,205,446,373,768,647,1415,1113,2688,145,316,9473,27015
SED51702,6241,12239,166,948,786,3657,264,1206,5526,21152,6738,26961,440,1804,562,1918,1381,4319,2385,8041,9124,34996,27,127,100,344,74,262,862,2347,1062,3081,79,249,158,349,600,1259,837,1852,1894,4933,210,436,17465,52611
SED51806,5578,10838,88,457,422,1912,134,559,2210,8366,2848,11294,236,909,333,1080,801,2388,1362,4374,4213,15672,17,87,139,507,56,203,691,1920,907,2710,63,203,141,305,469,997,670,1497,1576,4205,102,202,11462,30924
SED51903,4743,9216,109,587,514,2348,248,1133,3576,13936,4450,18001,204,820,296,919,812,2502,1322,4237,5767,22239,19,86,101,356,78,316,854,2415,1050,3166,51,147,114,241,537,1145,696,1533,1743,4698,165,349,12422,36509
SED52002,4203,8275,110,633,495,2360,193,873,2972,11337,3766,15204,238,1006,289,987,1022,3229,1552,5226,5318,20424,27,122,140,514,69,241,728,1998,960,2871,98,307,167,367,694,1524,958,2193,1922,5068,190,402,11631,34165
SED52105,4394,8539,41,219,351,1579,65,256,2444,9085,2904,11138,208,820,420,1404,666,2017,1295,4239,4197,15376,8,40,105,332,28,97,561,1347,700,1819,56,156,229,486,573,1173,853,1819,1551,3639,168,347,10309,27905
SED52201,3987,7735,82,437,404,1840,137,622,2250,8723,2873,11626,160,632,276,846,715,2142,1146,3623,4021,15248,31,171,138,531,82,325,782,2241,1036,3270,52,156,137,293,525,1095,713,1546,1749,4812,158,327,9915,28130
SED52304,3782,7529,149,921,756,3587,195,907,3766,14620,4861,20036,401,1677,557,1964,1155,3762,2114,7400,6976,27437,35,176,159,586,67,253,716,1920,977,2936,118,414,209,489,665,1489,990,2391,1966,5328,203,426,12930,40716
SED52402,3835,7643,131,739,472,2294,151,669,2660,10380,3412,14081,254,1076,325,1122,1010,3215,1589,5415,5004,19492,22,115,136,497,64,245,802,2268,1023,3128,92,307,167,363,729,1583,988,2257,2014,5378,197,426,11048,32943
SED52504,3779,7380,57,314,510,2298,84,344,2385,9235,3035,12191,343,1398,563,1953,942,2860,1848,6215,4883,18410,9,27,81,257,22,95,350,908,459,1290,68,224,135,298,371,806,578,1324,1032,2609,107,214,9808,28619
SED52605,3758,7408,89,472,599,2703,128,588,3219,12331,4033,16095,405,1655,581,1975,1023,3212,2011,6845,6049,22940,16,81,88,295,54,179,500,1370,662,1926,77,229,157,378,478,1040,710,1647,1377,3565,164,345,11338,34255
SED52704,3911,7653,71,385,407,1825,115,504,2343,8747,2931,11458,289,1150,421,1405,926,2875,1636,5432,4566,16887,24,100,108,350,36,126,540,1428,705,1996,83,263,174,404,580,1250,846,1911,1551,3905,179,372,10202,28821
SED52802,3921,7702,93,551,516,2387,128,584,2299,9014,3034,12535,277,1164,415,1429,909,2805,1603,5401,4635,17932,23,91,88,302,40,167,429,1188,581,1744,74,232,154,363,490,1033,716,1630,1299,3373,113,252,9969,29263
SED52903,245,500,5,31,16,78,37,196,231,938,288,1237,3,16,9,20,31,118,39,149,328,1388,3,12,8,26,21,108,95,282,126,430,0,0,3,12,57,149,58,162,187,589,30,78,786,2557
SED53003,2553,5016,54,329,227,1074,182,929,2110,8490,2565,10819,56,224,95,287,327,1065,477,1570,3047,12395,34,154,109,433,157,732,918,2803,1214,4122,18,50,58,128,374,921,454,1095,1667,5221,238,576,7502,23205
SED53104,3640,7160,63,335,447,2022,115,491,2356,9113,2985,11965,324,1354,475,1641,1058,3260,1857,6249,4839,18216,20,78,87,289,21,55,379,1019,505,1443,77,229,137,313,483,1011,703,1550,1207,2993,97,212,9792,28581
SED53205,5686,11146,156,889,697,3292,291,1309,5043,19209,6190,24699,328,1342,425,1397,1131,3509,1884,6242,8077,30941,52,249,221,798,119,446,1392,3885,1787,5381,103,350,216,491,853,1836,1171,2676,2961,8056,248,511,16970,50654
SED53306,4818,9392,92,502,377,1734,168,736,2358,8923,2991,11898,191,776,309,1039,726,2205,1229,4014,4215,15911,21,105,142,543,89,317,945,2583,1200,3549,81,253,166,355,620,1288,866,1895,2067,5450,141,311,11243,31063
SED53402,4482,8757,30,172,303,1350,50,194,2809,10319,3193,12036,174,724,379,1300,561,1716,1117,3741,4306,15772,10,47,89,314,29,98,534,1276,657,1737,56,175,199,425,580,1213,832,1815,1492,3552,252,525,10528,28607
SED53502,3919,7691,84,472,370,1708,141,623,2289,8682,2889,11481,225,938,318,1060,889,2802,1437,4796,4323,16282,36,171,129,447,76,267,795,2150,1026,3039,83,253,187,403,799,1691,1071,2346,2096,5384,224,468,10555,29825
SED53602,3640,7347,120,705,561,2901,146,693,2724,10678,3553,14978,343,1483,427,1479,972,3117,1744,6084,5294,21065,36,197,154,595,96,366,855,2418,1140,3586,102,362,192,449,851,1866,1150,2677,2290,6255,318,706,11546,35365
SED53701,4934,9580,66,325,341,1475,142,632,1996,7862,2547,10289,142,540,243,703,653,1938,1037,3178,3580,13472,15,74,61,206,43,160,456,1240,581,1685,22,62,66,139,331,662,413,857,996,2546,86,178,9592,25775
SED53802,4244,8434,71,415,412,1940,80,357,2380,8942,2948,11655,235,1019,367,1278,916,2944,1519,5245,4469,16895,21,95,84,276,49,146,527,1368,683,1887,72,224,198,443,650,1373,918,2040,1598,3928,244,530,10555,29781
SED53902,4258,8377,41,232,359,1630,42,195,2348,8756,2794,10811,236,960,503,1741,558,1737,1300,4440,4093,15246,3,16,71,236,15,62,475,1134,569,1448,62,202,171,372,523,1073,761,1650,1325,3095,214,472,9894,27190
SED54006,4720,9198,95,510,468,2174,169,766,2719,10629,3456,14080,223,859,315,996,864,2614,1401,4480,4860,18563,13,75,136,474,62,205,687,1936,904,2686,54,165,115,255,457,971,630,1394,1530,4076,94,195,11202,32036
SED54104,3960,7703,31,179,461,2049,39,156,2584,9974,3113,12360,220,881,592,2037,543,1632,1352,4550,4468,16915,5,34,72,244,5,10,333,846,416,1133,67,196,213,475,333,696,614,1373,1033,2508,199,404,9653,27524
SED54203,1589,3095,28,165,127,587,60,275,1292,5055,1498,6083,36,123,51,152,187,572,275,842,1774,6924,4,24,32,121,40,155,302,890,375,1197,3,15,34,71,135,303,177,387,554,1581,71,154,3981,11755
SED54304,3923,7664,128,685,773,3411,192,855,3013,11790,4110,16742,545,2223,825,2792,1334,4133,2699,9142,6807,25884,20,85,112,377,33,116,401,1077,572,1657,91,293,187,423,407,865,684,1583,1253,3234,115,241,12100,37025
SED54404,6681,12947,28,157,244,1059,31,132,2594,9285,2901,10634,123,502,355,1159,469,1443,944,3105,3843,13736,3,5,53,161,16,41,393,950,466,1162,36,110,171,382,452,949,657,1444,1127,2612,347,726,12001,30012
SED54503,3170,6242,77,435,372,1725,166,791,3518,13906,4128,16861,100,439,218,666,443,1419,764,2520,4899,19386,14,77,62,251,67,287,580,1660,723,2274,19,68,59,115,274,616,347,795,1077,3072,139,317,9281,29010
SED54605,3292,6521,63,351,800,3566,96,432,2570,10031,3529,14379,404,1645,763,2617,970,3040,2133,7303,5663,21680,14,56,139,499,28,83,397,1041,571,1677,79,254,212,500,472,997,760,1748,1335,3430,167,383,10452,32012
SED54705,4505,8815,46,257,295,1338,139,638,1850,7008,2326,9238,171,675,299,963,798,2402,1265,4041,3594,13279,18,80,108,384,58,205,740,1934,923,2609,74,241,141,285,633,1312,845,1839,1768,4448,140,291,10012,26834
SED54804,4609,8889,28,138,336,1489,59,241,2634,9637,3053,11514,190,759,401,1340,486,1477,1068,3575,4128,15087,13,49,88,289,20,66,516,1256,638,1659,78,225,202,442,511,1047,789,1717,1429,3374,216,445,10379,27790
SED54905,4324,8428,25,130,344,1549,41,176,2200,8128,2612,9980,219,887,491,1698,582,1806,1296,4398,3906,14376,10,33,78,251,22,86,395,1010,498,1387,64,220,218,485,417,855,702,1566,1202,2949,336,725,9775,26471
SED55005,4030,8015,146,838,911,4222,192,864,4365,16852,5613,22774,529,2214,756,2607,1271,4049,2552,8865,8171,31641,36,155,162,585,61,220,624,1714,876,2663,94,318,186,442,480,1073,761,1828,1635,4495,230,517,14064,44662
SED55102,5057,9894,110,632,656,2998,224,981,3329,12875,4324,17486,369,1499,539,1781,1161,3569,2067,6851,6389,24337,29,122,135,428,56,214,621,1668,842,2436,80,249,144,315,519,1096,740,1660,1585,4096,105,215,13132,38538
SED55206,4585,8929,78,381,422,1867,115,497,2793,10738,3409,13483,151,583,309,967,624,1841,1085,3387,4490,16869,19,72,121,419,36,135,647,1716,823,2344,47,139,162,337,394,813,593,1292,1416,3633,82,174,10573,29606
SED55305,4949,9754,38,209,278,1223,63,287,2735,9947,3111,11660,133,561,310,1037,471,1434,915,3026,4023,14689,12,69,82,275,31,102,505,1281,630,1734,53,175,197,413,512,1066,760,1655,1391,3387,512,1085,10871,28918
SED55401,4030,7875,48,247,264,1119,105,434,2034,8158,2444,9954,97,388,159,425,557,1678,817,2488,3263,12448,7,40,64,222,40,166,518,1479,628,1903,18,65,73,149,349,705,440,924,1072,2825,103,223,8464,23376
SED55504,4296,8450,104,585,618,2811,239,1053,3907,14992,4874,19443,371,1522,480,1609,1049,3298,1899,6429,6772,25869,21,103,118,404,62,220,634,1691,839,2414,100,312,187,421,515,1112,803,1842,1640,4264,149,313,12855,38899
SED55605,4933,9548,160,862,929,4197,338,1484,5080,19493,6501,26037,410,1704,625,2024,1289,3951,2326,7676,8826,33714,37,162,206,734,110,426,1231,3446,1588,4766,110,361,197,447,602,1311,912,2119,2493,6883,171,364,16428,50504
SED55706,5197,10104,54,303,385,1749,116,518,2353,9130,2910,11705,138,532,270,826,595,1749,1000,3108,3911,14813,13,56,114,395,40,145,642,1682,808,2279,38,122,140,303,383,799,567,1224,1375,3502,88,184,10578,28608
SED55802,4766,9398,173,990,826,3990,258,1191,4851,18529,6109,24706,436,1814,542,1868,1120,3605,2094,7297,8200,32000,58,301,219,832,89,340,1051,2949,1416,4417,135,459,232,534,712,1565,1078,2566,2492,6980,202,429,15663,48806
SED55905,3594,7044,55,288,364,1643,95,412,2223,8345,2732,10688,196,798,320,1072,749,2335,1262,4210,3996,14895,16,75,131,446,46,161,641,1690,842,2375,73,238,203,439,754,1600,1030,2279,1865,4654,222,465,9674,27061
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED60101,1370,2679,15,97,108,481,23,99,529,2119,671,2791,42,173,65,207,201,631,315,1013,985,3807,4,14,22,81,4,19,155,406,180,528,7,27,34,70,112,236,157,335,337,860,27,48,2719,7392
SED60106,3522,6952,41,238,345,1578,68,299,1913,7357,2371,9470,142,585,346,1132,519,1579,1006,3295,3378,12762,8,51,118,415,27,105,545,1404,709,1980,50,137,180,397,476,986,702,1523,1413,3501,129,276,8442,23488
SED60112,2588,5074,49,255,307,1382,57,247,1448,5679,1857,7562,154,600,234,767,442,1367,822,2726,2684,10285,11,53,81,288,29,95,400,1037,527,1470,48,154,116,252,283,593,450,998,973,2472,73,158,6317,17994
SED60115,3303,6569,68,353,303,1447,125,558,1601,6263,2100,8620,132,549,218,710,595,1863,948,3124,3045,11745,24,122,138,508,84,309,906,2444,1145,3385,52,162,166,344,613,1329,828,1828,1979,5212,193,393,8518,23915
SED60207,3722,7342,56,306,307,1414,103,474,1652,6458,2123,8654,140,559,264,819,618,1884,1017,3259,3142,11913,15,86,132,444,62,204,788,2126,994,2851,53,164,161,344,494,1026,703,1536,1696,4392,96,192,8653,23838
SED60208,3872,7641,44,243,343,1578,100,442,1644,6374,2132,8637,141,584,238,733,594,1847,973,3161,3103,11797,26,98,118,412,38,121,648,1694,831,2329,55,163,151,323,505,1044,711,1522,1536,3852,95,196,8606,23489
SED60209,3898,7683,56,306,348,1637,101,472,1771,6949,2279,9363,125,488,255,784,583,1768,963,3032,3238,12400,20,92,114,390,47,173,631,1714,815,2369,45,140,123,263,416,868,581,1267,1396,3641,79,169,8617,23891
SED60214,25,58,0,0,0,21,0,0,13,50,21,75,3,3,0,5,6,12,7,24,25,99,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,9,0,9,6,15,0,0,62,167
SED60302,935,1853,19,84,97,457,31,150,579,2211,732,2904,55,232,77,247,210,664,343,1142,1070,4044,6,23,47,148,25,91,260,715,333,981,27,70,60,127,174,371,252,566,589,1549,46,94,2634,7538
SED60303,3334,6623,52,303,332,1616,113,532,1761,6722,2263,9169,146,606,263,865,617,1962,1030,3438,3288,12610,32,147,185,668,69,237,982,2603,1263,3650,88,284,226,472,714,1535,1024,2283,2287,5937,208,428,9122,25610
SED60304,3458,6738,33,176,266,1211,30,129,1826,6890,2161,8411,115,463,371,1211,424,1255,914,2936,3069,11347,13,39,79,247,20,65,492,1158,600,1506,51,159,195,419,383,784,628,1361,1228,2870,148,320,7907,21272
SED60305,57,105,0,0,11,34,0,0,31,111,39,144,3,11,4,13,8,22,14,48,54,193,0,5,0,0,0,0,3,8,3,7,0,3,3,5,5,9,5,14,10,26,0,3,124,333
SED60310,2542,4952,29,166,274,1218,28,135,1287,4975,1621,6497,91,379,331,1091,320,956,743,2426,2363,8926,8,37,59,177,10,33,209,506,287,764,19,63,115,242,195,376,328,677,618,1438,80,168,5599,15484
SED60402,459,901,9,54,38,171,19,81,286,1053,350,1350,21,87,53,181,67,221,143,488,494,1839,3,11,11,33,0,0,68,169,76,220,3,17,14,23,42,87,60,127,137,342,9,11,1094,3100
SED60405,4373,8600,69,394,426,1965,107,481,2221,8700,2824,11536,164,674,368,1200,670,2072,1204,3948,4030,15480,10,36,118,408,47,155,599,1504,771,2106,49,147,147,321,415,865,611,1337,1381,3446,96,198,9875,27725
SED60410,1179,2333,22,136,115,537,16,82,704,2738,866,3493,47,192,104,334,143,437,294,963,1157,4464,4,21,38,156,15,54,239,608,301,835,22,65,76,165,174,373,272,598,577,1435,39,72,2948,8307
SED60411,3971,7870,46,253,337,1497,88,376,1881,7179,2356,9310,144,607,340,1133,656,2011,1140,3752,3492,13062,16,72,121,403,57,206,603,1569,800,2248,62,192,219,464,560,1180,838,1832,1636,4082,145,296,9248,25312
SED60413,2232,4401,34,181,245,1134,64,277,1345,5296,1686,6886,129,510,210,681,443,1373,782,2565,2463,9452,8,49,88,288,23,80,454,1217,576,1635,45,132,85,174,284,612,415,927,993,2560,39,87,5727,16512
SED60501,2872,5662,25,149,187,827,70,331,887,3457,1178,4767,80,297,126,409,372,1142,582,1853,1758,6616,4,34,62,217,26,91,315,861,416,1206,12,39,66,128,268,554,345,723,767,1928,42,79,5432,14285
SED60502,2357,4689,51,293,244,1142,115,493,1315,5236,1729,7160,120,472,173,561,532,1670,823,2704,2546,9865,11,56,108,414,66,261,815,2270,1003,2991,47,156,110,241,393,843,558,1245,1556,4241,100,204,6555,18996
SED60512,1457,2890,13,83,122,554,28,123,466,1830,630,2584,44,181,87,288,163,481,294,953,921,3539,4,21,31,103,10,34,141,386,189,541,6,30,37,85,135,277,183,385,369,929,19,44,2776,7403
SED60513,2039,4019,39,225,142,675,64,283,906,3484,1148,4671,66,256,130,409,324,997,521,1664,1664,6328,8,52,58,192,37,115,359,929,459,1284,21,61,72,148,261,532,348,742,808,2023,38,84,4551,12456
SED60514,4289,8472,55,302,356,1630,120,530,1671,6581,2205,9045,150,619,272,875,668,2073,1090,3570,3297,12616,18,69,79,286,44,148,476,1266,612,1771,31,97,90,188,400,820,518,1103,1130,2872,93,182,8813,24136
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,374,851,25,181,56,311,108,733,505,2174,695,3404,20,107,5,18,75,296,96,423,792,3828,8,58,16,69,47,231,166,525,236,877,14,45,16,27,105,325,132,400,373,1277,83,217,1625,6181
SED70002,976,1904,21,118,128,587,45,207,793,3047,987,3963,22,102,77,225,136,418,232,741,1221,4699,0,16,21,77,14,63,212,583,251,744,15,34,34,73,93,203,136,306,391,1046,44,90,2627,7744
SED70003,453,956,32,201,59,302,114,750,588,2465,787,3713,11,52,21,75,85,329,112,457,901,4172,3,21,16,79,70,424,199,649,294,1171,3,10,11,26,110,312,121,350,417,1521,44,113,1810,6759
SED70004,527,1115,10,96,37,232,84,584,495,2069,631,2975,9,43,17,49,89,321,114,413,741,3393,8,60,10,56,56,327,217,743,298,1186,3,10,6,9,94,241,103,265,395,1451,51,136,1720,6098
SED70005,723,1420,27,142,100,481,28,140,885,3411,1046,4172,44,182,62,193,114,366,221,744,1266,4915,3,22,36,111,15,58,209,588,259,778,11,23,26,63,89,187,123,270,385,1049,39,81,2416,7475
SED70006,856,1648,18,97,88,428,48,225,685,2564,842,3308,27,110,54,169,153,464,233,738,1076,4047,9,36,45,143,29,112,216,615,289,905,7,20,39,78,120,257,168,358,455,1267,40,89,2426,7045
SED70007,686,1348,20,90,101,473,26,132,814,3109,966,3801,35,153,48,162,110,350,201,658,1166,4460,3,0,16,51,15,39,158,386,183,484,5,22,33,73,81,177,122,278,312,765,31,59,2189,6630
SED70008,732,1437,22,118,108,516,37,168,708,2745,873,3543,42,165,84,280,144,450,263,896,1140,4443,3,20,29,90,13,37,99,265,141,413,9,34,20,48,75,167,111,249,254,663,34,75,2166,6610
SED70009,710,1418,30,194,62,328,88,557,533,2247,707,3318,13,54,38,124,103,356,159,535,864,3857,15,106,20,81,50,271,204,616,293,1076,7,27,19,39,102,258,127,320,419,1392,36,104,2031,6770
SED70010,661,1288,13,80,74,355,38,190,560,2135,691,2759,24,90,56,178,127,386,200,646,895,3412,6,49,53,210,17,76,265,768,340,1103,16,44,34,66,116,261,162,371,505,1472,42,91,2098,6264
SED70011,921,1798,10,52,64,284,25,95,565,2065,662,2502,21,97,58,176,80,255,161,528,822,3033,0,3,17,51,0,11,120,295,139,358,9,21,23,46,109,226,139,291,278,658,28,60,2046,5550
SED70012,921,1807,15,70,67,307,20,123,453,1700,557,2195,30,109,66,212,84,247,169,563,731,2757,3,14,13,42,8,29,99,253,124,333,6,10,14,35,78,167,102,213,222,548,39,92,1918,5212
SED70013,939,1857,22,121,108,480,48,220,636,2477,810,3300,59,229,66,204,206,643,325,1075,1137,4374,0,3,19,66,18,49,126,351,163,470,11,33,18,46,114,235,144,315,303,786,22,57,2408,7081
SED70014,636,1269,21,131,91,416,36,155,501,1891,655,2596,35,139,49,159,138,435,226,735,879,3327,3,23,24,70,12,63,140,364,178,526,11,44,27,54,127,283,169,384,348,908,41,95,1906,5593
SED70015,537,1088,22,125,100,480,37,178,466,1874,624,2661,41,177,67,214,170,561,286,958,904,3620,10,40,28,111,30,102,158,487,227,730,17,47,35,79,130,293,178,414,407,1148,41,102,1892,5950
SED70016,713,1388,8,58,78,362,48,263,618,2411,757,3093,18,77,38,116,124,368,178,565,937,3657,7,50,21,72,29,133,154,457,212,712,8,15,16,40,64,144,87,202,303,916,24,60,1976,6019
