SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10042,4,28,95,4,15,53,204,0,27,3,15,7,0,53,24,294,58,41,31,3,448,90,179,99,51,47,12,467,115,63,105,38,41,7,368,238,82,163,19,23,3,533,932,115,337,5,34,13,1440,1408,25,326,3,17,5,1782,372,0,61,0,3,0,440,56,3,19,0,5,0,84,8,0,3,0,0,0,19,3,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,9,47,44,38,14,9,12,163,3301,866,1322,183,237,103,6015
SED10043,22,158,129,7,12,98,429,3,135,3,11,0,0,154,26,1008,37,24,9,9,1109,62,528,70,63,4,8,733,59,272,47,22,13,3,424,153,182,58,26,14,0,424,1569,155,202,25,39,4,1999,2642,114,386,18,73,21,3254,1207,50,255,12,52,7,1587,595,3,107,3,41,3,753,178,9,48,0,13,4,242,44,0,13,0,8,0,61,17,0,3,0,0,0,19,11,3,6,0,0,0,18,100,169,111,14,23,22,444,6692,2786,1470,227,298,180,11661
SED10044,14,51,123,17,9,65,288,0,52,4,27,0,0,91,16,468,28,26,0,0,528,17,149,26,34,6,0,227,17,56,35,8,0,0,115,34,35,47,12,26,4,159,214,28,89,10,7,3,348,1169,33,208,14,22,3,1446,2145,12,272,6,18,9,2457,1644,7,181,3,10,3,1841,772,0,111,0,13,3,895,398,0,68,0,5,0,471,264,0,47,3,4,0,314,458,0,103,0,0,0,563,114,47,72,34,10,15,289,7279,938,1398,190,127,104,10043
SED10045,8,22,218,19,38,203,506,11,34,23,19,4,0,87,101,272,175,55,39,8,650,350,148,316,94,79,12,1010,320,64,292,39,35,4,757,751,47,402,19,31,9,1260,1068,43,576,8,33,12,1738,717,12,289,7,25,3,1049,137,0,55,0,9,6,203,18,0,10,0,0,0,27,3,0,5,0,0,0,12,3,0,6,0,0,0,5,0,0,3,0,0,0,5,3,0,8,0,0,0,14,35,47,101,15,32,13,238,3524,695,2477,275,317,264,7553
SED10046,12,193,74,12,19,52,365,0,150,3,19,0,3,170,16,997,21,36,12,4,1087,42,584,39,45,8,3,722,42,260,37,22,5,3,369,226,242,85,19,19,9,593,1702,227,167,23,47,15,2175,2196,222,328,17,70,16,2849,1349,56,167,13,42,5,1624,337,6,44,0,14,3,401,51,0,14,0,0,0,63,19,3,0,0,0,0,23,3,0,0,0,0,0,6,21,0,4,0,0,0,26,106,157,57,13,24,18,381,6110,3087,1041,217,255,128,10842
SED10047,15,131,87,5,13,48,300,3,98,3,5,0,0,104,3,719,34,10,16,5,788,40,519,58,41,3,3,671,89,209,59,15,6,4,382,272,211,131,10,46,10,680,1547,488,280,30,19,17,2386,2978,156,387,21,49,27,3613,980,16,126,3,15,7,1152,292,0,36,0,0,0,335,50,3,12,0,4,0,70,18,3,4,0,0,0,22,7,0,0,0,0,0,6,7,0,3,0,0,0,12,100,163,67,10,14,22,376,6394,2725,1287,156,195,141,10903
SED10048,9,87,87,10,7,60,253,0,62,5,0,3,0,68,10,611,17,9,0,3,645,20,395,46,15,5,6,486,24,171,41,9,5,3,248,83,152,71,11,49,0,363,715,283,199,8,22,0,1234,2259,145,327,8,38,14,2791,934,16,106,3,10,5,1073,299,3,29,0,3,0,329,41,5,8,0,0,0,56,6,3,5,0,0,0,12,8,0,3,0,0,0,11,13,0,3,0,0,0,16,63,103,52,7,9,11,241,4472,2027,981,85,160,113,7835
SED10049,7,68,70,3,15,39,203,3,50,5,10,4,0,77,27,469,36,8,11,7,550,218,290,73,40,34,3,657,163,107,84,8,12,3,378,355,111,167,0,168,9,806,1604,159,325,5,47,10,2140,2353,15,242,0,16,10,2642,288,3,30,0,3,0,330,42,0,10,0,0,0,52,8,0,3,0,0,0,12,3,0,0,0,0,0,6,0,4,0,0,0,0,6,3,0,5,0,0,0,4,57,76,39,15,17,3,208,5131,1349,1090,91,318,83,8056
SED10050,15,24,115,3,11,73,238,0,19,3,3,0,0,28,8,191,14,9,0,0,229,24,49,19,24,9,0,125,19,20,28,6,0,0,84,43,26,49,3,12,0,140,123,16,87,0,15,0,247,686,20,205,4,11,7,928,1676,4,352,5,14,10,2058,1548,0,307,0,11,0,1864,1022,3,218,3,8,3,1255,643,0,154,0,3,0,800,463,3,90,0,0,0,556,1142,0,271,0,3,3,1424,118,20,64,3,8,10,226,7534,402,1980,70,99,113,10198
SED10051,18,166,137,7,12,60,411,4,145,3,13,0,0,168,10,1263,10,20,4,10,1309,19,433,29,55,3,6,545,46,174,39,14,6,0,287,70,118,50,12,40,0,293,163,110,76,19,38,3,405,952,92,169,15,23,6,1265,1396,50,204,7,11,4,1669,1297,32,165,3,23,8,1530,1025,25,152,0,6,0,1202,526,3,83,0,4,0,623,311,0,39,0,3,0,356,418,0,99,0,5,0,521,109,180,80,17,14,11,425,6365,2799,1348,175,192,112,10992
SED10052,5,45,71,7,8,61,195,0,46,5,5,0,0,61,3,378,15,28,3,3,425,9,146,12,60,9,3,237,7,74,24,16,3,0,120,44,44,31,23,26,0,163,124,52,76,15,13,0,281,991,39,177,9,17,3,1238,992,10,118,6,13,11,1148,646,16,80,0,4,0,751,385,3,53,0,6,3,441,163,0,12,0,0,0,183,73,0,12,0,0,0,84,76,0,18,0,3,0,104,56,57,27,22,10,3,178,3582,910,742,185,114,89,5614
SED10053,11,32,136,6,65,141,391,9,27,19,9,17,0,79,80,200,93,22,34,3,430,386,147,184,48,39,11,809,434,68,154,17,26,3,699,699,76,239,8,130,4,1161,802,57,267,10,177,0,1310,1056,71,302,6,65,4,1507,396,8,146,0,17,3,571,181,0,47,0,9,0,243,69,0,23,0,4,3,95,22,0,7,0,7,0,36,15,0,3,0,6,0,17,20,0,11,0,5,0,40,58,34,68,13,38,12,224,4242,717,1707,137,630,183,7615
SED10054,9,57,67,4,7,40,184,0,66,0,5,0,0,71,5,560,15,14,4,0,595,19,480,32,33,7,3,572,34,190,34,13,3,0,273,111,291,91,16,4,4,511,1153,342,280,15,25,12,1821,2697,113,466,14,61,13,3365,751,15,114,3,13,6,904,137,5,28,0,0,0,171,48,0,5,0,0,3,61,12,3,0,0,0,0,14,3,0,0,0,0,0,6,7,0,3,0,0,0,12,74,130,57,23,16,6,303,5061,2246,1197,141,140,83,8873
SED10055,3,3,83,3,5,51,153,0,3,4,0,0,0,11,3,32,20,3,3,0,60,3,17,23,0,8,0,50,11,4,31,0,3,0,51,31,17,58,6,50,0,159,139,17,129,4,20,0,310,1123,24,278,3,24,9,1458,1191,4,170,0,17,0,1376,418,0,46,3,3,0,464,91,0,16,0,3,0,111,33,0,5,0,0,0,38,8,0,3,0,0,0,15,10,0,3,0,0,0,10,53,7,50,0,20,3,134,3105,133,912,24,154,74,4407
SED10056,13,39,301,61,366,254,1033,39,35,46,29,47,5,196,332,204,389,92,118,15,1152,908,235,543,48,140,31,1905,510,67,332,17,64,10,1001,833,56,322,6,55,16,1285,730,10,178,0,29,4,955,369,3,67,0,10,0,457,37,3,9,0,9,0,54,7,0,4,0,0,0,14,3,0,3,0,0,0,8,0,0,3,0,0,0,12,0,0,0,0,0,0,0,7,0,19,0,0,0,26,60,36,121,13,124,15,371,3855,691,2337,269,971,344,8464
SED10057,7,24,138,10,34,108,327,7,30,14,15,9,0,75,61,284,131,37,28,6,550,442,206,207,127,54,8,1044,399,78,201,32,28,13,748,963,74,286,16,27,10,1378,1441,50,291,9,23,11,1826,832,13,194,12,14,4,1065,142,0,27,0,0,0,176,7,0,0,0,3,5,16,8,3,3,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,0,0,0,21,63,48,57,26,19,12,229,4386,812,1554,279,250,179,7460
SED10058,10,188,84,22,13,85,396,3,113,8,19,3,3,138,42,993,78,36,15,8,1173,161,247,148,50,26,6,632,208,98,124,21,13,6,474,525,81,192,20,32,5,856,1339,82,400,27,44,13,1904,2587,29,593,9,35,5,3269,1291,4,243,8,8,6,1556,442,0,65,0,5,0,512,144,0,37,0,3,0,183,70,0,21,0,4,0,93,24,0,3,0,0,0,31,27,0,16,0,3,0,50,78,111,68,17,16,5,299,6954,1945,2072,229,218,143,11570
SED10059,28,281,137,22,15,69,545,3,203,8,23,5,0,246,23,1479,29,42,9,19,1597,52,364,74,79,12,0,583,90,159,93,28,12,0,380,220,114,117,42,22,4,514,861,231,332,205,110,14,1752,1821,122,401,103,91,6,2548,2247,29,377,43,17,3,2721,2591,22,408,10,36,5,3066,1860,11,287,5,15,3,2188,1129,3,220,3,13,0,1367,664,7,154,3,8,3,836,983,3,314,3,23,4,1327,183,161,147,19,26,31,563,12759,3188,3089,630,406,167,20240
SED10060,23,30,168,5,17,120,367,0,19,7,3,0,0,26,10,237,25,15,0,4,286,23,48,29,27,0,0,131,22,17,49,9,0,0,101,71,9,70,0,18,0,164,223,12,117,3,5,4,368,1652,6,355,3,20,5,2041,2701,3,425,5,10,4,3139,2624,0,335,0,7,0,2971,1747,0,220,0,4,3,1971,1028,0,155,3,3,3,1195,685,0,98,3,0,3,795,1357,0,294,0,13,3,1668,179,20,89,36,13,17,362,12341,408,2432,115,131,171,15590
SED10061,23,47,269,91,322,320,1072,34,60,39,26,32,7,187,246,292,270,93,90,15,1006,729,318,368,124,77,18,1633,547,123,284,23,43,8,1036,1039,119,266,28,38,15,1501,1108,54,249,15,23,6,1456,647,9,118,0,9,4,785,122,6,21,0,4,0,152,21,0,4,0,6,0,32,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,11,0,0,0,26,56,65,99,15,130,21,377,4573,1090,2006,426,776,409,9278
SED10062,15,35,88,14,6,63,223,0,40,4,3,0,0,48,4,301,15,18,4,0,344,13,124,29,21,5,0,185,25,72,41,13,0,0,150,46,60,42,17,28,0,189,268,47,109,10,15,0,448,1703,32,223,9,13,6,1988,1186,26,154,0,11,0,1374,622,6,92,0,11,0,733,309,0,33,0,0,0,346,136,0,19,0,0,0,161,38,0,3,0,0,0,46,53,0,7,0,0,0,61,67,33,65,5,10,15,199,4483,773,928,108,105,89,6490
SED10063,10,70,204,24,108,141,561,8,64,32,28,12,0,148,182,420,182,54,36,9,887,543,266,295,38,44,16,1201,476,113,266,16,24,11,907,954,86,294,15,28,11,1392,1239,61,281,5,25,6,1620,855,18,153,3,15,0,1048,99,4,27,0,3,0,132,20,3,9,0,0,0,30,4,0,3,0,0,0,5,3,0,3,0,0,0,7,0,0,0,0,0,0,0,4,0,7,0,0,3,12,58,72,87,31,63,5,316,4456,1184,1841,210,368,207,8263
SED10064,10,21,181,8,36,175,431,4,20,20,10,5,3,61,62,294,158,52,56,13,629,294,198,285,98,37,12,922,309,98,250,29,35,4,718,733,91,362,29,32,4,1252,1129,64,411,13,44,15,1676,719,11,207,0,16,3,956,102,0,38,3,0,0,146,16,0,6,0,0,3,23,3,0,3,0,0,0,4,5,0,3,0,0,0,6,0,0,0,0,0,0,0,12,3,3,0,5,0,18,44,43,71,19,23,11,211,3433,835,1999,262,300,234,7068
SED10065,16,215,143,29,25,80,501,4,154,0,23,0,0,186,26,1053,30,34,8,8,1161,36,421,81,72,22,10,643,55,179,68,29,21,3,356,143,184,87,30,195,7,648,786,142,224,49,48,3,1252,4611,134,561,35,47,14,5400,3612,70,423,7,48,10,4163,1515,16,219,3,12,3,1764,377,0,67,0,8,0,464,117,0,31,0,0,0,152,52,0,11,0,0,0,64,39,0,9,0,3,0,51,193,139,94,32,22,20,499,11577,2728,2050,336,456,152,17301
SED10066,5,84,67,4,12,42,217,0,67,5,13,0,0,89,15,531,17,16,14,3,586,35,277,43,76,0,4,439,53,146,55,29,6,3,289,385,125,98,22,35,3,672,1169,135,265,38,19,9,1635,2888,142,385,17,15,9,3456,828,13,113,5,9,0,970,253,3,34,0,3,0,289,57,0,3,0,0,0,66,19,0,0,0,0,0,15,6,0,0,0,0,0,6,12,3,0,0,0,0,11,83,94,50,7,13,14,268,5806,1614,1141,229,118,91,9005
SED10067,9,0,100,7,8,70,185,0,3,3,9,4,0,24,0,20,18,45,11,6,108,12,0,21,15,6,0,54,8,4,20,12,12,0,55,17,5,30,33,9,0,100,60,0,86,8,8,0,168,344,3,161,4,14,3,525,635,4,221,3,8,3,878,543,0,181,4,11,0,741,475,0,133,0,7,0,617,360,0,82,0,4,0,448,213,0,61,0,6,0,288,471,0,89,0,4,0,559,64,3,57,21,15,12,166,3209,53,1265,162,126,96,4910
SED10068,11,38,88,4,35,91,269,0,26,8,19,12,3,67,22,332,60,23,59,5,508,125,144,122,44,71,3,519,191,67,132,18,25,3,436,589,56,222,13,34,4,928,1189,74,323,16,34,12,1649,1758,21,313,9,31,4,2136,579,0,72,4,3,0,666,160,0,22,0,0,0,181,23,0,10,0,0,0,39,8,0,5,0,0,0,11,5,0,0,0,0,0,9,7,0,6,0,3,0,14,58,37,61,26,20,13,214,4731,809,1450,174,327,147,7635
SED10069,7,30,91,7,17,66,213,0,28,10,13,4,0,55,21,261,63,33,37,4,425,93,142,78,52,26,3,398,156,65,129,8,42,3,398,481,115,171,5,314,10,1094,1282,42,307,7,85,10,1729,1545,8,240,0,33,3,1826,392,0,60,0,8,0,458,85,0,14,0,3,0,107,22,0,9,0,0,0,29,6,0,3,0,0,0,14,7,0,0,0,0,0,9,4,0,6,0,3,0,12,44,29,50,11,17,15,173,4141,715,1222,144,599,113,6939
SED10070,18,53,81,10,6,51,218,3,56,9,25,0,0,92,9,378,18,18,5,3,434,22,231,35,31,7,3,330,34,103,31,3,11,3,189,85,93,53,7,29,3,270,213,102,109,12,20,4,469,1786,88,315,11,71,12,2283,1434,39,177,7,42,6,1714,351,3,40,0,4,4,408,107,0,15,0,0,0,121,20,0,5,0,0,0,26,6,0,0,0,3,0,14,5,0,6,0,0,0,6,51,62,57,15,13,16,215,4153,1212,961,135,220,103,6789
SED10071,5,12,48,3,5,37,113,0,4,0,0,0,0,11,6,46,16,15,0,0,82,15,54,13,3,22,3,110,22,32,41,9,3,0,100,39,23,38,9,55,3,166,121,33,83,7,30,3,283,871,49,175,13,24,3,1137,1397,10,181,5,15,7,1607,1357,3,110,0,5,4,1472,594,0,43,0,3,0,650,78,0,7,3,0,0,87,14,0,0,0,0,0,14,6,0,8,0,0,0,13,71,7,46,8,9,9,152,4582,286,813,68,169,72,5987
SED10072,22,28,171,15,17,88,340,0,31,3,0,0,0,36,11,265,25,25,6,0,331,33,82,47,13,4,3,184,40,32,57,18,9,3,149,104,29,61,14,25,0,230,346,26,141,10,20,8,542,2102,24,305,7,26,13,2470,2600,9,308,9,28,6,2965,2034,7,256,13,21,6,2336,705,0,108,3,8,0,825,211,3,44,0,3,0,270,85,0,10,0,0,0,98,106,0,29,0,4,0,140,147,35,119,28,21,17,364,8543,566,1691,146,195,139,11287
SED10073,26,61,185,4,21,83,374,5,53,9,4,4,3,76,33,363,37,51,5,6,493,37,190,93,52,11,8,388,45,102,57,16,15,7,242,93,71,98,27,56,3,354,503,66,158,27,14,3,771,2881,40,387,19,29,3,3363,2928,24,438,7,28,4,3431,1600,18,250,0,15,3,1892,924,0,125,5,7,5,1070,302,3,65,3,7,0,377,126,0,26,0,0,0,151,124,0,36,0,3,0,165,148,59,123,27,26,26,410,9776,1043,2085,251,247,149,13554
SED10074,6,70,75,14,14,54,228,3,67,3,10,0,3,89,10,477,20,26,25,3,556,17,236,26,55,5,3,340,33,118,39,16,4,3,208,69,99,65,37,3,0,268,194,67,126,24,32,3,451,2250,151,357,19,80,4,2858,2246,16,215,9,28,9,2519,524,4,68,0,3,0,600,119,3,9,0,0,0,133,20,0,9,0,0,0,24,13,0,3,0,0,0,12,14,3,6,0,0,0,18,91,71,56,14,9,17,255,5599,1371,1080,228,200,98,8568
SED10075,12,65,85,4,7,39,216,4,64,4,3,0,0,78,18,643,30,23,19,10,740,74,411,66,22,22,7,598,99,174,70,17,12,3,371,310,132,129,20,9,5,601,665,257,263,14,23,10,1220,1636,122,409,13,25,6,2213,731,12,92,0,3,0,837,267,3,21,0,3,0,296,42,0,3,0,3,0,41,5,0,0,0,0,0,3,4,0,0,0,0,0,8,8,0,3,0,0,0,7,52,101,40,11,3,10,219,3915,1976,1220,122,130,90,7451
SED10076,12,24,119,8,25,96,280,5,37,13,15,4,0,74,23,218,71,24,42,8,384,191,234,148,65,46,4,684,210,84,173,25,33,9,537,597,122,300,19,158,13,1204,1444,95,388,19,61,17,2023,1052,14,206,5,22,4,1314,133,0,19,0,7,0,160,8,0,6,0,3,0,18,0,0,3,0,0,0,8,0,0,3,0,0,0,3,3,0,0,0,0,0,4,3,0,8,0,3,0,12,62,46,75,11,22,8,222,3739,872,1542,189,423,165,6923
SED10077,36,57,169,7,29,86,381,0,45,3,7,11,0,74,31,331,48,13,66,9,496,61,118,73,27,22,0,311,61,51,86,14,20,0,239,142,31,99,10,48,4,337,364,38,146,16,21,6,598,2030,33,255,40,27,3,2396,3200,19,392,10,45,19,3683,1920,7,240,10,30,8,2212,858,4,143,6,18,0,1027,349,7,78,0,11,0,443,142,0,55,0,0,0,202,133,0,43,0,3,0,187,185,49,144,38,34,24,476,9507,801,1983,206,389,163,13042
SED10078,19,34,137,16,11,93,307,0,45,4,16,0,0,65,16,315,37,30,3,3,403,56,155,99,80,10,3,401,89,84,89,29,9,8,297,317,66,99,34,18,4,537,699,57,176,19,18,0,973,3070,46,440,30,16,20,3623,2965,16,403,7,23,7,3412,1278,6,204,4,17,0,1506,622,6,95,0,5,3,734,320,3,56,0,0,0,381,212,0,41,0,0,0,258,170,0,33,0,0,0,205,97,43,87,40,22,16,301,9929,853,2012,295,153,161,13406
SED10079,3,22,91,4,10,57,196,0,15,3,9,5,0,29,19,270,36,20,34,3,380,121,163,92,12,75,3,465,125,62,117,3,23,0,325,313,55,184,9,16,3,575,1083,73,296,3,22,3,1483,1423,23,263,0,19,10,1741,375,3,68,0,5,0,452,119,0,17,0,0,0,145,21,0,3,0,0,0,29,8,0,3,0,0,0,5,0,0,0,0,0,0,4,4,0,4,0,0,0,7,53,39,58,3,13,8,164,3668,721,1240,63,219,94,6004
SED10080,60,42,229,9,44,122,511,4,51,11,10,4,0,77,35,513,42,35,8,8,644,67,127,74,46,3,0,326,82,78,98,22,6,3,286,237,45,138,33,22,8,482,1059,62,248,31,19,10,1426,2143,41,442,38,46,14,2719,2492,25,474,16,25,8,3037,2903,7,433,3,13,10,3372,2540,13,373,3,15,9,2952,2130,6,343,5,13,7,2498,1367,3,195,3,17,5,1589,2625,0,505,3,25,9,3162,381,54,194,35,48,35,754,18114,1067,3787,300,300,248,23818
SED10081,12,47,204,7,170,188,626,12,52,26,9,10,6,124,118,265,170,18,62,14,643,516,249,246,56,50,18,1134,416,80,247,19,37,12,812,922,120,275,24,44,8,1395,1575,46,387,3,40,17,2069,1014,16,174,3,23,7,1227,188,0,40,0,5,0,234,23,0,10,0,0,0,37,4,0,4,0,0,0,12,3,0,0,0,0,0,7,3,0,0,0,0,0,3,6,0,10,0,0,0,14,76,60,87,9,77,17,336,4896,941,1879,156,522,283,8673
SED10082,5,20,78,9,9,72,188,0,17,4,0,0,0,24,9,152,21,23,25,5,234,20,75,52,24,51,3,216,38,41,53,3,13,3,155,109,34,90,7,31,0,272,344,65,170,6,21,6,607,994,21,257,0,11,7,1291,784,3,151,3,7,3,945,404,0,64,0,3,3,474,189,0,14,0,0,0,206,78,0,10,0,0,0,94,24,0,8,0,0,0,31,26,0,3,0,3,0,39,40,26,40,6,7,5,123,3069,442,1021,84,181,103,4901
SED10083,3,36,91,6,12,63,215,3,45,4,21,8,4,78,17,388,31,20,4,5,471,78,168,80,39,20,10,393,113,93,91,11,9,3,318,286,69,139,14,21,4,534,1069,120,332,3,32,14,1568,2009,38,369,6,27,10,2462,673,5,106,3,8,3,804,140,0,27,0,0,0,169,42,0,8,0,0,0,53,11,0,4,0,0,0,15,0,0,0,0,0,0,3,6,0,0,0,0,0,14,53,59,46,16,17,8,201,4522,1020,1333,137,164,126,7302
SED10084,3,27,94,3,12,100,236,0,24,5,9,3,3,48,8,320,67,6,33,4,438,64,148,115,43,72,10,449,56,66,143,8,43,4,319,288,41,206,13,56,8,616,1122,48,474,14,52,8,1718,1626,27,553,17,73,14,2307,785,3,225,0,12,3,1026,253,0,59,0,3,0,317,100,0,28,0,0,0,130,35,0,12,0,0,0,51,18,0,0,0,0,0,18,7,0,7,0,3,0,21,66,52,94,9,19,17,248,4429,749,2081,138,372,171,7935
SED10085,15,39,212,12,230,229,739,14,54,20,7,4,3,106,158,195,168,40,38,7,612,493,255,209,32,66,16,1071,387,75,196,7,27,8,704,989,119,281,13,97,6,1508,1412,49,260,0,51,7,1777,617,4,110,3,13,4,750,115,0,31,0,7,0,156,14,0,6,0,0,0,24,6,0,0,0,0,0,7,0,0,3,0,0,0,3,0,0,3,0,0,0,8,3,0,5,0,3,0,16,79,45,95,11,110,13,354,4305,835,1612,133,650,293,7835
SED10086,15,10,203,7,18,125,386,0,5,3,8,0,0,16,10,131,22,4,0,0,167,15,30,33,11,5,0,95,20,15,38,0,4,0,80,53,8,38,4,5,0,105,177,12,90,3,11,0,299,716,12,176,13,14,0,935,1369,3,304,7,6,10,1692,2014,4,356,4,5,9,2392,1688,0,317,7,11,15,2039,1009,0,257,0,9,7,1287,679,0,159,0,9,4,864,1564,0,442,0,22,3,2031,186,10,115,7,19,15,363,9525,242,2562,79,152,185,12749
SED10087,18,70,137,22,69,108,418,17,69,17,27,7,4,141,100,436,139,35,24,15,754,709,267,239,38,42,18,1312,396,109,191,11,34,4,740,864,107,279,11,196,3,1466,1686,42,382,4,80,7,2202,954,13,167,3,21,3,1156,187,3,37,0,4,0,238,20,0,11,0,6,0,34,4,0,8,0,3,0,16,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,9,0,3,0,16,69,52,62,16,37,11,254,5026,1175,1687,165,518,177,8738
SED10088,7,30,92,28,7,73,237,0,22,12,52,6,5,103,3,249,11,34,3,7,309,13,76,22,43,4,4,160,7,32,25,22,3,0,90,19,36,50,22,13,0,132,83,23,91,10,21,0,223,589,20,191,9,18,3,836,1321,9,276,0,14,5,1638,878,6,145,0,6,3,1038,513,12,105,0,8,0,631,440,3,93,0,3,0,539,299,0,61,0,0,0,365,378,0,47,0,0,0,429,80,39,59,15,15,8,214,4641,550,1279,238,126,106,6945
SED10089,4,77,84,30,9,62,268,6,77,16,18,7,0,123,50,574,84,15,16,6,743,193,245,145,55,16,7,664,169,128,142,24,13,0,469,350,122,196,20,32,10,727,1291,116,480,13,38,3,1940,2218,33,534,6,39,10,2847,718,9,118,0,10,0,859,127,0,41,0,0,0,167,30,6,22,0,0,3,55,19,0,16,3,0,0,30,7,0,8,0,0,0,18,22,0,18,0,0,0,39,68,81,71,25,17,5,269,5275,1469,1967,200,200,107,9225
SED10090,20,13,177,7,24,91,334,0,22,0,0,3,0,30,12,119,23,12,0,4,159,14,48,37,25,6,4,128,19,18,41,7,5,0,86,36,11,53,4,13,0,116,144,14,91,6,17,0,278,745,12,188,12,7,6,972,1903,6,313,3,17,0,2246,2106,4,300,5,18,5,2442,1232,0,191,0,5,3,1432,900,0,141,0,14,3,1053,535,0,89,0,10,3,637,1005,0,191,0,20,0,1218,155,18,101,16,28,8,325,8840,281,1924,99,169,134,11450
