SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED23806,10204,31126,3303,7409,1546,3980,4846,11389,3427,6406,3449,6309,2980,5081,0,0,9850,17800,4,6,0,0,0,0,78,194,78,201,106,225,25086,60744,2677,..,27765,60744
SED23901,16426,45107,2820,5507,1718,4235,4535,9742,1950,3761,209,366,318,540,4,12,2474,4677,0,0,0,3,0,4,31,71,34,74,94,186,23564,59783,2393,..,25961,59783
SED24006,14321,43447,2285,4827,2027,5349,4315,10180,1527,2897,805,1573,465,840,0,0,2799,5302,0,0,0,7,3,3,41,88,47,93,66,147,21535,59167,2457,..,23994,59167
SED24105,18062,58046,1800,3977,910,2675,2712,6653,944,2138,84,148,53,112,3,17,1076,2414,65,68,14,23,3,7,14,32,91,128,53,130,21997,67373,1302,..,23298,67373
SED24207,22026,72356,1000,2510,1065,3102,2063,5618,131,266,27,49,88,176,8,12,252,501,41,55,59,83,0,3,19,57,122,198,25,77,24491,78750,1450,..,25936,78750
SED24308,20621,53435,2095,3684,296,562,2382,4247,498,867,0,0,0,0,3,4,499,870,17,30,28,32,0,3,62,160,110,228,71,145,23684,58924,2253,..,25937,58924
SED24408,20633,47817,762,1125,28,44,782,1173,651,879,0,0,0,0,0,3,652,885,25,47,8,20,17,23,84,179,138,276,202,408,22404,50555,4800,..,27205,50555
SED24504,19073,50238,723,1191,21,45,744,1236,193,280,0,0,0,4,6,11,198,287,23,27,29,38,14,23,80,160,141,248,130,262,20288,52269,3729,..,24019,52269
SED24606,9781,29604,2461,5264,2177,5113,4632,10379,3856,7108,3067,5466,1008,1617,3,5,7936,14191,0,0,3,11,0,0,202,346,209,352,81,173,22641,54700,3011,..,25654,54700
SED24703,1723,4562,3963,8959,4898,12654,8861,21606,1507,2989,3797,7141,31282,62326,19,47,36604,72493,0,0,8,10,52,59,124,289,189,361,378,768,47756,99791,7480,..,55240,99791
SED24808,23053,66436,2739,5938,369,942,3106,6884,131,227,0,0,4,14,0,3,137,241,8,13,25,32,0,3,16,57,49,102,63,140,26407,73801,1964,..,28370,73801
SED24904,19853,51027,1678,2764,66,120,1737,2883,1217,1872,0,0,0,0,3,3,1220,1878,134,212,108,185,13,44,43,82,296,524,133,297,23241,56607,3142,..,26386,56607
SED25003,17737,55313,2220,5880,1362,3822,3584,9700,152,289,174,270,30,61,0,0,353,618,0,0,0,0,0,0,6,7,6,7,25,68,21703,65712,1338,..,23040,65712
SED25102,18669,51954,429,761,85,155,514,921,74,149,0,0,3,3,0,0,78,151,0,5,0,0,3,19,19,39,25,60,76,165,19364,53250,1627,..,20990,53250
SED25205,13512,39205,3480,6900,1812,4669,5289,11568,3970,7131,315,517,20,31,13,16,4314,7690,0,3,0,5,0,0,60,130,68,142,95,255,23276,58854,2076,..,25358,58854
SED25302,17844,49064,1187,2046,611,1297,1804,3340,2273,3566,38,63,4,13,0,8,2318,3651,10,16,110,144,3,6,3,16,128,180,53,108,22143,56345,3521,..,25666,56345
SED25402,21766,53807,1122,1584,97,208,1220,1796,1220,1739,0,0,0,0,0,0,1223,1742,9,17,63,88,6,6,13,28,92,131,97,161,24396,57631,3218,..,27619,57631
SED25501,16051,47035,1167,3071,701,2119,1864,5195,2933,7248,172,378,97,198,0,0,3197,7826,0,3,0,0,0,3,9,30,14,35,56,159,21182,60241,2104,..,23284,60241
SED25605,17028,49676,1475,3269,1084,3065,2565,6334,1166,2525,286,507,0,3,7,17,1467,3055,27,32,55,72,3,0,11,22,96,131,37,61,21192,59264,1583,..,22771,59264
SED25704,20873,51574,1018,1537,27,38,1040,1573,946,1398,0,0,0,6,5,9,950,1412,96,159,56,92,0,4,46,116,201,366,155,381,23216,55302,3318,..,26527,55302
SED25802,21884,56660,1179,1763,52,74,1233,1836,1056,1523,0,0,0,0,0,5,1056,1525,79,114,80,128,4,6,20,36,183,284,101,211,24457,60524,3010,..,27468,60524
SED25905,18855,57759,1095,2793,601,1799,1693,4598,242,440,0,0,0,4,0,0,245,442,30,46,80,118,0,0,8,28,115,191,29,70,20937,63053,1311,..,22250,63053
SED26005,22285,75665,814,2319,406,1196,1218,3512,56,141,20,20,10,17,4,7,91,184,3,4,0,0,0,0,18,44,26,50,25,52,23643,79467,1072,..,24713,79467
SED26102,20732,47803,1445,2238,523,1139,1973,3374,319,473,13,19,16,30,3,6,356,533,100,126,136,198,6,17,16,37,267,371,89,164,23407,52238,23405,..,46810,52238
SED26207,16025,44407,2035,4050,2335,6064,4367,10110,742,1436,35,64,49,72,8,15,838,1589,0,0,0,4,0,0,125,300,127,308,57,134,21415,56543,1882,..,23298,56543
SED26303,12680,35482,3118,6870,3043,6676,6160,13548,3683,5942,702,1229,1504,2583,3,3,5895,9761,0,0,4,11,0,0,162,344,167,357,101,223,25011,59373,2386,..,27395,59373
SED26406,13077,37898,4119,8928,2190,6240,6313,15170,4425,8545,757,1432,1287,2350,0,0,6463,12329,3,3,0,0,0,0,30,79,35,86,109,241,25994,65722,2363,..,28357,65722
SED26504,19347,46695,1341,1947,93,204,1434,2151,500,771,15,34,28,71,3,11,545,889,50,79,43,81,9,12,38,79,139,260,164,333,21630,50324,4169,..,25798,50324
SED26603,16822,46685,3570,7353,4553,11303,8120,18654,1314,2557,239,451,407,726,23,54,1976,3793,4,13,0,4,0,0,75,157,79,171,103,270,27103,69572,2456,..,29563,69572
SED26708,20669,51418,685,970,53,100,735,1075,265,391,6,12,0,0,0,0,275,404,44,68,37,72,15,34,54,127,147,298,158,367,21983,53564,9711,..,31698,53564
SED26806,3028,7864,3075,6658,2363,5501,5437,12161,3796,6655,9322,15535,12299,21143,34,52,25448,43383,0,4,4,5,3,5,113,211,118,231,117,229,34152,63863,5828,..,39982,63863
SED26903,16175,43340,5081,10406,2385,5773,7469,16179,1060,2016,371,598,303,615,0,0,1734,3227,0,0,0,0,0,0,132,318,132,318,76,170,25582,63234,2419,..,28006,63234
SED27003,4101,10254,6171,14000,5012,12266,11185,26267,2882,5001,3568,6104,8497,16371,4,16,14952,27486,0,3,0,3,0,0,173,399,174,401,166,340,30580,64750,3407,..,33985,64750
SED27101,18032,48344,3219,6344,1049,2554,4264,8900,290,618,236,442,330,546,10,16,865,1619,0,0,4,6,0,0,15,33,20,43,68,169,23257,59075,1916,..,25172,59075
SED27208,22404,52284,660,929,9,11,670,943,448,615,3,5,0,0,3,6,457,628,170,231,82,123,22,36,363,804,640,1197,170,381,24335,55437,4068,..,28402,55437
SED27305,16534,50941,539,910,338,810,880,1718,232,353,45,70,4,4,0,0,279,432,0,10,0,0,0,0,117,337,119,349,15,35,17824,53468,978,..,18803,53468
SED27406,12524,35642,4003,7307,2378,5851,6378,13156,1503,2543,617,1034,906,1506,3,3,3028,5097,0,0,0,4,0,0,147,293,149,298,97,221,22169,54412,2441,..,24611,54412
SED27504,21833,57194,2167,3704,96,196,2259,3901,322,476,21,30,0,0,0,0,348,505,127,167,159,221,9,20,59,152,345,558,63,161,24856,62324,2808,..,27658,62324
SED27608,21292,58679,1733,2953,483,1036,2215,3995,147,206,27,42,7,11,0,3,180,262,0,11,5,10,5,6,105,372,119,404,55,127,23854,63461,3984,..,27840,63461
SED27708,20407,51346,1456,2189,352,648,1813,2836,829,1173,82,103,6,9,3,8,924,1294,34,62,85,141,7,10,44,97,175,316,118,266,23443,56059,4183,..,27629,56059
SED27807,18812,56508,2244,5625,1190,3475,3436,9094,1874,4324,67,138,102,238,28,53,2072,4752,3,8,24,24,0,0,53,167,81,195,71,168,24472,70724,1941,..,26413,70724
SED27907,18422,51408,1480,2669,427,976,1907,3644,954,1638,34,45,0,0,3,4,997,1686,6,14,0,3,0,0,3,18,10,38,28,75,21372,56845,1559,..,22930,56845
SED28007,18765,62644,2065,5226,1242,3579,3306,8800,304,528,71,139,3,5,3,6,380,679,0,0,0,0,0,0,5,24,5,24,40,110,22492,72258,1210,..,23704,72258
SED28107,22824,76959,3852,11364,754,2179,4605,13542,790,1710,27,37,0,10,0,0,818,1750,35,47,0,0,0,0,3,14,40,63,32,70,28323,92381,1762,..,30082,92381
SED28203,19338,58350,1200,2830,849,2378,2048,5206,864,2114,41,64,7,8,0,3,912,2188,0,0,0,4,0,0,13,57,16,68,55,133,22368,65938,1522,..,23895,65938
SED28301,16158,48859,1199,2564,1312,3765,2509,6328,698,1425,187,375,107,219,0,0,986,2019,13,23,3,8,0,0,4,15,25,43,86,175,19760,57425,1572,..,21338,57425
SED28408,18111,45005,2546,4413,414,927,2957,5343,815,1163,70,108,0,0,0,0,885,1269,0,4,3,10,0,0,31,62,34,71,89,164,22074,51852,2780,..,24856,51852
SED28507,20499,59642,2242,4779,449,1123,2699,5900,317,710,14,32,59,95,0,0,386,837,65,102,6,13,0,3,6,15,77,133,32,76,23697,66588,1922,..,25619,66588
SED28607,16989,46372,2535,5101,3804,9827,6334,14928,2011,3385,458,769,274,459,5,7,2746,4628,27,34,21,22,5,10,142,306,191,375,114,236,26380,66543,2536,..,28915,66543
SED28704,23237,70579,1126,2644,652,1611,1782,4252,158,338,47,95,3,8,0,4,205,439,3,8,8,22,3,6,3,15,21,46,58,140,25299,75460,1853,..,27151,75460
SED28803,22619,78402,1312,3695,1034,2886,2354,6583,221,568,0,0,3,12,0,0,221,576,8,11,77,116,0,0,7,19,91,144,35,124,25324,85827,1518,..,26841,85827
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED30001,17891,57541,1977,4174,1526,3802,3505,7978,69,186,0,3,0,3,0,3,74,194,49,78,16,27,4,3,3,11,70,123,46,129,21590,65957,1254,..,22842,65957
SED30002,15685,48393,288,552,1028,2510,1320,3061,132,223,71,140,0,0,4,4,214,372,36,47,21,30,0,5,6,8,63,91,49,126,17325,52044,971,..,18295,52044
SED30003,13029,37930,120,214,779,1582,898,1791,1008,1698,877,1568,202,341,3,0,2089,3608,12,27,0,3,0,0,6,12,18,44,65,133,16100,43500,1313,..,17409,43500
SED30004,13169,37847,940,1389,1209,2731,2142,4118,152,233,8,25,76,117,0,10,239,376,101,134,66,91,3,3,4,8,175,238,46,96,15766,42683,973,..,16736,42683
SED30005,17626,48237,908,1697,858,1474,1768,3168,1062,1870,943,1819,165,293,6,17,2178,3994,97,183,69,112,12,28,3,8,186,333,177,336,21938,56072,2766,..,24706,56072
SED30006,18343,51303,470,747,160,335,635,1081,156,227,46,56,3,5,3,7,202,286,113,180,25,48,29,61,42,82,203,382,68,177,19450,53229,1959,..,21411,53229
SED30007,4494,12572,69,138,1141,2588,1207,2724,2326,3865,4101,7458,13287,25910,19,29,19730,37262,0,0,8,12,53,65,14,26,67,102,177,334,25674,53003,4080,..,29758,53003
SED30008,8235,21023,3217,6467,3532,7908,6750,14379,865,1406,2251,3995,2681,5215,0,0,5793,10628,271,376,26,32,0,3,7,24,304,439,142,254,21216,46722,2707,..,23932,46722
SED30009,13861,39317,1417,2256,703,1541,2121,3798,1096,2158,217,404,254,601,6,4,1576,3166,142,220,187,288,5,4,0,3,330,516,52,107,17935,46910,1501,..,19435,46910
SED30010,11951,34342,283,513,3031,6864,3312,7374,1497,2492,1625,2889,525,970,0,0,3648,6352,112,151,9,15,0,0,7,25,123,192,58,132,19102,48394,2016,..,21114,48394
SED30011,13500,34141,1450,2290,382,642,1833,2931,1320,1995,0,0,0,0,0,0,1319,2000,139,218,97,133,3,9,23,61,264,422,66,134,16988,39624,2024,..,19010,39624
SED30012,21926,68778,1135,2366,1135,2794,2268,5163,151,267,26,61,3,3,3,7,181,337,3,5,3,6,0,3,17,49,25,64,54,121,24446,74462,1839,..,26288,74462
SED30013,14757,37796,462,759,122,220,585,981,858,1398,235,394,4,9,3,6,1101,1806,310,529,23,37,37,81,34,76,398,723,120,268,16967,41579,2864,..,19836,41579
SED30014,10433,29305,1863,3537,2634,6101,4496,9640,1133,1957,2104,3739,1285,2417,5,14,4523,8122,42,84,20,29,3,5,16,36,80,155,64,124,19598,47341,2397,..,22001,47341
SED30015,16498,41771,447,665,53,109,500,769,360,588,48,96,109,206,6,6,523,894,271,454,69,103,44,76,34,75,421,710,108,232,18044,44380,3814,..,21864,44380
SED30016,11821,32437,1608,2936,1548,3006,3160,5941,3806,6733,2122,4130,896,1764,8,14,6829,12637,78,146,109,166,3,6,58,138,252,447,209,347,22270,51810,2752,..,25022,51810
SED30017,15487,38757,142,231,27,61,167,300,424,675,0,4,11,17,6,6,445,699,234,412,50,109,106,191,58,122,452,837,117,266,16665,40860,3492,..,20157,40860
SED30018,13530,37060,1369,2391,773,1581,2142,3976,676,1096,551,993,1852,3445,3,4,3083,5542,230,361,78,113,0,3,28,72,337,546,145,223,19238,47344,3624,..,22858,47344
SED30019,14154,40770,835,1327,1299,2551,2136,3879,145,216,10,27,3,8,0,0,159,250,69,95,143,201,3,3,5,7,221,309,31,60,16699,45266,994,..,17693,45266
SED30020,14064,41537,448,874,2344,5202,2789,6076,368,643,228,392,100,170,0,0,693,1206,3,9,3,12,0,5,26,77,36,97,34,89,17616,49011,1258,..,18879,49011
SED30021,9892,28208,171,309,1426,2918,1596,3224,3114,5289,3756,6638,2304,3960,4,4,9177,15895,7,12,11,22,0,0,31,75,48,109,92,197,20813,47640,2958,..,23774,47640
SED30022,14310,40469,1102,1725,1107,2259,2205,3987,1069,1744,200,355,222,350,0,0,1496,2449,43,65,73,118,6,14,18,33,137,223,127,217,18274,47344,2233,..,20508,47344
SED30023,17786,49805,465,840,46,120,514,959,404,707,0,0,3,7,0,3,413,714,61,100,7,13,14,24,38,81,117,221,78,238,18910,51931,1943,..,20853,51931
SED30024,13057,39135,717,1647,526,1158,1237,2804,856,1613,92,187,80,129,3,3,1030,1925,269,481,92,170,142,271,71,186,573,1104,144,335,16041,45304,2532,..,18573,45304
SED30025,19352,56893,1233,2534,2604,6201,3836,8738,538,1172,326,618,380,794,4,12,1245,2594,30,54,142,240,10,24,12,22,189,342,86,223,24707,68793,2176,..,26886,68793
SED30026,10373,29736,1162,2067,2040,4486,3202,6548,1276,2192,1567,2812,1480,2690,5,13,4334,7713,71,130,3,5,5,8,21,48,100,191,66,157,18080,44344,2485,..,20563,44344
SED30027,15079,38459,373,610,229,392,599,1002,710,1154,17,27,8,12,4,8,736,1198,237,372,49,78,34,53,56,121,378,619,98,245,16885,41525,3573,..,20466,41525
SED30028,13386,39009,374,579,1100,2175,1471,2754,739,1201,528,876,147,193,4,3,1419,2275,0,3,0,0,0,0,0,0,3,4,30,51,16307,44103,1089,..,17391,44103
SED30029,14150,41778,262,391,448,830,715,1219,329,640,9,15,18,30,3,7,356,691,0,3,0,0,3,11,3,7,7,27,30,80,15252,43797,853,..,16101,43797
SED30030,14849,45206,1041,1950,2691,6460,3729,8412,555,1097,144,189,54,65,8,6,757,1359,59,67,91,122,3,9,3,5,155,204,35,85,19524,55265,1109,..,20636,55265
SED30031,16501,45733,423,741,554,1111,980,1844,915,1458,130,199,231,380,0,0,1281,2035,223,345,23,41,21,40,6,24,267,453,35,75,19067,50134,4016,..,23084,50134
SED30032,17439,48257,640,1333,59,110,695,1442,62,116,6,10,0,0,21,44,94,171,77,142,73,112,32,59,30,94,213,415,111,282,18560,50562,1638,..,20193,50562
SED30033,11690,33059,95,163,1341,2861,1435,3018,1538,2718,2304,4234,526,876,4,9,4375,7839,0,3,0,0,0,0,84,227,84,225,72,152,17659,44297,1558,..,19213,44297
SED30034,11928,32009,360,603,74,158,430,759,699,1126,3,0,0,0,0,3,705,1132,251,460,30,58,78,126,31,61,389,710,367,866,13817,35481,3991,..,17807,35481
SED30035,16853,42241,524,842,273,445,797,1285,357,497,29,56,0,0,8,6,397,558,232,357,114,149,72,143,38,87,457,733,91,191,18589,45005,2449,..,21037,45005
SED30036,16720,41873,1395,2279,1055,1826,2453,4105,431,668,168,254,215,357,3,3,814,1283,306,491,145,235,22,50,23,55,497,823,205,351,20673,48436,2502,..,23182,48436
SED30037,17605,45487,282,469,36,85,317,555,553,942,19,33,5,15,4,3,578,983,306,555,43,72,36,66,38,80,423,767,107,247,19031,48036,3205,..,22234,48036
SED30038,15218,46694,317,577,1438,3686,1750,4266,107,137,0,0,3,6,0,3,113,147,160,205,0,0,3,3,90,285,253,500,56,137,17391,51749,912,..,18304,51749
SED30039,9499,28159,105,177,1241,2967,1339,3148,1500,3216,2983,6313,1820,3925,3,3,6311,13459,0,0,0,7,0,3,8,17,17,29,138,326,17304,45119,1683,..,18987,45119
SED30040,16118,43885,1055,1739,670,1274,1728,3010,495,718,69,112,39,56,3,8,604,893,6,10,0,3,3,4,17,46,28,61,46,89,18527,47939,1551,..,20076,47939
SED30041,17033,47850,948,1553,233,415,1177,1977,110,187,26,45,0,0,0,5,133,235,67,120,25,30,5,23,15,43,115,215,61,143,18519,50418,1624,..,20140,50418
SED30042,14940,43603,1352,2397,1557,3495,2907,5887,184,304,0,0,0,0,0,0,191,305,139,171,76,97,3,11,0,4,216,281,42,100,18304,50188,1340,..,19638,50188
SED30043,14428,41042,2778,4507,528,1190,3308,5696,278,541,165,347,866,1662,3,8,1306,2562,35,45,173,230,0,4,7,8,217,286,40,100,19305,49678,1673,..,20979,49678
SED30044,16672,44952,736,1280,181,326,923,1603,892,1446,65,109,74,125,0,3,1027,1681,205,337,116,179,35,56,16,44,374,616,155,229,19148,49084,2956,..,22102,49084
SED30045,16662,47893,290,631,35,108,333,734,279,515,0,0,0,0,5,26,279,533,181,260,78,137,13,31,200,560,475,985,114,316,17857,50472,1219,..,19073,50472
SED30046,14564,45826,194,374,328,812,518,1184,36,71,0,0,0,0,0,3,33,73,70,106,120,144,3,7,4,9,194,270,32,81,15354,47441,817,..,16171,47441
SED30047,14216,39010,1054,1642,1760,3941,2805,5590,646,916,294,466,30,53,3,4,977,1439,3,7,106,171,0,0,5,14,116,195,56,119,18169,46352,1364,..,19534,46352
SED30048,12036,30978,1771,2913,866,1577,2639,4496,1126,1890,30,53,287,510,0,0,1445,2447,124,198,47,81,3,6,5,21,184,309,81,142,16379,38367,2731,..,19117,38367
SED30049,12563,37592,254,495,1223,3087,1479,3578,537,1043,382,770,349,782,8,13,1268,2601,90,125,293,464,0,3,3,16,389,611,39,78,15742,44463,1087,..,16834,44463
SED30050,10692,28161,1252,2103,2784,5718,4040,7824,2201,3869,1511,2754,2442,4420,5,9,6155,11052,137,240,55,93,4,7,18,47,208,387,139,227,21236,47643,4025,..,25259,47643
SED30051,17555,43116,595,828,128,211,724,1036,393,567,4,7,12,20,0,3,409,594,270,431,51,101,66,143,15,37,407,721,126,299,19222,45773,2638,..,21857,45773
SED30052,11177,31767,825,1648,3704,8560,4530,10209,1098,2021,1765,3310,1076,1899,0,3,3936,7234,12,15,73,97,0,0,6,22,88,135,37,68,19771,49412,2473,..,22239,49412
SED30053,16596,44120,217,428,59,116,277,541,299,452,0,3,0,3,14,15,312,471,240,384,23,43,75,155,26,63,360,654,102,225,17637,46006,4196,..,21835,46006
SED30054,14810,44258,278,416,266,549,547,966,52,124,20,29,4,11,0,0,73,168,0,0,3,8,0,3,11,43,18,48,27,67,15475,45499,997,..,16473,45499
SED30055,16296,49728,897,1793,516,1147,1415,2944,185,280,7,14,19,22,0,0,208,312,5,12,0,0,3,9,0,7,14,28,38,68,17965,53079,1042,..,19012,53079
SED30056,9347,26551,117,182,1029,2188,1149,2369,1785,3147,2624,5011,2311,4357,3,17,6722,12539,0,4,3,5,0,0,42,89,43,91,119,175,17377,41732,2093,..,19476,41732
SED30057,8214,23766,1014,1954,161,302,1175,2257,532,1009,4,10,3,5,0,0,540,1027,288,564,19,40,25,50,38,106,376,766,220,485,10520,28297,2495,..,13020,28297
SED30058,14031,40710,217,383,1072,2420,1290,2805,293,454,110,177,37,67,0,0,442,697,0,0,0,0,0,0,4,10,4,10,25,36,15799,44262,1074,..,16871,44262
SED30059,12998,39631,873,2012,3537,8385,4410,10396,305,440,355,634,388,752,4,4,1045,1833,326,428,8,10,11,18,10,30,351,491,170,236,18970,52590,1176,..,20143,52590
SED30060,15208,44094,432,991,139,255,571,1243,895,1763,109,237,20,43,0,0,1026,2048,111,167,22,25,63,195,129,264,326,648,85,176,17217,48205,1647,..,18865,48205
SED30061,13111,36433,1273,2034,573,1121,1849,3159,421,667,236,407,16,31,3,6,675,1113,5,16,3,5,7,7,8,33,17,69,16,41,15665,40809,1707,..,17376,40809
SED30062,20316,60268,1182,2221,1930,4715,3112,6945,497,800,154,191,151,249,0,0,802,1240,79,110,20,22,0,0,0,5,100,136,58,144,24387,68724,1885,..,26270,68724
SED30063,17390,43710,345,564,16,42,363,608,373,535,0,0,0,4,4,8,380,550,177,284,17,44,35,74,28,73,263,477,178,410,18575,45748,2711,..,21284,45748
SED30064,15673,42454,837,1540,623,1225,1461,2768,752,1117,44,85,4,8,21,28,822,1239,233,360,105,147,33,55,12,43,378,608,122,301,18449,47360,1543,..,19993,47360
SED30065,15385,40764,1069,1688,1580,2969,2652,4657,868,1477,399,696,86,165,0,0,1354,2335,35,68,12,23,17,44,10,19,77,146,156,352,19617,48249,4614,..,24235,48249
SED30066,14500,39090,568,1030,1637,3681,2205,4715,1753,3258,1075,2075,1306,2409,7,14,4145,7754,3,6,0,4,0,0,16,47,25,58,81,182,20949,51798,1761,..,22713,51798
SED30067,15433,45916,1098,1872,951,2328,2055,4199,425,750,17,42,0,0,0,0,451,800,16,39,7,7,3,11,5,14,28,68,30,63,17991,51046,1172,..,19164,51046
SED30068,16193,41745,1964,3509,1429,2475,3394,5990,778,1045,262,427,145,249,14,26,1204,1750,329,456,213,294,6,14,14,25,556,786,66,128,21408,50393,2549,..,23953,50393
SED30069,13800,35309,764,1120,1026,1937,1792,3059,2030,2976,733,1166,1507,2655,4,4,4274,6800,81,127,108,149,3,3,24,51,214,333,71,132,20158,45640,2271,..,22426,45640
SED30070,16681,46020,527,909,64,133,588,1046,680,987,39,75,4,5,0,0,721,1068,90,118,9,13,6,10,0,0,106,142,70,157,18167,48431,2124,..,20297,48431
SED30071,15266,39571,1081,1663,453,701,1533,2357,730,1136,35,60,81,139,10,22,860,1356,58,94,16,28,3,7,17,52,94,179,112,239,17867,43698,2802,..,20672,43698
SED30072,14652,40044,1098,1847,1403,3245,2500,5092,806,1255,184,264,79,118,0,0,1069,1638,17,31,113,134,0,0,35,54,164,217,82,171,18469,47167,1229,..,19697,47167
SED30073,6780,19668,138,312,915,2183,1051,2496,3271,5758,3851,7087,6997,13653,20,43,14139,26549,0,0,13,35,0,0,68,178,90,215,165,302,22219,49223,3278,..,25496,49223
SED30074,16539,41259,703,1071,81,143,782,1212,585,884,3,3,6,13,3,7,595,910,126,207,58,132,32,61,50,103,267,506,153,364,18345,44246,2840,..,21181,44246
SED30075,10716,30836,2354,4476,2546,6197,4904,10676,972,1813,1908,3480,3421,6553,3,4,6310,11857,17,46,39,65,0,0,9,15,67,135,148,246,22145,53744,2176,..,24323,53744
SED30076,14458,42689,360,629,1292,2653,1655,3287,503,895,0,0,38,79,8,12,545,989,93,151,0,3,0,4,4,7,104,162,20,52,16772,47174,956,..,17734,47174
SED30077,12031,32815,298,504,1555,3145,1855,3650,1667,2935,1976,3484,770,1241,0,0,4415,7653,0,0,0,0,0,0,12,26,12,26,94,170,18403,44309,1756,..,20157,44309
SED30078,14032,46827,484,1213,3207,9240,3694,10447,81,156,14,30,4,5,4,4,100,189,8,11,74,102,0,3,6,32,92,140,103,137,18025,57749,993,..,19017,57749
SED30079,14020,43199,764,1518,2320,6493,3088,8007,325,537,121,264,33,80,3,9,483,895,16,18,0,0,0,10,3,12,21,33,117,240,17724,52370,1338,..,19062,52370
SED30080,7593,21732,1023,2005,1919,4544,2942,6548,1570,3103,2842,5244,7348,13832,9,18,11765,22196,19,40,52,78,0,0,5,7,75,126,157,294,22537,50898,6069,..,28606,50898
SED30081,16365,46950,588,1090,214,449,798,1539,125,276,29,45,6,12,5,9,165,347,68,115,3,5,3,15,6,10,77,143,42,82,17452,49060,1679,..,19130,49060
SED30082,15088,39301,2000,3170,642,1080,2641,4256,1085,1708,60,77,65,103,0,0,1210,1886,16,18,3,6,6,5,15,28,36,67,103,195,19077,45702,2369,..,21444,45702
SED30083,14600,38397,2794,4479,680,1225,3477,5708,1087,1892,0,0,5,9,0,3,1095,1907,48,70,9,23,0,0,72,215,128,305,150,241,19447,46557,2002,..,21450,46557
SED30084,11606,30872,1890,2878,1852,3210,3741,6085,1347,2188,889,1485,1432,2597,3,3,3664,6273,115,181,99,177,20,48,23,39,247,440,127,220,19385,43891,3531,..,22913,43891
SED30085,13140,32859,438,796,32,62,469,852,339,593,0,0,6,7,8,11,348,614,124,250,15,28,23,51,53,131,219,454,146,321,14329,35100,4054,..,18383,35100
SED30086,17495,51375,1087,2000,1744,3920,2830,5915,817,1516,167,299,9,10,3,5,1000,1832,46,66,22,28,4,8,3,3,78,106,81,170,21480,59404,1719,..,23199,59404
SED30087,16999,46101,639,1227,611,1196,1244,2422,756,1341,160,265,49,90,4,12,975,1711,158,326,46,90,72,143,29,54,302,609,261,558,19785,51402,3300,..,23089,51402
SED30088,15058,49300,848,1937,2321,5729,3165,7667,663,1299,32,84,0,3,41,86,733,1467,3,7,0,4,0,0,117,354,118,369,89,186,19172,58982,1761,..,20934,58982
SED30089,12484,35090,132,286,2008,4384,2141,4669,2221,3988,1412,2575,489,906,6,3,4120,7477,0,0,0,9,0,0,15,42,15,44,76,158,18841,47445,1634,..,20477,47445
SED39494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED40001,5928,15606,1982,3477,2566,5347,4543,8829,1535,2835,963,1737,2983,5377,9,21,5490,9972,0,3,0,0,8,10,94,195,104,212,109,203,16170,34819,2440,..,18612,34819
